rule,depends_left,depends_center,depends_right,relation_degree,relation_complete,self_only,no_local_self_relation,left_right_asymmetry,temporal_irreversibility_proxy,directional_consequence,DAR_complete_structural,DAR_asymmetric_structural
206,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
207,True,True,False,1,True,False,False,0.25,0.5,1.0,True,True
208,True,True,True,2,True,False,False,0.5,0.25,0.0,True,True
209,True,True,True,2,True,False,False,0.5,0.0,0.0,False,False
210,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False
211,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
212,True,True,True,2,True,False,False,0.5,0.0,0.0,False,False
213,True,True,True,2,True,False,False,0.5,0.25,0.0,True,True
214,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
215,True,True,True,2,True,False,False,0.25,0.5,0.0,True,True
216,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False
217,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
218,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False
219,True,True,True,2,True,False,False,0.0,0.5,0.0,True,False
220,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
221,False,True,True,1,True,False,False,0.25,0.5,1.0,True,True
222,True,True,True,2,True,False,False,0.0,0.5,0.0,True,False
223,True,True,True,2,True,False,False,0.0,0.75,0.0,True,False
224,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
225,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False
226,True,True,True,2,True,False,False,0.5,0.0,0.0,False,False
227,True,True,True,2,True,False,False,0.5,0.25,0.0,True,True
228,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False
229,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
230,True,True,True,2,True,False,False,0.5,0.25,0.0,True,True
231,True,True,True,2,True,False,False,0.5,0.5,0.0,True,True
232,True,True,True,2,True,False,False,0.0,0.0,0.0,False,False
233,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False
234,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
235,True,True,True,2,True,False,False,0.25,0.5,0.0,True,True
236,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False
237,True,True,True,2,True,False,False,0.0,0.5,0.0,True,False
238,False,True,True,1,True,False,False,0.25,0.5,1.0,True,True
239,True,True,True,2,True,False,False,0.25,0.75,0.0,True,True
240,True,False,False,1,True,False,True,0.5,0.0,1.0,False,False
241,True,True,True,2,True,False,False,0.5,0.25,0.0,True,True
242,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
243,True,True,False,1,True,False,False,0.25,0.5,1.0,True,True
244,True,True,True,2,True,False,False,0.5,0.25,0.0,True,True
245,True,False,True,2,True,False,True,0.5,0.5,0.0,True,True
246,True,True,True,2,True,False,False,0.25,0.5,0.0,True,True
247,True,True,True,2,True,False,False,0.25,0.75,0.0,True,True
248,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
249,True,True,True,2,True,False,False,0.25,0.5,0.0,True,True
250,True,False,True,2,True,False,True,0.0,0.5,0.0,True,False
251,True,True,True,2,True,False,False,0.0,0.75,0.0,True,False
252,True,True,False,1,True,False,False,0.25,0.5,1.0,True,True
253,True,True,True,2,True,False,False,0.25,0.75,0.0,True,True
254,True,True,True,2,True,False,False,0.0,0.75,0.0,True,False
255,False,False,False,0,False,False,False,0.0,1.0,0.0,False,False
