variant_id,perturbation_family,perturbation_strength,threshold,condition,alpha,T,kappa,seed,p_viable,certified_path_mass_survival_to_final_segment,multi_step_transport_depth,transport_survival_mean,certified_transport_density,viable_propagation_index,component_A_preservation,component_B_preservation,lower_rank_erasure_score,singleton_fraction,certified_node_fraction,viable_fiber_fraction,macro_path_entropy,macro_node_entropy,breadth_index
noise_001,noise,moderate,main,coupled,0.525,2400,center_of_mass,79.5,0.998914375,0.7673679497823201,0.7677261138387486,0.9476494989969255,0.6375023210700823,0.33948533685383336,1.0,0.6956377383840712,0.15218113080796436,0.3288909805295003,0.7878180656217368,1.0,7.121125394133625,1.9024308693899161,0.535981318258746
noise_001,noise,moderate,main,independent_alpha0,0.45,900,center_of_mass,79.5,0.998865625,0.6437089633143616,0.6549907840972231,0.780718571943334,0.4791058009707555,0.20544738935314144,1.0,0.586357236533235,0.20682138173338244,0.30288371979938084,0.7164120375439538,1.0,5.942148919503283,1.9894253924230387,0.4472463914760212
noise_001,noise,moderate,main,independent_alpha0,0.45,1500,center_of_mass,79.5,0.998865625,0.655247697616182,0.6706655830709642,0.8488331151062125,0.47781297642813997,0.2114901601980986,1.0,0.557040370928784,0.22147981453560797,0.31743350378573376,0.7226102512411023,1.0,6.078178832095345,1.7374209143024928,0.45748492022515475
noise_001,noise,moderate,main,independent_alpha0,0.45,2400,center_of_mass,79.5,0.998865625,0.6727675302116245,0.6955385118338426,0.8996509460579057,0.445575308102154,0.2153205536463822,1.0,0.5538288632083557,0.2230855683958221,0.357623387234152,0.7125202391067851,1.0,5.918440705385935,1.4777717659467475,0.4454619422330685
noise_001,noise,moderate,main,independent_alpha0,0.5,900,center_of_mass,79.5,0.9989425000000001,0.643092689029297,0.6544707925331137,0.7803080153249338,0.4778366221843454,0.20324613060960908,1.0,0.585305783958098,0.20734710802095097,0.3080323850536605,0.7145186160867474,1.0,5.945342355563528,1.989555661245508,0.44748299915442047
noise_001,noise,moderate,main,independent_alpha0,0.5,1500,center_of_mass,79.5,0.9989425000000001,0.6542995095958907,0.6698091983580092,0.8485577779442975,0.4760253020124994,0.20994169393037287,1.0,0.5555371767627385,0.22223141161863072,0.3193837968537011,0.7206667052348463,1.0,6.083390224003159,1.7380243240978952,0.45787332835221106
noise_001,noise,moderate,main,independent_alpha0,0.5,2400,center_of_mass,79.5,0.9989425000000001,0.6718799739146999,0.6948615748997105,0.8994578759884533,0.4462429289427262,0.21476146089608225,1.0,0.5535542017084657,0.22322289914576712,0.3580079432813364,0.7111138575663982,1.0,5.924167715437259,1.4786341655454847,0.4458892686446987
noise_001,noise,moderate,main,independent_alpha0,0.525,900,center_of_mass,79.5,0.99885625,0.6433920919973339,0.6547027303750464,0.7802778226584848,0.47822456125158075,0.2040531901921073,1.0,0.5849054826692617,0.20754725866536913,0.3051665749046479,0.7154488311214784,1.0,5.94703549225355,1.9900976945907405,0.4476146410695708
noise_001,noise,moderate,main,independent_alpha0,0.525,1500,center_of_mass,79.5,0.99885625,0.6545918145870153,0.66995812918728,0.8483529894932371,0.4773457456146086,0.20974698874931552,1.0,0.555538794170114,0.222230602914943,0.3201362236399578,0.7223487373280868,1.0,6.0853925390141095,1.7386680032047412,0.45802833859041936
noise_001,noise,moderate,main,independent_alpha0,0.525,2400,center_of_mass,79.5,0.99885625,0.6722286998799183,0.6951640030963164,0.8993997820959079,0.4483972341443597,0.2148421994544126,1.0,0.5530132737911527,0.22349336310442358,0.3574285024998519,0.7137338989695732,1.0,5.924915671301958,1.4788739827500987,0.4459497544254054
