variant_id,perturbation_family,perturbation_strength,alpha,T,kappa,Delta_R,Delta_H_weighted_product,Delta_breadth_vs_product,Delta_breadth_vs_shuffled,macro_path_entropy,macro_node_entropy,breadth_index
noise_004,noise,mild,0.525,900,center_of_mass,0.13193028916397154,0.13389581299758468,0.010074845332652571,0.00992838712063171,6.62808290683366,2.1069106151719286,0.4988731084711596
noise_004,noise,mild,0.525,1500,center_of_mass,0.4488940009596565,0.4507857413951317,0.033951855308201995,0.03378507093513139,7.27371376232329,2.012026094230733,0.5474675304921705
noise_004,noise,mild,0.525,2400,center_of_mass,0.9554974470905906,0.9566768451311489,0.07207062686233978,0.07191535399139881,7.884912308605948,1.9549232111561463,0.5934703508572567
noise_005,noise,moderate,0.45,900,center_of_mass,0.11627494437489538,0.11615255550301917,0.00867613232202169,0.00874134211661437,8.147468417438558,2.1723086359968296,0.613228547230994
noise_005,noise,moderate,0.45,1500,center_of_mass,0.2817008223274744,0.2830699429579724,0.02124648670545759,0.021191477816000726,8.971801040146891,2.1030509030603866,0.6752728843737899
noise_005,noise,moderate,0.45,2400,center_of_mass,0.5475803513643971,0.5500189331567658,0.041355219819437794,0.04120256639732944,9.74591269201682,2.0768097658008142,0.7335372952707453
noise_005,noise,moderate,0.5,900,center_of_mass,0.12000453563017999,0.12109888886950237,0.009009757564938048,0.009026194417661393,8.15337546652336,2.1773023912033933,0.6136757273550748
noise_005,noise,moderate,0.5,1500,center_of_mass,0.28793922817659734,0.29174097157676293,0.021858052633477953,0.021665541059181836,8.983056964869089,2.116267156339788,0.6761229201432972
noise_005,noise,moderate,0.5,2400,center_of_mass,0.5602951779387269,0.5663462508629475,0.04254206864338883,0.04216441349421263,9.764098322057379,2.0999485775426328,0.7349091403642968
noise_005,noise,moderate,0.525,900,center_of_mass,0.1269777945373196,0.12758391093364807,0.009552507638825203,0.009551184772342958,8.160650912647181,2.1828531869482415,0.6142232560020588
noise_005,noise,moderate,0.525,1500,center_of_mass,0.29912649238100997,0.30428837785253116,0.022862027602711055,0.022507704883152457,8.993497858053605,2.1256117514309723,0.6769086827389129
noise_005,noise,moderate,0.525,2400,center_of_mass,0.579950811165622,0.5812536263903425,0.04372722860840128,0.04364397590296487,9.778981001229043,2.113257884700811,0.7360292146672428
noise_006,noise,mild,0.45,900,center_of_mass,0.11424855232114428,0.11349908817961918,0.008559826620184396,0.008595142119533494,7.660141087589333,2.143596476799279,0.5765537183620959
noise_006,noise,mild,0.45,1500,center_of_mass,0.29849134324566684,0.29899110933782325,0.02253755743999364,0.022462185807712753,8.428007951534475,2.060303084014703,0.6343485483585563
noise_006,noise,mild,0.45,2400,center_of_mass,0.6047610555153309,0.6071274508132198,0.045756569330617114,0.04551387555334707,9.160944368394455,2.0194430325795003,0.6895142620848685
noise_006,noise,mild,0.5,900,center_of_mass,0.12840348556005754,0.12724540313842692,0.009537718078096669,0.00966381465694377,7.673009293329261,2.1513289607341037,0.5775221896950246
noise_006,noise,mild,0.5,1500,center_of_mass,0.3179522992056505,0.3174083359520523,0.023862892466062213,0.023930479659201698,8.449437497444169,2.076715233682039,0.6359613911559484
noise_006,noise,mild,0.5,2400,center_of_mass,0.6327189112749902,0.6361789392647328,0.04787992680346642,0.047621879639565545,9.192350373372625,2.0462321727007664,0.6918779967211621
noise_006,noise,mild,0.525,900,center_of_mass,0.1275323325211657,0.13291997352887996,0.009976973240646059,0.00959738802928134,7.673681534911571,2.1536822126789383,0.5775716946527245
noise_006,noise,mild,0.525,1500,center_of_mass,0.32235382820236325,0.32821380246398313,0.02468941145855974,0.024260812367691176,8.452633839994203,2.083198194767395,0.6362007629375678
noise_006,noise,mild,0.525,2400,center_of_mass,0.6430208674907316,0.6461373302718609,0.04864278964937241,0.04839623308113594,9.20095936102027,2.0574560815715777,0.6925246567412053
noise_007,noise,moderate,0.45,900,center_of_mass,0.10016828905695352,0.09871938666913316,0.007429338995294632,0.00753958170277419,6.04743538505867,2.073325410331468,0.4551686436656059
noise_007,noise,moderate,0.45,1500,center_of_mass,0.5170937906863511,0.5197349963349511,0.03915196670083354,0.03892007167999284,6.599931616347192,1.9532232364730853,0.49675304051869534
noise_007,noise,moderate,0.45,2400,center_of_mass,1.2029569886291505,1.203119779592713,0.09064411172282916,0.09054250945328196,7.126867582251114,1.8653609307325225,0.5364136112369046
noise_007,noise,moderate,0.5,900,center_of_mass,0.11219938752347947,0.11590788605135494,0.00875728788386182,0.008444668292622803,6.059238299938694,2.0805709386021167,0.4560582910636268
noise_007,noise,moderate,0.5,1500,center_of_mass,0.539345406545082,0.544265410932697,0.04103480449088398,0.04059450684173915,6.625413085512589,1.9713467463831722,0.4986723524747013
noise_007,noise,moderate,0.5,2400,center_of_mass,1.195897991200428,1.1985345673991432,0.09033368976921569,0.09001099355563058,7.119789991083577,1.8904908115845696,0.5358824238199175
noise_007,noise,moderate,0.525,900,center_of_mass,0.12093464964784228,0.12308684919001589,0.009291082066560652,0.009102242015546547,6.0664720726532675,2.084854096444027,0.4566026362365556
noise_007,noise,moderate,0.525,1500,center_of_mass,0.5533774952242911,0.5608079739733363,0.04227387683360623,0.04165074296821897,6.638140410488854,1.9801230874573394,0.49963016947838323
noise_007,noise,moderate,0.525,2400,center_of_mass,1.1944557966244878,1.196130701838623,0.09014522224495686,0.0899025228219072,7.119059813709979,1.9027757217142305,0.5358273313265894
noise_008,noise,mild,0.45,900,center_of_mass,0.1048066879472529,0.11300365950585789,0.008502113521475119,0.00789042972336268,6.604654971696755,2.0931544745208845,0.4971105422664809
noise_008,noise,mild,0.45,1500,center_of_mass,0.40371983985476145,0.40507400286587103,0.03050937044298585,0.030388723368158455,7.230121062670191,1.9834523640075492,0.5441873113525909
noise_008,noise,mild,0.45,2400,center_of_mass,0.9173173554654674,0.9197012055347784,0.06928704121204843,0.06904553574523487,7.849682063227251,1.9124009277448522,0.5908196120636955
noise_008,noise,mild,0.5,900,center_of_mass,0.11926603270115876,0.1204215850113064,0.009011199870203157,0.008974664567849566,6.619931650246967,2.1018059524518926,0.4982569406480626
noise_008,noise,mild,0.5,1500,center_of_mass,0.43455129739457465,0.43565979084912954,0.032760060904906574,0.03270487928063226,7.26132298412428,2.002033813834208,0.5465320066585089
noise_008,noise,mild,0.5,2400,center_of_mass,0.9463389489705021,0.9458262486353668,0.07119819220168944,0.07122516557305325,7.872738342989673,1.9401694853848988,0.5925509183763381
noise_008,noise,mild,0.525,900,center_of_mass,0.12615192951398235,0.12931535918550097,0.009752904469750912,0.009495705032964541,6.623453261014672,2.1058781421824397,0.4985254216529668
noise_008,noise,mild,0.525,1500,center_of_mass,0.44074241086799226,0.4430502418141957,0.03339373074369001,0.033173929222190424,7.268028543046547,2.0105096800291613,0.5470404768579359
noise_008,noise,mild,0.525,2400,center_of_mass,0.945708042257027,0.9488711538861505,0.07150819460905045,0.07118103229309114,7.876896073595685,1.9528963923013212,0.5928679177839679
noise_009,noise,moderate,0.45,900,center_of_mass,0.11386970586315037,0.11376864198749281,0.00853529260231689,0.008567721575303944,8.145577565982437,2.171140988034783,0.6130904845341972
noise_009,noise,moderate,0.45,1500,center_of_mass,0.28159435894948714,0.28261178830595135,0.021254759314269456,0.021191566836910702,8.972224139291052,2.1022072960223896,0.6753094181553417
noise_009,noise,moderate,0.45,2400,center_of_mass,0.5453868035162852,0.5390069445430967,0.04057204075399823,0.04104616247607351,9.74171556246399,2.0760944066245974,0.7332264731882397
noise_009,noise,moderate,0.5,900,center_of_mass,0.12013874056623308,0.12501848436089702,0.009355019055796276,0.00903826308417055,8.154791208485488,2.1787179150314624,0.6137821679907698
