kappa,split,label,fiber_size,future_viable_mean,future_transport_depth_mean,future_viable_variance,future_path_survival_variance,future_transport_depth_variance
predictive_kmeans_no_COM_k13,validation,3,84111,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_no_COM_k13,validation,4,9621,1.0,1.0,0.0,0.004204207099974155,0.0
predictive_kmeans_no_COM_k13,validation,5,970,0.0,0.0,0.0,0.10764151811599731,0.0
predictive_kmeans_no_COM_k13,validation,6,73773,1.0,1.0,0.0,3.4615079584909836e-06,0.0
predictive_kmeans_no_COM_k13,validation,7,93270,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_no_COM_k13,validation,8,49784,1.0,1.0,0.0,1.1037133873514904e-08,0.0
predictive_kmeans_no_COM_k13,validation,9,3922,1.0,1.0,0.0,0.012148135341703892,0.0
predictive_kmeans_no_COM_k13,validation,10,39588,1.0,1.0,0.0,0.00026485853595659137,0.0
predictive_kmeans_no_COM_k13,validation,11,82354,1.0,1.0,0.0,8.108511195814572e-09,0.0
predictive_kmeans_no_COM_k13,validation,12,175095,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k5,test,0,132053,1.0,1.0,0.0,1.5984511492206366e-06,0.0
predictive_kmeans_k5,test,1,254758,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k5,test,2,928,0.0,0.0,0.0,0.10192187130451202,0.0
predictive_kmeans_k5,test,3,377816,1.0,1.0,0.0,2.237071505817312e-08,0.0
predictive_kmeans_k5,test,4,98445,1.0,1.0,0.0,0.01027087401598692,0.0
predictive_kmeans_k8,test,0,214857,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k8,test,1,66413,1.0,1.0,0.0,0.0006997665041126311,0.0
predictive_kmeans_k8,test,2,928,0.0,0.0,0.0,0.10192187130451202,0.0
predictive_kmeans_k8,test,3,371921,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k8,test,4,66060,1.0,1.0,0.0,2.3228943746289588e-07,0.0
predictive_kmeans_k8,test,5,39827,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k8,test,6,94519,1.0,1.0,0.0,2.949376721517183e-06,0.0
predictive_kmeans_k8,test,7,9475,1.0,1.0,0.0,0.01910102181136608,0.0
predictive_kmeans_k13,test,0,94506,1.0,1.0,0.0,1.6169287846423686e-06,0.0
predictive_kmeans_k13,test,1,294841,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k13,test,2,43266,1.0,1.0,0.0,0.00019376045383978635,0.0
predictive_kmeans_k13,test,3,928,0.0,0.0,0.0,0.10192187130451202,0.0
predictive_kmeans_k13,test,4,153273,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k13,test,5,37540,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k13,test,6,3905,1.0,1.0,0.0,0.012125668115913868,0.0
predictive_kmeans_k13,test,7,53697,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k13,test,8,9119,1.0,1.0,0.0,0.004220683127641678,0.0
predictive_kmeans_k13,test,9,2287,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k13,test,10,44076,1.0,1.0,0.0,1.5815282949915854e-07,0.0
predictive_kmeans_k13,test,11,80423,1.0,1.0,0.0,1.0413372564244128e-07,0.0
predictive_kmeans_k13,test,12,46139,1.0,1.0,0.0,6.016665793140419e-06,0.0
predictive_kmeans_k21,test,0,17394,1.0,1.0,0.0,1.991403587453533e-05,0.0
predictive_kmeans_k21,test,1,120822,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k21,test,2,26353,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k21,test,3,35429,1.0,1.0,0.0,0.0,0.0
