alpha,T,kappa,Delta_R,Delta_p_viable_product,Delta_H_cond_product,Delta_H_weighted_product,Delta_H_recovery_product,strict_certified_mass_advantage,certified_transport_density_advantage,singleton_fraction,component_A_preservation,component_B_preservation,lower_rank_erasure_score,horizon_stability_score,estimator_warning,category
0.4,1500,boundary_v2_regime_sequence,1.9058339810706961,5e-05,-10.024515648407506,-10.012248966554546,-10.024099567193334,-1.25e-05,-0.26629129129129125,0.3010159632034632,1.0,1.0,0.0,0.8052943420763532,,Entropy-only / pseudo-risk
0.4,1500,center_of_mass,-0.27997571003933686,5e-05,-4.744580483509424,-4.738470556223629,-4.744918231776575,-1.25e-05,0.046684184184184144,0.48033216572768406,1.0,0.7319557115581187,0.1340221442209406,0.8154034033280135,,Profile-consistent bundle candidate
0.4,1500,identity_like_diagnostic,0.0,5e-05,-1.6309055869211146,-1.6283977575131687,-1.634461520022087,-1.25e-05,0.0,1.0,0.7977254908891475,0.5031770436079814,0.34954873275143555,0.5977800855900421,HIGH_SINGLETON_FRACTION,Inconclusive
0.4,1500,joint_basin,-3.7392067153776916,5e-05,-6.825610507305429,-6.817072405796845,-6.828170605415288,-1.25e-05,0.4592217217217217,0.4563230037609613,1.0,1.0,0.0,0.8649090185193595,,Profile-consistent bundle candidate
0.4,1500,random_kappa_matched,-0.038543750670477266,5e-05,-3.840095993401847,-3.8350213215140885,-3.844986801067774,-1.25e-05,0.0007382382382382213,0.08456203025070752,1.0,0.6465212061638905,0.17673939691805474,0.6727670016244485,,Profile-consistent bundle candidate
0.4,1500,relative_distance,0.09401608871760384,5e-05,-1.947864601478273,-1.9449847740389008,-1.9510735365478193,-1.25e-05,-6.2562562562555e-05,0.8673569950724757,0.8239360252217708,0.5197130273566412,0.32817547371079403,0.6476246633950173,HIGH_SINGLETON_FRACTION,Inconclusive
0.4,2400,all_one_diagnostic,-1.8241478547810015e-05,5e-05,-14.49109548211199,-14.473497632847332,-14.49481331208382,-1.25e-05,0.0,0.0,1.0,1.0,0.0,0.8876450174709387,,Stabilizing coupling
0.4,2400,basin_transition_profile,-2.665603489655069,5e-05,-11.113206769207961,-11.099538607208938,-11.11628847821048,-1.25e-05,0.20635635635635632,0.2284701181283606,1.0,1.0,0.0,0.8409420744362703,,Profile-consistent bundle candidate
0.4,2400,boundary_v2_regime_sequence,3.3390463083247823,5e-05,-12.919315165386525,-12.903540689891589,-12.917382971122828,-1.25e-05,-0.5282532532532532,0.3128409090909091,1.0,1.0,0.0,0.8052943420763532,,Entropy-only / pseudo-risk
0.4,2400,center_of_mass,-0.5585367222285784,5e-05,-5.870846644373153,-5.863285839125227,-5.871525718320374,-1.25e-05,0.02479979979979975,0.7273591783648937,1.0,0.7493056091029985,0.12534719544850076,0.8154034033280135,HIGH_SINGLETON_FRACTION,Inconclusive
0.4,2400,identity_like_diagnostic,0.0,5e-05,-4.5269904536418055,-4.520973584320365,-4.529029027421734,-1.25e-05,0.0,1.0,0.9538711637639352,0.6482184013904748,0.19895521742279493,0.5977800855900421,HIGH_SINGLETON_FRACTION,Inconclusive
0.4,2400,joint_basin,-5.7564277738418514,5e-05,-7.685048837914151,-7.6753719666281155,-7.685386016421345,-1.25e-05,0.7942567567567568,0.684776127240559,1.0,0.9491190734396966,0.025440463280151603,0.8649090185193595,HIGH_SINGLETON_FRACTION,Inconclusive
0.4,2400,random_kappa_matched,0.0007531423537686726,5e-05,-6.714267219411056,-6.705708780203297,-6.717804032333097,-1.25e-05,2.5025025025015028e-05,0.07717635457436245,1.0,0.8305334914442304,0.08473325427788475,0.6727670016244485,,Profile-consistent bundle candidate
0.4,2400,relative_distance,0.0065042261404927625,5e-05,-4.541001085002753,-4.534967945258135,-4.543023388359504,-1.25e-05,0.0,0.9931124450067917,0.9552146899616212,0.6491315514127023,0.1978268793128383,0.6476246633950173,HIGH_SINGLETON_FRACTION,Inconclusive
0.4,3600,all_one_diagnostic,-1.8241478547810015e-05,5e-05,-16.945816116083396,-16.925248344789075,-16.948456627855016,-1.25e-05,0.0,0.0,1.0,1.0,0.0,0.8876450174709387,,Stabilizing coupling
0.4,3600,basin_transition_profile,-2.940838884128777,5e-05,-13.29870684678588,-13.282371899809425,-13.300648322601983,-1.25e-05,0.2594094094094094,0.25827755231166266,1.0,1.0,0.0,0.8409420744362703,,Profile-consistent bundle candidate
0.4,3600,boundary_v2_regime_sequence,4.830876404948949,5e-05,-15.372865589947386,-15.3541222938476,-15.369857178908296,-1.25e-05,-0.7577577577577578,0.3211521464646464,1.0,1.0,0.0,0.8052943420763532,,Entropy-only / pseudo-risk
0.4,3600,center_of_mass,-0.5093288860717106,5e-05,-7.3026323571718805,-7.29327368826836,-7.303246735199186,-1.25e-05,0.0033783783783783287,0.913014543792157,1.0,0.8087712272071735,0.09561438639641318,0.8154034033280135,HIGH_SINGLETON_FRACTION,Inconclusive
0.4,3600,identity_like_diagnostic,0.0,5e-05,-6.981711087613212,-6.972724296262105,-6.982672343192931,-1.25e-05,0.0,1.0,0.9953792396764202,0.782717157612803,0.11095180135538832,0.5977800855900421,HIGH_SINGLETON_FRACTION,Inconclusive
0.4,3600,joint_basin,-6.867309114279999,5e-05,-9.02663568979035,-9.01528214367291,-9.025924514183181,-1.25e-05,0.8862487487487487,0.8552184850915451,1.0,0.9833267019833549,0.008336649008322459,0.8649090185193595,HIGH_SINGLETON_FRACTION,Inconclusive
0.4,3600,random_kappa_matched,-0.004414081253827483,5e-05,-9.165715127002157,-9.154189864983795,-9.168034083210419,-1.25e-05,-0.00020020020020019877,0.07471538794356496,1.0,0.9961728582987653,0.001913570850617312,0.6727670016244485,,Stabilizing coupling
0.4,3600,relative_distance,-7.522547612787999e-05,5e-05,-6.981836187763461,-6.972849296262105,-6.982797343192931,-1.25e-05,0.0,0.999937387261936,0.9953917347972838,0.7827270405103285,0.11094061234619379,0.6476246633950173,HIGH_SINGLETON_FRACTION,Inconclusive
0.45,900,all_one_diagnostic,1.8205847116377492e-05,7.500000000000001e-05,-8.980588964883072,-8.969677298352014,-8.986865703003149,1.25e-05,0.0,0.0,1.0,1.0,0.0,0.8876450174709387,,Profile-consistent bundle candidate
0.45,900,basin_transition_profile,-1.6771062841053355,7.500000000000001e-05,-6.504612074216072,-6.496507596095512,-6.510405786339653,1.25e-05,0.0664664664664664,0.21185154703827305,1.0,1.0,0.0,0.8429808383503825,,Profile-consistent bundle candidate
0.45,900,boundary_v2_regime_sequence,1.016292361072458,7.500000000000001e-05,-7.522559733724127,-7.513302601686947,-7.523707108877372,1.25e-05,-0.0991366366366366,0.26319940476190473,1.0,1.0,0.0,0.8080806436260008,,Profile-consistent bundle candidate
0.45,900,center_of_mass,-0.10997583371938069,7.500000000000001e-05,-3.7394726274292425,-3.734524357378715,-3.7397750297892594,1.25e-05,0.024286786786786748,0.2808929483521746,1.0,0.7303006249733703,0.13484968751331478,0.8158440268898332,,Profile-consistent bundle candidate
0.45,900,identity_like_diagnostic,0.00024999979833984247,7.500000000000001e-05,0.9829268844333867,0.9825065828301955,0.9782935816589386,1.25e-05,0.0,0.9996867729180237,0.6085239078876536,0.3841208544005942,0.5036776188558761,0.5977763858093146,HIGH_SINGLETON_FRACTION,Inconclusive
0.45,900,joint_basin,-2.269298758976811,7.500000000000001e-05,-5.742951817011017,-5.735712697355195,-5.74727300423409,1.25e-05,0.15670670670670667,0.34595864006785637,1.0,1.0,0.0,0.8537864328999178,,Profile-consistent bundle candidate
0.45,900,random_kappa_matched,0.06696853387420382,7.500000000000001e-05,-1.5045269094908822,-1.5021210200195765,-1.5093342604045472,1.25e-05,-0.0026901901901901773,0.16371172034038778,0.8110046298531852,0.5119317998897114,0.33853178512855164,0.6707991388365242,,Profile-consistent bundle candidate
0.45,900,relative_distance,0.28983859739815065,7.500000000000001e-05,-0.6803295194802572,-0.6788579904059672,-0.6831459915772247,1.25e-05,-0.0024774774774774713,0.5380716669755596,0.7304741184051924,0.46109857241812585,0.4042136545883409,0.6492513979446435,,Profile-consistent bundle candidate
0.45,1500,all_one_diagnostic,1.8205847116377492e-05,7.500000000000001e-05,-11.595010615391299,-11.580921806040136,-11.600245804684175,1.25e-05,0.0,0.0,1.0,1.0,0.0,0.8876450174709387,,Profile-consistent bundle candidate
0.45,1500,basin_transition_profile,-2.3871633388329485,7.500000000000001e-05,-8.458398015433719,-8.447873850507872,-8.463020854768214,1.25e-05,0.15121371371371367,0.21810992947258936,1.0,1.0,0.0,0.8429808383503825,,Profile-consistent bundle candidate
0.45,1500,boundary_v2_regime_sequence,2.017151153094824,7.500000000000001e-05,-10.13579637310597,-10.12336322564075,-10.135903326824078,1.25e-05,-0.26838088088088086,0.2838893398268398,1.0,1.0,0.0,0.8080806436260008,,Profile-consistent bundle candidate
0.45,1500,center_of_mass,-0.29953733235582336,7.500000000000001e-05,-4.724982413867273,-4.71870725192501,-4.725459155370502,1.25e-05,0.053265765765765714,0.4742599727738003,1.0,0.7586545487336345,0.12067272563318272,0.8158440268898332,,Profile-consistent bundle candidate
0.45,1500,identity_like_diagnostic,0.0,7.500000000000001e-05,-1.6308691395954504,-1.6281129248579274,-1.634461520022087,1.25e-05,0.0,1.0,0.8072471508458227,0.5230364861220675,0.3348581815160549,0.5977763858093146,HIGH_SINGLETON_FRACTION,Inconclusive
0.45,1500,joint_basin,-4.24746950313811,7.500000000000001e-05,-6.317311272219347,-6.309218821117763,-6.320004354230249,1.25e-05,0.5667917917917917,0.4616017577471478,1.0,0.9855424815984538,0.007228759200773036,0.8537864328999178,,Profile-consistent bundle candidate
0.45,1500,random_kappa_matched,-0.04496111019219683,7.500000000000001e-05,-3.8336421865544628,-3.8283784851612417,-3.8384110302958403,1.25e-05,0.0012512512512512437,0.08037917122202123,1.0,0.6714842932301324,0.16425785338493376,0.6707991388365242,,Profile-consistent bundle candidate
0.45,1500,relative_distance,0.1102040141025101,7.500000000000001e-05,-1.9640160795375148,-1.960879774603723,-1.967228369767883,1.25e-05,1.2522535092207577e-18,0.8636233120913575,0.8351761348210424,0.5411266903663191,0.31184858740631927,0.6492513979446435,HIGH_SINGLETON_FRACTION,Inconclusive
0.45,2400,all_one_diagnostic,1.8205847116377492e-05,7.500000000000001e-05,-14.49109548211199,-14.473497632847332,-14.49481331208382,1.25e-05,0.0,0.0,1.0,1.0,0.0,0.8876450174709387,,Profile-consistent bundle candidate
0.45,2400,basin_transition_profile,-2.687621998424637,7.500000000000001e-05,-11.09115181311273,-11.077411284697199,-11.094023723062351,1.25e-05,0.2157407407407407,0.22093027002772742,1.0,1.0,0.0,0.8429808383503825,,Profile-consistent bundle candidate
0.45,2400,boundary_v2_regime_sequence,3.4504705075824575,7.500000000000001e-05,-13.030702917318536,-13.014761661657516,-13.029293443433295,1.25e-05,-0.5303553553553554,0.2946135461760461,1.0,1.0,0.0,0.8080806436260008,,Profile-consistent bundle candidate
0.45,2400,center_of_mass,-0.5799840431577648,7.500000000000001e-05,-5.8493628761183025,-5.841591844837858,-5.850041556688245,1.25e-05,0.025613113113113067,0.7283836489325591,1.0,0.7704061819548704,0.11479690902256472,0.8158440268898332,HIGH_SINGLETON_FRACTION,Inconclusive
0.45,2400,identity_like_diagnostic,0.0,7.500000000000001e-05,-4.526954006316141,-4.520688751665124,-4.529029027421734,1.25e-05,0.0,1.0,0.9537823187616201,0.6681439503073588,0.1890368654655105,0.5977763858093146,HIGH_SINGLETON_FRACTION,Inconclusive
0.45,2400,joint_basin,-5.927574311839974,7.500000000000001e-05,-7.513865852590364,-7.504197272482246,-7.513725066508002,1.25e-05,0.8035410410410411,0.7303503254183019,1.0,0.9542472478129719,0.02287637609351404,0.8537864328999178,HIGH_SINGLETON_FRACTION,Inconclusive
0.45,2400,random_kappa_matched,-5.81480111995763e-05,7.500000000000001e-05,-6.713419481720424,-6.704666499140951,-6.716803673525476,1.25e-05,0.0005755755755755762,0.07567518662408784,1.0,0.8559800193567686,0.07200999032161569,0.6707991388365242,,Profile-consistent bundle candidate
0.45,2400,relative_distance,0.00698778137856442,7.500000000000001e-05,-4.54144819291516,-4.535167548696671,-4.543507824453281,1.25e-05,0.0,0.9928848801107101,0.9551720313574081,0.669116525188432,0.18785572172707987,0.6492513979446435,HIGH_SINGLETON_FRACTION,Inconclusive
0.45,3600,all_one_diagnostic,1.8205847116377492e-05,7.500000000000001e-05,-16.945816116083396,-16.925248344789075,-16.948456627855016,1.25e-05,0.0,0.0,1.0,1.0,0.0,0.8876450174709387,,Profile-consistent bundle candidate
0.45,3600,basin_transition_profile,-2.8681117793994857,7.500000000000001e-05,-13.371397504189506,-13.35488739382556,-13.373614049206415,1.25e-05,0.246534034034034,0.27081982431973556,1.0,1.0,0.0,0.8429808383503825,,Profile-consistent bundle candidate
0.45,3600,boundary_v2_regime_sequence,4.940520602481472,7.500000000000001e-05,-15.482473340154247,-15.46356528448344,-15.479989670088676,1.25e-05,-0.759471971971972,0.317072268009768,1.0,1.0,0.0,0.8080806436260008,,Profile-consistent bundle candidate
0.45,3600,center_of_mass,-0.5139425261509929,7.500000000000001e-05,-7.297982269766933,-7.288389963177181,-7.2986478427632475,1.25e-05,0.0033283283283282823,0.913219943368131,1.0,0.8225094110793595,0.08874529446032024,0.8158440268898332,HIGH_SINGLETON_FRACTION,Inconclusive
0.45,3600,identity_like_diagnostic,0.0,7.500000000000001e-05,-6.981674640287548,-6.972439463606864,-6.982672343192931,1.25e-05,0.0,1.0,0.9937755611061252,0.7963973634003316,0.10491353774677155,0.5977763858093146,HIGH_SINGLETON_FRACTION,Inconclusive
0.45,3600,joint_basin,-6.654240031401348,7.500000000000001e-05,-9.239668325343334,-9.227858859618522,-9.238635980827798,1.25e-05,0.8646771771771771,0.8552171870486127,1.0,0.999910653362486,4.4673318757025e-05,0.8537864328999178,HIGH_SINGLETON_FRACTION,Inconclusive
0.45,3600,random_kappa_matched,-0.00047053563530909863,7.500000000000001e-05,-9.169622225295011,-9.15789651313784,-9.172077017339294,1.25e-05,-6.256256256256e-05,0.07745937689197979,1.0,0.9997184855839899,0.00014075720800506842,0.6707991388365242,,Profile-consistent bundle candidate
0.45,3600,relative_distance,-5.0250501152905e-05,7.500000000000001e-05,-6.981824715412773,-6.972589463606863,-6.9828223431929315,1.25e-05,0.0,0.9999248872870112,0.9937905232694055,0.7964093682265758,0.10490005425200932,0.6492513979446435,HIGH_SINGLETON_FRACTION,Inconclusive
0.5,900,all_one_diagnostic,-7.22429050492775e-05,1.25e-05,-8.980588964883072,-8.969677298352014,-8.986865703003149,-5e-05,0.0,0.0,1.0,1.0,0.0,0.8876450174709387,,Stabilizing coupling
0.5,900,basin_transition_profile,-1.8474172174884522,1.25e-05,-6.334391589585121,-6.326649315269732,-6.340585648206904,-5e-05,0.07797797797797791,0.1970220832551521,1.0,1.0,0.0,0.8445847315987048,,Profile-consistent bundle candidate
0.5,900,boundary_v2_regime_sequence,1.1187699792911334,1.25e-05,-7.625127800694969,-7.615840082394627,-7.626112489686632,-5e-05,-0.09796046046046042,0.23298611111111106,1.0,1.0,0.0,0.8105566037876564,,Entropy-only / pseudo-risk
0.5,900,center_of_mass,-0.12100251673517318,1.25e-05,-3.728536393165615,-3.723917350995479,-3.728453015719823,-5e-05,0.02743993993993991,0.28242543837224715,1.0,0.7484741270015454,0.12576293649922726,0.8170221545076807,,Profile-consistent bundle candidate
0.5,900,identity_like_diagnostic,0.00012492452190763454,1.25e-05,0.9829615109576532,0.9819188327890724,0.9784185816589386,-5e-05,0.0,0.9997494232939255,0.6142889747367216,0.3945292024143156,0.4955909114244813,0.597782017336639,HIGH_SINGLETON_FRACTION,Inconclusive
0.5,900,joint_basin,-2.6130892346931596,1.25e-05,-5.399251790046835,-5.3926322671020115,-5.404040659908085,-5e-05,0.1946196196196196,0.3383259249496615,1.0,1.0,0.0,0.8461816421773067,,Profile-consistent bundle candidate
0.5,900,random_kappa_matched,0.06572773995205398,1.25e-05,-1.5033765643208976,-1.5014340426525972,-1.5083985454232924,-5e-05,-0.002364864864864857,0.1673977394736881,0.8185687881792424,0.5257207860724576,0.32785521287415,0.6729077011362528,,Entropy-only / pseudo-risk
0.5,900,relative_distance,0.32374975797978356,1.25e-05,-0.7143311288140557,-0.7133161319563309,-0.7169008191802425,-5e-05,-0.0029654654654654423,0.5415793645945203,0.7404435922760915,0.4755478698512888,0.3920042689363098,0.6513501680644614,,Entropy-only / pseudo-risk
0.5,1500,all_one_diagnostic,-7.22429050492775e-05,1.25e-05,-11.595010615391299,-11.580921806040136,-11.600245804684175,-5e-05,0.0,0.0,1.0,1.0,0.0,0.8876450174709387,,Stabilizing coupling
0.5,1500,basin_transition_profile,-2.493034812366524,1.25e-05,-8.352616990652308,-8.342414302462071,-8.356732113976516,-5e-05,0.16727977977977973,0.20670831898266667,1.0,1.0,0.0,0.8445847315987048,,Profile-consistent bundle candidate
0.5,1500,boundary_v2_regime_sequence,2.1191989273690117,1.25e-05,-10.237934596132323,-10.225471169563992,-10.237879170848899,-5e-05,-0.2671296296296296,0.2511598124098124,1.0,1.0,0.0,0.8105566037876564,,Entropy-only / pseudo-risk
0.5,1500,center_of_mass,-0.31733914644527916,1.25e-05,-4.707271048529982,-4.701444219279563,-4.7075300644026,-5e-05,0.055805805805805776,0.47442260074263487,1.0,0.7872386286446622,0.10638068567766885,0.8170221545076807,,Profile-consistent bundle candidate
0.5,1500,identity_like_diagnostic,0.0,1.25e-05,-1.6309595883476162,-1.6288256748990506,-1.634461520022087,-5e-05,0.0,1.0,0.8094815814586422,0.5441665019086495,0.32317595831635415,0.597782017336639,HIGH_SINGLETON_FRACTION,Inconclusive
0.5,1500,joint_basin,-4.593779913930703,1.25e-05,-5.9710913101789185,-5.963744450145576,-5.974002982608777,-5e-05,0.642505005005005,0.44766963564946793,1.0,0.9641799983654533,0.01791000081727331,0.8461816421773067,,Profile-consistent bundle candidate
0.5,1500,random_kappa_matched,-0.04167121105983862,1.25e-05,-3.8370225344389866,-3.8322413787746057,-3.841922652147928,-5e-05,0.00106356356356354,0.08474805536774196,1.0,0.6989058758505678,0.15054706207471605,0.6729077011362528,,Profile-consistent bundle candidate
0.5,1500,relative_distance,0.12758633793826607,1.25e-05,-1.9814888521254364,-1.978926861578946,-1.9845877067019828,-5e-05,-6.256256256255625e-05,0.8580698094826886,0.8390060887273147,0.564011266193221,0.29849132253973204,0.6513501680644614,HIGH_SINGLETON_FRACTION,Inconclusive
0.5,2400,all_one_diagnostic,-7.22429050492775e-05,1.25e-05,-14.49109548211199,-14.473497632847332,-14.49481331208382,-5e-05,0.0,0.0,1.0,1.0,0.0,0.8876450174709387,,Stabilizing coupling
0.5,2400,basin_transition_profile,-2.684701519890767,1.25e-05,-11.094162740398765,-11.080641081186856,-11.096529862124202,-5e-05,0.21072322322322318,0.21844500571654107,1.0,1.0,0.0,0.8445847315987048,,Profile-consistent bundle candidate
0.5,2400,boundary_v2_regime_sequence,3.551621537381501,1.25e-05,-13.131944395869747,-13.115974469626078,-13.130374151503437,-5e-05,-0.5289414414414415,0.2726501623376623,1.0,1.0,0.0,0.8105566037876564,,Entropy-only / pseudo-risk
0.5,2400,center_of_mass,-0.5957380195189274,1.25e-05,-5.833699348509305,-5.826486606090631,-5.834189131806118,-5e-05,0.025825825825825773,0.7271875459888226,1.0,0.7978514188697954,0.10107429056510227,0.8170221545076807,HIGH_SINGLETON_FRACTION,Inconclusive
0.5,2400,identity_like_diagnostic,0.0,1.25e-05,-4.527044455068307,-4.521401501706246,-4.529029027421734,-5e-05,0.0,1.0,0.9482159485141983,0.6931977195371589,0.17929316597432138,0.597782017336639,HIGH_SINGLETON_FRACTION,Inconclusive
0.5,2400,joint_basin,-5.959911450686507,1.25e-05,-7.481619162495997,-7.472427592006187,-7.48095074143698,-5e-05,0.8024024024024025,0.7591788541060942,1.0,0.984359283993828,0.007820358003085979,0.8461816421773067,HIGH_SINGLETON_FRACTION,Inconclusive
0.5,2400,random_kappa_matched,0.0018560071959365539,1.25e-05,-6.715424085679724,-6.707157049184924,-6.718974641815724,-5e-05,0.00040040040040039874,0.07656213097350101,1.0,0.8882915500269531,0.055854224986523385,0.6729077011362528,,Profile-consistent bundle candidate
0.5,2400,relative_distance,0.009562457741476951,1.25e-05,-4.544113318030238,-4.538449170925348,-4.546076696640835,-5e-05,0.0,0.9916478133550569,0.9498436306291322,0.6943875646130959,0.17788440237888584,0.6513501680644614,HIGH_SINGLETON_FRACTION,Inconclusive
0.5,3600,all_one_diagnostic,-7.22429050492775e-05,1.25e-05,-16.945816116083396,-16.925248344789075,-16.948456627855016,-5e-05,0.0,0.0,1.0,1.0,0.0,0.8876450174709387,,Stabilizing coupling
0.5,3600,basin_transition_profile,-2.8273962051967,1.25e-05,-13.412203527144456,-13.395870192049497,-13.414177683434534,-5e-05,0.23095595595595592,0.27015885670573814,1.0,1.0,0.0,0.8445847315987048,,Profile-consistent bundle candidate
0.5,3600,boundary_v2_regime_sequence,5.0405441710967285,1.25e-05,-15.58258735752167,-15.563652377293717,-15.579943760940058,-5e-05,-0.7578578578578579,0.3059659090909091,1.0,1.0,0.0,0.8105566037876564,,Entropy-only / pseudo-risk
0.5,3600,center_of_mass,-0.5264604686441114,1.25e-05,-7.285554776025981,-7.276578164424829,-7.286098293969774,-5e-05,0.0033783783783783313,0.9131293647061911,1.0,0.841705193858518,0.07914740307074095,0.8170221545076807,HIGH_SINGLETON_FRACTION,Inconclusive
0.5,3600,identity_like_diagnostic,0.0,1.25e-05,-6.981765089039714,-6.973152213647987,-6.982672343192931,-5e-05,0.0,1.0,0.9918236537545925,0.8160335439401724,0.0960714011526175,0.597782017336639,HIGH_SINGLETON_FRACTION,Inconclusive
0.5,3600,joint_basin,-6.550347414158042,1.25e-05,-9.343651391338806,-9.332202620272325,-9.342272217807981,-5e-05,0.8545920920920921,0.8463751362680251,1.0,1.0,0.0,0.8461816421773067,HIGH_SINGLETON_FRACTION,Inconclusive
0.5,3600,random_kappa_matched,-0.003981771935209502,1.25e-05,-9.166201437747276,-9.15496469462759,-9.168731774876868,-5e-05,-0.00033783783783783124,0.07454361132932733,1.0,1.0,0.0,0.6729077011362528,,Stabilizing coupling
0.5,3600,relative_distance,7.492477432296919e-05,1.25e-05,-6.982040339440414,-6.973427213647987,-6.982947343192931,-5e-05,0.0,0.999862211785557,0.9918510625993614,0.8160561175952303,0.09604640990270409,0.6513501680644614,HIGH_SINGLETON_FRACTION,Inconclusive
0.525,900,all_one_diagnostic,0.00025297818009062373,0.0002375,-8.980588964883072,-8.969677298352014,-8.986865703003149,0.000175,0.0,0.0,1.0,1.0,0.0,0.8876450174709387,,Profile-consistent bundle candidate
0.525,900,basin_transition_profile,-1.9172132772395334,0.0002375,-6.2642703087489,-6.256008970840101,-6.270668571554866,0.000175,0.08363363363363356,0.19791795659564704,1.0,1.0,0.0,0.8453829107517681,,Profile-consistent bundle candidate
0.525,900,boundary_v2_regime_sequence,1.1561873063287522,0.0002375,-7.662219906647448,-7.652593143008109,-7.664017458697925,0.000175,-0.0983358358358358,0.1819345238095238,1.0,1.0,0.0,0.8115054037195145,,Profile-consistent bundle candidate
0.525,900,center_of_mass,-0.13073249245869506,0.0002375,-3.7184811963569535,-3.712702376579931,-3.7197837259739863,0.000175,0.03113113113113109,0.286639658909205,1.0,0.7617100312080806,0.11914498439595969,0.8179481614352907,,Profile-consistent bundle candidate
0.525,900,identity_like_diagnostic,0.000175125174216115,0.0002375,0.9832365313904846,0.9844351267149317,0.9783685816589387,0.000175,0.0,0.9997242473894534,0.6175362612772195,0.40223640651979,0.4901136661014952,0.5977615356373887,HIGH_SINGLETON_FRACTION,Inconclusive
0.525,900,joint_basin,-2.7621897315886854,0.0002375,-5.249826072066169,-5.242552345103072,-5.255291030632426,0.000175,0.2169169169169169,0.34213507835428664,1.0,1.0,0.0,0.8435916613530992,,Profile-consistent bundle candidate
0.525,900,random_kappa_matched,0.07627668629454035,0.0002375,-1.5136002895782443,-1.5099750443218005,-1.5183690991564236,0.000175,-0.0022897897897897787,0.16393857877444967,0.8240493507484583,0.5367481139370442,0.3196012676572487,0.6715673528178252,,Profile-consistent bundle candidate
0.525,900,relative_distance,0.33614012887003575,0.0002375,-0.726396278619168,-0.7235377264366445,-0.7296542714926382,0.000175,-0.0030030030030029787,0.537459416472023,0.7454547273286568,0.4855636847143715,0.3844907939784858,0.6524163974783938,,Profile-consistent bundle candidate
0.525,1500,all_one_diagnostic,0.00025297818009062373,0.0002375,-11.595010615391299,-11.580921806040136,-11.600245804684175,0.000175,0.0,0.0,1.0,1.0,0.0,0.8876450174709387,,Profile-consistent bundle candidate
0.525,1500,basin_transition_profile,-2.5219415144791677,0.0002375,-8.323385067454526,-8.312492008771788,-8.327740594729448,0.000175,0.17254754754754748,0.20216545882233902,1.0,1.0,0.0,0.8453829107517681,,Profile-consistent bundle candidate
