alpha,T,kappa,metric,mean,std,se,ci_low,ci_high,n_seeds
0.4,1500,center_of_mass,Delta_H_cond_product,-4.744580483509424,0.14982766785384435,0.016751242511572798,-4.773681757229851,-4.713214474766607,80
0.4,1500,center_of_mass,Delta_H_weighted_product,-4.738470556223629,0.14792300350652363,0.016538294563826328,-4.772376922951691,-4.709102964064565,80
0.4,1500,center_of_mass,Delta_H_recovery_product,-4.744918231776575,0.15083316027567037,0.016863659981875993,-4.780219709098084,-4.710568686562752,80
0.4,1500,center_of_mass,strict_certified_mass_advantage,-1.250000000000001e-05,0.0016342361665626134,0.0001827131579861336,-0.00037593749999999997,0.0002759375000000003,80
0.4,1500,center_of_mass,certified_transport_density_advantage,0.046684184184184144,0.018909160983657983,0.0021141084678473017,0.04187750250250246,0.051063876376376306,80
0.4,1500,identity_like_diagnostic,Delta_R,0.0,0.0,0.0,0.0,0.0,80
0.4,1500,identity_like_diagnostic,Delta_p_viable_product,5e-05,0.0016906294236470822,0.0001890181158018083,-0.0003125,0.00045031250000000014,80
0.4,1500,identity_like_diagnostic,Delta_H_cond_product,-1.630905586921115,0.12956203826438642,0.014485476243129845,-1.6585120932278103,-1.6002847997387601,80
0.4,1500,identity_like_diagnostic,Delta_H_weighted_product,-1.6283977575131687,0.12830748873998116,0.014345213342244334,-1.6584071228986457,-1.6043147456980678,80
0.4,1500,identity_like_diagnostic,Delta_H_recovery_product,-1.634461520022087,0.1305289764208568,0.01459358321552515,-1.6620204403599041,-1.6062902290024272,80
0.4,1500,identity_like_diagnostic,strict_certified_mass_advantage,-1.250000000000001e-05,0.0016342361665626134,0.0001827131579861336,-0.0003878125,0.00037593750000000024,80
0.4,1500,identity_like_diagnostic,certified_transport_density_advantage,0.0,0.0,0.0,0.0,0.0,80
0.4,1500,joint_basin,Delta_R,-3.7392067153776907,0.09833502238087878,0.010994189730630408,-3.7598299111319147,-3.7200197373822244,80
0.4,1500,joint_basin,Delta_p_viable_product,5e-05,0.0016906294236470822,0.0001890181158018083,-0.00027499999999999996,0.0004253125000000001,80
0.4,1500,joint_basin,Delta_H_cond_product,-6.825610507305429,0.14356953781326043,0.01605156230243384,-6.855459222147596,-6.793524104036654,80
0.4,1500,joint_basin,Delta_H_weighted_product,-6.8170724057968455,0.14191373034630092,0.015866437399745182,-6.8451226588498555,-6.786154317109475,80
0.4,1500,joint_basin,Delta_H_recovery_product,-6.8281706054152895,0.14458729067647288,0.016165350531755746,-6.863517722682494,-6.802084082554175,80
0.4,1500,joint_basin,strict_certified_mass_advantage,-1.250000000000001e-05,0.0016342361665626134,0.0001827131579861336,-0.0003878125,0.0003893750000000005,80
0.4,1500,joint_basin,certified_transport_density_advantage,0.45922172172172165,0.01715785910615279,0.0019183069654860707,0.4553963338338338,0.46265327827827823,80
0.4,1500,random_kappa_matched,Delta_R,-0.03854375067047727,0.03004810928448321,0.003359480747772351,-0.04478638488998678,-0.03182766504693226,80
0.4,1500,random_kappa_matched,Delta_p_viable_product,5e-05,0.0016906294236470822,0.0001890181158018083,-0.00028750000000000005,0.0004128125000000001,80
0.4,1500,random_kappa_matched,Delta_H_cond_product,-3.8400959934018473,0.13208382287934065,0.014767420334312383,-3.869766807862813,-3.8146559339519217,80
0.4,1500,random_kappa_matched,Delta_H_weighted_product,-3.8350213215140885,0.13027476733370305,0.014565161775556452,-3.8658421730683705,-3.8094756528441875,80
0.4,1500,random_kappa_matched,Delta_H_recovery_product,-3.844986801067775,0.13300333286351618,0.014870224675842696,-3.8767311234843516,-3.8229174838569007,80
0.4,1500,random_kappa_matched,strict_certified_mass_advantage,-1.250000000000001e-05,0.0016342361665626134,0.0001827131579861336,-0.0003875,0.0003875,80
0.4,1500,random_kappa_matched,certified_transport_density_advantage,0.0007382382382382213,0.004167734091209389,0.0004659668370043751,-0.00018893893893894494,0.0016141141141141012,80
0.4,1500,relative_distance,Delta_R,0.09401608871760384,0.03506473661555333,0.003920356734275158,0.08672537783439781,0.1005803174104048,80
0.4,1500,relative_distance,Delta_p_viable_product,5e-05,0.0016906294236470822,0.0001890181158018083,-0.000338125,0.00042500000000000003,80
0.4,1500,relative_distance,Delta_H_cond_product,-1.947864601478273,0.1308887264741397,0.014633804494227638,-1.976633211912964,-1.9213388970320158,80
0.4,1500,relative_distance,Delta_H_weighted_product,-1.9449847740389008,0.1302252511743017,0.014559625700636144,-1.9741498467659437,-1.918563245786245,80
0.4,1500,relative_distance,Delta_H_recovery_product,-1.9510735365478191,0.13160796054219903,0.014714217307623356,-1.9805032868354215,-1.9239152117726828,80
0.4,1500,relative_distance,strict_certified_mass_advantage,-1.250000000000001e-05,0.0016342361665626134,0.0001827131579861336,-0.00030000000000000003,0.00032500000000000004,80
0.4,1500,relative_distance,certified_transport_density_advantage,-6.2562562562555e-05,0.0004316133865622788,4.825584361760748e-05,-0.00016266266266264624,1.2825325325327797e-05,80
0.4,2400,all_one_diagnostic,Delta_R,-1.824147854780989e-05,0.0023620782590999564,0.0002640883777760932,-0.00043436617971074357,0.0005058897759606682,80
0.4,2400,all_one_diagnostic,Delta_p_viable_product,5e-05,0.0016906294236470822,0.0001890181158018083,-0.000313125,0.0003753125000000001,80
0.4,2400,all_one_diagnostic,Delta_H_cond_product,-14.49109548211199,0.13382077621276234,0.014961617620676172,-14.522082250663173,-14.464956369944606,80
0.4,2400,all_one_diagnostic,Delta_H_weighted_product,-14.473497632847332,0.13154175946368446,0.014706815802036236,-14.500971586348976,-14.449351414049215,80
0.4,2400,all_one_diagnostic,Delta_H_recovery_product,-14.49481331208382,0.13448521848297448,0.015035904524842103,-14.529181635981029,-14.467907597761876,80
0.4,2400,all_one_diagnostic,strict_certified_mass_advantage,-1.250000000000001e-05,0.0016342361665626134,0.0001827131579861336,-0.0003378125,0.00035093750000000023,80
0.4,2400,all_one_diagnostic,certified_transport_density_advantage,0.0,0.0,0.0,0.0,0.0,80
0.4,2400,basin_transition_profile,Delta_R,-2.6656034896550693,0.0687609340567807,0.007687706137367101,-2.6783039999156237,-2.6504818161379107,80
0.4,2400,basin_transition_profile,Delta_p_viable_product,5e-05,0.0016906294236470822,0.0001890181158018083,-0.00032500000000000004,0.0003875,80
0.4,2400,basin_transition_profile,Delta_H_cond_product,-11.11320676920796,0.14417521651049373,0.0161192792394107,-11.143620825828636,-11.081894510002822,80
0.4,2400,basin_transition_profile,Delta_H_weighted_product,-11.099538607208938,0.14356183257715596,0.016050700830848228,-11.133931945318675,-11.069446805025901,80
0.4,2400,basin_transition_profile,Delta_H_recovery_product,-11.11628847821048,0.14431928374689854,0.016135386446107285,-11.153628448753869,-11.086788655226405,80
0.4,2400,basin_transition_profile,strict_certified_mass_advantage,-1.250000000000001e-05,0.0016342361665626134,0.0001827131579861336,-0.0003628125,0.0003753125000000001,80
0.4,2400,basin_transition_profile,certified_transport_density_advantage,0.20635635635635632,0.011385462139090263,0.0012729333649127996,0.20387887887887887,0.20859077827827827,80
0.4,2400,boundary_v2_regime_sequence,Delta_R,3.339046308324783,0.11032081939167607,0.012334242574663234,3.3167009694052285,3.362020756303875,80
0.4,2400,boundary_v2_regime_sequence,Delta_p_viable_product,5e-05,0.0016906294236470822,0.0001890181158018083,-0.00038875,0.0003753125000000001,80
0.4,2400,boundary_v2_regime_sequence,Delta_H_cond_product,-12.919315165386525,0.12605851731963616,0.014093770693477052,-12.948501204989068,-12.8986407261078,80
0.4,2400,boundary_v2_regime_sequence,Delta_H_weighted_product,-12.903540689891589,0.12424964351296561,0.013891532453755342,-12.927954968265057,-12.875980417348227,80
0.4,2400,boundary_v2_regime_sequence,Delta_H_recovery_product,-12.917382971122828,0.12670135581478567,0.01416564222216245,-12.9499069003092,-12.890694541765388,80
0.4,2400,boundary_v2_regime_sequence,strict_certified_mass_advantage,-1.250000000000001e-05,0.0016342361665626134,0.0001827131579861336,-0.0004003125,0.0002878125000000001,80
0.4,2400,boundary_v2_regime_sequence,certified_transport_density_advantage,-0.5282532532532532,0.018268272607616647,0.002042454969106408,-0.5322578828828829,-0.5239683433433433,80
