alpha,T,kappa,seed,projected_A_entropy,projected_B_entropy,component_A_preservation,component_B_preservation,lower_rank_erasure_score
0.4,1500,center_of_mass,59,7.98165872555915,4.870850849695323,1.0,0.7090465819797693,0.14547670901011533
0.4,1500,relative_distance,59,7.98165872555915,4.870850849695323,0.8259310494950707,0.5040289359078037,0.33502000729856274
0.4,1500,joint_basin,59,7.98165872555915,4.870850849695323,1.0,1.0,0.0
0.4,1500,basin_transition_profile,59,7.98165872555915,4.870850849695323,1.0,1.0,0.0
0.4,1500,boundary_v2_regime_sequence,59,7.98165872555915,4.870850849695323,1.0,1.0,0.0
0.4,1500,random_kappa_matched,59,7.98165872555915,4.870850849695323,1.0,0.6294345518653548,0.1852827240673226
0.4,1500,identity_like_diagnostic,59,7.98165872555915,4.870850849695323,0.8009062305154828,0.4887574033878941,0.35516818304831155
0.4,1500,all_one_diagnostic,59,7.98165872555915,4.870850849695323,1.0,1.0,0.0
0.4,2400,center_of_mass,59,9.50809299480265,6.249861995422947,1.0,0.7247915891287573,0.13760420543562135
0.4,2400,relative_distance,59,9.50809299480265,6.249861995422947,0.9556079531753952,0.6281404517540456,0.2081257975352796
0.4,2400,joint_basin,59,9.50809299480265,6.249861995422947,1.0,0.919468603979497,0.04026569801025148
0.4,2400,basin_transition_profile,59,9.50809299480265,6.249861995422947,1.0,1.0,0.0
0.4,2400,boundary_v2_regime_sequence,59,9.50809299480265,6.249861995422947,1.0,1.0,0.0
0.4,2400,random_kappa_matched,59,9.50809299480265,6.249861995422947,1.0,0.8043808291564203,0.09780958542178986
0.4,2400,identity_like_diagnostic,59,9.50809299480265,6.249861995422947,0.9540737309993906,0.6271319764608835,0.20939714626986294
0.4,2400,all_one_diagnostic,59,9.50809299480265,6.249861995422947,1.0,1.0,0.0
0.4,3600,center_of_mass,59,9.909519622155596,7.66010248392448,1.0,0.7954061724294705,0.10229691378526473
0.4,3600,relative_distance,59,9.909519622155596,7.66010248392448,0.9943542162965452,0.7686402058404793,0.1185027889314878
0.4,3600,joint_basin,59,9.909519622155596,7.66010248392448,1.0,0.9814395900939485,0.009280204953025728
0.4,3600,basin_transition_profile,59,9.909519622155596,7.66010248392448,1.0,1.0,0.0
0.4,3600,boundary_v2_regime_sequence,59,9.909519622155596,7.66010248392448,1.0,1.0,0.0
0.4,3600,random_kappa_matched,59,9.909519622155596,7.66010248392448,1.0,0.9849097810863524,0.00754510945682374
0.4,3600,identity_like_diagnostic,59,9.909519622155596,7.66010248392448,0.9943542162965452,0.7686402058404793,0.1185027889314878
0.4,3600,all_one_diagnostic,59,9.909519622155596,7.66010248392448,1.0,1.0,0.0
0.4,900,center_of_mass,57,5.9597546087982,3.661944682369803,1.0,0.7023113461836812,0.1488443269081594
0.4,900,relative_distance,57,5.9597546087982,3.661944682369803,0.7137001080346795,0.438529853488611,0.42388501923835475
0.4,900,joint_basin,57,5.9597546087982,3.661944682369803,1.0,1.0,0.0
