alpha,T,kappa,seed,n_traj,macro_classes,singleton_fraction,estimator_warning
0.4,3600,identity_like_diagnostic,1,1000,999.0,1.0,HIGH_SINGLETON_FRACTION
0.4,3600,all_one_diagnostic,1,1000,1.0,0.0,
0.4,900,center_of_mass,9,1000,93.0,0.34408602150537637,
0.4,900,relative_distance,9,1000,435.0,0.5471264367816092,
0.4,900,joint_basin,9,1000,30.0,0.23333333333333334,
0.4,900,basin_transition_profile,9,1000,16.0,0.25,
0.4,900,boundary_v2_regime_sequence,9,1000,8.0,0.25,
0.4,900,random_kappa_matched,9,1000,221.0,0.1493212669683258,
0.4,900,identity_like_diagnostic,9,1000,999.0,0.998998998998999,HIGH_SINGLETON_FRACTION
0.4,900,all_one_diagnostic,9,1000,1.0,0.0,
0.4,1500,center_of_mass,9,1000,246.0,0.45934959349593496,
0.4,1500,relative_distance,9,1000,851.0,0.8719153936545241,HIGH_SINGLETON_FRACTION
0.4,1500,joint_basin,9,1000,114.0,0.4649122807017544,
0.4,1500,basin_transition_profile,9,1000,23.0,0.17391304347826086,
0.4,1500,boundary_v2_regime_sequence,9,1000,9.0,0.3333333333333333,
0.4,1500,random_kappa_matched,9,1000,251.0,0.08366533864541832,
0.4,1500,identity_like_diagnostic,9,1000,1000.0,1.0,HIGH_SINGLETON_FRACTION
0.4,1500,all_one_diagnostic,9,1000,1.0,0.0,
0.4,2400,center_of_mass,9,1000,581.0,0.7418244406196214,HIGH_SINGLETON_FRACTION
0.4,2400,relative_distance,9,1000,992.0,0.9919354838709677,HIGH_SINGLETON_FRACTION
0.4,2400,joint_basin,9,1000,330.0,0.7,HIGH_SINGLETON_FRACTION
0.4,2400,basin_transition_profile,9,1000,34.0,0.2647058823529412,
0.4,2400,boundary_v2_regime_sequence,9,1000,9.0,0.3333333333333333,
0.4,2400,random_kappa_matched,9,1000,247.0,0.05668016194331984,
0.4,2400,identity_like_diagnostic,9,1000,1000.0,1.0,HIGH_SINGLETON_FRACTION
0.4,2400,all_one_diagnostic,9,1000,1.0,0.0,
0.4,3600,center_of_mass,9,1000,859.0,0.9022118742724098,HIGH_SINGLETON_FRACTION
0.4,3600,relative_distance,9,1000,1000.0,1.0,HIGH_SINGLETON_FRACTION
0.4,3600,joint_basin,9,1000,543.0,0.861878453038674,HIGH_SINGLETON_FRACTION
0.4,3600,basin_transition_profile,9,1000,47.0,0.2765957446808511,
0.4,3600,boundary_v2_regime_sequence,9,1000,9.0,0.3333333333333333,
0.4,3600,random_kappa_matched,9,1000,244.0,0.06147540983606557,
0.4,3600,identity_like_diagnostic,9,1000,1000.0,1.0,HIGH_SINGLETON_FRACTION
0.4,3600,all_one_diagnostic,9,1000,1.0,0.0,
0.4,900,center_of_mass,2,1000,98.0,0.24489795918367346,
0.4,900,relative_distance,2,1000,447.0,0.5503355704697986,
0.4,900,joint_basin,2,1000,39.0,0.41025641025641024,
0.4,900,basin_transition_profile,2,1000,22.0,0.5,
0.4,900,boundary_v2_regime_sequence,2,1000,9.0,0.2222222222222222,
0.4,900,random_kappa_matched,2,1000,226.0,0.13274336283185842,
0.4,900,identity_like_diagnostic,2,1000,998.0,1.0,HIGH_SINGLETON_FRACTION
0.4,900,all_one_diagnostic,2,1000,1.0,0.0,
0.4,1500,center_of_mass,2,1000,268.0,0.48134328358208955,
0.4,1500,relative_distance,2,1000,859.0,0.8637951105937136,HIGH_SINGLETON_FRACTION
0.4,1500,joint_basin,2,1000,128.0,0.53125,
0.4,1500,basin_transition_profile,2,1000,26.0,0.3076923076923077,
0.4,1500,boundary_v2_regime_sequence,2,1000,9.0,0.2222222222222222,
0.4,1500,random_kappa_matched,2,1000,247.0,0.08502024291497975,
0.4,1500,identity_like_diagnostic,2,1000,998.0,1.0,HIGH_SINGLETON_FRACTION
0.4,1500,all_one_diagnostic,2,1000,1.0,0.0,
0.4,2400,center_of_mass,2,1000,573.0,0.7382198952879581,HIGH_SINGLETON_FRACTION
0.4,2400,relative_distance,2,1000,992.0,0.9939516129032258,HIGH_SINGLETON_FRACTION
0.4,2400,joint_basin,2,1000,346.0,0.7023121387283237,HIGH_SINGLETON_FRACTION
0.4,2400,basin_transition_profile,2,1000,36.0,0.19444444444444445,
0.4,2400,boundary_v2_regime_sequence,2,1000,9.0,0.2222222222222222,
0.4,2400,random_kappa_matched,2,1000,246.0,0.06097560975609756,
0.4,2400,identity_like_diagnostic,2,1000,998.0,1.0,HIGH_SINGLETON_FRACTION
0.4,2400,all_one_diagnostic,2,1000,1.0,0.0,
0.4,3600,center_of_mass,2,1000,869.0,0.9079401611047181,HIGH_SINGLETON_FRACTION
0.4,3600,relative_distance,2,1000,998.0,1.0,HIGH_SINGLETON_FRACTION
0.4,3600,joint_basin,2,1000,542.0,0.8597785977859779,HIGH_SINGLETON_FRACTION
0.4,3600,basin_transition_profile,2,1000,47.0,0.425531914893617,
0.4,3600,boundary_v2_regime_sequence,2,1000,9.0,0.2222222222222222,
0.4,3600,random_kappa_matched,2,1000,246.0,0.0975609756097561,
0.4,3600,identity_like_diagnostic,2,1000,998.0,1.0,HIGH_SINGLETON_FRACTION
0.4,3600,all_one_diagnostic,2,1000,1.0,0.0,
0.4,900,center_of_mass,5,1000,91.0,0.31868131868131866,
0.4,900,relative_distance,5,1000,442.0,0.5294117647058824,
0.4,900,joint_basin,5,1000,33.0,0.3333333333333333,
0.4,900,basin_transition_profile,5,1000,15.0,0.26666666666666666,
0.4,900,boundary_v2_regime_sequence,5,1000,11.0,0.36363636363636365,
0.4,900,random_kappa_matched,5,1000,226.0,0.16371681415929204,
0.4,900,identity_like_diagnostic,5,1000,997.0,1.0,HIGH_SINGLETON_FRACTION
0.4,900,all_one_diagnostic,5,1000,1.0,0.0,
0.4,1500,center_of_mass,5,1000,249.0,0.4819277108433735,
0.4,1500,relative_distance,5,1000,857.0,0.8739789964994166,HIGH_SINGLETON_FRACTION
0.4,1500,joint_basin,5,1000,110.0,0.44545454545454544,
0.4,1500,basin_transition_profile,5,1000,23.0,0.21739130434782608,
0.4,1500,boundary_v2_regime_sequence,5,1000,11.0,0.36363636363636365,
0.4,1500,random_kappa_matched,5,1000,246.0,0.07723577235772358,
0.4,1500,identity_like_diagnostic,5,1000,997.0,1.0,HIGH_SINGLETON_FRACTION
0.4,1500,all_one_diagnostic,5,1000,1.0,0.0,
0.4,2400,center_of_mass,5,1000,553.0,0.6817359855334539,HIGH_SINGLETON_FRACTION
0.4,2400,relative_distance,5,1000,988.0,0.9908906882591093,HIGH_SINGLETON_FRACTION
0.4,2400,joint_basin,5,1000,337.0,0.6884272997032641,HIGH_SINGLETON_FRACTION
0.4,2400,basin_transition_profile,5,1000,38.0,0.23684210526315788,
0.4,2400,boundary_v2_regime_sequence,5,1000,11.0,0.36363636363636365,
0.4,2400,random_kappa_matched,5,1000,247.0,0.08502024291497975,
