alpha,T,kappa,seed,mean_fiber_size,median_fiber_size,fiber_entropy_mean,fiber_entropy_weighted,singleton_fraction,viable_fiber_fraction,fiber_viability_mixing,fiber_recoverability_mixing,projected_A_entropy,projected_B_entropy,component_A_preservation,component_B_preservation,lower_rank_erasure_score
0.55,2400,boundary_v2_regime_sequence,78,111.11111111111111,4.0,1.291834733706734,8.673949550955351,0.2222222222222222,1.0,0.0,0.0,9.367773219847848,6.9666596196634245,1.0,1.0,0.0
0.55,2400,random_kappa_matched,78,4.081632653061225,4.0,7.766079990279759,2.199704294382328,0.07346938775510205,1.0,0.0,0.0,9.367773219847848,6.9666596196634245,1.0,0.897062562886693,0.05146871855665358
0.55,2400,identity_like_diagnostic,78,1.0,1.0,9.965784284662087,0.0,1.0,1.0,0.0,0.0,9.367773219847848,6.9666596196634245,0.9399935772506522,0.6990578383665712,0.18047429219138822
0.55,2400,all_one_diagnostic,78,1000.0,1000.0,-0.0,9.965784284662087,0.0,1.0,0.0,0.0,9.367773219847848,6.9666596196634245,1.0,1.0,0.0
0.55,3600,center_of_mass,78,1.1337868480725624,1.0,9.66242620330497,0.3033580813571177,0.9217687074829932,1.0,0.0,0.0,9.850235409640453,8.10693674767032,1.0,0.8390166793612763,0.08049166031936184
0.55,3600,relative_distance,78,1.0,1.0,9.965784284662087,0.0,1.0,1.0,0.0,0.0,9.850235409640453,8.10693674767032,0.9884054408844198,0.8134770446664554,0.09905875722456237
0.55,3600,joint_basin,78,1.9723865877712032,1.0,7.582508040995462,2.383276243666625,0.814595660749507,1.0,0.0,0.0,9.850235409640453,8.10693674767032,1.0,1.0,0.0
0.55,3600,basin_transition_profile,78,24.390243902439025,3.0,3.465014339077539,6.5007699455845485,0.34146341463414637,1.0,0.0,0.0,9.850235409640453,8.10693674767032,1.0,1.0,0.0
0.55,3600,boundary_v2_regime_sequence,78,76.92307692307692,3.0,1.3323958219837964,8.633388462678289,0.46153846153846156,1.0,0.0,0.0,9.850235409640453,8.10693674767032,1.0,1.0,0.0
0.55,3600,random_kappa_matched,78,4.098360655737705,4.0,7.78508439832431,2.180699886337777,0.04918032786885246,1.0,0.0,0.0,9.850235409640453,8.10693674767032,1.0,1.0,0.0
0.55,3600,identity_like_diagnostic,78,1.0,1.0,9.965784284662087,0.0,1.0,1.0,0.0,0.0,9.850235409640453,8.10693674767032,0.9884054408844198,0.8134770446664554,0.09905875722456237
0.55,3600,all_one_diagnostic,78,1000.0,1000.0,-0.0,9.965784284662087,0.0,1.0,0.0,0.0,9.850235409640453,8.10693674767032,1.0,1.0,0.0
0.6,900,center_of_mass,1,10.526315789473685,3.0,5.300703411027296,4.665080873634792,0.30526315789473685,1.0,0.0,0.0,6.169463656609826,4.268575678404924,1.0,0.8052847607969935,0.09735761960150324
0.6,900,relative_distance,1,2.5380710659898478,1.5,8.120142226621564,1.845642058040524,0.5,1.0,0.0,0.0,6.169463656609826,4.268575678404924,0.7597728567343913,0.525677452349365,0.3572748454581218
0.6,900,joint_basin,1,20.408163265306122,3.0,4.142312845117496,5.82347143954459,0.24489795918367346,1.0,0.0,0.0,6.169463656609826,4.268575678404924,1.0,1.0,0.0
0.6,900,basin_transition_profile,1,52.63157894736842,8.0,2.9251562959020188,7.040627988760069,0.15789473684210525,1.0,0.0,0.0,6.169463656609826,4.268575678404924,1.0,1.0,0.0
0.6,900,boundary_v2_regime_sequence,1,125.0,4.5,1.1800909009400453,8.785693383722043,0.0,1.0,0.0,0.0,6.169463656609826,4.268575678404924,1.0,1.0,0.0
0.6,900,random_kappa_matched,1,4.366812227074236,4.0,7.464884546761075,2.5008997379010114,0.1965065502183406,1.0,0.0,0.0,6.169463656609826,4.268575678404924,0.8264647119407471,0.5718207229684494,0.30085728254540167
0.6,900,identity_like_diagnostic,1,1.0,1.0,9.965784284662087,0.0,1.0,1.0,0.0,0.0,6.169463656609826,4.268575678404924,0.6190645392661152,0.42832310598720325,0.4763061773733408
0.6,900,all_one_diagnostic,1,1000.0,1000.0,-0.0,9.965784284662087,0.0,1.0,0.0,0.0,6.169463656609826,4.268575678404924,1.0,1.0,0.0
0.6,1500,center_of_mass,1,3.816793893129771,2.0,6.968963140493038,2.996821144169048,0.49236641221374045,1.0,0.0,0.0,7.968129022736005,5.875513922010851,1.0,0.843097287725814,0.07845135613709298
0.6,1500,relative_distance,1,1.2004801920768307,1.0,9.591102725693343,0.3746815589687432,0.8499399759903962,1.0,0.0,0.0,7.968129022736005,5.875513922010851,0.8307834094395009,0.6126004579505856,0.27830806630495675
0.6,1500,joint_basin,1,5.181347150259067,2.0,6.067893602274362,3.8978906823877253,0.39896373056994816,1.0,0.0,0.0,7.968129022736005,5.875513922010851,1.0,0.9682954756834559,0.015852262158272068
0.6,1500,basin_transition_profile,1,37.03703703703704,11.0,3.4051320856054885,6.560652199056598,0.14814814814814814,1.0,0.0,0.0,7.968129022736005,5.875513922010851,1.0,1.0,0.0
0.6,1500,boundary_v2_regime_sequence,1,111.11111111111111,4.0,1.1820909009400453,8.783693383722042,0.2222222222222222,1.0,0.0,0.0,7.968129022736005,5.875513922010851,1.0,1.0,0.0
0.6,1500,random_kappa_matched,1,4.065040650406504,4.0,7.755464161160621,2.210320123501466,0.0975609756097561,1.0,0.0,0.0,7.968129022736005,5.875513922010851,1.0,0.7575966827924286,0.12120165860378562
0.6,1500,identity_like_diagnostic,1,1.0,1.0,9.965784284662087,0.0,1.0,1.0,0.0,0.0,7.968129022736005,5.875513922010851,0.7995486150547542,0.5895686434888626,0.30544137072819155
0.6,1500,all_one_diagnostic,1,1000.0,1000.0,-0.0,9.965784284662087,0.0,1.0,0.0,0.0,7.968129022736005,5.875513922010851,1.0,1.0,0.0
0.6,2400,center_of_mass,1,1.7006802721088434,1.0,8.728892633171338,1.2368916514907493,0.7210884353741497,1.0,0.0,0.0,9.298779501388157,7.394399164453696,1.0,0.8471176671773541,0.07644116641132293
0.6,2400,relative_distance,1,1.0090817356205852,1.0,9.947784284662088,0.018000000000000002,0.9909182643794148,1.0,0.0,0.0,9.298779501388157,7.394399164453696,0.9347588603952145,0.7433212213753662,0.16095995911470973
0.6,2400,joint_basin,1,2.3923444976076556,1.0,7.198420375465092,2.767363909196993,0.7200956937799043,1.0,0.0,0.0,9.298779501388157,7.394399164453696,1.0,1.0,0.0
0.6,2400,basin_transition_profile,1,30.303030303030305,5.0,3.4380394597424226,6.5277448249196635,0.18181818181818182,1.0,0.0,0.0,9.298779501388157,7.394399164453696,1.0,1.0,0.0
0.6,2400,boundary_v2_regime_sequence,1,100.0,4.0,1.1920473231269113,8.773736961535175,0.3,1.0,0.0,0.0,9.298779501388157,7.394399164453696,1.0,1.0,0.0
0.6,2400,random_kappa_matched,1,4.11522633744856,4.0,7.7434124029275075,2.22237188173458,0.09876543209876543,1.0,0.0,0.0,9.298779501388157,7.394399164453696,1.0,0.9549277217442452,0.02253613912787733
0.6,2400,identity_like_diagnostic,1,1.0,1.0,9.965784284662087,0.0,1.0,1.0,0.0,0.0,9.298779501388157,7.394399164453696,0.9330705176610647,0.7419786494710807,0.16247541643392727
0.6,2400,all_one_diagnostic,1,1000.0,1000.0,-0.0,9.965784284662087,0.0,1.0,0.0,0.0,9.298779501388157,7.394399164453696,1.0,1.0,0.0
0.6,3600,center_of_mass,1,1.1148272017837235,1.0,9.722261241189416,0.24352304347267176,0.9264214046822743,1.0,0.0,0.0,9.830135544170343,8.526476066259367,1.0,0.8770054470595816,0.061497276470209195
0.6,3600,relative_distance,1,1.0,1.0,9.965784284662087,0.0,1.0,1.0,0.0,0.0,9.830135544170343,8.526476066259367,0.9863885534126486,0.8555750177516989,0.0790182144178262
0.6,3600,joint_basin,1,1.9193857965451055,1.0,7.718934304683487,2.246849979978599,0.7984644913627639,1.0,0.0,0.0,9.830135544170343,8.526476066259367,1.0,1.0,0.0
0.6,3600,basin_transition_profile,1,25.641025641025642,4.0,3.556555331374959,6.409228953287127,0.2564102564102564,1.0,0.0,0.0,9.830135544170343,8.526476066259367,1.0,1.0,0.0
0.6,3600,boundary_v2_regime_sequence,1,90.9090909090909,4.0,1.2019997927196795,8.763784491942408,0.36363636363636365,1.0,0.0,0.0,9.830135544170343,8.526476066259367,1.0,1.0,0.0
0.6,3600,random_kappa_matched,1,4.065040650406504,4.0,7.787191998205295,2.1785922864567917,0.08130081300813008,1.0,0.0,0.0,9.830135544170343,8.526476066259367,1.0,1.0,0.0
0.6,3600,identity_like_diagnostic,1,1.0,1.0,9.965784284662087,0.0,1.0,1.0,0.0,0.0,9.830135544170343,8.526476066259367,0.9863885534126486,0.8555750177516989,0.0790182144178262
0.6,3600,all_one_diagnostic,1,1000.0,1000.0,-0.0,9.965784284662087,0.0,1.0,0.0,0.0,9.830135544170343,8.526476066259367,1.0,1.0,0.0
0.6,900,center_of_mass,0,10.869565217391305,3.0,5.198576088634287,4.767208196027801,0.30434782608695654,0.9891304347826086,0.0,0.0,6.2453142863540405,4.184441412033247,1.0,0.8058841942186358,0.09705790289068217
0.6,900,relative_distance,0,2.331002331002331,1.0,8.245086810802658,1.7206974738594294,0.5710955710955711,0.9976689976689976,0.0,0.0,6.2453142863540405,4.184441412033247,0.7577498384206552,0.5077022001561996,0.3672739807115726
0.6,900,joint_basin,0,22.22222222222222,3.0,4.043654001186392,5.922130283475695,0.28888888888888886,1.0,0.0,0.0,6.2453142863540405,4.184441412033247,1.0,1.0,0.0
0.6,900,basin_transition_profile,0,50.0,5.0,2.824135882686156,7.141648401975931,0.2,1.0,0.0,0.0,6.2453142863540405,4.184441412033247,1.0,1.0,0.0
0.6,900,boundary_v2_regime_sequence,0,142.85714285714286,11.0,1.218416996488361,8.747367288173725,0.14285714285714285,1.0,0.14285714285714285,0.0,6.2453142863540405,4.184441412033247,1.0,1.0,0.0
0.6,900,random_kappa_matched,0,4.3478260869565215,3.0,7.460581257038601,2.5052030276234856,0.15217391304347827,1.0,0.004347826086956522,0.0,6.2453142863540405,4.184441412033247,0.8372422074152668,0.5609631163423515,0.3008973381211908
0.6,900,identity_like_diagnostic,0,1.001001001001001,1.0,9.963784284662088,0.002,0.998998998998999,0.998998998998999,0.0,0.0,6.2453142863540405,4.184441412033247,0.6268923764277651,0.42002600678462776,0.47654080839380364
0.6,900,all_one_diagnostic,0,1000.0,1000.0,-0.0,9.965784284662087,0.0,1.0,0.0,0.0,6.2453142863540405,4.184441412033247,1.0,1.0,0.0
0.6,1500,center_of_mass,0,4.0,2.0,6.875233812926308,3.0905504717357783,0.496,0.996,0.0,0.0,8.035689912737562,5.747320157875633,1.0,0.8364974274628216,0.08175128626858919
0.6,1500,relative_distance,0,1.2077294685990339,1.0,9.583692816159129,0.3820914685029604,0.8442028985507246,0.998792270531401,0.0,0.0,8.035689912737562,5.747320157875633,0.8386350984984635,0.5998121454465399,0.28077637802749833
0.6,1500,joint_basin,0,5.46448087431694,2.0,5.976511535107878,3.989272749554207,0.39344262295081966,1.0,0.00546448087431694,0.0,8.035689912737562,5.747320157875633,1.0,0.9616890017641534,0.019155499117923247
0.6,1500,basin_transition_profile,0,38.46153846153846,8.5,3.280834682062647,6.684949602599439,0.19230769230769232,1.0,0.0,0.0,8.035689912737562,5.747320157875633,1.0,1.0,0.0
0.6,1500,boundary_v2_regime_sequence,0,142.85714285714286,11.0,1.218416996488361,8.747367288173725,0.14285714285714285,1.0,0.14285714285714285,0.0,8.035689912737562,5.747320157875633,1.0,1.0,0.0
0.6,1500,random_kappa_matched,0,4.032258064516129,4.0,7.778555292597312,2.1872289920647754,0.08870967741935484,1.0,0.004032258064516129,0.0,8.035689912737562,5.747320157875633,1.0,0.7388691614174345,0.13056541929128274
0.6,1500,identity_like_diagnostic,0,1.0,1.0,9.965784284662087,0.0,1.0,0.999,0.0,0.0,8.035689912737562,5.747320157875633,0.8064447031023592,0.576788794575726,0.30838325116095744
0.6,1500,all_one_diagnostic,0,1000.0,1000.0,-0.0,9.965784284662087,0.0,1.0,0.0,0.0,8.035689912737562,5.747320157875633,1.0,1.0,0.0
0.6,2400,center_of_mass,0,1.7452006980802792,1.0,8.664215125379233,1.3015691592828555,0.7364746945898778,0.9982547993019197,0.0,0.0,9.335262162375013,7.261243737951841,1.0,0.8383386091941722,0.08083069540291388
0.6,2400,relative_distance,0,1.015228426395939,1.0,9.935029397159923,0.030754887502163465,0.9857868020304569,0.9989847715736041,0.0,0.0,9.335262162375013,7.261243737951841,0.9397705030555146,0.7309813652504449,0.16462406584702027
0.6,2400,joint_basin,0,2.5510204081632653,1.0,7.081323855139718,2.8844604295223686,0.7091836734693877,1.0,0.002551020408163265,0.0,9.335262162375013,7.261243737951841,1.0,1.0,0.0
0.6,2400,basin_transition_profile,0,30.303030303030305,4.0,3.3385895016058713,6.627194783056215,0.24242424242424243,1.0,0.0,0.0,9.335262162375013,7.261243737951841,1.0,1.0,0.0
0.6,2400,boundary_v2_regime_sequence,0,125.0,9.5,1.2283211704927592,8.737463114169326,0.25,1.0,0.125,0.0,9.335262162375013,7.261243737951841,1.0,1.0,0.0
0.6,2400,random_kappa_matched,0,4.016064257028113,4.0,7.8122625520563,2.1535217326057863,0.040160642570281124,1.0,0.004016064257028112,0.0,9.335262162375013,7.261243737951841,1.0,0.9296575016999449,0.03517124915002756
0.6,2400,identity_like_diagnostic,0,1.0,1.0,9.965784284662087,0.0,1.0,0.999,0.0,0.0,9.335262162375013,7.261243737951841,0.9368670026684086,0.7287229365488935,0.16720503039134893
0.6,2400,all_one_diagnostic,0,1000.0,1000.0,-0.0,9.965784284662087,0.0,1.0,0.0,0.0,9.335262162375013,7.261243737951841,1.0,1.0,0.0
0.6,3600,center_of_mass,0,1.1337868480725624,1.0,9.683287808845861,0.28249647581622606,0.9126984126984127,0.9988662131519275,0.0,0.0,9.835417957362518,8.407963742849905,1.0,0.8684511940514051,0.06577440297429749
0.6,3600,relative_distance,0,1.0,1.0,9.965784284662087,0.0,1.0,0.999,0.0,0.0,9.835417957362518,8.407963742849905,0.9870615716442803,0.8438053107985127,0.08456655877860353
0.6,3600,joint_basin,0,2.0080321285140563,1.0,7.638402599081205,2.3273816855808818,0.7951807228915663,1.0,0.002008032128514056,0.0,9.835417957362518,8.407963742849905,1.0,1.0,0.0
0.6,3600,basin_transition_profile,0,26.31578947368421,2.0,3.430478300834883,6.535305983827203,0.39473684210526316,1.0,0.0,0.0,9.835417957362518,8.407963742849905,1.0,1.0,0.0
0.6,3600,boundary_v2_regime_sequence,0,125.0,9.5,1.2283211704927592,8.737463114169328,0.25,1.0,0.125,0.0,9.835417957362518,8.407963742849905,1.0,1.0,0.0
0.6,3600,random_kappa_matched,0,4.081632653061225,4.0,7.768513394410536,2.1972708902515503,0.06938775510204082,1.0,0.004081632653061225,0.0,9.835417957362518,8.407963742849905,1.0,1.0,0.0
0.6,3600,identity_like_diagnostic,0,1.0,1.0,9.965784284662087,0.0,1.0,0.999,0.0,0.0,9.835417957362518,8.407963742849905,0.9870615716442803,0.8438053107985127,0.08456655877860353
0.6,3600,all_one_diagnostic,0,1000.0,1000.0,-0.0,9.965784284662087,0.0,1.0,0.0,0.0,9.835417957362518,8.407963742849905,1.0,1.0,0.0
0.55,900,center_of_mass,79,11.363636363636363,4.0,5.227954884944969,4.737829399717118,0.2727272727272727,1.0,0.0,0.0,6.102381081692601,4.133074934310995,1.0,0.790572035388653,0.10471398230567353
0.55,900,relative_distance,79,2.4038461538461537,1.0,8.22701245368562,1.7387718309764664,0.5288461538461539,1.0,0.0,0.0,6.102381081692601,4.133074934310995,0.74174934291716,0.502378592177701,0.37793603245256957
0.55,900,joint_basin,79,23.25581395348837,3.0,3.8176857186972595,6.148098565964827,0.37209302325581395,1.0,0.0,0.0,6.102381081692601,4.133074934310995,1.0,1.0,0.0
0.55,900,basin_transition_profile,79,58.8235294117647,9.0,2.760830809181701,7.2049534754803854,0.17647058823529413,1.0,0.0,0.0,6.102381081692601,4.133074934310995,1.0,1.0,0.0
0.55,900,boundary_v2_regime_sequence,79,142.85714285714286,12.0,1.189485026579313,8.776299258082773,0.2857142857142857,1.0,0.0,0.0,6.102381081692601,4.133074934310995,1.0,1.0,0.0
0.55,900,random_kappa_matched,79,4.310344827586207,4.0,7.487672154677967,2.47811212998412,0.21120689655172414,1.0,0.0,0.0,6.102381081692601,4.133074934310995,0.8149904210055595,0.5519839609602608,0.3165128090170899
0.55,900,identity_like_diagnostic,79,1.0,1.0,9.965784284662087,0.0,1.0,1.0,0.0,0.0,6.102381081692601,4.133074934310995,0.6123332501872949,0.4147265098515161,0.48647011998059453
0.55,900,all_one_diagnostic,79,1000.0,1000.0,-0.0,9.965784284662087,0.0,1.0,0.0,0.0,6.102381081692601,4.133074934310995,1.0,1.0,0.0
0.55,1500,center_of_mass,79,4.048582995951417,2.0,6.885714058852864,3.0800702258092216,0.4574898785425101,1.0,0.0,0.0,7.997000515522361,5.661850821545618,1.0,0.8222605198463414,0.08886974007682924
0.55,1500,relative_distance,79,1.183431952662722,1.0,9.626057344135727,0.3397269405263601,0.8579881656804734,1.0,0.0,0.0,7.997000515522361,5.661850821545618,0.8307659335100677,0.5881796273522995,0.29052721956881644
0.55,1500,joint_basin,79,5.813953488372093,2.0,5.847635347116133,4.118148937545954,0.4186046511627907,1.0,0.0,0.0,7.997000515522361,5.661850821545618,1.0,0.9682291192007829,0.015885440399608486
0.55,1500,basin_transition_profile,79,41.666666666666664,11.0,3.252207111179787,6.7135771734822995,0.125,1.0,0.0,0.0,7.997000515522361,5.661850821545618,1.0,1.0,0.0
0.55,1500,boundary_v2_regime_sequence,79,142.85714285714286,12.0,1.189485026579313,8.776299258082773,0.2857142857142857,1.0,0.0,0.0,7.997000515522361,5.661850821545618,1.0,1.0,0.0
0.55,1500,random_kappa_matched,79,4.016064257028113,4.0,7.772021747264054,2.1937625373980336,0.08433734939759036,1.0,0.0,0.0,7.997000515522361,5.661850821545618,1.0,0.7284913765892036,0.1357543117053982
0.55,1500,identity_like_diagnostic,79,1.0,1.0,9.965784284662087,0.0,1.0,1.0,0.0,0.0,7.997000515522361,5.661850821545618,0.8024456768375172,0.5681289760866619,0.31471267353791044
0.55,1500,all_one_diagnostic,79,1000.0,1000.0,-0.0,9.965784284662087,0.0,1.0,0.0,0.0,7.997000515522361,5.661850821545618,1.0,1.0,0.0
0.55,2400,center_of_mass,79,1.7064846416382253,1.0,8.679432019488821,1.2863522651732642,0.7491467576791809,1.0,0.0,0.0,9.381089622304172,7.163248815342863,1.0,0.8253130849182854,0.08734345754085737
