alpha,T,kappa,seed,transport_survival,transport_entropy_change,certified_transport_density,transport_advantage_vs_shuffled
0.4,3600,center_of_mass,9,1.0,0.0,1.0,0.002002002002001957
0.4,3600,relative_distance,9,1.0,0.0,1.0,0.0
0.4,3600,joint_basin,9,1.0,0.0,0.9229229229229229,0.8768768768768769
0.4,3600,basin_transition_profile,9,1.0,0.0,0.2602602602602603,0.2502502502502503
0.4,3600,boundary_v2_regime_sequence,9,1.0,0.0,0.02902902902902903,-0.7557557557557557
0.4,3600,random_kappa_matched,9,1.0,0.0,0.990990990990991,0.0030030030030029353
0.4,3600,identity_like_diagnostic,9,1.0,0.0,1.0,0.0
0.4,3600,all_one_diagnostic,9,1.0,0.0,0.001001001001001001,0.0
0.4,900,center_of_mass,2,0.998,-0.01214620815349221,0.6666666666666666,0.04404404404404405
0.4,900,relative_distance,2,0.998,-0.004097976035758677,0.995995995995996,-0.0030030030030030463
0.4,900,joint_basin,2,0.998,-0.006365401135076443,0.17917917917917917,0.14114114114114112
0.4,900,basin_transition_profile,2,0.998,-0.002081481545026076,0.08108108108108109,0.061061061061061066
0.4,900,boundary_v2_regime_sequence,2,0.998,-0.013992469352144044,0.03003003003003003,-0.08708708708708708
0.4,900,random_kappa_matched,2,0.998,0.0010613349175550013,0.982982982982983,-0.005005005005005003
0.4,900,identity_like_diagnostic,2,0.998,-0.002888279324828602,1.0,0.0
0.4,900,all_one_diagnostic,2,0.998,0.0,0.001001001001001001,0.0
0.4,1500,center_of_mass,2,0.998,-0.008988612602616186,0.9039039039039038,0.048048048048047964
0.4,1500,relative_distance,2,0.998,-0.003480639996247703,1.0,0.0
0.4,1500,joint_basin,2,0.998,-0.008033985202777316,0.5185185185185185,0.4674674674674674
0.4,1500,basin_transition_profile,2,0.998,-0.000570699438029898,0.15415415415415415,0.13313313313313313
0.4,1500,boundary_v2_regime_sequence,2,0.998,-0.013992469352144044,0.03003003003003003,-0.25925925925925924
0.4,1500,random_kappa_matched,2,0.998,-0.0007874087406323227,0.991991991991992,-0.005005005005005003
0.4,1500,identity_like_diagnostic,2,0.998,-0.002888279324828602,1.0,0.0
