alpha,T,kappa,seed,p_viable_product,H_cond_product,H_weighted_product,H_recovery_product,component_estimator_note
0.4,900,identity_like_diagnostic,7,0.999,9.071361283722382,9.06228992243866,9.077123443488455,H_A+H_B from basin/geometric component projections
0.4,900,all_one_diagnostic,7,0.999,9.071361283722382,9.06228992243866,9.077123443488455,H_A+H_B from basin/geometric component projections
0.4,1500,center_of_mass,7,0.999,11.643779107118917,11.632135328011797,11.648176939996908,H_A+H_B from basin/geometric component projections
0.4,1500,relative_distance,7,0.999,11.643779107118917,11.632135328011797,11.648176939996908,H_A+H_B from basin/geometric component projections
0.4,1500,joint_basin,7,0.999,11.643779107118917,11.632135328011797,11.648176939996908,H_A+H_B from basin/geometric component projections
0.4,1500,basin_transition_profile,7,0.999,11.643779107118917,11.632135328011797,11.648176939996908,H_A+H_B from basin/geometric component projections
0.4,1500,boundary_v2_regime_sequence,7,0.999,11.643779107118917,11.632135328011797,11.648176939996908,H_A+H_B from basin/geometric component projections
0.4,1500,random_kappa_matched,7,0.999,11.643779107118917,11.632135328011797,11.648176939996908,H_A+H_B from basin/geometric component projections
0.4,1500,identity_like_diagnostic,7,0.999,11.643779107118917,11.632135328011797,11.648176939996908,H_A+H_B from basin/geometric component projections
0.4,1500,all_one_diagnostic,7,0.999,11.643779107118917,11.632135328011797,11.648176939996908,H_A+H_B from basin/geometric component projections
0.4,2400,center_of_mass,7,0.999,14.420552345646932,14.406131793301284,14.423678478815315,H_A+H_B from basin/geometric component projections
0.4,2400,relative_distance,7,0.999,14.420552345646932,14.406131793301284,14.423678478815315,H_A+H_B from basin/geometric component projections
0.4,2400,joint_basin,7,0.999,14.420552345646932,14.406131793301284,14.423678478815315,H_A+H_B from basin/geometric component projections
0.4,2400,basin_transition_profile,7,0.999,14.420552345646932,14.406131793301284,14.423678478815315,H_A+H_B from basin/geometric component projections
0.4,2400,boundary_v2_regime_sequence,7,0.999,14.420552345646932,14.406131793301284,14.423678478815315,H_A+H_B from basin/geometric component projections
0.4,2400,random_kappa_matched,7,0.999,14.420552345646932,14.406131793301284,14.423678478815315,H_A+H_B from basin/geometric component projections
0.4,2400,identity_like_diagnostic,7,0.999,14.420552345646932,14.406131793301284,14.423678478815315,H_A+H_B from basin/geometric component projections
0.4,2400,all_one_diagnostic,7,0.999,14.420552345646932,14.406131793301284,14.423678478815315,H_A+H_B from basin/geometric component projections
0.4,3600,center_of_mass,7,0.999,16.86577614390873,16.84891036776482,16.86796158614518,H_A+H_B from basin/geometric component projections
0.4,3600,relative_distance,7,0.999,16.86577614390873,16.84891036776482,16.86796158614518,H_A+H_B from basin/geometric component projections
0.4,3600,joint_basin,7,0.999,16.86577614390873,16.84891036776482,16.86796158614518,H_A+H_B from basin/geometric component projections
0.4,3600,basin_transition_profile,7,0.999,16.86577614390873,16.84891036776482,16.86796158614518,H_A+H_B from basin/geometric component projections
0.4,3600,boundary_v2_regime_sequence,7,0.999,16.86577614390873,16.84891036776482,16.86796158614518,H_A+H_B from basin/geometric component projections
0.4,3600,random_kappa_matched,7,0.999,16.86577614390873,16.84891036776482,16.86796158614518,H_A+H_B from basin/geometric component projections
0.4,3600,identity_like_diagnostic,7,0.999,16.86577614390873,16.84891036776482,16.86796158614518,H_A+H_B from basin/geometric component projections
0.4,3600,all_one_diagnostic,7,0.999,16.86577614390873,16.84891036776482,16.86796158614518,H_A+H_B from basin/geometric component projections
0.4,900,center_of_mass,6,0.999,9.05448909305263,9.045434603959578,9.060272689064067,H_A+H_B from basin/geometric component projections
0.4,900,relative_distance,6,0.999,9.05448909305263,9.045434603959578,9.060272689064067,H_A+H_B from basin/geometric component projections
0.4,900,joint_basin,6,0.999,9.05448909305263,9.045434603959578,9.060272689064067,H_A+H_B from basin/geometric component projections
0.4,900,basin_transition_profile,6,0.999,9.05448909305263,9.045434603959578,9.060272689064067,H_A+H_B from basin/geometric component projections
0.4,900,boundary_v2_regime_sequence,6,0.999,9.05448909305263,9.045434603959578,9.060272689064067,H_A+H_B from basin/geometric component projections
0.4,900,random_kappa_matched,6,0.999,9.05448909305263,9.045434603959578,9.060272689064067,H_A+H_B from basin/geometric component projections
0.4,900,identity_like_diagnostic,6,0.999,9.05448909305263,9.045434603959578,9.060272689064067,H_A+H_B from basin/geometric component projections
0.4,900,all_one_diagnostic,6,0.999,9.05448909305263,9.045434603959578,9.060272689064067,H_A+H_B from basin/geometric component projections
0.4,1500,center_of_mass,6,0.999,11.518145092305003,11.506626947212698,11.522651041806517,H_A+H_B from basin/geometric component projections
0.4,1500,relative_distance,6,0.999,11.518145092305003,11.506626947212698,11.522651041806517,H_A+H_B from basin/geometric component projections
