syndrome_id,mechanism_control_name,mechanism_control_strength,mechanism_strength_label,baseline_syndrome_rate,mechanism_control_syndrome_rate,syndrome_rate_delta,mechanism_dependency_score,generic_phase_score,roughness_robustness_score,roughness_brittleness_score,control_destructiveness_score,control_too_destructive_flag,decision_class,rate_context_count
SYN_C_low_growth_high_concentration_low_entropy,asymmetry_flip_sweep_control,0.1,p0.10,0.026785714285714284,0.0,0.026785714285714284,1.0,0.0,,,1.0,1,control_too_destructive_underdetermined,4
SYN_C_low_growth_high_concentration_low_entropy,asymmetry_flip_sweep_control,0.2,p0.20,0.026785714285714284,0.0,0.026785714285714284,1.0,0.0,,,1.0,1,control_too_destructive_underdetermined,4
SYN_C_low_growth_high_concentration_low_entropy,constraint_resampled_generation_control,0.01,weak,0.026785714285714284,0.09375,-0.06696428571428571,0.0,3.5,,,0.8442330031628598,1,control_too_destructive_underdetermined,4
SYN_C_low_growth_high_concentration_low_entropy,roughness_resampled_transform_control,0.1,p0.10,0.026785714285714284,0.0,0.026785714285714284,1.0,0.0,0.0,1.0,1.0,1,control_too_destructive_underdetermined,4
SYN_C_low_growth_high_concentration_low_entropy,roughness_resampled_transform_control,0.2,p0.20,0.026785714285714284,0.0,0.026785714285714284,1.0,0.0,0.0,1.0,1.0,1,control_too_destructive_underdetermined,4
SYN_D_high_turnover_high_entropy_low_bottleneck_control,asymmetry_flip_sweep_control,0.01,p0.01,0.0,0.0,0.0,0.0,0.0,,,0.1278736170645153,0,no_measurable_syndrome,4
SYN_D_high_turnover_high_entropy_low_bottleneck_control,asymmetry_flip_sweep_control,0.02,p0.02,0.0,0.002232142857142857,-0.002232142857142857,0.0,0.0,,,0.2877734938236318,0,no_measurable_syndrome,4
SYN_D_high_turnover_high_entropy_low_bottleneck_control,roughness_resampled_transform_control,0.01,p0.01,0.0,0.002232142857142857,-0.002232142857142857,0.0,0.0,,0.0,0.4688097483711592,0,no_measurable_syndrome,4
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_resampled_generation_control,0.05,medium,0.0,0.004464285714285714,-0.004464285714285714,0.0,0.0,,,0.683265330632797,1,no_measurable_syndrome,4
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_resampled_generation_control,0.2,strong,0.0,0.05357142857142857,-0.05357142857142857,0.0,0.0,,,1.0,1,no_measurable_syndrome,4
SYN_D_high_turnover_high_entropy_low_bottleneck_control,roughness_resampled_transform_control,0.02,p0.02,0.0,0.002232142857142857,-0.002232142857142857,0.0,0.0,,0.0,1.0,1,no_measurable_syndrome,4
SYN_D_high_turnover_high_entropy_low_bottleneck_control,roughness_resampled_transform_control,0.05,p0.05,0.0,0.008928571428571428,-0.008928571428571428,0.0,0.0,,0.0,1.0,1,no_measurable_syndrome,4
SYN_D_high_turnover_high_entropy_low_bottleneck_control,asymmetry_flip_sweep_control,0.05,p0.05,0.0,0.004464285714285714,-0.004464285714285714,0.0,0.0,,,1.0,1,no_measurable_syndrome,4
SYN_D_high_turnover_high_entropy_low_bottleneck_control,asymmetry_flip_sweep_control,0.1,p0.10,0.0,0.011160714285714284,-0.011160714285714284,0.0,0.0,,,1.0,1,no_measurable_syndrome,4
SYN_D_high_turnover_high_entropy_low_bottleneck_control,asymmetry_flip_sweep_control,0.2,p0.20,0.0,0.024553571428571428,-0.024553571428571428,0.0,0.0,,,1.0,1,no_measurable_syndrome,4
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_resampled_generation_control,0.01,weak,0.0,0.03571428571428571,-0.03571428571428571,0.0,0.0,,,0.8442330031628598,1,no_measurable_syndrome,4
SYN_D_high_turnover_high_entropy_low_bottleneck_control,roughness_resampled_transform_control,0.1,p0.10,0.0,0.017857142857142856,-0.017857142857142856,0.0,0.0,,0.0,1.0,1,no_measurable_syndrome,4
SYN_D_high_turnover_high_entropy_low_bottleneck_control,roughness_resampled_transform_control,0.2,p0.20,0.0,0.049107142857142856,-0.049107142857142856,0.0,0.0,,0.0,1.0,1,no_measurable_syndrome,4
