condition_id,mechanism_condition,mechanism_control_name,mechanism_control_strength,mechanism_strength_label,syndrome_id,probe_key,flow_mode,syndrome_rate,complete_unit_count,component_marginal_rates_json
,mechanism_control,constraint_resampled_generation_control,0.05,medium,SYN_C_low_growth_high_concentration_low_entropy,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.008928571428571428,112,"{""concentration_high"": 0.19642857142857142, ""growth_low"": 0.05357142857142857, ""transition_entropy_low"": 0.2767857142857143}"
,mechanism_control,constraint_resampled_generation_control,0.05,medium,SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.0,112,"{""bottleneck_low"": 0, ""transition_entropy_high"": 0.21428571428571427, ""turnover_high"": 0.08928571428571429}"
,mechanism_control,constraint_resampled_generation_control,0.2,strong,SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_profile_hash,constrained_window_flow,0.0,112,"{""bottleneck_high"": 0.08035714285714286, ""growth_low"": 0.017857142857142856, ""offdiag_low"": 0.044642857142857144}"
,mechanism_control,constraint_resampled_generation_control,0.2,strong,SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,constrained_window_flow,0.07291666666666667,96,"{""offdiag_high"": 0.84375, ""turnover_high"": 0.3958333333333333, ""window_delta_high"": 0.08333333333333333}"
,mechanism_control,constraint_resampled_generation_control,0.2,strong,SYN_C_low_growth_high_concentration_low_entropy,constraint_profile_hash,constrained_window_flow,0.0,112,"{""concentration_high"": 0.07142857142857142, ""growth_low"": 0.017857142857142856, ""transition_entropy_low"": 0.07142857142857142}"
,mechanism_control,constraint_resampled_generation_control,0.2,strong,SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_profile_hash,constrained_window_flow,0.10714285714285714,112,"{""bottleneck_low"": 0.7232142857142857, ""transition_entropy_high"": 0.6964285714285714, ""turnover_high"": 0.3392857142857143}"
,mechanism_control,constraint_resampled_generation_control,0.2,strong,SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_profile_hash,one_step_local_flow,0.0,112,"{""bottleneck_high"": 0.08035714285714286, ""growth_low"": 0.017857142857142856, ""offdiag_low"": 0.044642857142857144}"
,mechanism_control,constraint_resampled_generation_control,0.2,strong,SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,one_step_local_flow,0.041666666666666664,96,"{""offdiag_high"": 0.75, ""turnover_high"": 0.40625, ""window_delta_high"": 0.09375}"
,mechanism_control,constraint_resampled_generation_control,0.2,strong,SYN_C_low_growth_high_concentration_low_entropy,constraint_profile_hash,one_step_local_flow,0.0,112,"{""concentration_high"": 0.07142857142857142, ""growth_low"": 0.017857142857142856, ""transition_entropy_low"": 0.07142857142857142}"
,mechanism_control,constraint_resampled_generation_control,0.2,strong,SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_profile_hash,one_step_local_flow,0.10714285714285714,112,"{""bottleneck_low"": 0.7232142857142857, ""transition_entropy_high"": 0.7053571428571429, ""turnover_high"": 0.3482142857142857}"
,mechanism_control,constraint_resampled_generation_control,0.2,strong,SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.0,112,"{""bottleneck_high"": 0.16964285714285715, ""growth_low"": 0.017857142857142856, ""offdiag_low"": 0.14285714285714285}"
,mechanism_control,constraint_resampled_generation_control,0.2,strong,SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.0,96,"{""offdiag_high"": 0.052083333333333336, ""turnover_high"": 0.17708333333333334, ""window_delta_high"": 0.07291666666666667}"
,mechanism_control,constraint_resampled_generation_control,0.2,strong,SYN_C_low_growth_high_concentration_low_entropy,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.0,112,"{""concentration_high"": 0.16964285714285715, ""growth_low"": 0.017857142857142856, ""transition_entropy_low"": 0.15178571428571427}"
,mechanism_control,constraint_resampled_generation_control,0.2,strong,SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.0,112,"{""bottleneck_low"": 0.03571428571428571, ""transition_entropy_high"": 0.35714285714285715, ""turnover_high"": 0.15178571428571427}"
