space,rule_id,parent_rule_id,control_type,stratum,ic_family,active_fraction_mean,active_fraction_final,symbol_entropy_mean,extinction_rate,all_zero_attractor_rate,all_one_attractor_rate,global_fixed_point_rate,global_periodic_rate,localized_component_lifetime_mean,localized_component_lifetime_max,component_size_median,component_size_entropy,persistent_component_count,recurrence_up_to_shift,motif_survival_depth,motif_material_turnover,translation_velocity_estimate,period_estimate,pattern_background_contrast,local_entropy_inside_pattern,local_entropy_outside_pattern,signal_to_background_ratio,exact_static_fraction,global_period_fraction,low_turnover_persistence_fraction,frozen_order_index,activity_entropy,damage_spreading_rate,compressibility_proxy,component_fragmentation_rate,chaos_index,raw_persistence_score
q3_radius1,q3r1_s1_0002_left_neighbor_removed,q3r1_s1_0002,left_neighbor_removed,left_neighbor_removed,single_active_2,0.4990329556530214,0.0,0.6310118498547901,1.0,1.0,0.0,0.0,1.0,4.0,4.0,1.0,-0.0,0.0,1.0,0.0078125,0.0,-0.03125,2.0,0.0,0.4990329556530214,0.5009670443469786,0.0,0.0,1.0,1.0,0.35,0.6310118498547901,0.0,1.0,0.007751937984496124,0.0,0.0
q3_radius1,q3r1_s1_0002_left_neighbor_removed,q3r1_s1_0002,left_neighbor_removed,left_neighbor_removed,two_cell_active,0.5029392056530214,0.0078125,0.6517286302710371,0.0,0.0,0.0,0.0,0.0,256.0,256.0,2.0,-0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.5029392056530214,0.4970607943469786,2.0157480274328226,0.0,0.0,1.0,0.35,0.6517286302710371,0.01171875,0.98828125,0.5,0.007637444885988717,0.0
q3_radius1,q3r1_s1_0002_left_neighbor_removed,q3r1_s1_0002,left_neighbor_removed,left_neighbor_removed,short_random_active_block,0.5170011464615314,0.048095703125,0.7013716455756283,0.0,0.0,0.0,0.0,0.0,243.59375,256.0,5.0,3.6683981760360265,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.5170011464615314,0.4829988535384686,2.1272168669341114,0.0,0.0,1.0,0.35,0.7013716455756283,0.043426513671875,0.956573486328125,0.18165353952713484,0.030458125355655487,0.0
q3_radius1,q3r1_s1_0002_left_neighbor_removed,q3r1_s1_0002,left_neighbor_removed,left_neighbor_removed,periodic_background_perturbation,0.8307319031356604,0.994537353515625,0.9223565731131419,0.0,0.0,0.0,0.0,0.0,40.0,516.0,2.0,0.5038475885634729,0.0703125,1.0,1.0078125,0.0,0.0,0.0,0.6640625,0.8307319031356604,0.16926809686433963,4.059204157511194,0.0,0.0,1.0,0.35,0.9223565731131419,0.66497802734375,0.33502197265625,0.004095661098664559,0.6133468544963184,0.0
q3_radius1,q3r1_s1_0002_center_only_projection,q3r1_s1_0002,center_only_projection,center_only_projection,random_uniform,0.6662144949096918,0.666473388671875,0.9999983205277536,0.0,0.0,0.0,0.0,1.0,516.0,516.0,2.0,2.754999235965589,1.0,1.0,1.0078125,0.0,0.0,2.0,1.0,0.6662144949096918,0.33378550509030824,34.517389479381606,0.0,1.0,1.0,0.35,0.9999983205277536,0.663970947265625,0.336029052734375,0.3341971121783158,0.6639698321448466,0.0
q3_radius1,q3r1_s1_0002_center_only_projection,q3r1_s1_0002,center_only_projection,center_only_projection,sparse_active_010,0.5237815217432688,0.098358154296875,0.7784840789739564,0.0,0.0,0.0,0.0,1.0,516.0,516.0,1.0,0.4998800281565233,1.0,1.0,1.0078125,0.0,0.0,2.0,1.0,0.5237815217432688,0.47621847825673125,2.3443023724811973,0.0,1.0,1.0,0.35,0.7784840789739564,0.1824951171875,0.8175048828125,0.9071867163252126,0.1420695432209552,0.0
q3_radius1,q3r1_s1_0002_center_only_projection,q3r1_s1_0002,center_only_projection,center_only_projection,sparse_active_025,0.5630154079861112,0.256591796875,0.8975335924483047,0.0,0.0,0.0,0.0,1.0,516.0,516.0,1.0,1.1241160936801198,1.0,1.0,1.0078125,0.0,0.0,2.0,1.0,0.5630154079861112,0.43698459201388884,3.2478672713761667,0.0,1.0,1.0,0.35,0.8975335924483047,0.4119873046875,0.5880126953125,0.7404096354363131,0.36977244561926614,0.0
q3_radius1,q3r1_s1_0002_center_only_projection,q3r1_s1_0002,center_only_projection,center_only_projection,single_active_1,0.4990329556530214,0.00390625,0.6309280511048792,0.0,0.0,0.0,0.0,1.0,516.0,516.0,1.0,-0.0,1.0,1.0,1.0078125,0.0,0.0,2.0,1.0,0.4990329556530214,0.5009670443469786,2.0157480274328226,0.0,1.0,1.0,0.35,0.6309280511048792,0.0078125,0.9921875,1.0,0.004929125399256868,0.0
q3_radius1,q3r1_s1_0002_center_only_projection,q3r1_s1_0002,center_only_projection,center_only_projection,single_active_2,0.5009822733918129,0.00390625,0.6517286847381485,0.0,0.0,0.0,0.0,1.0,516.0,516.0,1.0,-0.0,1.0,1.0,1.0078125,0.0,0.0,2.0,1.0,0.5009822733918129,0.4990177266081871,2.0078431332234676,0.0,1.0,1.0,0.35,0.6517286847381485,0.0078125,0.9921875,1.0,0.005091630349516785,0.0
q3_radius1,q3r1_s1_0002_center_only_projection,q3r1_s1_0002,center_only_projection,center_only_projection,two_cell_active,0.50098988791423,0.0078125,0.6517287116538023,0.0,0.0,0.0,0.0,1.0,516.0,516.0,2.0,-0.0,1.0,1.0,1.0078125,0.0,0.0,2.0,1.0,0.50098988791423,0.49901011208576995,2.0237154109243387,0.0,1.0,1.0,0.35,0.6517287116538023,0.01171875,0.98828125,0.5,0.007637445839692995,0.0
q3_radius1,q3r1_s1_0002_center_only_projection,q3r1_s1_0002,center_only_projection,center_only_projection,short_random_active_block,0.5102115504690545,0.043212890625,0.7139786453600911,0.0,0.0,0.0,0.0,1.0,516.0,516.0,2.0,2.5760987927619103,1.0,1.0,1.0078125,0.0,0.0,2.0,1.0,0.5102115504690545,0.48978844953094547,2.1364381671031,0.0,1.0,1.0,0.35,0.7139786453600911,0.044158935546875,0.955841064453125,0.37876854317208414,0.03152853698230139,0.0
