point_id,T,seed,relation_lineage,self_only_lineage,independent_lineage_baseline,relation_lineage_excess
phase_001,100,9,0.7013839455652837,0.7013839455652837,0.7013839455652837,0.0
phase_001,100,13,0.7014377877973905,0.7014377877973905,0.7014377877973905,0.0
phase_001,100,16,0.7016540452453988,0.7016540452453988,0.7016540452453988,0.0
phase_001,100,12,0.7006367247320061,0.7006367247320061,0.7006367247320061,0.0
phase_001,100,17,0.7020605694980695,0.7020605694980695,0.7020605694980695,0.0
phase_002,50,2,0.614053751399776,0.6140262224710713,0.6140262224710713,2.752892870472312e-05
phase_002,50,1,0.6145468809433244,0.6145174020540128,0.614526435907189,2.044503613540805e-05
phase_002,50,0,0.6127081763376035,0.6126789751318764,0.6126865109269027,2.166541070081074e-05
phase_002,50,3,0.6136475095785441,0.6136350574712643,0.6136350574712643,1.245210727973678e-05
phase_002,50,5,0.6147271260440396,0.6147024487471526,0.6147029233105543,2.420273348524571e-05
phase_002,50,4,0.6132272901494826,0.6131482368723649,0.613161172863166,6.611728631666924e-05
phase_001,100,20,0.7018647462800459,0.7018647462800459,0.7018647462800459,0.0
phase_001,100,18,0.7016082053742803,0.7016082053742803,0.7016082053742803,0.0
phase_001,100,19,0.7018482108687333,0.7018482108687333,0.7018482108687333,0.0
phase_001,100,21,0.7013450570342205,0.7013450570342205,0.7013450570342205,0.0
phase_001,100,22,0.7008627848590189,0.7008627848590189,0.7008627848590189,0.0
phase_001,100,23,0.702690845206007,0.702690845206007,0.702690845206007,0.0
phase_001,100,24,0.7013046875,0.7013046875,0.7013046875,0.0
phase_001,100,25,0.7020013910207215,0.7020013910207215,0.7020013910207215,0.0
phase_001,100,26,0.7012297843665769,0.7012297843665769,0.7012297843665769,0.0
phase_001,100,27,0.7014601043276661,0.7014601043276661,0.7014601043276661,0.0
phase_001,100,28,0.7012805944055944,0.7012805944055944,0.7012805944055944,0.0
phase_002,50,10,0.6136333459787557,0.613597306525038,0.61359967754173,3.366843702579114e-05
phase_002,50,6,0.6160666539343009,0.6160380061115355,0.6160380061115355,2.864782276545963e-05
phase_002,50,7,0.6136087807606264,0.6135845451155855,0.6135887397464579,2.0041014168525884e-05
phase_001,100,29,0.7009735895494131,0.7009735895494131,0.7009735895494131,0.0
phase_002,50,9,0.6124578278999242,0.6124080742987111,0.6124123388931008,4.548900682344037e-05
phase_002,50,8,0.6108509523809523,0.6108085714285714,0.6108214285714285,2.9523809523812616e-05
phase_002,50,11,0.6128301976434816,0.6128116685670848,0.6128159445077918,1.4253135689812346e-05
phase_002,50,14,0.6113375856816451,0.6113047410510282,0.6113047410510282,3.284463061692389e-05
phase_002,50,13,0.6133985831469053,0.6133622296793437,0.6133650260999254,3.355704697993733e-05
phase_002,50,12,0.6124316782140107,0.6123951116243265,0.6124008852963818,3.079291762886349e-05
phase_002,50,15,0.6127768650947043,0.6127444916892153,0.6127589872439119,1.787785079243598e-05
phase_002,50,16,0.6140685543964233,0.6140448025335321,0.6140448025335321,2.375186289116371e-05
phase_002,50,17,0.6120720633693972,0.612039702472952,0.612047913446677,2.41499227202624e-05
phase_002,50,18,0.6132368271417741,0.6132249810462471,0.613230193328279,6.633813495082741e-06
phase_002,50,19,0.6099631101021566,0.6099356791524783,0.6099385168369278,2.459326522885608e-05
phase_002,50,20,0.6129611557596633,0.6129405855338691,0.6129410639112132,2.0091848450087824e-05
phase_002,50,21,0.6127931394906879,0.6127489547700494,0.6127565564424173,3.658304827058867e-05
phase_002,50,22,0.6127975965177896,0.6127711014383043,0.6127711014383043,2.6495079485377996e-05
phase_002,50,25,0.6160317836812144,0.6160052182163187,0.6160085388994307,2.3244781783615664e-05
phase_002,50,24,0.6122380862329804,0.6121941187594554,0.6121960098335855,4.207639939490804e-05
phase_002,50,23,0.6138106980273141,0.613798368740516,0.613798368740516,1.232928679817391e-05
phase_002,50,27,0.6129484006092917,0.6129174600152323,0.6129174600152323,3.094059405939209e-05
phase_002,50,26,0.6123769479285442,0.6123489167616876,0.6123522424933485,2.4705435195726544e-05
phase_002,50,28,0.6120077917141771,0.6119726339794754,0.6119726339794754,3.515773470164074e-05
phase_002,50,29,0.6113516452344931,0.6113020045385779,0.6113024773071104,4.916792738274278e-05
phase_002,100,0,0.6139345601045296,0.6139157774390245,0.6139190439895471,1.5516114982516704e-05
phase_002,100,2,0.6125340154867257,0.6125243362831858,0.6125243362831858,9.679203539891825e-06
phase_002,100,3,0.614367624562937,0.6143373033216784,0.6143373033216784,3.032124125867952e-05
phase_002,100,1,0.6139147180944056,0.6138966892482517,0.6138972355769231,1.748251748245888e-05
phase_002,100,4,0.6126272389689821,0.6126048492791613,0.6126138597640891,1.3379204892971508e-05
phase_002,100,5,0.6137695737277078,0.6137393975641584,0.6137418442801219,2.7729447585889133e-05
phase_002,100,7,0.6128961930057547,0.612872399291722,0.612872399291722,2.3793714032716015e-05
phase_002,100,6,0.6133896322889469,0.6133676022628373,0.6133676022628373,2.2030026109676196e-05
phase_002,100,8,0.6148405725022105,0.6148170866489832,0.6148170866489832,2.3485853227311893e-05
phase_002,100,10,0.6146594827586206,0.6146419719827585,0.6146427801724138,1.6702586206784886e-05
phase_002,100,9,0.6156836371720765,0.6156525122276568,0.6156533459315251,3.029124055142773e-05
phase_002,100,11,0.6135016862489121,0.6134750326370757,0.6134807441253264,2.0942123585721006e-05
phase_002,100,13,0.6126829200178731,0.6126700737265416,0.6126700737265416,1.284629133146975e-05
phase_002,100,12,0.6139881214254289,0.6139705235371755,0.6139724483062032,1.567311922567871e-05
phase_002,100,15,0.612916206972639,0.6128844880847307,0.6128919351279788,2.4271844660250785e-05
phase_002,100,14,0.613946083808688,0.6139241443615621,0.6139241443615621,2.193944712591822e-05
phase_002,100,16,0.6137843736359668,0.6137628219118288,0.6137677324312527,1.664120471411845e-05
phase_002,100,17,0.6123671324823944,0.6123500770246478,0.6123503521126761,1.6780369718305543e-05
phase_003,50,0,0.5602784249767008,0.557882688723206,0.5582752795899348,0.0020031453867659
phase_003,50,1,0.555034030140982,0.5526251823043267,0.5530353670393777,0.0019986631016042
phase_002,100,18,0.6136584499344119,0.6136412330564057,0.6136469720157411,1.1477918670732556e-05
phase_003,50,2,0.5656577988338193,0.5632774538386783,0.5633351554907677,0.0023226433430515
phase_003,50,4,0.5591191155492155,0.5568675701378983,0.5573305991440799,0.0017885164051355
phase_003,50,3,0.5563480504587156,0.5540625,0.5542413990825688,0.0021066513761468
phase_003,50,5,0.557238255872064,0.5547376311844079,0.5549793853073463,0.0022588705647177
phase_002,100,19,0.6146389312146278,0.6146204288202003,0.6146217892903788,1.7141924248953444e-05
phase_002,100,20,0.61322265625,0.613203125,0.6132042253521126,1.8430897887444783e-05
phase_002,100,21,0.6138178168402777,0.6137974717881944,0.6138088650173611,8.951822916603014e-06
phase_002,100,22,0.6124913644214162,0.6124697754749568,0.6124697754749568,2.158894645931664e-05
phase_002,100,23,0.6127206843940715,0.6126918047079337,0.6126958914559721,2.4792938099316156e-05
phase_002,100,25,0.613962592431492,0.613936765985211,0.613937853414528,2.473901696398162e-05
phase_002,100,24,0.6140293250327654,0.614012123197903,0.614012123197903,1.720183486242366e-05
phase_002,100,26,0.6102044059622972,0.6101926238491889,0.610197829899167,6.576063130148135e-06
phase_003,50,7,0.5565359972041006,0.5542614165890029,0.5543458760484623,0.0021901211556383
phase_003,50,6,0.5561164653971202,0.5538005109150024,0.5538643752902926,0.0022520901068275
phase_003,50,8,0.5541526644263083,0.5517672827652425,0.5521081373019683,0.00204452712434
phase_003,50,10,0.5597187649593107,0.5571349928195309,0.5573504068932503,0.0023683580660603
