point_id,T,seed,recoverable_alternative_count,branching_after_closure,post_perturbation_continuation_rate
phase_002,50,23,2636.0,0.9999000728948452,0.0
phase_002,50,27,2626.0,0.999952780296962,0.0
phase_002,50,26,2631.0,0.9999794600766722,0.0
phase_002,50,28,2631.0,0.9999547638032265,0.0
phase_002,50,29,2644.0,0.9999766185567142,0.0
phase_002,100,0,2296.0,0.9999656070205842,0.0
phase_002,100,2,2260.0,0.9998896854332008,0.0
phase_002,100,3,2288.0,0.9999768293873444,0.0
phase_002,100,1,2288.0,0.9999872274464068,0.0
phase_002,100,4,2289.0,0.999979193882256,0.0
phase_002,100,5,2299.0,0.9999692146826312,0.0
phase_002,100,7,2259.0,0.9999841215754224,0.0
phase_002,100,6,2298.0,0.9999620373672948,0.0
phase_002,100,8,2262.0,0.999957823171678,0.0
phase_002,100,10,2320.0,0.9999970355908534,0.0
phase_002,100,9,2249.0,0.9999499507096872,0.0
phase_002,100,11,2298.0,0.9999581260170498,0.0
phase_002,100,13,2238.0,0.9998514917532536,0.0
phase_002,100,12,2273.0,0.9999632024181856,0.0
phase_002,100,15,2266.0,0.9999734298853176,0.0
phase_002,100,14,2279.0,0.9999580442475352,0.0
phase_002,100,16,2291.0,0.9999383926331116,0.0
phase_002,100,17,2272.0,0.9999048887434472,0.0
phase_003,50,0,2146.0,0.9998974340406668,0.0
phase_003,50,1,2057.0,0.9998741798579984,0.0
phase_002,100,18,2287.0,0.999972888119275,0.0
phase_003,50,2,2058.0,0.9999883726495912,0.0
phase_003,50,4,2102.0,0.9999879763379642,0.0
phase_003,50,3,2180.0,0.9999366897490258,0.0
phase_003,50,5,2001.0,0.9999737699255284,0.0
phase_002,100,19,2297.0,0.9999878005675096,0.0
phase_002,100,20,2272.0,0.9999613057759212,0.0
phase_002,100,21,2304.0,0.9999779073563684,0.0
phase_002,100,22,2316.0,0.9999123550728992,0.0
phase_002,100,23,2294.0,0.9999433304621944,0.0
phase_002,100,25,2299.0,0.99999604717966,0.0
phase_002,100,24,2289.0,0.9999584313053124,0.0
phase_002,100,26,2281.0,0.9999058940116026,0.0
phase_003,50,7,2146.0,0.9999481966279724,0.0
phase_003,50,6,2153.0,0.9999592556560576,0.0
phase_003,50,8,2083.0,0.9999312439745004,0.0
phase_003,50,10,2089.0,0.9997373269607606,0.0
phase_003,50,9,2213.0,0.9999706997984876,0.0
phase_002,100,29,2300.0,0.9999443306550324,0.0
phase_002,100,27,2300.0,0.9999018924701606,0.0
