point_id,T,seed,p_viable,survival_depth,collapse_rate
phase_002,100,17,0.7573333333333333,0.7573333333333333,0.0
phase_003,50,0,0.7153333333333334,0.7153333333333334,0.0
phase_003,50,1,0.6856666666666666,0.6856666666666666,0.001
phase_002,100,18,0.7623333333333333,0.7623333333333333,0.0
phase_003,50,2,0.686,0.686,0.0003333333333332
phase_003,50,4,0.701,0.701,0.0
phase_003,50,3,0.7266666666666667,0.7266666666666667,0.0
phase_003,50,5,0.667,0.667,0.0003333333333332
phase_002,100,19,0.7656666666666667,0.7656666666666667,0.0
phase_002,100,20,0.7573333333333333,0.7573333333333333,0.0
phase_002,100,21,0.768,0.768,0.0
phase_002,100,22,0.772,0.772,0.0
phase_002,100,23,0.7646666666666667,0.7646666666666667,0.0
phase_002,100,25,0.7663333333333333,0.7663333333333333,0.0
phase_002,100,24,0.763,0.763,0.0
phase_002,100,26,0.7603333333333333,0.7603333333333333,0.0006666666666667
phase_003,50,7,0.7153333333333334,0.7153333333333334,0.0006666666666667
phase_003,50,6,0.7176666666666667,0.7176666666666667,0.0003333333333332
phase_003,50,8,0.6943333333333334,0.6943333333333334,0.0013333333333332
phase_003,50,10,0.6963333333333334,0.6963333333333334,0.001
phase_003,50,9,0.7376666666666667,0.7376666666666667,0.0003333333333332
phase_002,100,29,0.7666666666666667,0.7666666666666667,0.0
phase_002,100,27,0.7666666666666667,0.7666666666666667,0.0003333333333332
phase_002,100,28,0.7666666666666667,0.7666666666666667,0.0
phase_003,50,11,0.7193333333333334,0.7193333333333334,0.0003333333333332
phase_003,50,13,0.7096666666666667,0.7096666666666667,0.0003333333333332
phase_003,50,12,0.7136666666666667,0.7136666666666667,0.0006666666666667
phase_003,50,14,0.7233333333333334,0.7233333333333334,0.0003333333333332
phase_003,50,15,0.7476666666666667,0.7476666666666667,0.0
phase_003,50,16,0.7066666666666667,0.7066666666666667,0.0003333333333332
phase_003,50,17,0.735,0.735,0.0
phase_003,50,20,0.7076666666666667,0.7076666666666667,0.0003333333333332
phase_003,50,18,0.721,0.721,0.0006666666666667
phase_003,50,19,0.6853333333333333,0.6853333333333333,0.0003333333333332
phase_003,50,21,0.7013333333333334,0.7013333333333334,0.0006666666666667
phase_003,50,23,0.6976666666666667,0.6976666666666667,0.0003333333333332
phase_003,50,24,0.6853333333333333,0.6853333333333333,0.001
