point_id,T,seed,transition_determinism,state_concentration,relation_rigidity,branching_collapse,lock_in_index
phase_001,100,23,0.452690845206007,0.000385059684251,0.078125,5.928615107342328e-05,6.912444789851381e-07
phase_001,100,24,0.4513046875000001,0.000390625,0.066875,2.5410526893088203e-05,5.939523198151645e-07
phase_001,100,25,0.4520013910207213,0.0003837298541826,0.06625,1.7896660572169765e-05,5.776454041555587e-07
phase_001,100,26,0.4512297843665768,0.000385059684251,0.07375,3.662256807024367e-05,6.470677794936613e-07
phase_001,100,27,0.4514601043276661,0.0003863987635239,0.0725,2.8761576752023288e-05,6.37375418326463e-07
phase_001,100,28,0.4512805944055944,0.0003885003885003,0.07625,3.735457504672191e-05,6.749668457661933e-07
phase_002,50,10,0.3636333459787556,0.0003793626707132,0.0875,9.708087409276978e-05,6.169187146183429e-07
phase_002,50,6,0.366066653934301,0.0003819709702062,0.06625,1.379941682710939e-05,4.6510591959569014e-07
phase_002,50,7,0.3636087807606264,0.000372856077554,0.10625,5.428824450237624e-05,7.275955742669545e-07
phase_001,100,29,0.4509735895494131,0.0003786444528587,0.07125,1.7885987604993048e-05,6.113818708075139e-07
phase_002,50,9,0.3624578278999242,0.0003790750568612,0.085,5.912162485399719e-05,5.920678029951372e-07
phase_002,50,8,0.3608509523809523,0.0003809523809523,0.0925,0.0001011790168194,6.496937902255956e-07
phase_002,50,11,0.3628301976434815,0.000380083618396,0.0675,4.062394478177023e-05,4.71034401733553e-07
phase_002,50,14,0.3613375856816451,0.0003808073115003,0.075,1.5489342330310407e-05,5.181313129731911e-07
phase_002,50,13,0.3633985831469053,0.000372856077554,0.09,1.3329840193865294e-05,6.11535297986987e-07
phase_002,50,12,0.3624316782140107,0.0003849114703618,0.07125,0.0001028388951458,5.113298410280194e-07
phase_002,50,15,0.3627768650947043,0.0003865481252415,0.08375,2.986878171395979e-05,5.914046484648097e-07
phase_002,50,16,0.3640685543964232,0.0003725782414307,0.08125,7.469966814421802e-05,5.611864017997866e-07
phase_002,50,17,0.3620720633693972,0.0003863987635239,0.09625,2.1698014206705807e-05,6.763245941808596e-07
phase_002,50,18,0.3632368271417741,0.0003790750568612,0.07875,2.515860018914573e-05,5.456343961253863e-07
phase_002,50,19,0.3599631101021566,0.0003783579265985,0.07375,2.094632372662275e-06,5.02503957202076e-07
phase_002,50,20,0.3629611557596632,0.0003827018752391,0.09,2.944543469718397e-05,6.291667623145886e-07
phase_002,50,21,0.3627931394906879,0.000380083618396,0.085,6.658245837343202e-06,5.869579660761134e-07
phase_002,50,22,0.3627975965177896,0.0003785011355034,0.09375,4.437853792227386e-05,6.49778259111398e-07
phase_002,50,25,0.3660317836812144,0.0003795066413662,0.07875,0.0001109508509781,5.623763514722018e-07
phase_002,50,24,0.3622380862329803,0.0003782148260211,0.0775,3.1950853585871464e-05,5.352671710322448e-07
phase_002,50,23,0.3638106980273141,0.0003793626707132,0.08125,9.992710515471792e-05,5.744823636624242e-07
phase_002,50,27,0.3629484006092916,0.0003808073115003,0.095,4.721970303811496e-05,6.630400680080217e-07
phase_002,50,26,0.3623769479285442,0.000380083618396,0.06875,2.053992332784471e-05,4.76288085606462e-07
phase_002,50,28,0.3620077917141771,0.000380083618396,0.07375,4.523619677365698e-05,5.135992351370611e-07
phase_002,50,29,0.3613516452344932,0.0003782148260211,0.0925,2.3381443285841463e-05,6.352875500033385e-07
phase_002,100,0,0.3639345601045295,0.0004355400696864,0.065,3.439297941576491e-05,5.206028371838335e-07
phase_002,100,2,0.3625340154867257,0.0004424778761061,0.079375,0.0001103145667991,6.54336131341284e-07
phase_002,100,3,0.3643676245629371,0.0004370629370629,0.07125,2.31706126555542e-05,5.710237253489666e-07
phase_002,100,1,0.3639147180944056,0.0004370629370629,0.081875,1.2772553593221048e-05,6.531573415381101e-07
phase_002,100,4,0.3626272389689821,0.000436871996505,0.0825,2.080611774402108e-05,6.567855944859018e-07
phase_002,100,5,0.3637695737277077,0.0004349717268377,0.060625,3.078531736888657e-05,4.845042549536608e-07
phase_002,100,7,0.3628961930057547,0.0004426737494466,0.07,1.587842457762001e-05,5.648069479195614e-07
phase_002,100,6,0.363389632288947,0.0004351610095735,0.074375,3.796263270516853e-05,5.940602359503799e-07
phase_002,100,8,0.3648405725022104,0.0004420866489832,0.078125,4.217682832186043e-05,6.368462884739321e-07
phase_002,100,10,0.3646594827586206,0.0004310344827586,0.070625,2.964409146599678e-06,5.555106889644237e-07
phase_002,100,9,0.3656836371720764,0.0004446420631391,0.07,5.004929031282579e-05,5.772320749763198e-07
phase_002,100,11,0.3635016862489121,0.0004351610095735,0.055625,4.187398295019129e-05,4.465667224944037e-07
phase_002,100,13,0.3626829200178731,0.0004468275245755,0.07,0.0001485082467463,5.912652478280932e-07
phase_002,100,12,0.3639881214254289,0.0004399472063352,0.074375,3.6797581814296265e-05,6.013967044559605e-07
phase_002,100,15,0.3629162069726389,0.0004413062665489,0.07375,2.657011468232273e-05,5.94835056686206e-07
phase_002,100,14,0.363946083808688,0.0004387889425186,0.075625,4.195575246468408e-05,6.105488201862088e-07
phase_002,100,16,0.3637843736359668,0.0004364906154517,0.079375,6.16073668884276e-05,6.399742602543043e-07
phase_002,100,17,0.3623671324823944,0.0004401408450704,0.070625,9.511125655292664e-05,5.783776980115918e-07
phase_003,50,0,0.3102784249767009,0.0004659832246039,0.10125,0.0001025659593333,7.467886909425534e-07
phase_003,50,1,0.305034030140982,0.0004861448711716,0.1125,0.0001258201420016,8.527933128491538e-07
