kappa,variant_id,split,alpha,T,singleton_fraction,small_fiber_fraction,macro_path_entropy,macro_node_entropy
random_matched_predictive_kmeans_k8,noise_test_001,test,0.525,1500,0.9992651163939489,1.0,11.547724181481724,2.9997460548108985
random_matched_predictive_kmeans_no_COM_k13,noise_test_001,test,0.525,1500,0.99997329549694,1.0,11.549139010155956,3.7000217516243663
random_matched_predictive_kmeans_no_COM_k8,noise_test_001,test,0.525,1500,0.9992651163939489,1.0,11.547724181481724,2.9997460548108985
all_one_diagnostic,noise_test_001,test,0.525,2400,0.0,0.0,0.0,0.0
boundary_v2_regime_sequence,noise_test_001,test,0.525,2400,0.4265583180952847,0.6422254537519884,1.2284405433553054,0.4812056539240399
center_of_mass,noise_test_001,test,0.525,2400,0.571412511702371,0.8709696883057965,9.371581339069763,2.1129990752319694
identity_diagnostic,noise_test_001,test,0.525,2400,1.0,1.0,11.549312706944207,7.655434047593587
joint_basin,noise_test_001,test,0.525,2400,0.5714222282535171,0.8666910743591032,7.512668900111931,1.6850963896342979
predictive_kmeans_k13,noise_test_001,test,0.525,2400,0.7117677495853383,0.9397087128897147,10.022915506836672,2.845539452157628
predictive_kmeans_k21,noise_test_001,test,0.525,2400,0.8657935897803586,0.9901802805979995,11.023130402128846,3.5027924411669256
predictive_kmeans_k5,noise_test_001,test,0.525,2400,0.40554010574848043,0.702523062645422,5.764376136633897,1.6667826611542609
predictive_kmeans_k8,noise_test_001,test,0.525,2400,0.5645374697705398,0.8541377817707879,7.807038246406117,2.14809198916204
predictive_kmeans_no_COM_k13,noise_test_001,test,0.525,2400,0.7268396155874924,0.9555076853474229,10.350830610096619,3.0069792313586685
predictive_kmeans_no_COM_k8,noise_test_001,test,0.525,2400,0.5572783081748994,0.8624324665412155,7.929704015794465,2.154888978626732
random_matched_predictive_kmeans_k13,noise_test_001,test,0.525,2400,0.9999733010625088,1.0,11.549259326884117,3.7000225114810146
random_matched_predictive_kmeans_k21,noise_test_001,test,0.525,2400,0.9999966655551851,1.0,11.549306040277541,4.391636268805366
random_matched_predictive_kmeans_k5,noise_test_001,test,0.525,2400,0.9812253155350729,1.0,11.511905821152927,2.321784590372593
random_matched_predictive_kmeans_k8,noise_test_001,test,0.525,2400,0.9992652134646071,1.0,11.547844671796868,2.9997462504990513
random_matched_predictive_kmeans_no_COM_k13,noise_test_001,test,0.525,2400,0.9999733010625088,1.0,11.549259326884117,3.7000225114810146
random_matched_predictive_kmeans_no_COM_k8,noise_test_001,test,0.525,2400,0.9992652134646071,1.0,11.547844671796868,2.9997462504990513
all_one_diagnostic,noise_test_002,test,0.525,1500,0.0,0.0,0.0,0.0
boundary_v2_regime_sequence,noise_test_002,test,0.525,1500,0.4596703387007681,0.7183245986445841,1.5527443108238037,0.5308386616628178
center_of_mass,noise_test_002,test,0.525,1500,0.5164153312428649,0.8281930582968566,8.712255707513235,2.123628170868735
identity_diagnostic,noise_test_002,test,0.525,1500,1.0,1.0,11.54917798804315,7.807285805081278
joint_basin,noise_test_002,test,0.525,1500,0.5066067161158041,0.7856587355048616,7.2161055170369135,1.7075678981212
predictive_kmeans_k13,noise_test_002,test,0.525,1500,0.6952272671198457,0.9347831341451058,9.884240647693924,3.0646121069769263
predictive_kmeans_k21,noise_test_002,test,0.525,1500,0.8408672345856375,0.987767045471913,10.938934558073258,3.733159227046867
predictive_kmeans_k5,noise_test_002,test,0.525,1500,0.3989767373818884,0.7142497601729496,5.331720337735869,1.6699062080494633
predictive_kmeans_k8,noise_test_002,test,0.525,1500,0.5219725227542227,0.8200965260538681,7.814215183284127,2.299970112828205
predictive_kmeans_no_COM_k13,noise_test_002,test,0.525,1500,0.6949522406738101,0.9365967396173364,10.00911631061998,3.1519837674656315
predictive_kmeans_no_COM_k8,noise_test_002,test,0.525,1500,0.5268580237846306,0.8268710060228186,7.843255187668745,2.320343030915397
random_matched_predictive_kmeans_k13,noise_test_002,test,0.525,1500,0.9999732921453898,1.0,11.549124590160725,3.7000230304647874
random_matched_predictive_kmeans_k21,noise_test_002,test,0.525,1500,0.9999966611018364,1.0,11.549171312475728,4.391636919731079
random_matched_predictive_kmeans_k5,noise_test_002,test,0.525,1500,0.9812101264779602,1.0,11.511741881217084,2.321784310850183
random_matched_predictive_kmeans_k8,noise_test_002,test,0.525,1500,0.9992617148274752,1.0,11.547702972240382,2.999746593277325
random_matched_predictive_kmeans_no_COM_k13,noise_test_002,test,0.525,1500,0.9999732921453898,1.0,11.549124590160725,3.7000230304647874
random_matched_predictive_kmeans_no_COM_k8,noise_test_002,test,0.525,1500,0.9992617148274752,1.0,11.547702972240382,2.999746593277325
all_one_diagnostic,noise_test_002,test,0.525,2400,0.0,0.0,0.0,0.0
boundary_v2_regime_sequence,noise_test_002,test,0.525,2400,0.4207810641352336,0.6395503979968074,1.2257608057782234,0.48140027521232776
center_of_mass,noise_test_002,test,0.525,2400,0.5720968656498753,0.8707613346054971,9.374731784140087,2.112275916223361
identity_diagnostic,noise_test_002,test,0.525,2400,1.0,1.0,11.549230918125893,7.654359491104263
joint_basin,noise_test_002,test,0.525,2400,0.5734872594659052,0.8651850557709149,7.520660641374369,1.6863576679754593
predictive_kmeans_k13,noise_test_002,test,0.525,2400,0.7128695219517546,0.939507431993168,10.024546080374094,2.8475416426224935
predictive_kmeans_k21,noise_test_002,test,0.525,2400,0.8656614350405971,0.990031643152338,11.02928093186725,3.5035784618932126
predictive_kmeans_k5,noise_test_002,test,0.525,2400,0.40566961634669313,0.7049285551434733,5.768249344537773,1.6670501120121164
predictive_kmeans_k8,noise_test_002,test,0.525,2400,0.5660116421913937,0.8542779591284418,7.811775248229383,2.1501314725033103
predictive_kmeans_no_COM_k13,noise_test_002,test,0.525,2400,0.727383370910041,0.9556472185484435,10.35800220246279,3.0076152590370504
predictive_kmeans_no_COM_k8,noise_test_002,test,0.525,2400,0.5594080956996715,0.8638085885087924,7.935306938182431,2.15702478345942
random_matched_predictive_kmeans_k13,noise_test_002,test,0.525,2400,0.9999733044095833,1.0,11.549177544755482,3.7000215896665263
random_matched_predictive_kmeans_k21,noise_test_002,test,0.525,2400,0.9999966622162885,1.0,11.549224244785886,4.391635097834769
random_matched_predictive_kmeans_k5,noise_test_002,test,0.525,2400,0.9812381390934839,1.0,11.511848743547342,2.321784839900831
random_matched_predictive_kmeans_k8,noise_test_002,test,0.525,2400,0.9992650895097591,1.0,11.547762640282022,2.999745964837063
random_matched_predictive_kmeans_no_COM_k13,noise_test_002,test,0.525,2400,0.9999733044095833,1.0,11.549177544755482,3.7000215896665263
random_matched_predictive_kmeans_no_COM_k8,noise_test_002,test,0.525,2400,0.9992650895097591,1.0,11.547762640282022,2.999745964837063
all_one_diagnostic,noise_test_003,test,0.525,1500,0.0,0.0,0.0,0.0
boundary_v2_regime_sequence,noise_test_003,test,0.525,1500,0.21878896103896103,0.3848080808080808,1.462360164293048,0.5147364880691814
center_of_mass,noise_test_003,test,0.525,1500,0.41075661496767474,0.7151616154785575,6.544397559254305,1.979727716219674
identity_diagnostic,noise_test_003,test,0.525,1500,0.9999899866481214,1.0,11.549191639714003,7.239679642540276
joint_basin,noise_test_003,test,0.525,1500,0.4118233624419686,0.6859298519828373,5.599946859389535,1.518187018819692
predictive_kmeans_k13,noise_test_003,test,0.525,1500,0.5158258880636118,0.8139093031816987,7.956149005127684,2.860169354022133
predictive_kmeans_k21,noise_test_003,test,0.525,1500,0.6257817605452684,0.8937878965276539,9.269711310416808,3.470400878841115
predictive_kmeans_k5,noise_test_003,test,0.525,1500,0.3754546660736054,0.6731972357876289,4.2249417117522565,1.5506145500330701
predictive_kmeans_k8,noise_test_003,test,0.525,1500,0.43262082710399524,0.7328054102160152,6.296878536136994,2.1279242134435763
predictive_kmeans_no_COM_k13,noise_test_003,test,0.525,1500,0.5105431912244013,0.8158967402055004,7.962351669110656,2.939335635306428
predictive_kmeans_no_COM_k8,noise_test_003,test,0.525,1500,0.4242338820296023,0.7206133279036477,6.308013275145966,2.159085185668867
random_matched_predictive_kmeans_k13,noise_test_003,test,0.525,1500,0.9999732810008639,1.0,11.549158239578908,3.700022727591681
random_matched_predictive_kmeans_k21,noise_test_003,test,0.525,1500,0.9999966633299967,1.0,11.549204988621433,4.391634259050699
random_matched_predictive_kmeans_k5,noise_test_003,test,0.525,1500,0.9812069338628996,1.0,11.511769243696271,2.3217842038943983
random_matched_predictive_kmeans_k8,noise_test_003,test,0.525,1500,0.9992684306361774,1.0,11.54775003078664,2.9997467655726733
random_matched_predictive_kmeans_no_COM_k13,noise_test_003,test,0.525,1500,0.9999732810008639,1.0,11.549158239578908,3.700022727591681
random_matched_predictive_kmeans_no_COM_k8,noise_test_003,test,0.525,1500,0.9992684306361774,1.0,11.54775003078664,2.9997467655726733
all_one_diagnostic,noise_test_003,test,0.525,2400,0.0,0.0,0.0,0.0
boundary_v2_regime_sequence,noise_test_003,test,0.525,2400,0.1766507936507936,0.33673412698412697,1.129675601099694,0.4678217588148686
center_of_mass,noise_test_003,test,0.525,2400,0.42387152865315897,0.7380878633534727,6.997433802509501,1.904728317857259
identity_diagnostic,noise_test_003,test,0.525,2400,0.99999665998664,1.0,11.549190486683049,6.894751829671617
joint_basin,noise_test_003,test,0.525,2400,0.5178444663936592,0.8001151639340333,5.237114365816291,1.4087044564284068
predictive_kmeans_k13,noise_test_003,test,0.525,2400,0.5603761247669934,0.8447011685268516,7.653716349817282,2.472039467335877
predictive_kmeans_k21,noise_test_003,test,0.525,2400,0.6523154702990118,0.903766989967519,9.021754813956184,3.075747678215083
predictive_kmeans_k5,noise_test_003,test,0.525,2400,0.379998025990935,0.6665920175179432,4.2599908007762375,1.4797107395540308
predictive_kmeans_k8,noise_test_003,test,0.525,2400,0.47206175932817956,0.7749721535069679,5.836077338198485,1.8808353506573257
predictive_kmeans_no_COM_k13,noise_test_003,test,0.525,2400,0.5333700981525401,0.8380308087249402,8.113820664090605,2.665093964538493
predictive_kmeans_no_COM_k8,noise_test_003,test,0.525,2400,0.48993735008994405,0.7908609684035303,5.989636385545895,1.8829151218606737
random_matched_predictive_kmeans_k13,noise_test_003,test,0.525,2400,0.9999732910264479,1.0,11.549143764360565,3.700022611530602
random_matched_predictive_kmeans_k21,noise_test_003,test,0.525,2400,0.9999966633299967,1.0,11.549190493365302,4.391635526606155
random_matched_predictive_kmeans_k5,noise_test_003,test,0.525,2400,0.9812101260862022,1.0,11.511760949891663,2.321784880626099
random_matched_predictive_kmeans_k8,noise_test_003,test,0.525,2400,0.9992651285798142,1.0,11.547728964485161,2.9997466433095092
random_matched_predictive_kmeans_no_COM_k13,noise_test_003,test,0.525,2400,0.9999732910264479,1.0,11.549143764360565,3.700022611530602
random_matched_predictive_kmeans_no_COM_k8,noise_test_003,test,0.525,2400,0.9992651285798142,1.0,11.547728964485161,2.9997466433095092
all_one_diagnostic,noise_test_004,test,0.525,1500,0.0,0.0,0.0,0.0
boundary_v2_regime_sequence,noise_test_004,test,0.525,1500,0.2130515318015318,0.3867173382173382,1.46100407616256,0.5152816859913889
center_of_mass,noise_test_004,test,0.525,1500,0.4191681573725832,0.7152059550206255,6.536762910811522,1.9805427243475646
identity_diagnostic,noise_test_004,test,0.525,1500,0.9999933233166367,1.0,11.549227164705568,7.2410938064240735
joint_basin,noise_test_004,test,0.525,1500,0.40997302043311246,0.6870012770473503,5.607848351515007,1.5202650135915912
predictive_kmeans_k13,noise_test_004,test,0.525,1500,0.5181113131496964,0.8111534519048078,7.963495181930435,2.8623759695173585
predictive_kmeans_k21,noise_test_004,test,0.525,1500,0.6270253559921348,0.8938586411297745,9.273293200149972,3.472572272479403
predictive_kmeans_k5,noise_test_004,test,0.525,1500,0.38157576748407096,0.6734947878666323,4.227871776133074,1.5518011004387278
predictive_kmeans_k8,noise_test_004,test,0.525,1500,0.4336188018934496,0.7290509127543757,6.299372001198739,2.1284257378294256
predictive_kmeans_no_COM_k13,noise_test_004,test,0.525,1500,0.5123804431069717,0.8159779935978232,7.961297886095459,2.9408975975136102
predictive_kmeans_no_COM_k8,noise_test_004,test,0.525,1500,0.42506064912413016,0.7198409341750132,6.315352189287687,2.1603477412133842
random_matched_predictive_kmeans_k13,noise_test_004,test,0.525,1500,0.9999732910391291,1.0,11.549187113522496,3.7000213639757944
random_matched_predictive_kmeans_k21,noise_test_004,test,0.525,1500,0.9999966622162885,1.0,11.549233840275965,4.391635113146629
random_matched_predictive_kmeans_k5,noise_test_004,test,0.525,1500,0.9812280917423649,1.0,11.511838969998646,2.321783974687113
random_matched_predictive_kmeans_k8,noise_test_004,test,0.525,1500,0.9992617639231711,1.0,11.547765595718612,2.9997455146957486
random_matched_predictive_kmeans_no_COM_k13,noise_test_004,test,0.525,1500,0.9999732910391291,1.0,11.549187113522496,3.7000213639757944
random_matched_predictive_kmeans_no_COM_k8,noise_test_004,test,0.525,1500,0.9992617639231711,1.0,11.547765595718612,2.9997455146957486
all_one_diagnostic,noise_test_004,test,0.525,2400,0.0,0.0,0.0,0.0
boundary_v2_regime_sequence,noise_test_004,test,0.525,2400,0.15557720057720054,0.32205808080808074,1.1318875980273229,0.46809162145352706
center_of_mass,noise_test_004,test,0.525,2400,0.42471552970469545,0.7350423441935043,6.999949838926321,1.9048317060563236
identity_diagnostic,noise_test_004,test,0.525,2400,1.0,1.0,11.549067167023303,6.894139764151191
joint_basin,noise_test_004,test,0.525,2400,0.5159321522044555,0.7960557401699896,5.233851455768847,1.4077433543817082
predictive_kmeans_k13,noise_test_004,test,0.525,2400,0.5561551127618606,0.8446784048034488,7.649559392521564,2.470583438298303
predictive_kmeans_k21,noise_test_004,test,0.525,2400,0.6508153656257654,0.9042255590985938,9.021589674251084,3.0755807720913606
