variant_id,perturbation_family,perturbation_strength,split,alpha,T,kappa,metric,mean,std,se,ci_low,ci_high,ci_width,ci_excludes_zero
noise_test_000,noise,moderate,test,0.525,1500,predictive_kmeans_k5,Delta_viable_propagation_vs_shuffled,-0.04849113394893954,0.05883025719514606,0.005883025719514606,-0.06006325542544733,-0.037615188633303216,0.022448066792144117,True
noise_test_000,noise,moderate,test,0.525,1500,predictive_kmeans_k5,Delta_depth_vs_product,-0.0007216037749137172,0.0017567270555972488,0.00017567270555972488,-0.0009985864089685442,-0.00035797245438887106,0.0006406139545796732,True
noise_test_000,noise,moderate,test,0.525,1500,predictive_kmeans_k5,Delta_depth_vs_shuffled,-0.0003942158775806981,0.0015098029698713347,0.00015098029698713347,-0.0006453031705401759,-0.00012414980920887387,0.000521153361331302,True
noise_test_000,noise,moderate,test,0.525,1500,predictive_kmeans_k5,component_A_preservation,1.0,0.0,0.0,1.0,1.0,0.0,True
noise_test_000,noise,moderate,test,0.525,1500,predictive_kmeans_k5,component_B_preservation,1.0,0.0,0.0,1.0,1.0,0.0,True
noise_test_000,noise,moderate,test,0.525,1500,predictive_kmeans_k5,lower_rank_erasure_score,0.0,0.0,0.0,0.0,0.0,0.0,False
noise_test_000,noise,moderate,test,0.525,1500,predictive_kmeans_k5,singleton_fraction,0.3829102115555642,0.038269738434082747,0.0038269738434082747,0.37614613621594906,0.38941398054331844,0.013267844327369382,True
noise_test_000,noise,moderate,test,0.525,1500,predictive_kmeans_k8,Delta_viable_propagation_vs_product,0.017374065145776132,0.027473601162094442,0.0027473601162094443,0.011933009867600384,0.02253982365726477,0.010606813789664387,True
noise_test_000,noise,moderate,test,0.525,1500,predictive_kmeans_k8,Delta_viable_propagation_vs_shuffled,0.018334898583054707,0.03175773278836867,0.0031757732788368674,0.01271664886284744,0.0240984120178105,0.01138176315496306,True
noise_test_000,noise,moderate,test,0.525,1500,predictive_kmeans_k8,Delta_depth_vs_product,0.005083858845771386,0.0030501656632098543,0.0003050165663209854,0.004529365558605253,0.005609757780322375,0.0010803922217171224,True
noise_test_000,noise,moderate,test,0.525,1500,predictive_kmeans_k8,Delta_depth_vs_shuffled,0.005158739872146566,0.002747030030537363,0.0002747030030537363,0.004581568202001682,0.005750990026450787,0.0011694218244491048,True
noise_test_000,noise,moderate,test,0.525,1500,predictive_kmeans_k8,component_A_preservation,1.0,0.0,0.0,1.0,1.0,0.0,True
noise_test_000,noise,moderate,test,0.525,1500,predictive_kmeans_k8,component_B_preservation,0.836348383283929,0.007579175717609704,0.0007579175717609704,0.8348440738784676,0.8376529512327258,0.0028088773542581658,True
