channel_id,threshold_id,decoder_policy_id,req_marginals_status,req_joint_status,req_parity_status,req_all_nontrivial_status,D_A_success,D_B_success,D_joint_success,D_parity_success,diagnostic_class,notes
bit_flip_p_0_00,threshold_0_80,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,1.0,1.0,1.0,1.0,marginal_and_joint_recovered,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_00,threshold_0_90,fixed_declared_target_policy,prob_non_erasing,prob_non_erasing,prob_non_erasing,prob_non_erasing,1.0,1.0,1.0,1.0,marginal_and_joint_recovered,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_00,threshold_0_90,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,1.0,1.0,1.0,1.0,marginal_and_joint_recovered,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_00,threshold_0_95,fixed_declared_target_policy,prob_non_erasing,prob_non_erasing,prob_non_erasing,prob_non_erasing,1.0,1.0,1.0,1.0,marginal_and_joint_recovered,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_00,threshold_0_95,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,1.0,1.0,1.0,1.0,marginal_and_joint_recovered,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_00,threshold_0_99,fixed_declared_target_policy,prob_non_erasing,prob_non_erasing,prob_non_erasing,prob_non_erasing,1.0,1.0,1.0,1.0,marginal_and_joint_recovered,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_00,threshold_0_99,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,1.0,1.0,1.0,1.0,marginal_and_joint_recovered,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_00,threshold_1_00,fixed_declared_target_policy,prob_non_erasing,prob_non_erasing,prob_non_erasing,prob_non_erasing,1.0,1.0,1.0,1.0,marginal_and_joint_recovered,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_00,threshold_1_00,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,1.0,1.0,1.0,1.0,marginal_and_joint_recovered,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_05,threshold_0_80,fixed_declared_target_policy,prob_non_erasing,prob_non_erasing,prob_non_erasing,prob_non_erasing,0.95,0.95,0.9025,0.905,marginal_and_joint_recovered,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_05,threshold_0_80,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,0.95,0.95,0.9025,0.905,marginal_and_joint_recovered,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_05,threshold_0_90,fixed_declared_target_policy,prob_non_erasing,prob_non_erasing,prob_non_erasing,prob_non_erasing,0.95,0.95,0.9025,0.905,marginal_and_joint_recovered,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_05,threshold_0_90,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,0.95,0.95,0.9025,0.905,marginal_and_joint_recovered,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_05,threshold_0_95,fixed_declared_target_policy,prob_non_erasing,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,0.95,0.95,0.9025,0.905,marginal_recovered_joint_not_recovered,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_05,threshold_0_95,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,0.95,0.95,0.9025,0.905,marginal_recovered_joint_not_recovered,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_05,threshold_0_99,fixed_declared_target_policy,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,0.95,0.95,0.9025,0.905,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_05,threshold_0_99,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,0.95,0.95,0.9025,0.905,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_05,threshold_1_00,fixed_declared_target_policy,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,0.95,0.95,0.9025,0.905,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_05,threshold_1_00,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,0.95,0.95,0.9025,0.905,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_10,threshold_0_80,fixed_declared_target_policy,prob_non_erasing,prob_non_erasing,prob_non_erasing,prob_non_erasing,0.9,0.9,0.81,0.82,marginal_and_joint_recovered,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_10,threshold_0_80,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,0.9,0.9,0.81,0.82,marginal_and_joint_recovered,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_10,threshold_0_90,fixed_declared_target_policy,prob_non_erasing,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,0.9,0.9,0.81,0.82,marginal_recovered_joint_not_recovered,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_10,threshold_0_90,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,0.9,0.9,0.81,0.82,marginal_recovered_joint_not_recovered,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_10,threshold_0_95,fixed_declared_target_policy,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,0.9,0.9,0.81,0.82,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_10,threshold_0_95,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,0.9,0.9,0.81,0.82,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_10,threshold_0_99,fixed_declared_target_policy,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,0.9,0.9,0.81,0.82,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_10,threshold_0_99,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,0.9,0.9,0.81,0.82,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_10,threshold_1_00,fixed_declared_target_policy,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,0.9,0.9,0.81,0.82,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_10,threshold_1_00,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,0.9,0.9,0.81,0.82,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_25,threshold_0_80,fixed_declared_target_policy,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,0.75,0.75,0.5625,0.625,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_25,threshold_0_80,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,0.75,0.75,0.5625,0.625,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_25,threshold_0_90,fixed_declared_target_policy,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,0.75,0.75,0.5625,0.625,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_25,threshold_0_90,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,0.75,0.75,0.5625,0.625,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_25,threshold_0_95,fixed_declared_target_policy,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,0.75,0.75,0.5625,0.625,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_25,threshold_0_95,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,0.75,0.75,0.5625,0.625,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_25,threshold_0_99,fixed_declared_target_policy,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,0.75,0.75,0.5625,0.625,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_25,threshold_0_99,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,0.75,0.75,0.5625,0.625,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_25,threshold_1_00,fixed_declared_target_policy,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,0.75,0.75,0.5625,0.625,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_25,threshold_1_00,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,0.75,0.75,0.5625,0.625,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_50,threshold_0_80,fixed_declared_target_policy,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,0.5,0.5,0.25,0.5,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_50,threshold_0_80,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,0.5,0.5,0.25,0.5,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_50,threshold_0_90,fixed_declared_target_policy,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,0.5,0.5,0.25,0.5,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_50,threshold_0_90,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,0.5,0.5,0.25,0.5,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_50,threshold_0_95,fixed_declared_target_policy,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,0.5,0.5,0.25,0.5,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_50,threshold_0_95,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,0.5,0.5,0.25,0.5,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_50,threshold_0_99,fixed_declared_target_policy,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,0.5,0.5,0.25,0.5,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_50,threshold_0_99,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,0.5,0.5,0.25,0.5,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_50,threshold_1_00,fixed_declared_target_policy,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,0.5,0.5,0.25,0.5,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
bit_flip_p_0_50,threshold_1_00,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,0.5,0.5,0.25,0.5,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
comp_bitflip_0_10_then_0_25,threshold_0_80,fixed_declared_target_policy,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,0.7,0.7,0.49,0.58,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
comp_bitflip_0_10_then_0_25,threshold_0_80,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,0.7,0.7,0.49,0.58,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
comp_bitflip_0_10_then_0_25,threshold_0_90,fixed_declared_target_policy,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,0.7,0.7,0.49,0.58,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
comp_bitflip_0_10_then_0_25,threshold_0_90,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,0.7,0.7,0.49,0.58,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
comp_bitflip_0_10_then_0_25,threshold_0_95,fixed_declared_target_policy,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,0.7,0.7,0.49,0.58,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
comp_bitflip_0_10_then_0_25,threshold_0_95,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,0.7,0.7,0.49,0.58,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
comp_bitflip_0_10_then_0_25,threshold_0_99,fixed_declared_target_policy,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,0.7,0.7,0.49,0.58,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
comp_bitflip_0_10_then_0_25,threshold_0_99,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,0.7,0.7,0.49,0.58,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
comp_bitflip_0_10_then_0_25,threshold_1_00,fixed_declared_target_policy,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,0.7,0.7,0.49,0.58,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
comp_bitflip_0_10_then_0_25,threshold_1_00,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,0.7,0.7,0.49,0.58,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
comp_identity_then_marginal_degrade_0_10,threshold_0_80,fixed_declared_target_policy,prob_non_erasing,prob_non_erasing,prob_non_erasing,prob_non_erasing,0.95,0.95,0.9,0.9,marginal_and_joint_recovered,finite stochastic thresholded recovery diagnostic only
comp_identity_then_marginal_degrade_0_10,threshold_0_80,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,0.95,0.95,0.9,0.9,marginal_and_joint_recovered,finite stochastic thresholded recovery diagnostic only
comp_identity_then_marginal_degrade_0_10,threshold_0_90,fixed_declared_target_policy,prob_non_erasing,prob_non_erasing,prob_non_erasing,prob_non_erasing,0.95,0.95,0.9,0.9,marginal_and_joint_recovered,finite stochastic thresholded recovery diagnostic only
