rule,T,ring_size,confirmed,active_fraction_mean,active_fraction_final,symbol_entropy_mean,extinction_rate,all_zero_attractor_rate,all_one_attractor_rate,global_fixed_point_rate,global_periodic_rate,localized_component_lifetime_mean,localized_component_lifetime_max,component_size_median,component_size_entropy,persistent_component_count,recurrence_up_to_shift,motif_survival_depth,motif_material_turnover,translation_velocity_estimate,period_estimate,pattern_background_contrast,local_entropy_inside_pattern,local_entropy_outside_pattern,signal_to_background_ratio,exact_static_fraction,global_period_fraction,low_turnover_persistence_fraction,frozen_order_index,activity_entropy,damage_spreading_rate,compressibility_proxy,component_fragmentation_rate,chaos_index,motif_type,confirmed_fraction,depends_left,depends_center,depends_right,relation_degree,relation_complete,self_only,no_local_self_relation,left_right_asymmetry,temporal_irreversibility_proxy,directional_consequence,DAR_complete_structural,DAR_asymmetric_structural,confirmed_candidate
45,597.3333333333334,384.0,0.0,0.4992771223978993,0.4836564064025879,0.8922428393456959,8.138020833333333e-05,8.138020833333333e-05,0.0,0.0,8.138020833333333e-05,174.36555989583334,272.6666666666667,1.1875,1.9710974457344594,0.999755859375,0.5596949259440104,0.56787109375,0.4858843485514323,-0.0029293696085611978,0.0,0.9999186197916666,0.4992771223978993,0.5007228776021008,34.20265990087226,0.0,8.138020833333333e-05,8.138020833333333e-05,2.8483072916666664e-05,0.8922428393456959,0.4899841944376628,0.5100158055623373,0.5110288106725819,0.4899761681801115,emitter,0.0,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False,False
50,597.3333333333334,384.0,0.0,0.43754808945615986,0.5006682078043619,0.9343431194735389,0.00016276041666666666,0.00016276041666666666,0.0,0.00016276041666666666,1.0,601.1549479166666,601.3333333333334,1.0,0.23868048069759754,0.9998372395833334,0.9758942921956381,1.0091145833333333,0.02410570780436198,-0.004945119222005208,2.0,0.9998372395833334,0.43754808945615986,0.5624519105438401,312500139.4121246,0.00016276041666666666,1.0,0.8958333333333334,0.3136474609375,0.9343431194735389,0.9562279383341471,0.04377206166585287,0.9484714646316501,0.9553932283088528,global_periodic_artifact,0.0,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False,False
51,597.3333333333334,384.0,0.0,0.4992597138700368,0.1742092768351237,0.4564959844388445,0.00016276041666666666,0.00016276041666666666,0.0,0.0,1.0,601.166015625,601.3333333333334,1.3125,0.8782781109275583,0.9998372395833334,1.0,1.0091145833333333,0.0,-2.5431315104166665e-06,2.0,0.9998372395833334,0.4992597138700368,0.5007402861299631,54.74125194617661,0.0,1.0,1.0,0.3499999999999999,0.4564959844388445,0.25217533111572266,0.7478246688842773,0.6683588182179209,0.25217533111572266,global_periodic_artifact,0.0,False,True,False,0,False,True,False,0.0,0.0,0.0,False,False,False
54,597.3333333333334,384.0,0.3333333333333333,0.3917277792861138,0.45488548278808594,0.7867681105504097,0.06591796875,0.06591796875,0.0,0.06591796875,0.3816731770833333,506.1429036458333,601.3333333333334,1.875,0.7916633363689419,0.93408203125,0.8228287696838379,1.0091145833333333,0.21039851506551108,-0.012485027313232422,1.0208333333333333,0.93408203125,0.3917277792861138,0.6082722207138862,6.892964524775244,0.06591796875,0.3816731770833333,0.4068196614583333,0.18523356119791667,0.7867681105504097,0.4522530237833659,0.5477469762166342,0.5125565147444581,0.43619251442376467,emitter,0.3333333333333333,True,True,True,2,True,False,False,0.0,0.0,0.0,False,False,False
57,597.3333333333334,384.0,0.10416666666666667,0.4954321420026106,0.47172101338704425,0.8754727556220837,8.138020833333333e-05,8.138020833333333e-05,0.0,0.0,0.19563802083333334,601.2766927083334,601.3333333333334,1.0104166666666667,0.5321912462744751,0.9999186197916666,0.7676005363464355,1.0091145833333333,0.29635032018025714,-0.026352882385253906,0.3333333333333333,0.9999186197916666,0.4954321420026106,0.5045678579973895,187500138.0677285,0.0,0.19563802083333334,0.33984375,0.1189453125,0.8754727556220837,0.8619502385457357,0.1380497614542643,0.845835093563234,0.8616926557076542,emitter,0.10416666666666667,True,True,True,2,True,False,False,0.5,0.0,0.0,False,False,False
60,597.3333333333334,384.0,0.08333333333333333,0.15349053086293807,0.022615750630696613,0.41097173651793795,0.8333333333333334,0.8333333333333334,0.0,0.668701171875,0.5,180.73958333333334,210.41666666666666,1.9791666666666667,1.3856423949876568,0.9999186197916666,0.9285691579182943,0.468505859375,0.0722503662109375,-0.026124318440755207,0.5,0.16666666666666666,0.15349053086293807,0.8465094691370619,3.191945061580627,0.668701171875,0.5,0.6765950520833334,0.6714640299479168,0.41097173651793795,0.023911158243815105,0.9760888417561849,0.35393145349432187,0.0226696123367259,static_object,0.08333333333333333,True,True,False,1,True,False,False,0.5,0.0,1.0,False,False,False
61,597.3333333333334,384.0,0.25,0.5153294244829711,0.1687291463216146,0.40887696284554115,8.138020833333333e-05,8.138020833333333e-05,0.0,0.0,0.002197265625,429.9993489583333,452.1666666666667,2.0625,1.3957338975758498,0.9999186197916666,0.8748507499694824,0.83447265625,0.14997529983520508,-0.025820573170979817,0.0,0.9999186197916666,0.5153294244829711,0.48467057551702886,17.274932364731484,0.0,0.002197265625,0.2926432291666667,0.10242513020833333,0.40887696284554115,0.1272090276082357,0.8727909723917643,0.3841500185192297,0.1263912306846654,emitter,0.25,True,True,True,2,True,False,False,0.5,0.25,0.0,True,True,False
62,597.3333333333334,384.0,0.125,0.500176600401569,0.5851438840230306,0.844455017420544,0.06673177083333333,0.06673177083333333,0.0,0.06673177083333333,0.8048502604166666,560.4716796875,601.3333333333334,2.0,1.1172944209366993,0.9322916666666666,0.8059471448262533,1.0091145833333333,0.5867670377095541,-0.004982312520345052,2.3541666666666665,0.9332682291666666,0.500176600401569,0.499823399598431,20833479.310327876,0.06673177083333333,0.8048502604166666,0.07535807291666667,0.0697509765625,0.844455017420544,0.5510384241739908,0.4489615758260091,0.43783216568654676,0.5086532033738803,global_periodic_artifact,0.125,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True,False
64,597.3333333333334,384.0,0.0,0.0004421251765048414,0.0,0.0012782991305772358,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.2291666666666667,0.8774378023281318,0.0,1.0,0.009114583333333334,0.0,-0.036458333333333336,1.0,0.0,0.0004421251765048414,0.9995578748234952,0.0,1.0,1.0,1.0,1.0,0.0012782991305772358,0.0,1.0,0.006596807782990244,0.0,static_object,0.0,True,True,True,2,True,False,False,0.25,0.75,0.0,True,True,False
68,597.3333333333334,384.0,0.0,0.12604061310879777,0.12593746185302734,0.37694251844759347,0.0,0.0,0.0,1.0,1.0,601.2555338541666,601.3333333333334,1.0,0.030331267112564744,1.0,1.0,1.0091145833333333,0.0,0.0,1.0,1.0,0.12604061310879777,0.8739593868912022,500000074.60315734,1.0,1.0,1.0,1.0,0.37694251844759347,0.2518749237060547,0.7481250762939453,0.9975776832721642,0.2104392460989554,static_object,0.0,False,True,True,1,True,False,False,0.25,0.5,1.0,True,True,False
