rule,ic_family,T,ring_size,motif_type,confirmed,active_fraction_mean,active_fraction_final,symbol_entropy_mean,extinction_rate,all_zero_attractor_rate,all_one_attractor_rate,global_fixed_point_rate,global_periodic_rate,localized_component_lifetime_mean,localized_component_lifetime_max,component_size_median,component_size_entropy,persistent_component_count,recurrence_up_to_shift,motif_survival_depth,motif_material_turnover,translation_velocity_estimate,period_estimate,pattern_background_contrast,local_entropy_inside_pattern,local_entropy_outside_pattern,signal_to_background_ratio,exact_static_fraction,global_period_fraction,low_turnover_persistence_fraction,frozen_order_index,activity_entropy,damage_spreading_rate,compressibility_proxy,component_fragmentation_rate,chaos_index
145,two_cell_seed,512,512,global_periodic_artifact,False,0.5284402412280702,0.375,0.86530358903749,0.0,0.0,0.0,0.0,1.0,516.0,516.0,1.0,0.6127549061193268,1.0,0.833984375,1.0078125,0.666015625,-0.00390625,3.0,1.0,0.5284402412280702,0.4715597587719298,632.0261219874571,0.0,1.0,0.0,0.0,0.86530358903749,0.5859375,0.4140625,0.5252939240365146,0.5592386735888465
145,short_random_block,512,512,global_periodic_artifact,False,0.5217163204914412,0.37480926513671875,0.8752965078184042,0.0,0.0,0.0,0.0,1.0,516.0,516.0,1.0,0.6980198026090143,1.0,0.8136444091796875,1.0078125,0.6531982421875,-0.0142364501953125,3.0,1.0,0.5217163204914412,0.47828367950855877,325.67428279774884,0.0,1.0,0.0,0.0,0.8752965078184042,0.581939697265625,0.418060302734375,0.5328038110237637,0.555606955478658
145,periodic_perturbation,512,512,global_periodic_artifact,False,0.7579967654936495,0.6836090087890625,0.4421864083837337,0.0,0.0,0.4921875,0.4921875,1.0,264.0,516.0,1.0,0.5925361610478073,0.5078125,0.914703369140625,1.0078125,0.339202880859375,-0.017364501953125,3.0,0.5078125,0.7579967654936495,0.24200323450635053,1.6252669244682054,0.4921875,1.0,0.4921875,0.4921875,0.4421864083837337,0.295562744140625,0.704437255859375,0.27350241019534377,0.14325480990037248
145,two_cell_seed,1024,256,global_periodic_artifact,False,0.41277439024390244,0.375,0.9323310290914353,0.0,0.0,0.0,0.0,1.0,1028.0,1028.0,1.0,0.6007182640782674,1.0,0.83203125,1.00390625,0.66796875,0.001953125,3.0,1.0,0.41277439024390244,0.5872256097560975,316.0131608580148,0.0,1.0,0.0,0.0,0.9323310290914353,0.578125,0.421875,0.7148488143608702,0.5517821579409953
145,g0_motif_seed,256,512,emitter,False,0.6469099586575876,0.37109375,0.8216981415944792,0.0,0.0,0.0,0.0,0.0,260.0,260.0,1.0,0.6966585449288091,1.0,0.638671875,1.015625,0.650390625,0.0078125,0.0,1.0,0.6469099586575876,0.3530900413424124,25.34049909662455,0.0,0.0,0.0,0.0,0.8216981415944792,0.5859375,0.4140625,0.32549966825956583,0.5744408141611732
145,g0_candidate_window_seed,256,256,global_periodic_artifact,False,0.4811839537861746,0.3768463134765625,0.9177848081768729,0.0,0.0,0.0,0.0,0.890625,260.0,260.0,1.0,0.8120942610202607,1.0,0.767486572265625,1.015625,0.593475341796875,0.00360107421875,3.0,1.0,0.4811839537861746,0.5188160462138254,106.92443547644177,0.0,0.890625,0.0,0.0,0.9177848081768729,0.583526611328125,0.416473388671875,0.5872122538413224,0.5568605714539194
145,g0_motif_seed,512,256,global_periodic_artifact,False,0.42983217592592593,0.37109375,0.9266216861274569,0.0,0.0,0.0,0.0,1.0,516.0,516.0,1.0,0.6069992645568291,1.0,0.78515625,1.0078125,0.66015625,-0.03125,3.0,1.0,0.42983217592592593,0.5701678240740741,545.2250830935068,0.0,1.0,0.0,0.0,0.9266216861274569,0.59375,0.40625,0.698108362077491,0.5643757867981298
145,periodic_perturbation,1024,256,global_periodic_artifact,False,0.6867812738185975,0.66796875,0.4966605234004881,0.0,0.0,0.46875,0.46875,1.0,548.0,1028.0,1.0,0.5931261667384716,0.53125,0.9107666015625,1.00390625,0.3548583984375,-0.00628662109375,3.0,0.53125,0.6867812738185975,0.31321872618140245,1.7032834927691558,0.46875,1.0,0.46875,0.46875,0.4966605234004881,0.30712890625,0.69287109375,0.38312172863139365,0.15572758169046574
145,single_seed,1024,512,global_periodic_artifact,False,0.4518769054878049,0.375,0.9093262619497154,0.0,0.0,0.0,0.0,1.0,1028.0,1028.0,1.0,0.6516525861849409,1.0,0.8203125,1.00390625,0.66015625,-0.0078125,3.0,1.0,0.4518769054878049,0.5481230945121951,413.5276123226508,0.0,1.0,0.0,0.0,0.9093262619497154,0.58203125,0.41796875,0.6523905565802596,0.5552347873769098
145,g0_candidate_window_seed,256,512,emitter,False,0.6339255010107612,0.37355804443359375,0.8380014099255525,0.0,0.0,0.0,0.0,0.0,260.0,260.0,1.0,0.7992295547681821,1.0,0.6438064575195312,1.015625,0.6513137817382812,0.0078125,0.0,1.0,0.6339255010107612,0.36607449898923883,29.008209096243945,0.0,0.0,0.0,0.0,0.8380014099255525,0.5829620361328125,0.4170379638671875,0.33675894449200694,0.5687736524227216
