condition,alpha,T,control,sample_n,effective_rank,covariance_spectrum_entropy,top_eigenvalue_fraction,mean_pairwise_distance_sketch,median_pairwise_distance_sketch,nearest_neighbor_distance_sketch,collapse_score,effective_rank_early,covariance_spectrum_entropy_early,top_eigenvalue_fraction_early,mean_pairwise_distance_sketch_early,median_pairwise_distance_sketch_early,nearest_neighbor_distance_sketch_early,collapse_score_early,effective_rank_middle,covariance_spectrum_entropy_middle,top_eigenvalue_fraction_middle,mean_pairwise_distance_sketch_middle,median_pairwise_distance_sketch_middle,nearest_neighbor_distance_sketch_middle,collapse_score_middle,effective_rank_late,covariance_spectrum_entropy_late,top_eigenvalue_fraction_late,mean_pairwise_distance_sketch_late,median_pairwise_distance_sketch_late,nearest_neighbor_distance_sketch_late,collapse_score_late,effective_rank_A,covariance_spectrum_entropy_A,top_eigenvalue_fraction_A,mean_pairwise_distance_sketch_A,median_pairwise_distance_sketch_A,nearest_neighbor_distance_sketch_A,collapse_score_A,effective_rank_B,covariance_spectrum_entropy_B,top_eigenvalue_fraction_B,mean_pairwise_distance_sketch_B,median_pairwise_distance_sketch_B,nearest_neighbor_distance_sketch_B,collapse_score_B,rank_retention_late_over_early,segment_geometry_drift,component_rank_balance,component_distance_balance,component_erasure_score,gpu_used,p_viable_T,mean_hazard,late_hazard
coupled,0.45,2400,noise_fakeout,270000,7.734855651855469,2.045736789703369,0.40498587489128113,1.2989709377288818,1.2418291568756104,0.4728185832500458,0.11448386096541605,3.497654676437378,1.2520925998687744,0.5699522495269775,1.0500773191452026,0.9822378158569336,0.18406429886817932,0.22233810106384305,4.926731586456299,1.5946757793426514,0.32741373777389526,0.656365692615509,0.635479748249054,0.13411694765090942,0.16872706067627374,5.134944438934326,1.6360690593719482,0.2716016471385956,0.5915988087654114,0.5746384263038635,0.12331610172986984,0.16300066120463602,4.927587032318115,1.5948494672775269,0.47164496779441833,1.181591510772705,1.1248936653137207,0.2772144079208374,0.1687027106557603,6.7042555809021,1.9027425050735474,0.24550363421440125,0.49948444962501526,0.4906068444252014,0.13032923638820648,0.12979839382261368,1.0,1.6372897624969482,0.7349939113829365,0.42272176557732377,0.5772782344226762,1.0,0.9989085185185186,1.668495979626857e-06,0.0
coupled,0.45,2400,single_component_erasure,270000,2.047224283218384,0.7164849042892456,0.8144153952598572,1.0970323085784912,0.9399946928024292,0.15222419798374176,0.32816750821630725,1.2614415884017944,0.232255220413208,0.9482468962669373,0.8876468539237976,0.7373892068862915,0.03350549191236496,0.44219581223263865,1.5825629234313965,0.4590455889701843,0.8723324537277222,0.5278675556182861,0.4393417239189148,0.02691654860973358,0.38721224986507635,1.710407018661499,0.5367314219474792,0.8403522372245789,0.47761479020118713,0.412403404712677,0.026012834161520004,0.36894827718304746,2.0447328090667725,0.7152670621871948,0.8145074248313904,1.0968992710113525,0.9398770332336426,0.15159901976585388,0.32843604437872026,4.898220539093018,1.588871955871582,0.42082691192626953,0.0146623644977808,0.013951538130640984,0.003325532888993621,0.16954266009079616,1.0,0.4489654302597046,0.41744400701185796,0.013367102053283295,0.9866328979467167,1.0,0.9989085185185186,1.668495979626857e-06,0.0
coupled,0.5,900,none,270000,1.9253321886062622,0.655098557472229,0.8612417578697205,1.3942581415176392,1.173020839691162,0.24443000555038452,0.3418415193648272,1.4865214824676514,0.3964388370513916,0.9059358835220337,1.1053470373153687,0.937018632888794,0.09593784809112549,0.4021682527381943,1.5960471630096436,0.4675300419330597,0.8932566046714783,0.7996389269828796,0.6657822728157043,0.0833890289068222,0.38520101416057567,1.7354133129119873,0.5512456297874451,0.8707610964775085,0.6697273850440979,0.5580121874809265,0.07759012281894684,0.3655754672537763,1.340455412864685,0.2930094003677368,0.9407005310058594,1.256692886352539,1.0424505472183228,0.10772527754306793,0.42726727221691174,2.986311197280884,1.094038963317871,0.6461283564567566,0.5119003653526306,0.46638578176498413,0.08900658041238785,0.25085848808846467,1.0,0.24889183044433594,0.4488666198235487,0.4073392719190006,0.5926607280809995,1.0,0.998904074074074,1.9155865938214414e-06,0.0
coupled,0.5,900,rigid_collapse,270000,1.925330638885498,0.6550977230072021,0.86124187707901,0.041827764362096786,0.0351906418800354,0.007332969922572374,0.34184170045851064,1.48651921749115,0.39643725752830505,0.9059361815452576,0.03316042944788933,0.028110574930906296,0.002878328785300255,0.40216861907424983,1.596047043800354,0.46752995252609253,0.893256664276123,0.023989202454686165,0.01997348666191101,0.0025018928572535515,0.3852010318488296,1.7354122400283813,0.5512449145317078,0.8707612156867981,0.020091859623789787,0.01674039661884308,0.002327945549041033,0.3655756106398151,1.3404542207717896,0.2930085062980652,0.9407007694244385,0.037700798362493515,0.031273528933525085,0.003231927752494812,0.42726748984230906,2.9863104820251465,1.094038724899292,0.6461284160614014,0.01535705290734768,0.01399160735309124,0.002670401008799672,0.25085853309950273,1.0,0.24889302253723145,0.4488663281464188,0.40734025735183316,0.5926597426481668,1.0,0.998904074074074,1.9155865938214414e-06,0.0
coupled,0.5,900,noise_fakeout,270000,8.663569450378418,2.1591267585754395,0.2908019423484802,1.5548760890960693,1.5084624290466309,0.5704176425933838,0.10348143148708273,3.8483102321624756,1.347634196281433,0.4437180459499359,1.2131383419036865,1.1551306247711182,0.21033570170402527,0.20625742828217766,4.433644771575928,1.4892220497131348,0.36512935161590576,0.878974437713623,0.8427802324295044,0.1686962991952896,0.18403853068038686,4.823999881744385,1.5736033916473389,0.3142775297164917,0.7464105486869812,0.7220138311386108,0.15030437707901,0.17170330018971144,5.893611907958984,1.7738690376281738,0.33043062686920166,1.4400590658187866,1.3961291313171387,0.35891208052635193,0.1450618359941985,6.875268459320068,1.9279307126998901,0.2067060023546219,0.5455961227416992,0.5373784899711609,0.14440980553627014,0.1269797982336132,1.0,0.9756896495819092,0.8572191679249475,0.37887065585846996,0.62112934414153,1.0,0.998904074074074,1.9155865938214414e-06,0.0
coupled,0.5,900,single_component_erasure,270000,1.3417590856552124,0.2939814329147339,0.9406177401542664,1.2568470239639282,1.0425708293914795,0.10870082676410675,0.4270294096970291,1.093752384185791,0.08961431682109833,0.9842910766601562,1.0076863765716553,0.8430099487304688,0.027125323191285133,0.4776113964349588,1.1563712358474731,0.14528684318065643,0.9717040061950684,0.7078016996383667,0.5787391662597656,0.02332344464957714,0.4637420418970628,1.2148263454437256,0.1946011483669281,0.9592497944831848,0.5755105018615723,0.4675633907318115,0.021684342995285988,0.4515026661377629,1.340455412864685,0.2930094003677368,0.9407005310058594,1.256692886352539,1.0424505472183228,0.10772527754306793,0.42726727221691174,2.9863104820251465,1.094038724899292,0.6461284160614014,0.01535705290734768,0.01399160735309124,0.002670401008799672,0.25085853309950273,1.0,0.12107396125793457,0.4488667273322713,0.012220211536265176,0.9877797884637348,1.0,0.998904074074074,1.9155865938214414e-06,0.0
coupled,0.5,1500,none,270000,2.4072604179382324,0.8784893155097961,0.8066258430480957,1.2830541133880615,1.0985918045043945,0.27744725346565247,0.29349092154368117,1.6016262769699097,0.47101953625679016,0.8912816643714905,1.0307021141052246,0.8753430247306824,0.10591442883014679,0.38437496148166633,1.8854773044586182,0.6341809630393982,0.851687490940094,0.681122899055481,0.5716992616653442,0.08997656404972076,0.346563113996706,2.174424171447754,0.776763916015625,0.8055523037910461,0.5941919088363647,0.5066907405853271,0.08440752327442169,0.3150177625896579,1.620564341545105,0.48277443647384644,0.8887875080108643,1.15086829662323,0.9723159074783325,0.12836448848247528,0.3815971942174838,3.8629276752471924,1.3514254093170166,0.5380071401596069,0.4998171329498291,0.4664473533630371,0.10176438093185425,0.20563744040243576,1.0,0.5727978944778442,0.4195171325441405,0.4342956830215462,0.5804828674558595,1.0,0.9989333333333333,2.2863524769680784e-06,0.0
coupled,0.5,1500,rigid_collapse,270000,2.4072601795196533,0.8784892559051514,0.8066258430480957,0.0384916253387928,0.0329577699303627,0.008323479443788528,0.2934909420803249,1.6016267538070679,0.47101980447769165,0.8912816047668457,0.03092108480632305,0.026260297745466232,0.0031776102259755135,0.38437489103179723,1.8854782581329346,0.6341814994812012,0.8516873121261597,0.02043372020125389,0.01715100184082985,0.0026995036751031876,0.34656299945474406,2.174424171447754,0.7767637968063354,0.8055522441864014,0.017825793474912643,0.015200754627585411,0.0025324467569589615,0.3150177625896579,1.6205644607543945,0.4827745258808136,0.8887874484062195,0.03452606871724129,0.029169490560889244,0.00385107658803463,0.3815971768586548,3.862927198410034,1.3514251708984375,0.5380072593688965,0.014994553290307522,0.013993454165756702,0.003053109860047698,0.20563746056633472,1.0,0.572797417640686,0.419517215188889,0.43429657205135813,0.5804827848111109,1.0,0.9989333333333333,2.2863524769680784e-06,0.0
coupled,0.5,1500,noise_fakeout,270000,8.202232360839844,2.1044063568115234,0.35198596119880676,1.4243137836456299,1.3682832717895508,0.5185723304748535,0.10866928379851677,3.7118422985076904,1.3115283250808716,0.5074501633644104,1.141383409500122,1.0753815174102783,0.19795869290828705,0.21223121162537945,4.724643230438232,1.5527920722961426,0.35078027844429016,0.7599028944969177,0.7325145602226257,0.15107519924640656,0.17468337497137756,5.055344581604004,1.620445966720581,0.2920190989971161,0.6491265892982483,0.6287097334861755,0.13414999842643738,0.1651433682301048,5.3570146560668945,1.678406834602356,0.40647414326667786,1.3097082376480103,1.2553629875183105,0.31439122557640076,0.1573065431028443,6.80081033706665,1.9170417785644531,0.22325356304645538,0.5191893577575684,0.5109035968780518,0.13641998171806335,0.12819181043902053,1.0,1.3435022830963135,0.7877024046486644,0.39641604353801335,0.6035839564619867,1.0,0.9989333333333333,2.2863524769680784e-06,0.0
coupled,0.5,1500,single_component_erasure,270000,1.6223206520080566,0.483857661485672,0.8887004256248474,1.1510095596313477,0.9724234342575073,0.12909255921840668,0.3813416178659328,1.1623635292053223,0.15045547485351562,0.9701737761497498,0.9341121315956116,0.7830172777175903,0.03006577305495739,0.4624569303420985,1.3161561489105225,0.27471545338630676,0.9363090395927429,0.5878271460533142,0.4830664098262787,0.025387315079569817,0.4317498198342032,1.4238682985305786,0.3533773422241211,0.9111804962158203,0.502511739730835,0.41665130853652954,0.023543786257505417,0.4125636696540938,1.620564341545105,0.48277443647384644,0.8887875080108643,1.15086829662323,0.9723159074783325,0.12836448848247528,0.3815971942174838,3.862927198410034,1.3514251708984375,0.5380072593688965,0.014994553290307522,0.013993454165756702,0.003053109860047698,0.20563746056633472,1.0,0.26150476932525635,0.4195171843290557,0.013028904640351235,0.9869710953596488,1.0,0.9989333333333333,2.2863524769680784e-06,0.0
