alpha,T,metric,null,delta
0.525,2400,covariance_spectrum_entropy,shuffled,-0.03853452205657959
0.525,2400,mean_pairwise_distance_sketch,shuffled,-0.008844733238220215
0.525,2400,collapse_score,shuffled,0.0070251251096403455
0.525,2400,component_rank_balance,shuffled,0.061138031156799666
0.525,2400,component_distance_balance,shuffled,-0.002201142784944876
0.525,2400,effective_rank,time_shuffled,-5.454376935958862
0.525,2400,covariance_spectrum_entropy,time_shuffled,-1.0131455659866333
0.525,2400,mean_pairwise_distance_sketch,time_shuffled,-0.5753647089004517
0.525,2400,collapse_score,time_shuffled,0.13879133730503856
0.525,2400,component_rank_balance,time_shuffled,-0.460218586408622
0.525,2400,component_distance_balance,time_shuffled,-0.021915628955902433
0.525,2400,effective_rank,independent_alpha0,-0.10927104949951172
0.525,2400,covariance_spectrum_entropy,independent_alpha0,-0.034540653228759766
0.525,2400,mean_pairwise_distance_sketch,independent_alpha0,-0.002225518226623535
0.525,2400,collapse_score,independent_alpha0,0.006303556479496847
0.525,2400,component_rank_balance,independent_alpha0,0.06253346992873127
0.525,2400,component_distance_balance,independent_alpha0,0.002155540486161567
