world_a,world_b,metric,mean_diff,ci_low,ci_high,beats
W8_full_branching_connection_graph,W7_lossy_lock_in,forward_reverse_delta,-0.0467310546875,-0.04924145507812496,-0.04447827148437496,False
W8_full_branching_connection_graph,W7_lossy_lock_in,asymmetric_branch_differentiation,-0.046671337890625,-0.048787841796875044,-0.04483374023437497,False
W8_full_branching_connection_graph,W7_lossy_lock_in,transport_conflict_rate,0.99987480399678,0.9998491987608612,0.999897488094637,False
W8_full_branching_connection_graph,W9_noise_rich,transport_identity_accuracy,0.062934175,0.055154400000000006,0.06970275,True
W8_full_branching_connection_graph,W9_noise_rich,transport_survival_to_horizon,0.06281513,0.05511654999999999,0.068910375,True
W8_full_branching_connection_graph,W9_noise_rich,path_specificity_delta,0.056705125,0.05123637500000001,0.06195724999999999,True
W8_full_branching_connection_graph,W9_noise_rich,relation_ablation_delta,0.059399935,0.05179195,0.0653722,True
W8_full_branching_connection_graph,W9_noise_rich,transport_over_self_delta,0.06291446,0.05571845,0.071515025,True
W8_full_branching_connection_graph,W9_noise_rich,future_distinct_transport_ratio,0.9271739622700659,0.9121350734397502,0.9365506114334887,True
W8_full_branching_connection_graph,W9_noise_rich,nontrivial_loop_closure_rate,0.0,0.0,0.0,False
W8_full_branching_connection_graph,W9_noise_rich,holonomy_diversity_proxy,0.0,0.0,0.0,False
W8_full_branching_connection_graph,W9_noise_rich,trivial_closure_rate,0.0,0.0,0.0,False
W8_full_branching_connection_graph,W9_noise_rich,lock_in_index,-0.9762899064373112,-0.9825014171131236,-0.9646401464568831,True
W8_full_branching_connection_graph,W9_noise_rich,forward_reverse_delta,-0.04665737304687501,-0.04905615234375002,-0.04448999023437495,False
W8_full_branching_connection_graph,W9_noise_rich,asymmetric_branch_differentiation,-0.046642968750000006,-0.048701416015625006,-0.044546630859375005,False
W8_full_branching_connection_graph,W9_noise_rich,transport_conflict_rate,0.00025077798165039854,0.00021246775500702032,0.0002863695362699065,False
