world,T,n_sites,seed,p_viable,viable_future_entropy,viability_weighted_richness,noncollapse_diversity,state_diversity,distinction_entropy,distinction_survival,nontrivial_future_classes
W3_relation_only,50,16,1,0.9875,10.87015868478289,10.734281701223104,0.9995,0.9995,0.9993598026662898,0.9995,1900.0
W3_relation_only,50,16,0,0.9905,10.890923033638272,10.78745926481871,0.99975,0.99975,0.9997947978598912,0.99975,1922.0
W3_relation_only,50,16,2,0.987,10.884968755456152,10.743464161635222,0.9995,0.9995,0.9994491321644768,0.9995,1914.0
W3_relation_only,50,16,3,0.99,10.898378206127491,10.789394424066218,1.0,1.0,0.9995691420635244,1.0,1928.0
W2_asymmetry_only,100,16,18,0.9965,10.929617113755263,10.89136345385712,1.0,1.0,0.9994677352010888,1.0,1962.0
W2_asymmetry_only,100,16,17,0.9975,10.930092830608451,10.90276759853193,1.0,1.0,0.9997646680304364,1.0,1963.0
W2_asymmetry_only,100,16,16,0.9965,10.937645212099468,10.899363453857122,1.0,1.0,0.9997422193624564,1.0,1970.0
W3_relation_only,50,16,5,0.9895,10.897488918771288,10.78306528512419,0.99975,0.99975,0.999797819101382,0.99975,1928.0
W3_relation_only,50,16,4,0.989,10.898125668035911,10.778246285687516,0.99975,0.99975,0.9996638810589336,0.99975,1928.0
W2_asymmetry_only,100,16,19,0.9975,10.936107868202436,10.90876759853193,0.99975,0.99975,0.999730303117363,0.99975,1969.0
W3_relation_only,50,16,7,0.993,10.90932563763915,10.832960358175676,1.0,1.0,0.9997668830276432,1.0,1940.0
W3_relation_only,50,16,6,0.9905,10.898123771905052,10.794591596071957,0.99975,0.99975,0.9994838364205832,0.99975,1928.0
W3_relation_only,50,16,8,0.987,10.893456540411655,10.751841605386304,0.999,0.999,0.9997594011041326,0.999,1922.0
W3_relation_only,50,16,9,0.9905,10.8923136886116,10.788836708569791,1.0,1.0,0.999554111602134,1.0,1923.0
