world,T,n_sites,metric,mean,std,ci_low,ci_high,n_seeds
W6_asymmetry_relation,100,16,time_reversal_asymmetry,0.0,0.0,0.0,0.0,20
W6_asymmetry_relation,100,16,relational_nonfactorization,0.31692610556209266,0.00037032545393821657,0.3167895989098528,0.31706264234416665,20
W6_asymmetry_relation,100,16,structured_viable_richness,14.310354162051917,0.024338145634770995,14.298175706400855,14.320282518255263,20
W6_asymmetry_relation,100,16,DAR_branch_score,15.134852925414785,0.02413427618231963,15.124457427913285,15.143331836470365,20
W7_full_DAR,50,16,lineage_survival_depth,0.27364935577159205,0.000930167027375526,0.2732706361542885,0.27405692327596276,20
W7_full_DAR,50,16,time_reversal_asymmetry,0.04024926908376338,0.0003222159000478525,0.040142074528815005,0.04036647067125971,20
W7_full_DAR,50,16,relational_nonfactorization,0.6594539385960112,0.00024320779410674678,0.659353976868525,0.6595587085916034,20
W7_full_DAR,50,16,structured_viable_richness,17.859149815367623,0.10233768509337009,17.82312447209576,17.90271988864505,20
W7_full_DAR,50,16,DAR_branch_score,18.83250237881899,0.10194542030911166,18.786626326414,18.87012511480171,20
W7_full_DAR,100,16,lineage_survival_depth,0.26175751423092486,0.0005063334708852435,0.26154148617213896,0.2619360075935268,20
W7_full_DAR,100,16,time_reversal_asymmetry,0.040539895022076104,0.0002697069031595855,0.040466969577989516,0.040625728844452695,20
W7_full_DAR,100,16,relational_nonfactorization,0.6618550569449111,0.00029929510936166646,0.6617138777304212,0.6619753633891541,20
W7_full_DAR,100,16,structured_viable_richness,16.832198951385962,0.12452156893959533,16.780208513114165,16.88350275679203,20
W7_full_DAR,100,16,DAR_branch_score,17.796351417583875,0.12418646123099294,17.75554501223408,17.840694360947424,20
W8_full_random_relation_control,50,16,lineage_survival_depth,0.27658746690303315,0.0006595380816225573,0.2763498500060465,0.2768856335982924,20
W8_full_random_relation_control,50,16,time_reversal_asymmetry,0.044743542711024945,0.0009663412810413373,0.044334796701484755,0.04516392085885424,20
W8_full_random_relation_control,50,16,relational_nonfactorization,0.6613146707058292,0.00028818661519130036,0.661196185378659,0.6614131969045549,20
W8_full_random_relation_control,50,16,structured_viable_richness,17.1315825659426,0.1262287887680996,17.091507423963485,17.185044970864876,20
W8_full_random_relation_control,50,16,DAR_branch_score,18.11422824626249,0.1265041400507841,18.06218310483145,18.170485122409982,20
W8_full_random_relation_control,100,16,lineage_survival_depth,0.2628417002337941,0.0005913442438810638,0.26248129578175516,0.26305187582797424,20
W8_full_random_relation_control,100,16,time_reversal_asymmetry,0.044961471318526264,0.0007816858716908262,0.044640612123887896,0.04527676657995608,20
W8_full_random_relation_control,100,16,relational_nonfactorization,0.6656339562061003,0.0005710836760571015,0.665440323508143,0.6659019229688269,20
W8_full_random_relation_control,100,16,structured_viable_richness,15.401059210373143,0.21768468671252675,15.27989309324607,15.49082725022862,20
W8_full_random_relation_control,100,16,DAR_branch_score,16.374496338131557,0.2173521998502762,16.290854863261103,16.504578034065982,20
W9_full_symmetric_control,50,16,lineage_survival_depth,0.35202183881809623,0.0011996256096154746,0.3515836242557884,0.35243519774489607,20
W9_full_symmetric_control,50,16,time_reversal_asymmetry,0.0001775585671841616,0.00010260966042134735,0.00013721553026024554,0.0002168433713757922,20
W9_full_symmetric_control,50,16,relational_nonfactorization,0.6608704257190885,0.0003744367137105117,0.6607178441755928,0.6609943232134832,20
W9_full_symmetric_control,50,16,structured_viable_richness,16.576858704706037,0.15321362135701758,16.50581259649043,16.653576867194456,20
W9_full_symmetric_control,50,16,DAR_branch_score,17.589928527810407,0.15263549887090466,17.534184509081893,17.642791728911956,20
W9_full_symmetric_control,100,16,lineage_survival_depth,0.30293051210710886,0.0009701152694836178,0.30250249479109664,0.3033413873366456,20
W9_full_symmetric_control,100,16,time_reversal_asymmetry,0.00012320035222467755,6.816900464362833e-05,0.00010347681311643422,0.00015846838864393622,20
W9_full_symmetric_control,100,16,relational_nonfactorization,0.6650463731238871,0.00039477688731954185,0.664913463100542,0.6652087301867492,20
W9_full_symmetric_control,100,16,structured_viable_richness,14.957388671652918,0.14482533013026183,14.902672405591316,15.007571125838266,20
W9_full_symmetric_control,100,16,DAR_branch_score,15.925488757236135,0.14403178750344028,15.87233121001665,15.978297739400265,20
