condition,kappa,alpha,T,seed,singleton_fraction,small_fiber_fraction,component_balance,viable_propagation_index,estimator_warning
noise_fakeout,component_A_only,0.5,900,1,0.0967741935483871,0.1935483870967742,0.8860135863606902,0.0245767021558077,
noise_fakeout,component_B_only,0.5,900,1,0.125,0.25,0.8828951294532287,0.017530581753938,
noise_fakeout,time_shuffled_COM,0.5,900,1,0.1363636363636363,0.1363636363636363,1.0,0.04390425,
noise_fakeout,random_balanced_k_COM_cardinality,0.5,900,1,0.0,0.0,0.8384945285330384,0.8384945285330384,
noise_fakeout,hash_high_cardinality,0.5,900,1,0.6379349556515806,0.98112349329088,0.2820500664730614,0.0,
noise_fakeout,joint_basin,0.5,900,1,0.0,0.0,1.0,1.0,
noise_fakeout,boundary_v2_regime_sequence,0.5,900,1,0.0,0.0,1.0,0.9933416666666668,
noise_fakeout,basin_transition_profile,0.5,900,1,0.0,0.0,0.5572242508914134,0.4067104581982556,
component_swap_fakeout,center_of_mass,0.5,900,1,0.0769230769230769,0.0769230769230769,0.9967697139383064,0.0,
component_swap_fakeout,component_A_only,0.5,900,1,0.0,0.0625,0.8969021442642817,0.0056004064724768,
component_swap_fakeout,component_B_only,0.5,900,1,0.0,0.0588235294117647,0.8303971434146699,0.0,
component_swap_fakeout,time_shuffled_COM,0.5,900,1,0.0769230769230769,0.0769230769230769,0.9967697139383064,0.0001443015847409,
component_swap_fakeout,random_balanced_k_COM_cardinality,0.5,900,1,0.0,0.0,0.887830134027097,0.887830134027097,
component_swap_fakeout,hash_high_cardinality,0.5,900,1,0.4908424908424908,0.8483516483516483,0.2440722540454488,0.0,
component_swap_fakeout,joint_basin,0.5,900,1,0.0,0.1111111111111111,1.0,0.9739695,
component_swap_fakeout,boundary_v2_regime_sequence,0.5,900,1,0.0,0.0,1.0,0.9936733333333334,
component_swap_fakeout,basin_transition_profile,0.5,900,1,0.15,0.375,0.7050173478247557,0.5647187311035814,
coupled,center_of_mass,0.5,900,3,0.0,0.1111111111111111,0.7141390023246076,0.3545925575955672,
coupled,center_of_mass,0.5,900,3,0.0,0.1111111111111111,0.7141390023246076,0.3545925575955672,
coupled,component_A_only,0.5,900,3,0.0,0.0625,0.5091384708978725,0.0021082290809182,
coupled,component_B_only,0.5,900,3,0.0,0.0,0.7756061650027342,0.7650240993754797,
coupled,time_shuffled_COM,0.5,900,3,0.0,0.1111111111111111,0.7141390023246076,0.3154012972013887,
coupled,random_balanced_k_COM_cardinality,0.5,900,3,0.0,0.0,0.4988040965028686,0.4988040965028686,
coupled,hash_high_cardinality,0.5,900,3,0.3420879842416283,0.6927117531188444,0.151951530871681,0.0,
coupled,joint_basin,0.5,900,3,0.0,0.0,1.0,0.9905080255430606,
coupled,boundary_v2_regime_sequence,0.5,900,3,0.0,0.0,1.0,0.9943343410143544,
coupled,basin_transition_profile,0.5,900,3,0.0869565217391304,0.3043478260869565,0.6085534458701021,0.5322859002156812,
product,center_of_mass,0.5,900,3,0.0,0.2,0.4737954691535786,0.2403419266796005,
product,component_A_only,0.5,900,3,0.0,0.1666666666666666,0.3297799888986136,0.0,
product,component_B_only,0.5,900,3,0.1666666666666666,0.1666666666666666,0.6556882570655884,0.541856597284006,
product,time_shuffled_COM,0.5,900,3,0.0,0.2,0.4737954691535786,0.2225768298635151,
product,random_balanced_k_COM_cardinality,0.5,900,3,0.0,0.0,0.3191649201899282,0.3191649201899282,
product,hash_high_cardinality,0.5,900,3,0.342063492063492,0.6373015873015873,0.1007481369166427,0.0,
product,joint_basin,0.5,900,3,0.0,0.0,1.0,0.994002010018026,
product,boundary_v2_regime_sequence,0.5,900,3,0.0,0.0,0.9933080008830548,0.983221323230812,
product,basin_transition_profile,0.5,900,3,0.1,0.1,0.8025795059376254,0.7054099836498819,
shuffled,center_of_mass,0.5,900,3,0.0,0.0,0.4723526320687653,0.2089403391041019,
shuffled,component_A_only,0.5,900,3,0.0,0.0625,0.3328794190355195,6.181722496061255e-05,
shuffled,component_B_only,0.5,900,3,0.0,0.1666666666666666,0.6548131212343158,0.6483806932412167,
shuffled,time_shuffled_COM,0.5,900,3,0.0,0.0,0.4723526320687653,0.1959338526320786,
shuffled,random_balanced_k_COM_cardinality,0.5,900,3,0.0,0.0,0.3283617895467917,0.3283617895467917,
shuffled,hash_high_cardinality,0.5,900,3,0.3407350689127105,0.6416539050535988,0.1025821769058742,0.0,
shuffled,joint_basin,0.5,900,3,0.25,0.25,1.0,0.7451257563870176,
shuffled,boundary_v2_regime_sequence,0.5,900,3,0.0,0.0,1.0,0.9928370145253697,
shuffled,basin_transition_profile,0.5,900,3,0.1818181818181818,0.4545454545454545,0.8461701024100613,0.6782852046914079,
time_shuffled,center_of_mass,0.5,900,3,0.0,0.1111111111111111,0.7141390023246076,0.3241302901012193,
time_shuffled,component_A_only,0.5,900,3,0.0,0.0625,0.5091384708978725,0.0015733281271752,
time_shuffled,component_B_only,0.5,900,3,0.0,0.0,0.7756061650027342,0.765280303025639,
time_shuffled,time_shuffled_COM,0.5,900,3,0.0,0.1111111111111111,0.7141390023246076,0.3127892302747835,
time_shuffled,random_balanced_k_COM_cardinality,0.5,900,3,0.0,0.0,0.4988040965028686,0.4988040965028686,
time_shuffled,hash_high_cardinality,0.5,900,3,0.3420879842416283,0.6927117531188444,0.151951530871681,0.0,
time_shuffled,joint_basin,0.5,900,3,0.0,0.0,1.0,0.9905080255430606,
time_shuffled,boundary_v2_regime_sequence,0.5,900,3,0.0,0.0,1.0,0.9938358445198618,
time_shuffled,basin_transition_profile,0.5,900,3,0.0416666666666666,0.25,0.5108836081312293,0.4646991676321134,
independent_alpha0,center_of_mass,0.5,900,3,0.0,0.2222222222222222,0.4863581956754984,0.2107989093039608,
independent_alpha0,component_A_only,0.5,900,3,0.0625,0.125,0.3438913970952703,3.600113063341111e-05,
independent_alpha0,component_B_only,0.5,900,3,0.0,0.0,0.6748483736408672,0.6711407566760843,
independent_alpha0,time_shuffled_COM,0.5,900,3,0.0,0.2222222222222222,0.4863581956754984,0.1958166450861771,
independent_alpha0,random_balanced_k_COM_cardinality,0.5,900,3,0.0,0.0,0.3534746047376078,0.3534746047376078,
independent_alpha0,hash_high_cardinality,0.5,900,3,0.330151153540175,0.6531424025457438,0.1043895431768967,0.0,
independent_alpha0,joint_basin,0.5,900,3,0.0,0.3333333333333333,1.0,0.9976673333333334,
independent_alpha0,boundary_v2_regime_sequence,0.5,900,3,0.0,0.0,1.0,0.998667,
independent_alpha0,basin_transition_profile,0.5,900,3,0.0,0.25,0.8790644897746148,0.8609627938011759,
endpoint_fakeout,center_of_mass,0.5,900,3,0.0,0.0,0.723240245832626,0.3346323459752779,
endpoint_fakeout,component_A_only,0.5,900,3,0.0,0.1176470588235294,0.5061600042037401,0.0032225826093466,
endpoint_fakeout,component_B_only,0.5,900,3,0.125,0.125,0.7857490451870344,0.6822609607597449,
endpoint_fakeout,time_shuffled_COM,0.5,900,3,0.0,0.0,0.723240245832626,0.3070617983780107,
endpoint_fakeout,random_balanced_k_COM_cardinality,0.5,900,3,0.0,0.0,0.5233828719138645,0.5233828719138645,
endpoint_fakeout,hash_high_cardinality,0.5,900,3,0.3388527498521584,0.7007687758722649,0.1552281287868559,0.0,
endpoint_fakeout,joint_basin,0.5,900,3,0.1666666666666666,0.1666666666666666,1.0,0.8279175070966863,
endpoint_fakeout,boundary_v2_regime_sequence,0.5,900,3,0.0,0.0,1.0,0.9885165445726006,
endpoint_fakeout,basin_transition_profile,0.5,900,3,0.16,0.16,0.5569301618966602,0.4357460748094178,
rigid_collapse,center_of_mass,0.5,900,3,0.0,0.0,1.0,1.0,
rigid_collapse,component_A_only,0.5,900,3,0.0,0.0,0.4682312432754724,0.0,
rigid_collapse,component_B_only,0.5,900,3,0.0,0.0,0.7503112795513072,0.7503112795513072,
rigid_collapse,time_shuffled_COM,0.5,900,3,0.0,0.0,1.0,1.0,
rigid_collapse,random_balanced_k_COM_cardinality,0.5,900,3,0.0,0.0,0.8619843725444963,0.8619843725444963,
rigid_collapse,hash_high_cardinality,0.5,900,3,0.09375,0.21875,0.2169793856823222,0.0,
rigid_collapse,joint_basin,0.5,900,3,0.0,0.0,1.0,0.9986656659996668,
rigid_collapse,boundary_v2_regime_sequence,0.5,900,3,0.0,0.0,1.0,1.0,
rigid_collapse,basin_transition_profile,0.5,900,3,0.25,0.25,0.7490312735168247,0.5610238617159438,
delayed_trap,center_of_mass,0.5,900,3,0.0,0.1111111111111111,0.6280261807335756,0.346026346745658,
delayed_trap,component_A_only,0.5,900,3,0.0,0.125,0.4650951735681898,0.0,
delayed_trap,component_B_only,0.5,900,3,0.0,0.1428571428571428,0.7412560877028049,0.7324947169120519,
delayed_trap,time_shuffled_COM,0.5,900,3,0.0,0.1111111111111111,0.6280261807335756,0.3002336559979614,
delayed_trap,random_balanced_k_COM_cardinality,0.5,900,3,0.0,0.0,0.3747701529744809,0.3747701529744809,
delayed_trap,hash_high_cardinality,0.5,900,3,0.385362210604929,0.7879014189693802,0.1496851360331615,0.0,
delayed_trap,joint_basin,0.5,900,3,0.0,0.2,0.9717304614828748,0.9639605202877928,
delayed_trap,boundary_v2_regime_sequence,0.5,900,3,0.0,0.0,1.0,0.9946666720106828,
delayed_trap,basin_transition_profile,0.5,900,3,0.1176470588235294,0.4117647058823529,0.5035997950515788,0.4352711429337866,
noise_fakeout,center_of_mass,0.5,900,3,0.0833333333333333,0.2083333333333333,1.0,0.0335620906191476,
noise_fakeout,component_A_only,0.5,900,3,0.064516129032258,0.1935483870967742,0.8882370499004014,0.0212303601197794,
noise_fakeout,component_B_only,0.5,900,3,0.1764705882352941,0.2647058823529412,0.8869154155615463,0.0201627291964157,
noise_fakeout,time_shuffled_COM,0.5,900,3,0.0833333333333333,0.2083333333333333,1.0,0.0259069825024668,
noise_fakeout,random_balanced_k_COM_cardinality,0.5,900,3,0.0,0.0,0.8863880367132332,0.8863880367132332,
noise_fakeout,hash_high_cardinality,0.5,900,3,0.6443844249381049,0.9822192212469052,0.283354504254694,0.0,
noise_fakeout,joint_basin,0.5,900,3,0.0,0.0,1.0,1.0,
noise_fakeout,boundary_v2_regime_sequence,0.5,900,3,0.0,0.0,1.0,0.9986656659996668,
noise_fakeout,basin_transition_profile,0.5,900,3,0.0,0.0,0.5611356805269925,0.4298424325644573,
component_swap_fakeout,center_of_mass,0.5,900,3,0.0,0.1538461538461538,0.9839854082155186,0.0,
component_swap_fakeout,component_A_only,0.5,900,3,0.0,0.0625,0.8927545759678637,0.0036966979844581,
component_swap_fakeout,component_B_only,0.5,900,3,0.1052631578947368,0.1052631578947368,0.8257315395006161,0.0,
component_swap_fakeout,time_shuffled_COM,0.5,900,3,0.0,0.1538461538461538,0.9839854082155186,0.0,
component_swap_fakeout,random_balanced_k_COM_cardinality,0.5,900,3,0.0,0.0,0.874633650997031,0.874633650997031,
component_swap_fakeout,hash_high_cardinality,0.5,900,3,0.4812001519179643,0.8382073680212685,0.2417018289227404,0.0,
component_swap_fakeout,joint_basin,0.5,900,3,0.1111111111111111,0.2222222222222222,1.0,0.8746951823361566,
component_swap_fakeout,boundary_v2_regime_sequence,0.5,900,3,0.0,0.2,1.0,0.987842864552908,
component_swap_fakeout,basin_transition_profile,0.5,900,3,0.2058823529411764,0.2941176470588235,0.7221416497616677,0.5369125021981482,
coupled,center_of_mass,0.5,900,2,0.0,0.0,0.7091132307183198,0.3753678659637028,
coupled,center_of_mass,0.5,900,2,0.0,0.0,0.7091132307183198,0.3753678659637028,
coupled,component_A_only,0.5,900,2,0.0625,0.0625,0.5086554219676019,0.0025850003480533,
coupled,component_B_only,0.5,900,2,0.0,0.0,0.7746334384911471,0.7684332849057685,
coupled,time_shuffled_COM,0.5,900,2,0.0,0.0,0.7091132307183198,0.3414656023267878,
coupled,random_balanced_k_COM_cardinality,0.5,900,2,0.0,0.0,0.5030656252058672,0.5030656252058672,
coupled,hash_high_cardinality,0.5,900,2,0.3659761456371626,0.7156308851224106,0.1524102687787476,0.0,
coupled,joint_basin,0.5,900,2,0.0,0.0,1.0,0.990664361455041,
coupled,boundary_v2_regime_sequence,0.5,900,2,0.0,0.0,1.0,0.991830019424286,
