alpha,T,seed,condition,kappa,condition_family,threshold,component_threshold,p_viable,node_count,node_entropy,node_singleton_fraction,macro_path_entropy,fiber_entropy,singleton_fraction,small_fiber_fraction,certified_node_fraction,certified_edge_count,certified_edge_fraction,transport_survival_mean,certified_path_count,certified_path_mass_survival_to_final_segment,multi_step_transport_depth,mean_certified_path_length,max_certified_path_length,component_A_preservation,component_B_preservation,component_balance,lower_rank_erasure_score,edge_component_balance_mean,nonfragmentation,viable_propagation_index,delta_vs_product,delta_vs_shuffled,delta_vs_time_shuffled,component_necessity_A,component_necessity_B,component_necessity_min,ordered_edge_predictivity,edge_order_delta_vs_time_shuffled,edge_order_delta_vs_endpoint_fakeout,local_edge_survival_min,edge_transition_consistency,within_fiber_A_diversity,within_fiber_B_diversity,within_fiber_component_balance,within_fiber_effective_radius,rigid_collapse_diversity_delta,early_edge_survival,middle_edge_survival,late_edge_survival,late_to_early_transport_ratio,final_segment_certified_mass,delayed_trap_late_delta,base_signal_positive,R1_component_necessity_pass,R2_edge_order_pass,R3_nondegeneracy_pass,R4_late_retention_pass,refined_positive
0.5,900,6,delayed_trap,center_of_mass,false_positive_control,main,0.6,1.0,38,1.9401773576158363,0.131578947368421,1.9401773576158363,1.9401773576158363,0.0,0.1111111111111111,0.868421052631579,50,0.6410256410256411,0.8676666666666667,660,0.66,0.6624761904761904,4.003,6,1.0,0.5830613077321577,0.5830613077321577,0.4169386922678423,0.2248402510142876,1.0,0.3338958884858974,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
0.5,900,6,delayed_trap,component_A_only,false_positive_control,main,0.6,1.0,56,2.418786415359761,0.1607142857142857,2.418786415359761,2.418786415359761,0.0625,0.0625,0.8392857142857143,25,0.2066115702479339,0.0381666666666666,0,0.0,0.0174761904761904,0.189,3,0.9313843268630102,0.4676900532350456,0.4676900532350456,0.5323099467649544,0.2157624003000367,0.9375,0.0,,,,,,,,,,,,,,,,,,,,,,,False,,,,,
0.5,900,6,delayed_trap,component_B_only,false_positive_control,main,0.6,1.0,23,1.526221014245016,0.0869565217391304,1.526221014245016,1.526221014245016,0.0,0.0,0.9130434782608696,44,0.8979591836734694,0.9983333333333332,993,0.993,0.993,5.958,6,1.0,0.7412048037638962,0.7412048037638962,0.2587951962361038,0.1989377755067516,1.0,0.7347896761873196,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
0.5,900,6,delayed_trap,time_shuffled_COM,false_positive_control,main,0.6,1.0,38,1.9401773576158363,0.131578947368421,1.9401773576158363,1.9401773576158363,0.0,0.1111111111111111,0.868421052631579,50,0.704225352112676,0.8568333333333333,628,0.628,0.6467142857142857,3.917,6,1.0,0.5830613077321577,0.5830613077321577,0.4169386922678423,0.1707695953176786,1.0,0.3137402364926737,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
0.5,900,6,delayed_trap,random_balanced_k_COM_cardinality,false_positive_control,main,0.6,1.0,49,2.8068722388867995,0.0,2.8068722388867995,2.8068722388867995,0.0,0.0,1.0,294,1.0,1.0,1000,1.0,1.0,6.0,6,0.8026085854868509,0.403025948844918,0.403025948844918,0.596974051155082,0.1575290685381485,1.0,0.403025948844918,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
0.5,900,6,delayed_trap,hash_high_cardinality,false_positive_control,main,0.6,1.0,2217,7.312461602654539,0.9431664411366713,7.312461602654539,7.312461602654539,0.4057017543859649,0.8033625730994152,0.0568335588633288,0,0.0,0.0,0,0.0,0.0,0.0,0,0.3080795332282409,0.1547006205069375,0.1547006205069375,0.8452993794930626,0.2323307174189144,0.5942982456140351,0.0,,,,,,,,,,,,,,,,,,,,,,,False,,,,,
0.5,900,6,delayed_trap,joint_basin,false_positive_control,main,0.6,1.0,22,1.147864410738923,0.3181818181818182,1.147864410738923,1.147864410738923,0.0,0.2,0.6818181818181818,27,0.6923076923076923,0.9965,990,0.99,0.9913809523809524,5.954,6,1.0,0.9855191403970692,0.9855191403970692,0.0144808596029308,0.2517536989356905,1.0,0.9722491251716228,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
0.5,900,6,delayed_trap,boundary_v2_regime_sequence,false_positive_control,main,0.6,1.0,16,0.6248250656617229,0.3125,0.6248250656617229,0.6248250656617229,0.0,0.0,0.6875,12,0.5454545454545454,0.9976666666666668,994,0.994,0.9941428571428572,5.966,6,1.0,1.0,1.0,0.0,0.1957456645439892,1.0,0.9916806666666668,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
0.5,900,6,delayed_trap,basin_transition_profile,false_positive_control,main,0.6,1.0,43,2.200246980890337,0.3953488372093023,2.200246980890337,2.200246980890337,0.1111111111111111,0.4444444444444444,0.6046511627906976,39,0.6,0.9931666666666666,984,0.984,0.9862857142857144,5.928,6,1.0,0.5141433471737118,0.5141433471737118,0.4858566528262882,0.2508897429767582,0.8888888888888888,0.4466310700022545,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
0.5,900,6,noise_fakeout,center_of_mass,false_positive_control,main,0.6,1.0,111,3.3122469523494757,0.2252252252252252,3.3122469523494757,3.3122469523494757,0.0454545454545454,0.1363636363636363,0.7747747747747747,413,0.5024330900243309,0.629,65,0.065,0.1516190476190476,1.387,6,1.0,1.0,1.0,0.0,0.8568377925323412,0.9545454545454546,0.0390265909090909,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
0.5,900,6,noise_fakeout,component_A_only,false_positive_control,main,0.6,1.0,150,3.8164623301911904,0.2,3.8164623301911904,3.8164623301911904,0.032258064516129,0.1935483870967742,0.8,694,0.5249621785173979,0.5896666666666667,44,0.044,0.1316190476190476,1.25,6,0.8840619713064545,0.8831088391998542,0.8831088391998542,0.1168911608001458,0.7187876942375531,0.967741935483871,0.0221734385832128,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
0.5,900,6,noise_fakeout,component_B_only,false_positive_control,main,0.6,1.0,153,3.8008727158043887,0.2483660130718954,3.8008727158043887,3.8008727158043887,0.064516129032258,0.1935483870967742,0.7516339869281046,656,0.5073472544470224,0.5886666666666667,41,0.041,0.1238095238095238,1.203,6,0.8876880293876408,0.8867309879257128,0.8867309879257128,0.1132690120742871,0.7120662175220345,0.935483870967742,0.0200208029402228,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
0.5,900,6,noise_fakeout,time_shuffled_COM,false_positive_control,main,0.6,1.0,111,3.3122469523494757,0.2252252252252252,3.3122469523494757,3.3122469523494757,0.0454545454545454,0.1363636363636363,0.7747747747747747,389,0.4993581514762516,0.6238333333333334,57,0.057,0.1657142857142857,1.472,6,1.0,1.0,1.0,0.0,0.8409831719224472,0.9545454545454546,0.0339422045454545,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
