alpha,T,condition,threshold,kappa,seed,certified_node_fraction,certified_edge_fraction,certified_path_count,certified_path_mass_survival_to_final_segment,multi_step_transport_depth,transport_survival_mean,viable_propagation_index,component_A_preservation,component_B_preservation,lower_rank_erasure_score,singleton_fraction,small_fiber_fraction,label_imbalance,macro_node_entropy,macro_path_entropy,breadth_index,p_viable,Delta_viable_propagation_vs_product,Delta_viable_propagation_vs_shuffled,Delta_R,Delta_H_weighted
0.5,900,coupled,main,center_of_mass,49.5,0.7619477229369432,0.8068986811921737,259.63,0.6432789183224924,0.6512269776019041,0.8068986811921737,0.2458281797433502,1.0,0.8283746480105583,0.08581267599472078,0.428356588121242,0.7465409166447522,0.20491569623043604,2.1259133315367147,7.021677641371972,0.6079801776110851,0.9989199999999999,0.05664949867103192,0.057090201159988196,0.12090897838265491,0.12093941462147129
0.5,900,coupled,main,joint_basin,49.5,0.6991550627582411,0.9950997040107568,180.26,0.9883307014784772,0.9899187663852493,0.9950997040107568,0.5074950848366614,1.0,1.0,0.0,0.4839939483487734,0.7483718013083945,0.35475234848200216,1.3918762740870678,4.973298038368037,0.4306188583434041,0.9989199999999999,-0.0203040846619873,-0.018301541090776863,3.8052160395403676,3.8011336614643025
0.5,1500,coupled,main,boundary_v2_regime_sequence,49.5,0.6422610967463909,0.9982225288688096,4.54,0.995224887991195,0.9953696390056515,0.9982225288688096,0.5957653199033345,1.0,1.0,0.0,0.40034270712947184,0.5674958978929567,0.5683671213399889,0.5295326328799042,1.5417315798494498,0.1334922024933027,0.9989466666666666,-0.18263893519492258,-0.17630064358871533,-2.282004258486944,-2.2789377664560266
0.5,1500,coupled,main,center_of_mass,49.5,0.7977424607592192,0.8829883823199602,347.23,0.679245354092637,0.684575276076667,0.8829883823199602,0.262648927261632,1.0,0.8071518418531828,0.09642407907340855,0.45753458848486517,0.7699550052605336,0.16054790115861356,2.0390279207588735,7.6934694276161295,0.6661459258163225,0.9989466666666666,0.07224408300480867,0.07139403550885759,0.3449679739657574,0.34587834795181216
0.5,1500,coupled,main,joint_basin,49.5,0.7243426279602752,0.9957782495228699,369.71,0.9891416328127504,0.990004949444199,0.9957782495228699,0.5072440220815212,1.0,0.9755463837684556,0.012226808115772148,0.47212294133441435,0.7448785683579576,0.2619233165306634,1.5735415838812437,6.36544968874337,0.5511581285046756,0.9989466666666666,-0.049047618982979824,-0.06724232299715083,5.265860062847212,5.260503952449501
0.5,2400,coupled,main,boundary_v2_regime_sequence,49.5,0.7193858274078861,0.9988641343575673,5.38,0.9963354410431475,0.9964597321923866,0.9988641343575673,0.7267106571725299,1.0,1.0,0.0,0.2698486790986791,0.38390262515262513,0.6459988144351536,0.47191198263823236,1.16913938476644,0.10123324609346974,0.9987666666666667,-0.06746286430302073,-0.0723439252869339,-3.1757149383178507,-3.1721602944208493
0.5,2400,coupled,main,center_of_mass,49.5,0.7842819596818263,0.9345970637968932,481.3,0.7373193363580322,0.7407339974728469,0.9345970637968931,0.26526181694199097,1.0,0.7476413579091187,0.12617932104544066,0.48508318261018846,0.8006590043816817,0.12448397084221524,1.9936262805428262,8.33356217968844,0.7215851262377027,0.9987666666666667,0.08251765555031068,0.08270058677527187,0.7126731017259189,0.7111590641439598
0.5,2400,coupled,main,joint_basin,49.5,0.74411570023904,0.9966436458231448,515.89,0.9903982017500376,0.9912818214575023,0.9966436458231448,0.42964419566208717,1.0,0.9545400527532454,0.022729973623377243,0.5440216957070638,0.833024430879809,0.2798444406576147,1.5374033834012866,6.527385383984358,0.5651921831168633,0.9987666666666667,-0.155759258700426,-0.16694497803332714,5.539435654934927,5.532521355149753
0.525,900,coupled,main,boundary_v2_regime_sequence,49.5,0.6067554793847364,0.9974902423264759,6.41,0.9944677513842106,0.9947505698925971,0.997490242326476,0.6186273416040882,1.0,1.0,0.0,0.3763956328329393,0.5706356923520236,0.5200758575158639,0.6281497566210382,1.908443276954368,0.16524309789114958,0.9990033333333334,-0.11464923153976947,-0.1150098908174707,-1.3404572032178326,-1.3385364121188612
0.525,900,coupled,main,center_of_mass,49.5,0.769320927759494,0.8081468642453825,260.79,0.6448757628206542,0.6522594748632112,0.8081468642453825,0.24854819184748994,1.0,0.838033682057352,0.08098315897132395,0.4309722385441036,0.7450949355156473,0.20430159513262736,2.128448710593245,7.025160002824316,0.6082753919259841,0.9990033333333334,0.060126863035038475,0.057295038277167254,0.1327457153396603,0.1338540466817859
