alpha,T,condition,threshold,kappa,metric,mean,std,se,ci_low,ci_high
0.45,900,shuffled,strict,center_of_mass,singleton_fraction,0.4186432595766923,0.020456930924269097,0.0020456930924269098,0.41429832510712344,0.4220541738407004
0.45,900,shuffled,strict,joint_basin,viable_propagation_index,0.5209347494603599,0.06221647605660793,0.0062216476056607935,0.5085002980030284,0.5329003320352907
0.45,900,shuffled,strict,joint_basin,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,900,shuffled,strict,joint_basin,singleton_fraction,0.47432545404199167,0.06271915495083605,0.006271915495083605,0.46092047414678294,0.48805814977763007
0.45,1500,coupled,loose,boundary_v2_regime_sequence,viable_propagation_index,0.6540639508637226,0.12092879438058567,0.012092879438058566,0.6299347392422817,0.6790308466510445
0.45,1500,coupled,loose,boundary_v2_regime_sequence,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,1500,coupled,loose,boundary_v2_regime_sequence,singleton_fraction,0.34255604178243504,0.12130368554147929,0.012130368554147928,0.319500819753432,0.3648514517495748
0.45,1500,coupled,loose,center_of_mass,viable_propagation_index,0.2510476607732379,0.009101673019478004,0.0009101673019478003,0.24919855521233236,0.2531248226144754
0.45,1500,coupled,loose,center_of_mass,component_B_preservation,0.7762657335424358,0.007688969228834277,0.0007688969228834277,0.7749021362638165,0.7777175102629414
0.45,1500,coupled,loose,center_of_mass,singleton_fraction,0.45342912539962166,0.017503659664275025,0.0017503659664275025,0.4496969559976682,0.45672644520364336
0.45,1500,coupled,loose,joint_basin,viable_propagation_index,0.5170575497138522,0.022416497834687472,0.0022416497834687474,0.5121835761504084,0.5214759011567461
0.45,1500,coupled,loose,joint_basin,component_B_preservation,0.9968599250979188,0.004606881619776875,0.0004606881619776875,0.9959737710703224,0.9978255595954173
0.45,1500,coupled,loose,joint_basin,singleton_fraction,0.477149424686418,0.021956733438323547,0.0021956733438323545,0.473141881958388,0.48192874788632556
0.45,1500,coupled,main,boundary_v2_regime_sequence,viable_propagation_index,0.6518951171556457,0.12039824550847701,0.012039824550847702,0.6279486902031789,0.6738424839373474
0.45,1500,coupled,main,boundary_v2_regime_sequence,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,1500,coupled,main,boundary_v2_regime_sequence,singleton_fraction,0.34255604178243504,0.12130368554147929,0.012130368554147928,0.32032596258445717,0.36394181576400036
0.45,1500,coupled,main,center_of_mass,viable_propagation_index,0.25004511883947894,0.009098271306262982,0.0009098271306262982,0.24844773339539664,0.2518701320732608
0.45,1500,coupled,main,center_of_mass,component_B_preservation,0.7762657335424358,0.007688969228834277,0.0007688969228834277,0.775044706965623,0.77788842739924
0.45,1500,coupled,main,center_of_mass,singleton_fraction,0.45342912539962166,0.017503659664275025,0.0017503659664275025,0.4500607911882371,0.45674656985020595
0.45,1500,coupled,main,joint_basin,viable_propagation_index,0.5141928867988232,0.022520577835157374,0.0022520577835157376,0.5103484075185185,0.5186654182749978
0.45,1500,coupled,main,joint_basin,component_B_preservation,0.9968599250979188,0.004606881619776875,0.0004606881619776875,0.9959293622943165,0.997704005939961
