kappa,variant_id,split,alpha,T,component_A_preservation,component_B_preservation,lower_rank_erasure_score
random_matched_predictive_kmeans_k8,noise_test_003,test,0.525,2400,0.7198844995142183,0.42088791997191655,0.42961379025693247
random_matched_predictive_kmeans_no_COM_k13,noise_test_003,test,0.525,2400,0.7197963158535282,0.42083639337027157,0.42968364538810006
random_matched_predictive_kmeans_no_COM_k8,noise_test_003,test,0.525,2400,0.7198844995142183,0.42088791997191655,0.42961379025693247
all_one_diagnostic,noise_test_004,test,0.525,1500,1.0,1.0,0.0
boundary_v2_regime_sequence,noise_test_004,test,0.525,1500,1.0,1.0,0.0
center_of_mass,noise_test_004,test,0.525,1500,1.0,0.8070194452775195,0.0964902773612402
identity_diagnostic,noise_test_004,test,0.525,1500,0.6935634114964615,0.456751793548126,0.42484239747770625
joint_basin,noise_test_004,test,0.525,1500,1.0,0.9406808537667426,0.029659573116628656
predictive_kmeans_k13,noise_test_004,test,0.525,1500,0.999250550676081,0.662416737858186,0.1691663557328664
predictive_kmeans_k21,noise_test_004,test,0.525,1500,0.8637980504430526,0.5688585396974583,0.28367170492974453
predictive_kmeans_k5,noise_test_004,test,0.525,1500,1.0,1.0,0.0
predictive_kmeans_k8,noise_test_004,test,0.525,1500,1.0,0.8374141450216426,0.08129292748917867
predictive_kmeans_no_COM_k13,noise_test_004,test,0.525,1500,0.9990773137205169,0.6626047407805287,0.16915897274947714
predictive_kmeans_no_COM_k8,noise_test_004,test,0.525,1500,1.0,0.8352914422378568,0.08235427888107154
random_matched_predictive_kmeans_k13,noise_test_004,test,0.525,1500,0.6935658211705577,0.45675338444288377,0.42484039719327915
random_matched_predictive_kmeans_k21,noise_test_004,test,0.525,1500,0.6935630122606518,0.45675152121133583,0.4248427332640061
random_matched_predictive_kmeans_k5,noise_test_004,test,0.525,1500,0.6958162054864507,0.45823568700299894,0.4229740537552751
random_matched_predictive_kmeans_k8,noise_test_004,test,0.525,1500,0.693651191110446,0.4568096040352591,0.4247696024271474
random_matched_predictive_kmeans_no_COM_k13,noise_test_004,test,0.525,1500,0.6935658211705577,0.45675338444288377,0.42484039719327915
random_matched_predictive_kmeans_no_COM_k8,noise_test_004,test,0.525,1500,0.693651191110446,0.4568096040352591,0.4247696024271474
all_one_diagnostic,noise_test_004,test,0.525,2400,1.0,1.0,0.0
boundary_v2_regime_sequence,noise_test_004,test,0.525,2400,1.0,1.0,0.0
center_of_mass,noise_test_004,test,0.525,2400,1.0,0.6940561360248431,0.1529719319875784
identity_diagnostic,noise_test_004,test,0.525,2400,0.7192715012142351,0.4206624544368237,0.4300330221744706
joint_basin,noise_test_004,test,0.525,2400,1.0,0.9282503261009559,0.03587483694952203
predictive_kmeans_k13,noise_test_004,test,0.525,2400,1.0,0.6350961756392526,0.1824519121803737
predictive_kmeans_k21,noise_test_004,test,0.525,2400,0.9207977353706864,0.538514208019786,0.27034402830476373
predictive_kmeans_k5,noise_test_004,test,0.525,2400,1.0,1.0,0.0
predictive_kmeans_k8,noise_test_004,test,0.525,2400,1.0,0.8322476808963738,0.08387615955181303
predictive_kmeans_no_COM_k13,noise_test_004,test,0.525,2400,1.0,0.5990418896213626,0.20047905518931866
predictive_kmeans_no_COM_k8,noise_test_004,test,0.525,2400,1.0,0.8115553721784714,0.09422231391076429
random_matched_predictive_kmeans_k13,noise_test_004,test,0.525,2400,0.7192748187930197,0.4206643900693882,0.430030395568796
random_matched_predictive_kmeans_k21,noise_test_004,test,0.525,2400,0.7192719181138558,0.4206626976392528,0.43003269212344564
