condition,alpha,T,control,early_to_late_neighbor_preservation,early_to_late_future_profile_separation,time_shuffled_delta
shuffled,0.525,900,none,0.5353700518608093,1.0833064317703247,0.821205961634405
shuffled,0.525,1500,none,0.345985472202301,0.8382931351661682,0.635160224919673
shuffled,0.525,2400,none,0.18381941318511963,0.5341001152992249,0.37442482443293557
time_shuffled,0.45,900,none,0.3431352972984314,0.7804327607154846,0.510901847621426
time_shuffled,0.45,1500,none,0.2701675295829773,0.5758963823318481,0.3601982577238232
time_shuffled,0.45,2400,none,0.19570738077163696,0.41126948595046997,0.23497061582747847
time_shuffled,0.5,900,none,0.33924561738967896,0.7564975619316101,0.4931096951913787
time_shuffled,0.5,1500,none,0.25727880001068115,0.5306116342544556,0.33667024155147374
time_shuffled,0.5,2400,none,0.20018160343170166,0.3483434319496155,0.22829508950235322
time_shuffled,0.525,900,none,0.34101974964141846,0.7159436345100403,0.48192487115738913
time_shuffled,0.525,1500,none,0.25649821758270264,0.5287812352180481,0.3415299031767063
time_shuffled,0.525,2400,none,0.19099396467208862,0.3846849203109741,0.2176379428128712
