condition,alpha,T,control,A_past_to_A_future_delta,B_past_to_B_future_delta,joint_past_to_joint_future_delta,component_continuity_balance,component_erasure_rejection
coupled,0.525,900,none,0.8487051129341125,0.48750925064086914,0.799480140209198,0.6388041377067566,0.5744153572440136
coupled,0.525,900,rigid_collapse,0.8091667890548706,0.2544850707054138,0.7557333707809448,0.4453182816505432,0.3145026144766266
coupled,0.525,900,noise_fakeout,-6.259524525376037e-05,-0.00022132624872028828,-0.0005768052651546896,0.9998412689965335,0.0
coupled,0.525,900,single_component_erasure,0.8487051129341125,0.2544850707054138,0.850394606590271,0.40577995777130127,0.2998509927972712
coupled,0.525,900,endpoint_fakeout,0.8150691986083984,0.29679831862449646,0.7665146589279175,0.481729120016098,0.364138798437277
coupled,0.525,1500,none,0.6855190396308899,0.34592652320861816,0.6370955109596252,0.6604074835777283,0.5046198620462511
coupled,0.525,1500,rigid_collapse,0.6283792853355408,0.17972032725811005,0.5824744701385498,0.5513410419225693,0.28600612950209414
coupled,0.525,1500,noise_fakeout,-0.0005094869411550462,-0.0002649374073371291,-0.0007853477727621794,0.9997554504661821,0.0
coupled,0.525,1500,single_component_erasure,0.6855190396308899,0.17972032725811005,0.6929498314857483,0.49420128762722015,0.2621667916836832
coupled,0.525,1500,endpoint_fakeout,0.676252007484436,0.19285401701927185,0.6244666576385498,0.5166020095348358,0.28518069430457166
coupled,0.525,2400,none,0.4832964539527893,0.2108526974916458,0.43031737208366394,0.7275562435388565,0.43628024945584
coupled,0.525,2400,rigid_collapse,0.42398419976234436,0.1051197424530983,0.37907928228378296,0.6811355426907539,0.247933160037617
coupled,0.525,2400,noise_fakeout,-0.00031458682497031987,-0.000429031002568081,-0.0007910383865237236,0.9998855558224022,0.0
coupled,0.525,2400,single_component_erasure,0.4832964539527893,0.1051197424530983,0.4781937301158905,0.621823288500309,0.2175057184743319
coupled,0.525,2400,endpoint_fakeout,0.5438372492790222,0.16750095784664154,0.49396446347236633,0.6236637085676193,0.3079983176376783
independent_alpha0,0.45,900,none,0.8796955943107605,0.38751617074012756,0.8239886164665222,0.5078205764293671,0.4405116647693861
independent_alpha0,0.45,1500,none,0.7482277750968933,0.21276336908340454,0.6361734867095947,0.46453559398651123,0.2843564168088418
independent_alpha0,0.45,2400,none,0.47399455308914185,0.08224523812532425,0.3528670370578766,0.6082506850361824,0.1735151545293323
independent_alpha0,0.5,900,none,0.8776716589927673,0.4004869759082794,0.8238258957862854,0.5228153169155121,0.45630615026111915
independent_alpha0,0.5,1500,none,0.7450532913208008,0.19667436182498932,0.6399019956588745,0.45162107050418854,0.2639735494307164
independent_alpha0,0.5,2400,none,0.492729514837265,0.08855469524860382,0.3620908856391907,0.5958251804113388,0.1797227334308378
independent_alpha0,0.525,900,none,0.8806388974189758,0.3947834074497223,0.8220220804214478,0.5141445100307465,0.4482920395712418
independent_alpha0,0.525,1500,none,0.743242084980011,0.20302310585975647,0.6347233057022095,0.4597810208797455,0.2731587862993746
independent_alpha0,0.525,2400,none,0.49493080377578735,0.09092994034290314,0.3641135096549988,0.5959991365671158,0.1837225318149647
product,0.45,900,none,0.8852625489234924,0.3970002233982086,0.81796795129776,0.5117376744747162,0.4484547820089911
product,0.45,1500,none,0.7376096248626709,0.20136965811252594,0.6434227824211121,0.46376003324985504,0.2730030239912029
