world,T,metric,mean,ci_low,ci_high,n_seeds
W6_commutative_edge_memory,50,dynamic_lock_in_index,0.0,0.0,0.0,50
W6_commutative_edge_memory,100,edge_memory_predictive_gain,0.09906324786324781,0.09885689636752132,0.09924826121794869,50
W6_commutative_edge_memory,100,edge_memory_erasure_delta,0.99932,0.9992357,0.9994120999999999,50
W6_commutative_edge_memory,100,relation_slack_excess,0.004016452991452938,0.0036902804487179007,0.004407176816239245,50
W6_commutative_edge_memory,100,order_sensitivity,1.0,1.0,1.0,50
W6_commutative_edge_memory,100,future_distinct_ratio,0.99932,0.9992320000000001,0.9994001,50
W6_commutative_edge_memory,100,dynamic_lock_in_index,0.0,0.0,0.0,50
W7_reversible_edge_memory,50,edge_memory_predictive_gain,0.08702382478632474,0.08685290598290593,0.08722107638888883,50
W7_reversible_edge_memory,50,edge_memory_erasure_delta,0.998856,0.9987279000000001,0.9989841,50
W7_reversible_edge_memory,50,relation_slack_excess,0.0033635683760683184,0.003024732905982846,0.0036637740384614713,50
W7_reversible_edge_memory,50,order_sensitivity,1.0,1.0,1.0,50
W7_reversible_edge_memory,50,future_distinct_ratio,0.998856,0.9987,0.9989720999999999,50
W7_reversible_edge_memory,50,dynamic_lock_in_index,0.0,0.0,0.0,50
W7_reversible_edge_memory,100,edge_memory_predictive_gain,0.087038782051282,0.08685629807692302,0.08723409188034183,50
W7_reversible_edge_memory,100,edge_memory_erasure_delta,0.99882,0.9987320000000001,0.9989401,50
W7_reversible_edge_memory,100,relation_slack_excess,0.0034195512820512264,0.003040694444444388,0.0037701388888888407,50
W7_reversible_edge_memory,100,order_sensitivity,1.0,1.0,1.0,50
W7_reversible_edge_memory,100,future_distinct_ratio,0.99882,0.9986999000000001,0.9989480000000001,50
W7_reversible_edge_memory,100,dynamic_lock_in_index,0.0,0.0,0.0,50
W8_full_relational_edge_memory,50,edge_memory_predictive_gain,0.09904978632478628,0.09879758279914524,0.09924077991452987,50
W8_full_relational_edge_memory,50,edge_memory_erasure_delta,0.9992919863972795,0.9991678890178037,0.9993961887377476,50
W8_full_relational_edge_memory,50,relation_slack_excess,-0.0028231837606837373,-0.0038997542735042267,-0.001715494123931621,50
W8_full_relational_edge_memory,50,order_sensitivity,1.0,1.0,1.0,50
W8_full_relational_edge_memory,50,future_distinct_ratio,0.9992919863972795,0.9991719933386678,0.9994320841968395,50
W8_full_relational_edge_memory,50,dynamic_lock_in_index,0.0,0.0,0.0,50
W8_full_relational_edge_memory,100,edge_memory_predictive_gain,0.09905502136752131,0.09882133012820507,0.09930456730769226,50
W8_full_relational_edge_memory,100,edge_memory_erasure_delta,0.9992199855971196,0.9991118776555311,0.9993161886377276,50
W8_full_relational_edge_memory,100,relation_slack_excess,-0.0028117521367521103,-0.0039760924145298745,-0.0016280128205128069,50
W8_full_relational_edge_memory,100,order_sensitivity,1.0,1.0,1.0,50
W8_full_relational_edge_memory,100,future_distinct_ratio,0.9992199855971196,0.999107996159232,0.9993359833966794,50
W8_full_relational_edge_memory,100,dynamic_lock_in_index,0.0,0.0,0.0,50
W9_edge_memory_lock_in,50,edge_memory_predictive_gain,0.09454455128205122,0.09422028846153842,0.09487819711538455,50
W9_edge_memory_lock_in,50,edge_memory_erasure_delta,0.9993519527895977,0.9992678453890299,0.9994559505088293,50
W9_edge_memory_lock_in,50,relation_slack_excess,-0.07839700854700851,-0.0806838194444444,-0.07537211271367518,50
W9_edge_memory_lock_in,50,order_sensitivity,1.0,1.0,1.0,50
W9_edge_memory_lock_in,50,future_distinct_ratio,0.9993519527895977,0.9992758459279293,0.9994520803154069,50
W9_edge_memory_lock_in,50,dynamic_lock_in_index,0.0,0.0,0.0,50
W9_edge_memory_lock_in,100,edge_memory_predictive_gain,0.09348418803418798,0.0931839663461538,0.09371373130341876,50
W9_edge_memory_lock_in,100,edge_memory_erasure_delta,0.99927199679936,0.9991598967993598,0.9993920999199841,50
W9_edge_memory_lock_in,100,relation_slack_excess,-0.07951805555555551,-0.08221046474358969,-0.07693745993589739,50
W9_edge_memory_lock_in,100,order_sensitivity,1.0,1.0,1.0,50
W9_edge_memory_lock_in,100,future_distinct_ratio,0.99927199679936,0.9991438000000001,0.9994041,50
W9_edge_memory_lock_in,100,dynamic_lock_in_index,0.0,0.0,0.0,50
