variant_id,perturbation_family,perturbation_strength,alpha,T,kappa,singleton_fraction,estimator_stable,ci_width,category
noise_001,noise,moderate,0.525,2400,joint_basin,0.49054041796551295,True,0.019170982410399537,Entropy-only pseudo-risk
potential_shape_000,potential_shape,mild,0.45,900,boundary_v2_regime_sequence,0.3952149626287111,True,0.039919761535723325,Propagation lost
potential_shape_000,potential_shape,mild,0.45,900,center_of_mass,0.3511911993791255,True,0.0043250382365102175,Robust propagation retained
potential_shape_000,potential_shape,mild,0.45,900,joint_basin,0.4513012505802794,False,0.025488863739017244,Estimator-limited
potential_shape_000,potential_shape,mild,0.45,1500,boundary_v2_regime_sequence,0.35224948940733364,True,0.039687573727522685,Propagation lost
potential_shape_000,potential_shape,mild,0.45,1500,center_of_mass,0.38192026773052146,True,0.004026152168794081,Robust propagation retained
potential_shape_000,potential_shape,mild,0.45,1500,joint_basin,0.4505466497492021,False,0.026295944590880457,Estimator-limited
potential_shape_000,potential_shape,mild,0.45,2400,boundary_v2_regime_sequence,0.2889935758685759,False,0.05091227250761357,Estimator-limited
potential_shape_000,potential_shape,mild,0.45,2400,center_of_mass,0.4238890152938278,True,0.003215937499740071,Robust propagation retained
potential_shape_000,potential_shape,mild,0.45,2400,joint_basin,0.4528179143957475,True,0.029233196519381416,Entropy-only pseudo-risk
potential_shape_000,potential_shape,mild,0.5,900,boundary_v2_regime_sequence,0.371678135100868,True,0.03712128845107801,Propagation lost
potential_shape_000,potential_shape,mild,0.5,900,center_of_mass,0.3500689356121373,True,0.0030701815950296626,Robust propagation retained
potential_shape_000,potential_shape,mild,0.5,900,joint_basin,0.45882183434400625,False,0.022162427066458077,Estimator-limited
potential_shape_000,potential_shape,mild,0.5,1500,boundary_v2_regime_sequence,0.38618738615400766,True,0.04594296912430021,Propagation lost
potential_shape_000,potential_shape,mild,0.5,1500,center_of_mass,0.3824786052417192,True,0.004361787481095392,Robust propagation retained
potential_shape_000,potential_shape,mild,0.5,1500,joint_basin,0.4400014076097486,False,0.025513699180079313,Estimator-limited
potential_shape_000,potential_shape,mild,0.5,2400,boundary_v2_regime_sequence,0.3007328078375872,False,0.05051015915036164,Estimator-limited
potential_shape_000,potential_shape,mild,0.5,2400,center_of_mass,0.42000309178375395,True,0.004153214545264794,Robust propagation retained
potential_shape_000,potential_shape,mild,0.5,2400,joint_basin,0.4550507976420807,True,0.027770147391117855,Entropy-only pseudo-risk
potential_shape_000,potential_shape,mild,0.525,900,boundary_v2_regime_sequence,0.4004195349509339,True,0.04036595053735803,Propagation lost
potential_shape_000,potential_shape,mild,0.525,900,center_of_mass,0.35109240530747493,True,0.004465119496979517,Robust propagation retained
