variant_id,perturbation_family,perturbation_strength,threshold,condition,alpha,T,kappa,seed,p_viable,certified_path_mass_survival_to_final_segment,multi_step_transport_depth,transport_survival_mean,certified_transport_density,viable_propagation_index,component_A_preservation,component_B_preservation,lower_rank_erasure_score,singleton_fraction,certified_node_fraction,viable_fiber_fraction,macro_path_entropy,macro_node_entropy,breadth_index
initial_location_000,initial_location,mild,main,product,0.5,2400,boundary_v2_regime_sequence,39.5,0.998865,0.9960972350245607,0.9960996985955269,0.9990191651390756,0.7571302041381907,0.8866775370301303,1.0,1.0,0.0,0.10897672962985187,0.7911895886396997,1.0,4.35097385574372,0.8490045954142367,0.3380437861510027
initial_location_000,initial_location,mild,main,product,0.5,2400,center_of_mass,39.5,0.998865,0.5551547569125079,0.6125647852034058,0.8529493426321292,0.41471624642119986,0.20415353037205147,1.0,0.7172853211045254,0.1413573394477373,0.3989323380042412,0.6771313777722352,1.0,7.7676030075102656,1.6564096649422804,0.603494761105711
initial_location_000,initial_location,mild,main,product,0.5,2400,joint_basin,39.5,0.998865,0.9922895865441136,0.9937261331807351,0.9977766521033742,0.5703227960564288,0.6352226740367125,1.0,1.0,0.0,0.3584073463245129,0.6471244007970014,1.0,0.9739814495599022,0.26924956528986366,0.0756723252578278
initial_location_000,initial_location,mild,main,product,0.525,900,boundary_v2_regime_sequence,39.5,0.998795,0.9941045552427754,0.9941902151707716,0.9976110176909823,0.6095293400118419,0.8339426905936775,1.0,1.0,0.0,0.15910813660858508,0.6760549595332204,1.0,3.2527030461379844,0.9431207638468428,0.25271691475109453
initial_location_000,initial_location,mild,main,product,0.525,900,center_of_mass,39.5,0.998795,0.5924237030624849,0.6176360358347698,0.7595511330388398,0.481555134174254,0.20696959203726126,1.0,0.7118119662509443,0.14409401687452777,0.3538397974950781,0.7210486887962996,1.0,7.003904565672988,2.0377737375679517,0.5441643936509191
initial_location_000,initial_location,mild,main,product,0.525,900,joint_basin,39.5,0.998795,0.9951441473716167,0.9951850718940513,0.9981049419885035,0.5732972763169091,0.5877154934529047,1.0,1.0,0.0,0.4082932916025525,0.5958474671463801,1.0,1.1542808881266604,0.42364874817614295,0.0896811910630635
initial_location_000,initial_location,mild,main,product,0.525,1500,boundary_v2_regime_sequence,39.5,0.998795,0.9934003289228709,0.9934127257487955,0.9978810481195909,0.6757519374003154,0.8687230293276361,1.0,1.0,0.0,0.12364561832121776,0.7275309754128404,1.0,3.833209368459331,0.896698942660114,0.29781901596452964
initial_location_000,initial_location,mild,main,product,0.525,1500,center_of_mass,39.5,0.998795,0.5757269867382727,0.6135311722405689,0.8127471742647714,0.43195613836916563,0.20983397997693237,1.0,0.711952227801729,0.14402388609913552,0.3701420370132974,0.6990636732205683,1.0,7.474646683509846,1.841645448124504,0.5807384400576285
initial_location_000,initial_location,mild,main,product,0.525,1500,joint_basin,39.5,0.998795,0.9945451133357068,0.9950360131733375,0.9985335140374302,0.6317262430938185,0.6018575759029432,1.0,1.0,0.0,0.39394969149494197,0.6715895486727866,1.0,1.0849978960819517,0.3416938797196022,0.08429828715513862
initial_location_000,initial_location,mild,main,product,0.525,2400,boundary_v2_regime_sequence,39.5,0.998795,0.9959767772806529,0.9959792407559043,0.9990104686703246,0.7662078095218268,0.8825820479279844,1.0,1.0,0.0,0.11296784299136782,0.8043228475600767,1.0,4.351566870192352,0.8487042349244467,0.3380925195670264
initial_location_000,initial_location,mild,main,product,0.525,2400,center_of_mass,39.5,0.998795,0.5538140889800538,0.6112936829759514,0.8521714099608438,0.41836805930842064,0.20236309559030025,1.0,0.7160129579580801,0.14199352102095994,0.4011367992094114,0.6809926981045271,1.0,7.767157309041288,1.6570743231848097,0.603464868299108
initial_location_000,initial_location,mild,main,product,0.525,2400,joint_basin,39.5,0.998795,0.992260674995342,0.9936951791468353,0.9977611981845953,0.578892350562277,0.6276044441549425,1.0,1.0,0.0,0.36607958426681353,0.6531490546776924,1.0,0.9717952011246815,0.2683761705238455,0.07550307461539271
initial_location_000,initial_location,mild,main,shuffled,0.45,900,boundary_v2_regime_sequence,39.5,0.99881,0.9941330557063406,0.994220459354535,0.9976299961575738,0.6028139878144358,0.8373349308497036,1.0,1.0,0.0,0.15571755577810353,0.668493361710753,1.0,3.2569484508128026,0.9435104231385866,0.253046293294629
initial_location_000,initial_location,mild,main,shuffled,0.45,900,center_of_mass,39.5,0.99881,0.5934441733549726,0.6185664849343236,0.7602170661814673,0.47872944863875466,0.20749746283827103,1.0,0.7115751295819803,0.14421243520900978,0.3536576802815245,0.7167507527109562,1.0,7.005179993243987,2.0387016795986885,0.5442625706307009
