variant_id,perturbation_family,perturbation_strength,alpha,T,kappa,Delta_R,Delta_H_weighted_product,Delta_breadth_vs_product,Delta_breadth_vs_shuffled,macro_path_entropy,macro_node_entropy,breadth_index
noise_001,noise,moderate,0.45,2400,joint_basin,6.455944576210671,6.445459723230057,0.5013123046400665,0.5015836601844813,7.61752863686404,1.5966087585563251,0.5918323741238289
noise_001,noise,moderate,0.5,900,boundary_v2_regime_sequence,-1.6763355947311993,-1.6776641204377025,-0.130483093644064,-0.130242399206463,2.029072584054403,0.6504292498430387,0.15764646746532754
noise_001,noise,moderate,0.5,900,center_of_mass,0.12159967724305965,0.1234036798818261,0.009619386976092992,0.009444394532612033,8.12203157026698,2.1795531673466018,0.6310318987399764
noise_001,noise,moderate,0.5,900,joint_basin,4.382190360972271,4.381264027152607,0.3407886909282377,0.3404687301108428,5.7257436200059795,1.4823049840313989,0.44485506764962074
noise_001,noise,moderate,0.5,1500,boundary_v2_regime_sequence,-2.77379674436183,-2.768624720721831,-0.21533888924076253,-0.2155086522160076,1.6042645234859023,0.5394427055171942,0.12464149295175689
noise_001,noise,moderate,0.5,1500,center_of_mass,0.29145218093561986,0.2939069636672258,0.022883237675504264,0.022640641177321785,8.938153205431664,2.118883214748439,0.694439542472496
noise_001,noise,moderate,0.5,1500,joint_basin,5.9569666643530015,5.956273005195469,0.46329651575155223,0.46281920295196305,7.2414390933727875,1.6631771219081244,0.5626153017842741
noise_001,noise,moderate,0.5,2400,boundary_v2_regime_sequence,-3.729398554838267,-3.722926616287568,-0.2895652136049525,-0.289753278877212,1.2499558089736733,0.48203603810887535,0.09711388496323674
noise_001,noise,moderate,0.5,2400,center_of_mass,0.5546616811689251,0.5534573734700583,0.04307297801969656,0.04309021634975596,9.695240632900106,2.101839687266741,0.7532605840402917
noise_001,noise,moderate,0.5,2400,joint_basin,6.5482383162852,6.5465476006354075,0.5092091909376242,0.5087574199867853,7.716077721127699,1.660715669418256,0.5994918132479385
noise_001,noise,moderate,0.525,900,boundary_v2_regime_sequence,-1.726660296258005,-1.727283093727565,-0.1343583747728575,-0.1341529632309995,1.9811726462228054,0.6382820358138452,0.15392446737505855
noise_001,noise,moderate,0.525,900,center_of_mass,0.12625494222966793,0.11857817319284347,0.009201073530160642,0.009803835117359494,8.126256694214485,2.1817506487947282,0.6313582677670737
noise_001,noise,moderate,0.525,900,joint_basin,4.59061422478934,4.590065686943326,0.3570120447045968,0.3566605324848959,5.93411301603795,1.5398887944415898,0.4610427195857265
noise_001,noise,moderate,0.525,1500,boundary_v2_regime_sequence,-2.8188273467858407,-2.8151865874188484,-0.2189774281239233,-0.21900781085780352,1.5576486119885977,0.531166913970144,0.12101934999439508
noise_001,noise,moderate,0.525,1500,center_of_mass,0.29254363996822086,0.2922085930385663,0.022704318396963297,0.022722983209499614,8.941326580361658,2.124224883567578,0.6946839967006628
noise_001,noise,moderate,0.525,1500,joint_basin,6.088642979746656,6.086853006807605,0.4734324392390907,0.47304784490799107,7.3726463936024,1.7076813153753327,0.5728075760681569
noise_001,noise,moderate,0.525,2400,boundary_v2_regime_sequence,-3.748977844480981,-3.7443442576821817,-0.2912490447626776,-0.29127497677230674,1.2281944557620872,0.48074977699326366,0.09542286538565825
noise_001,noise,moderate,0.525,2400,center_of_mass,0.5644449143884014,0.5626960306268813,0.04374151527665315,0.043847651936517296,9.701001398342061,2.1118617096299523,0.7537058935530153
noise_001,noise,moderate,0.525,2400,joint_basin,6.565172731282612,6.5604256421847085,0.5102673029249092,0.5100712737225881,7.73046586732498,1.6859854043379312,0.6006078874074109
potential_shape_000,potential_shape,mild,0.45,900,boundary_v2_regime_sequence,-1.1305384828337672,-1.1328586811000387,-0.08810713953381799,-0.0878377038445835,2.0540019526549336,0.668328457723397,0.1595825457974966
potential_shape_000,potential_shape,mild,0.45,900,center_of_mass,0.125898962573034,0.1198848630443825,0.00933557515697958,0.009776497174484478,7.131928044965115,2.1139898683730705,0.5541042461720963
potential_shape_000,potential_shape,mild,0.45,900,joint_basin,3.317267270575489,3.310355228465692,0.2574767609044529,0.25772918559092195,4.472990956310768,1.249431682131823,0.34752219925994154
potential_shape_000,potential_shape,mild,0.45,1500,boundary_v2_regime_sequence,-2.002646733811953,-2.0068446059798806,-0.15608386333660298,-0.15559515663442772,1.6409562950134693,0.549513320091337,0.1274915909579772
potential_shape_000,potential_shape,mild,0.45,1500,center_of_mass,0.3456561847308466,0.34097758736562955,0.026532611570995845,0.0268498949498579,7.8215072673250745,2.0117443734547598,0.6076800622298999
potential_shape_000,potential_shape,mild,0.45,1500,joint_basin,5.050701678380197,5.045611198125384,0.39244248303387086,0.3924057759323335,6.132092124446983,1.4589528427659462,0.47642352868739374
potential_shape_000,potential_shape,mild,0.45,2400,boundary_v2_regime_sequence,-2.767681693611362,-2.7705374305712565,-0.21548229483260106,-0.21503363926100405,1.229428626901678,0.47765922018783674,0.09551857757738365
