space,rule_id,stratum,q,radius,table_digest,depends_center,relation_degree,relation_complete,self_only,left_right_asymmetry,output_entropy,temporal_irreversibility_proxy,directional_consequence,DAR_complete_structural,DAR_asymmetric_structural,table_json
q3_radius1,q3g3_s5_00065,S5_asymmetric_neighbor_dependent,3,1,21f029545853,True,2,True,False,0.2222222222222222,1.486565953154142,0.06208130950873836,0.0,True,True,"[0,2,1,0,1,1,1,0,0,0,2,1,1,1,0,0,0,0,1,2,2,1,0,0,2,0,0]"
q3_radius1,q3g3_s5_00075,S5_asymmetric_neighbor_dependent,3,1,a4326181ca9d,True,2,True,False,0.4444444444444444,1.540709585192697,0.02792048108918921,0.0,True,True,"[0,2,1,2,0,2,1,2,1,2,0,1,0,2,0,2,2,0,0,2,0,1,1,0,0,2,0]"
q3_radius1,q3g3_s5_00078,S5_asymmetric_neighbor_dependent,3,1,af010666e58f,True,2,True,False,0.37037037037037035,1.4265732850165125,0.09993246883290718,0.0,True,True,"[0,1,1,2,2,2,1,2,2,1,1,1,1,0,1,0,1,1,1,1,0,1,0,2,1,1,2]"
q3_radius1,q3g3_s5_00090,S5_asymmetric_neighbor_dependent,3,1,861480767bd0,True,2,True,False,0.4444444444444444,1.5610150105933087,0.015109184045017598,0.0,False,False,"[0,0,2,1,2,2,2,1,0,0,0,1,2,1,1,0,2,2,2,2,2,1,0,0,2,1,0]"
q3_radius1,q3g3_s5_00114,S5_asymmetric_neighbor_dependent,3,1,221d277e421f,True,2,True,False,0.37037037037037035,1.3105673797344795,0.17312404606533416,0.0,True,True,"[0,1,0,2,2,2,2,2,2,2,2,2,2,2,0,1,2,1,2,0,1,2,0,2,2,0,2]"
q3_radius1,q3g3_s5_00115,S5_asymmetric_neighbor_dependent,3,1,bf9b5aeb3624,True,2,True,False,0.4444444444444444,1.478434599662112,0.06721162236366729,0.0,True,True,"[0,2,1,2,0,1,0,1,2,0,2,2,2,2,0,1,0,1,2,2,1,2,1,2,2,2,2]"
q3_radius1,q3g3_s5_00126,S5_asymmetric_neighbor_dependent,3,1,0271e92c856b,True,2,True,False,0.4444444444444444,1.486565953154142,0.06208130950873836,0.0,True,True,"[0,1,0,2,2,0,0,2,2,0,2,2,2,2,1,1,0,0,1,0,2,0,2,2,2,1,2]"
q3_radius1,q3g3_s5_00143,S5_asymmetric_neighbor_dependent,3,1,a628ecd52c19,True,2,True,False,0.2962962962962963,1.5790132072799707,0.003753586244771401,0.0,False,False,"[0,2,0,1,0,0,1,1,0,2,2,1,2,1,2,2,2,1,0,2,1,2,2,0,0,1,0]"
q3_radius1,q3g3_s5_00176,S5_asymmetric_neighbor_dependent,3,1,9089bc9e3a89,True,2,True,False,0.4444444444444444,1.5012404120907163,0.052822756748091004,0.0,True,True,"[0,1,2,2,2,1,2,0,2,1,0,2,2,2,1,1,2,1,1,1,1,1,2,1,0,0,1]"
q3_radius1,q3g3_s5_00183,S5_asymmetric_neighbor_dependent,3,1,b0c9e134bd75,True,2,True,False,0.5185185185185185,1.5304930567574824,0.03436639285717491,0.0,True,True,"[0,0,0,1,2,1,1,1,0,2,2,1,0,2,1,0,0,0,2,0,2,1,1,1,1,1,1]"
q3_radius1,q3g3_s5_00199,S5_asymmetric_neighbor_dependent,3,1,149c28280eca,True,2,True,False,0.4444444444444444,1.5304930567574826,0.0343663928571748,0.0,True,True,"[0,2,0,0,0,2,2,0,1,2,2,0,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1]"
q3_radius1,q3g3_s5_00204,S5_asymmetric_neighbor_dependent,3,1,e6855b661d3d,True,2,True,False,0.5925925925925926,1.5663672668986361,0.011732286293246186,0.0,False,False,"[0,0,0,0,2,1,1,2,0,1,0,1,1,0,2,0,0,2,2,1,2,0,1,1,2,1,1]"
q3_radius1,q3g3_s5_00214,S5_asymmetric_neighbor_dependent,3,1,bdd4777d45eb,True,2,True,False,0.5185185185185185,1.561015010593309,0.015109184045017487,0.0,False,False,"[0,2,1,2,1,1,2,1,2,0,1,1,0,1,1,0,1,2,1,0,0,0,1,2,0,0,2]"
q3_radius1,q3g3_s5_00221,S5_asymmetric_neighbor_dependent,3,1,311ca4219fd0,True,2,True,False,0.4444444444444444,1.5448491887169091,0.02530868205777448,0.0,True,True,"[0,2,1,2,0,1,2,1,2,0,0,1,1,1,1,2,1,2,0,1,2,1,1,2,1,0,0]"
q3_radius1,q3g3_s5_00233,S5_asymmetric_neighbor_dependent,3,1,4ce101974a89,True,2,True,False,0.5925925925925926,1.5663672668986361,0.011732286293246186,0.0,False,False,"[0,0,0,2,2,2,1,0,0,2,2,1,0,0,1,2,2,1,2,1,0,0,0,1,1,2,2]"
q3_radius1,q3g3_s5_00244,S5_asymmetric_neighbor_dependent,3,1,8398e977f544,True,2,True,False,0.4444444444444444,1.5610150105933092,0.015109184045017376,0.0,False,False,"[0,0,1,2,0,0,1,2,1,1,1,1,2,2,2,2,1,0,0,1,1,1,0,2,1,2,2]"
q3_radius1,q3g3_s5_00264,S5_asymmetric_neighbor_dependent,3,1,addc17e1fb0c,True,2,True,False,0.5925925925925926,1.5012404120907166,0.05282275674809089,0.0,True,True,"[0,2,1,0,0,2,1,1,0,0,0,1,1,0,2,2,0,0,0,1,2,0,1,0,1,1,1]"
q3_radius1,q3g3_s5_00286,S5_asymmetric_neighbor_dependent,3,1,1920763d663c,True,2,True,False,0.2962962962962963,1.5012404120907163,0.052822756748091004,0.0,True,True,"[0,2,0,2,2,1,2,1,1,2,2,2,2,1,1,1,1,0,1,0,0,2,1,2,1,2,2]"
q3_radius1,q3g3_s5_00296,S5_asymmetric_neighbor_dependent,3,1,7cc01f755279,True,2,True,False,0.5185185185185185,1.5304930567574826,0.0343663928571748,0.0,True,True,"[0,2,0,1,0,2,2,1,0,1,2,0,2,2,0,2,2,2,1,0,0,2,1,2,2,1,0]"
q3_radius1,q3g3_s5_00334,S5_asymmetric_neighbor_dependent,3,1,27073eaa6447,True,2,True,False,0.37037037037037035,1.5012404120907166,0.05282275674809089,0.0,True,True,"[0,2,1,1,1,1,2,1,0,2,1,1,0,1,0,0,1,1,0,1,2,0,0,0,2,1,0]"
