space,rule_id,stratum,target_role,raw_persistence_score,adjusted_persistence,center_only_score,left_removed_score,right_removed_score,symmetrized_rule_score,symbol_phase_only_score,output_distribution_matched_score,stratum_null_persistence_q90,relation_load_bearing_adjusted,asymmetry_load_bearing_adjusted,local_phase_fakeout_rejected,future_distinct_descendant_count_raw,future_distinct_descendant_count_symbol_phase,composition_adjusted_delta,composition_emission_only_flag,interaction_outcome_diversity,matched_control_interaction_diversity,dominant_interaction_outcome,reclassification
q3_radius1,q3g3_s1_00216,S1_random_unbiased,candidate,0.16622317022915617,-0.00888283989669586,0.05238196771177982,0.07283749844471904,0.059769512282294705,0.1294305770841375,0.0,0.08454251100326629,0.17510601012585203,0.09338567178443713,0.036792593145018676,True,64.0,1.0,0.0,True,-0.0,-0.0,emission,generic_persistence
q3_radius1,q3g3_s1_00237,S1_random_unbiased,candidate,0.002282874386664739,-0.17892286258345813,0.0,0.06441998258751774,0.0,0.0,0.0,0.05652215816524035,0.18120573697012288,-0.062137108200853004,0.002282874386664739,False,64.0,64.0,0.0,False,-0.0,-0.0,chaotic_explosion,output_distribution_fakeout
q3_radius1,q3g3_s2_00000,S2_quiescent_preserving,candidate,0.10405495998387176,-0.06932581788188555,0.0,0.0,0.0,0.0005663230196633719,0.0,1.3962485661319643e-05,0.1733807778657573,0.10405495998387176,0.10348863696420839,False,64.0,64.0,0.0,True,-0.0,-0.0,emission,generic_persistence
q3_radius1,q3g3_s2_00001,S2_quiescent_preserving,candidate,0.09822832242211799,-0.011535871780613133,0.0,0.07848425729786984,0.0,0.0,0.0,0.012901620595225687,0.10976419420273112,0.019744065124248145,0.09822832242211799,True,64.0,62.0,0.33333333333333337,False,0.6500224216483541,1.0,new_motif,generic_persistence
q3_radius1,q3g3_s2_00007,S2_quiescent_preserving,candidate,0.05444771516790951,-0.0955666865669547,0.0,0.0,0.0,0.0783037441620848,0.0,0.07381599428911745,0.15001440173486422,0.05444771516790951,-0.023856028994175285,False,64.0,64.0,1.0,False,1.0,-0.0,pass_through,symmetric_fakeout
q3_radius1,q3g3_s2_00009,S2_quiescent_preserving,candidate,0.0573085704225669,-0.11924057063716403,0.0,0.11889473902647038,0.0,0.0003815653568225254,0.0,0.003755627646447042,0.17654914105973094,-0.06158616860390348,0.05692700506574438,True,64.0,62.0,0.0,False,1.4591479170272448,1.0,emission,generic_persistence
q3_radius1,q3g3_s2_00014,S2_quiescent_preserving,candidate,0.2070545052090227,0.11300117715054789,0.0,0.0,0.00013680348527412244,0.07276293776252024,0.0,0.0023853194001561533,0.0940533280584748,0.20691770172374857,0.13429156744650245,False,64.0,64.0,0.0,False,0.6500224216483541,1.0,chaotic_explosion,self_persistence_fakeout
q3_radius1,q3g3_s2_00025,S2_quiescent_preserving,candidate,0.00037056774410853887,-0.11337039127846238,0.0,0.0,0.0,0.005150331318602306,0.0,0.0,0.11374095902257092,0.00037056774410853887,-0.004779763574493767,False,64.0,64.0,-0.5,False,-0.0,1.0,pass_through,symmetric_fakeout
q3_radius1,q3g3_s2_00027,S2_quiescent_preserving,candidate,0.18764213058321433,0.03622027216284601,0.0,0.0,0.0,0.0833740814140335,0.0,0.11039609670918446,0.15142185842036832,0.18764213058321433,0.10426804916918082,True,64.0,1.0,0.0,True,-0.0,-0.0,emission,emission_only
q3_radius1,q3g3_s2_00028,S2_quiescent_preserving,candidate,0.0,-0.08089759205532854,0.0,0.0,0.0,0.0,0.0,0.057554422518653975,0.08089759205532854,0.0,0.0,False,64.0,1.0,-0.5,True,-0.0,1.0,emission,self_persistence_fakeout
q3_radius1,q3g3_s2_00032,S2_quiescent_preserving,candidate,0.20273145121551173,-0.06499425056938557,0.0,0.1154388279282878,0.0,0.10051602401857235,0.0,0.00520290317131834,0.2677257017848973,0.08729262328722392,0.10221542719693938,False,59.0,64.0,0.0,False,1.4591479170272448,1.0,emission,generic_persistence
q3_radius1,q3g3_s2_00042,S2_quiescent_preserving,candidate,0.0,-0.13085757382426833,0.0,0.0,0.0,0.09794183660848016,0.0,0.09817171146099436,0.13085757382426833,0.0,-0.09794183660848016,False,59.0,64.0,0.0,True,-0.0,1.0,emission,self_persistence_fakeout
q3_radius1,q3g3_s2_00075,S2_quiescent_preserving,candidate,0.0910347531871191,-0.15476335267886956,0.0,0.0,0.055041794103944656,0.0,0.0,2.9552352757543205e-05,0.24579810586598866,0.03599295908317444,0.0910347531871191,True,64.0,1.0,-0.5,True,-0.0,1.0,emission,generic_persistence
q3_radius1,q3g3_s2_00078,S2_quiescent_preserving,candidate,0.34023331809468105,0.23234676527003467,0.0,0.0,0.03155512997450239,0.07451853773167785,0.0,0.10788655282464638,0.07135911043069525,0.30867818812017866,0.2657147803630032,True,63.0,61.0,-0.5,True,-0.0,1.0,emission,emission_only
q3_radius1,q3g3_s2_00096,S2_quiescent_preserving,candidate,0.2076180758065277,0.10600344284958854,0.0,0.05990161244282926,0.009918942395044653,0.14707465902129746,0.05155442551606232,0.10161463295693915,0.10088659678989814,0.14771646336369842,0.06054341678523023,False,64.0,64.0,0.0,True,-0.0,-0.0,emission,self_persistence_fakeout
q3_radius1,q3g3_s2_00161,S2_quiescent_preserving,candidate,0.030001266542459847,-0.0831751688272648,0.0,0.05089834285797197,0.0,0.1695654880511725,0.0,0.11317643536972466,0.10287121780270109,-0.020897076315512124,-0.13956422150871264,True,63.0,1.0,0.0,True,-0.0,-0.0,emission,symmetric_fakeout
q3_radius1,q3g3_s2_00165,S2_quiescent_preserving,candidate,0.00011923255523760872,-0.17642990850449333,0.0,0.0,0.0,0.0,0.0,0.07929505464856512,0.17654914105973094,0.00011923255523760872,0.00011923255523760872,False,64.0,64.0,-0.5,False,-0.0,1.0,pass_through,output_distribution_fakeout
q3_radius1,q3g3_s2_00167,S2_quiescent_preserving,candidate,0.16846921946016347,0.05757571116432564,0.0,0.07677890230577325,0.04161673317889543,0.0,0.0,0.11089350829583783,0.09120152681345566,0.09169031715439022,0.16846921946016347,True,64.0,1.0,0.0,True,-0.0,-0.0,emission,emission_only
q3_radius1,q3g3_s2_00173,S2_quiescent_preserving,candidate,0.0,-0.10229933584992704,0.0,0.0,0.0,0.0,0.0,0.0981182004066599,0.10229933584992704,0.0,0.0,False,64.0,64.0,0.0,True,-0.0,-0.0,emission,self_persistence_fakeout
