I_cost_constrained,I_max,I_mean,I_unconstrained,N_eff_mean,adaptive_idx,bounded_cost_score,coarse_name,compression_gate,compression_ratio,cost_sustainment_ratio,estimator_warning,fake_short_horizon_lure_detected,fake_viability_rate,family,hidden_nonviability_rate,horizon_coherence_score,irreversibility_sensitivity,label_entropy,macro_viability_purity,mixed_viability_label_fraction,nondegeneracy_score,omega_profile_score,pair_id,raw_I_nonzero,recoverability_preservation_score,recoverability_purity,room_purity,scale_consistency_score,sector_purity,singleton_fraction,total_cases,truncated_cases,truncation_fraction,variant,viability_preservation_score,world_seed
,0.0,0.0,,1.0,0,,best_of_10_hashes_per_world,0.0,0.001763668430335097,,1,0,1.0,A,0.0,1.0,,0.0,0.8042328042328042,1.0,0.0,0.8990365641510185,2,0,0.8123209169054441,0.7689594356261023,,,,0.0,5,2,0.4,reversible,1.0,2
,0.0,0.0,,1.0,,,identity,0.0,1.0,,1,0,0.783068783068783,A,0.21693121693121692,1.0,,6.340359303727763,1.0,0.0,0.0,1.0,3,0,1.0,1.0,,,,1.0,5,2,0.4,irreversible,1.0,3
,0.0,0.0,,1.0,,,all_one,0.0,0.001763668430335097,,1,0,1.0,A,0.0,1.0,,0.0,0.783068783068783,1.0,0.0,0.8911536243864453,3,0,0.8053977272727273,0.7583774250440917,,,,0.0,5,2,0.4,irreversible,1.0,3
,0.0,0.0,,1.0,,,random_k,0.4585537918871252,0.02292768959435626,,1,0,1.0,A,0.0,1.0,,2.5595958925057802,0.7823911471917202,1.0,0.0,0.8915436415418599,3,0,0.8075073800853885,0.7616212251902182,,,,0.0,5,2,0.4,irreversible,1.0,3
,0.0,0.0,,1.0,,,checkerboard,0.0,0.003527336860670194,,1,0,1.0,A,0.0,1.0,,0.6930709707288083,0.7831010452961673,1.0,0.0,0.8911991808510495,3,0,0.8055292425358735,0.7585801393728223,,,,0.0,5,2,0.4,irreversible,1.0,3
,0.0,0.0,,1.0,,,region,0.3527336860670194,0.01763668430335097,,1,0,0.8,A,0.2,1.0,,2.222198094569059,0.8861224489795918,0.6,0.0,0.9393248341219239,3,0,0.8785560602438441,0.8617687074829933,,,,0.0,5,2,0.4,irreversible,1.0,3
,0.0,0.0,,1.0,,,viability_signature,0.7054673721340388,0.03527336860670194,,1,0,0.6,A,0.4,1.0,,2.69949602891644,0.9225786004056795,0.3,0.0,0.9598509558094399,3,0,0.9200508481397702,0.9131035507201835,,,,0.0,5,2,0.4,irreversible,1.0,3
,0.0,0.0,,1.0,,,hash_k34_s1206,1.0,0.059964726631393295,,1,0,1.0,A,0.0,1.0,,3.5234439856557835,0.7855464244521337,1.0,0.0,0.8923848267056602,3,0,0.8073035330556299,0.7613085301199943,,,,0.0,5,2,0.4,irreversible,1.0,3
,0.0,0.0,,1.0,,,trap_mixing_adversarial,0.0,0.007054673721340388,,1,0,1.0,A,0.0,1.0,,1.3217035003701993,0.8141889063317634,1.0,0.0,0.9049799956673813,3,0,0.823816975544146,0.786138147566719,,,,0.0,5,2,0.4,irreversible,1.0,3
,0.0,0.0,,1.0,,,behavioral_quotient_k5,0.0,0.008818342151675485,,1,0,0.6,A,0.4,1.0,,1.4074087880275066,0.9276082906380998,0.4,0.0,0.9700995129091825,3,0,0.9547738693467337,0.9526315789473685,,,,0.0,5,2,0.4,irreversible,1.0,3
,0.0,0.0,,1.0,,,behavioral_quotient_k8,0.2821869488536155,0.014109347442680775,,1,0,0.75,A,0.25,1.0,,1.8888593135408902,0.9063620448179271,0.375,0.0,0.9716633577059346,3,0,0.9834710743801653,0.9831932773109244,,,,0.0,5,2,0.4,irreversible,1.0,3
,0.0,0.0,,1.0,,,behavioral_quotient_k13,0.4585537918871252,0.02292768959435626,,1,0,0.6153846153846154,A,0.3076923076923077,1.0,,2.367816447122054,0.871480833980834,0.46153846153846156,0.0,0.9625134685723944,3,0,0.9848484848484849,0.9846153846153847,,,,0.0,5,2,0.4,irreversible,1.0,3
,0.0,0.0,,1.0,,,behavioral_quotient_k21,0.7407407407407407,0.037037037037037035,,1,0,0.7142857142857143,A,0.2857142857142857,1.0,,2.8055302788273697,0.9222480816225862,0.38095238095238093,0.0,0.9753021093174095,3,0,0.9810901001112347,0.9807256235827664,,,,0.0,5,2,0.4,irreversible,1.0,3
,0.0,0.0,,1.0,0,,best_of_10_hashes_per_world,0.0,0.001763668430335097,,1,0,1.0,A,0.0,1.0,,0.0,0.783068783068783,1.0,0.0,0.8911536243864453,3,0,0.8053977272727273,0.7583774250440917,,,,0.0,5,2,0.4,irreversible,1.0,3
