coarse_name,irreversibility_sensitivity,normalized_sensitivity,omega_irrev,omega_rev,pair_id
checkerboard,0.007921125012969044,0.0088098611068039,0.8911991808510495,0.8991203058640186,7
region,0.004086682145477805,0.004331812867460768,0.9393248341219239,0.9434115162674017,7
viability_signature,0.0002398717734000133,0.00024984279248237726,0.9598509558094399,0.9600908275828399,7
hash_k34_s1206,0.008128669876049766,0.009026705215308446,0.8923848267056602,0.90051349658171,7
trap_mixing_adversarial,0.0037660253005393773,0.0041442000445054165,0.9049799956673813,0.9087460209679207,7
behavioral_quotient_k5,-0.001465483071703022,-0.0015129378346834517,0.9700995129091825,0.9686340298374795,7
behavioral_quotient_k8,-0.0010012212115699803,-0.0010289041246556558,0.9740959805557021,0.9730947593441321,7
behavioral_quotient_k13,0.004401550795343878,0.004532641065590294,0.9666770613538527,0.9710786121491966,7
behavioral_quotient_k21,0.003848962089415875,0.0039308817336686265,0.9753110203768341,0.97915998246625,7
best_of_10_hashes_per_world,0.007882939764573216,0.008768208189638273,0.8911536243864453,0.8990365641510185,7
identity,0.0,0.0,1.0,1.0,5
all_one,0.007882939764573216,0.008768208189638273,0.8911536243864453,0.8990365641510185,5
random_k,0.007955825714313969,0.008863292036805063,0.8896593810595557,0.8976152067738696,5
checkerboard,0.007921125012969044,0.0088098611068039,0.8911991808510495,0.8991203058640186,5
region,0.004086682145477805,0.004331812867460768,0.9393248341219239,0.9434115162674017,5
viability_signature,0.0002398717734000133,0.00024984279248237726,0.9598509558094399,0.9600908275828399,5
hash_k34_s1206,0.008128669876049766,0.009026705215308446,0.8923848267056602,0.90051349658171,5
trap_mixing_adversarial,0.0037660253005393773,0.0041442000445054165,0.9049799956673813,0.9087460209679207,5
behavioral_quotient_k5,-0.0014174853933699438,-0.0014633859122291772,0.9700515152308494,0.9686340298374795,5
behavioral_quotient_k8,-0.0010208286221220497,-0.0010482040179909215,0.9749043518685394,0.9738835232464174,5
behavioral_quotient_k13,-0.0004530371509826603,-0.0004648140071258805,0.975116330505585,0.9746632933546023,5
behavioral_quotient_k21,-0.013262745109889229,-0.013688578449994524,0.9821540845823626,0.9688913394724734,5
best_of_10_hashes_per_world,0.007882939764573216,0.008768208189638273,0.8911536243864453,0.8990365641510185,5
identity,0.0,0.0,1.0,1.0,9
all_one,0.007882939764573216,0.008768208189638273,0.8911536243864453,0.8990365641510185,9
random_k,0.008651067831164205,0.009634441176471473,0.8892803920952516,0.8979314599264158,9
checkerboard,0.007921125012969044,0.0088098611068039,0.8911991808510495,0.8991203058640186,9
region,0.004086682145477805,0.004331812867460768,0.9393248341219239,0.9434115162674017,9
viability_signature,0.0002398717734000133,0.00024984279248237726,0.9598509558094399,0.9600908275828399,9
hash_k34_s1206,0.008128669876049766,0.009026705215308446,0.8923848267056602,0.90051349658171,9
trap_mixing_adversarial,0.0037660253005393773,0.0041442000445054165,0.9049799956673813,0.9087460209679207,9
behavioral_quotient_k5,-0.0019282616016049747,-0.0019907018979381766,0.9705622914390845,0.9686340298374795,9
behavioral_quotient_k8,0.001659798221239961,0.001706707515838151,0.970854944836446,0.9725147430576859,9
behavioral_quotient_k13,-0.0060637709368730475,-0.006285591981644005,0.9707733726070502,0.9647096016701772,9
behavioral_quotient_k21,0.006222720029314233,0.006348816102957533,0.9739159276179912,0.9801386476473054,9
best_of_10_hashes_per_world,0.007882939764573216,0.008768208189638273,0.8911536243864453,0.8990365641510185,9
identity,0.0,0.0,1.0,1.0,10
all_one,0.007882939764573216,0.008768208189638273,0.8911536243864453,0.8990365641510185,10
random_k,0.007877284764951198,0.008758407684455646,0.891519620329081,0.8993969050940323,10
checkerboard,0.007921125012969044,0.0088098611068039,0.8911991808510495,0.8991203058640186,10
region,0.004086682145477805,0.004331812867460768,0.9393248341219239,0.9434115162674017,10
viability_signature,0.0002398717734000133,0.00024984279248237726,0.9598509558094399,0.9600908275828399,10
hash_k34_s1206,0.008128669876049766,0.009026705215308446,0.8923848267056602,0.90051349658171,10
trap_mixing_adversarial,0.0037660253005393773,0.0041442000445054165,0.9049799956673813,0.9087460209679207,10
behavioral_quotient_k5,-0.001465483071703022,-0.0015129378346834517,0.9700995129091825,0.9686340298374795,10
behavioral_quotient_k8,-0.013212005040830643,-0.013742758969244932,0.9745913809287388,0.9613793758879081,10
behavioral_quotient_k13,-0.004541563274772731,-0.004682461508065945,0.9744509297371549,0.9699093664623821,10
behavioral_quotient_k21,0.004335264782084458,0.004428670660201742,0.9745735579134761,0.9789088226955606,10
best_of_10_hashes_per_world,0.007882939764573216,0.008768208189638273,0.8911536243864453,0.8990365641510185,10
identity,0.0,0.0,1.0,1.0,12
all_one,0.007882939764573216,0.008768208189638273,0.8911536243864453,0.8990365641510185,12
random_k,0.008009348243279368,0.008903099005667037,0.891604172642114,0.8996135208853934,12
checkerboard,0.007921125012969044,0.0088098611068039,0.8911991808510495,0.8991203058640186,12
region,0.004086682145477805,0.004331812867460768,0.9393248341219239,0.9434115162674017,12
viability_signature,0.0002398717734000133,0.00024984279248237726,0.9598509558094399,0.9600908275828399,12
hash_k34_s1206,0.008128669876049766,0.009026705215308446,0.8923848267056602,0.90051349658171,12
trap_mixing_adversarial,0.0037660253005393773,0.0041442000445054165,0.9049799956673813,0.9087460209679207,12
