I_cost_constrained,I_unconstrained,bounded_cost_score,coarse_name,cost_sustainment_ratio,world_seed
0.0,0.0,0.0,behavioral_quotient_k13,0.0,315
0.0,0.0,0.0,behavioral_quotient_k21,0.0,315
0.0,0.0,0.0,best_of_10_hashes_per_world,0.0,315
0.0,0.0,0.0,identity,0.0,317
0.0,0.0,0.0,all_one,0.0,317
0.0,0.0,0.0,random_k,0.0,317
0.0,0.0,0.0,checkerboard,0.0,317
0.0,0.0,0.0,region,0.0,317
0.0,0.0,0.0,viability_signature,0.0,317
0.0,0.0,0.0,hash_k34_s1206,0.0,317
0.0,0.0,0.0,trap_mixing_adversarial,0.0,317
0.0,0.0,0.0,behavioral_quotient_k5,0.0,317
0.0,0.0,0.0,behavioral_quotient_k8,0.0,317
0.0,0.0,0.0,behavioral_quotient_k13,0.0,317
0.0,0.0,0.0,behavioral_quotient_k21,0.0,317
0.0,0.0,0.0,best_of_10_hashes_per_world,0.0,317
0.0,0.0,0.0,identity,0.0,318
0.0,0.0,0.0,all_one,0.0,318
0.0,0.0,0.0,random_k,0.0,318
0.0,0.0,0.0,checkerboard,0.0,318
0.0,0.0,0.0,region,0.0,318
0.0,0.0,0.0,viability_signature,0.0,318
0.0,0.0,0.0,hash_k34_s1206,0.0,318
0.0,0.0,0.0,trap_mixing_adversarial,0.0,318
0.0,0.0,0.0,behavioral_quotient_k5,0.0,318
0.0,0.0,0.0,behavioral_quotient_k8,0.0,318
0.0,0.0,0.0,behavioral_quotient_k13,0.0,318
0.0,0.0,0.0,behavioral_quotient_k21,0.0,318
0.0,0.0,0.0,best_of_10_hashes_per_world,0.0,318
0.0,0.0,0.0,identity,0.0,320
0.0,0.0,0.0,all_one,0.0,320
0.0,0.0,0.0,random_k,0.0,320
0.0,0.0,0.0,checkerboard,0.0,320
0.0,0.0,0.0,region,0.0,320
0.0,0.0,0.0,viability_signature,0.0,320
0.0,0.0,0.0,hash_k34_s1206,0.0,320
0.0,0.0,0.0,trap_mixing_adversarial,0.0,320
0.0,0.0,0.0,behavioral_quotient_k5,0.0,320
0.0,0.0,0.0,behavioral_quotient_k8,0.0,320
0.0,0.0,0.0,behavioral_quotient_k13,0.0,320
0.0,0.0,0.0,behavioral_quotient_k21,0.0,320
0.0,0.0,0.0,best_of_10_hashes_per_world,0.0,320
0.0,0.0,0.0,identity,0.0,319
0.0,0.0,0.0,all_one,0.0,319
0.0,0.0,0.0,random_k,0.0,319
0.0,0.0,0.0,checkerboard,0.0,319
0.0,0.0,0.0,region,0.0,319
0.0,0.0,0.0,viability_signature,0.0,319
0.0,0.0,0.0,hash_k34_s1206,0.0,319
0.0,0.0,0.0,trap_mixing_adversarial,0.0,319
0.0,0.0,0.0,behavioral_quotient_k5,0.0,319
0.0,0.0,0.0,behavioral_quotient_k8,0.0,319
0.0,0.0,0.0,behavioral_quotient_k13,0.0,319
0.0,0.0,0.0,behavioral_quotient_k21,0.0,319
0.0,0.0,0.0,best_of_10_hashes_per_world,0.0,319
0.0,0.0,0.0,identity,0.0,322
0.0,0.0,0.0,all_one,0.0,322
0.0,0.0,0.0,random_k,0.0,322
0.0,0.0,0.0,checkerboard,0.0,322
0.0,0.0,0.0,region,0.0,322
0.0,0.0,0.0,viability_signature,0.0,322
0.0,0.0,0.0,hash_k34_s1206,0.0,322
0.0,0.0,0.0,trap_mixing_adversarial,0.0,322
0.0,0.0,0.0,behavioral_quotient_k5,0.0,322
0.0,0.0,0.0,behavioral_quotient_k8,0.0,322
0.0,0.0,0.0,behavioral_quotient_k13,0.0,322
0.0,0.0,0.0,behavioral_quotient_k21,0.0,322
0.0,0.0,0.0,best_of_10_hashes_per_world,0.0,322
0.0,0.0,0.0,identity,0.0,324
0.0,0.0,0.0,all_one,0.0,324
0.0,0.0,0.0,random_k,0.0,324
0.0,0.0,0.0,checkerboard,0.0,324
0.0,0.0,0.0,region,0.0,324
0.0,0.0,0.0,viability_signature,0.0,324
0.0,0.0,0.0,hash_k34_s1206,0.0,324
0.0,0.0,0.0,trap_mixing_adversarial,0.0,324
0.0,0.0,0.0,behavioral_quotient_k5,0.0,324
0.0,0.0,0.0,behavioral_quotient_k8,0.0,324
0.0,0.0,0.0,behavioral_quotient_k13,0.0,324
0.0,0.0,0.0,behavioral_quotient_k21,0.0,324
0.0,0.0,0.0,best_of_10_hashes_per_world,0.0,324
0.0,0.0,0.0,identity,0.0,323
0.0,0.0,0.0,all_one,0.0,323
0.0,0.0,0.0,random_k,0.0,323
0.0,0.0,0.0,checkerboard,0.0,323
0.0,0.0,0.0,region,0.0,323
0.0,0.0,0.0,viability_signature,0.0,323
0.0,0.0,0.0,hash_k34_s1206,0.0,323
0.0,0.0,0.0,trap_mixing_adversarial,0.0,323
0.0,0.0,0.0,behavioral_quotient_k5,0.0,323
0.0,0.0,0.0,behavioral_quotient_k8,0.0,323
0.0,0.0,0.0,behavioral_quotient_k13,0.0,323
0.0,0.0,0.0,behavioral_quotient_k21,0.0,323
0.0,0.0,0.0,best_of_10_hashes_per_world,0.0,323
0.0,0.0,0.0,identity,0.0,325
0.0,0.0,0.0,all_one,0.0,325
0.0,0.0,0.0,random_k,0.0,325
0.0,0.0,0.0,checkerboard,0.0,325
0.0,0.0,0.0,region,0.0,325
0.0,0.0,0.0,viability_signature,0.0,325
0.0,0.0,0.0,hash_k34_s1206,0.0,325
0.0,0.0,0.0,trap_mixing_adversarial,0.0,325
0.0,0.0,0.0,behavioral_quotient_k5,0.0,325
0.0,0.0,0.0,behavioral_quotient_k8,0.0,325
0.0,0.0,0.0,behavioral_quotient_k13,0.0,325
0.0,0.0,0.0,behavioral_quotient_k21,0.0,325
0.0,0.0,0.0,best_of_10_hashes_per_world,0.0,325
0.0,0.0,0.0,identity,0.0,327
0.0,0.0,0.0,all_one,0.0,327
0.0,0.0,0.0,random_k,0.0,327
0.0,0.0,0.0,checkerboard,0.0,327
0.0,0.0,0.0,region,0.0,327
0.0,0.0,0.0,viability_signature,0.0,327
0.0,0.0,0.0,hash_k34_s1206,0.0,327
0.0,0.0,0.0,trap_mixing_adversarial,0.0,327
0.0,0.0,0.0,behavioral_quotient_k5,0.0,327
0.0,0.0,0.0,behavioral_quotient_k8,0.0,327
0.0,0.0,0.0,behavioral_quotient_k13,0.0,327
0.0,0.0,0.0,behavioral_quotient_k21,0.0,327
0.0,0.0,0.0,best_of_10_hashes_per_world,0.0,327
0.0,0.0,0.0,identity,0.0,329
0.0,0.0,0.0,all_one,0.0,329
0.0,0.0,0.0,random_k,0.0,329
0.0,0.0,0.0,checkerboard,0.0,329
0.0,0.0,0.0,region,0.0,329
0.0,0.0,0.0,viability_signature,0.0,329
0.0,0.0,0.0,hash_k34_s1206,0.0,329
0.0,0.0,0.0,trap_mixing_adversarial,0.0,329
0.0,0.0,0.0,behavioral_quotient_k5,0.0,329
0.0,0.0,0.0,behavioral_quotient_k8,0.0,329
0.0,0.0,0.0,behavioral_quotient_k13,0.0,329
0.0,0.0,0.0,behavioral_quotient_k21,0.0,329
0.0,0.0,0.0,best_of_10_hashes_per_world,0.0,329
2.437904683476055,2.437904683476055,1.0,identity,1.0,321
0.0,0.0,0.0,all_one,0.0,321
1.2172842511952826,1.2172842511952826,1.0,random_k,1.0,321
1.8162421044129524,1.8162421044129524,1.0,checkerboard,1.0,321
1.132525159866548,1.132525159866548,1.0,region,1.0,321
1.3478360622102585,1.3478360622102585,1.0,viability_signature,1.0,321
2.437904683476055,2.437904683476055,1.0,hash_k34_s1206,1.0,321
2.0594506567043833,2.0594506567043833,1.0,trap_mixing_adversarial,1.0,321
0.19540095134793467,0.19540095134793467,1.0,behavioral_quotient_k5,1.0,321
0.3075695625161441,0.3075695625161441,1.0,behavioral_quotient_k8,1.0,321
0.5360240325147593,0.5360240325147593,1.0,behavioral_quotient_k13,1.0,321
0.6143702995815273,0.6143702995815273,1.0,behavioral_quotient_k21,1.0,321
0.0,0.0,0.0,best_of_10_hashes_per_world,0.0,321
4.212682931417183,4.212682931417183,1.0,identity,1.0,316
0.0,0.0,0.0,all_one,0.0,316
1.6724856477384946,1.6724856477384946,1.0,random_k,1.0,316
2.4086888375312925,2.4086888375312925,1.0,checkerboard,1.0,316
1.3316915040054425,1.3316915040054425,1.0,region,1.0,316
2.693714570418334,2.693714570418334,1.0,viability_signature,1.0,316
4.212682931417183,4.212682931417183,1.0,hash_k34_s1206,1.0,316
2.953995252160794,2.953995252160794,1.0,trap_mixing_adversarial,1.0,316
0.8533216816014194,0.8533216816014194,1.0,behavioral_quotient_k5,1.0,316
0.9488956386624328,0.9488956386624328,1.0,behavioral_quotient_k8,1.0,316
1.4538696345106827,1.4538696345106827,1.0,behavioral_quotient_k13,1.0,316
1.5801695872899257,1.5801695872899257,1.0,behavioral_quotient_k21,1.0,316
0.0,0.0,0.0,best_of_10_hashes_per_world,0.0,316
3.920873626307786,3.920873626307786,1.0,identity,1.0,326
0.0,0.0,0.0,all_one,0.0,326
1.816033356869879,1.816033356869879,1.0,random_k,1.0,326
2.170407676629929,2.170407676629929,1.0,checkerboard,1.0,326
1.281305390510083,1.281305390510083,1.0,region,1.0,326
2.6272260170947357,2.6272260170947357,1.0,viability_signature,1.0,326
3.920873626307786,3.920873626307786,1.0,hash_k34_s1206,1.0,326
2.9695463011408223,2.9695463011408223,1.0,trap_mixing_adversarial,1.0,326
0.7874318224421298,0.7874318224421298,1.0,behavioral_quotient_k5,1.0,326
1.1467043520112428,1.1467043520112428,1.0,behavioral_quotient_k8,1.0,326
1.490361258928073,1.490361258928073,1.0,behavioral_quotient_k13,1.0,326
1.415430390247494,1.415430390247494,1.0,behavioral_quotient_k21,1.0,326
0.0,0.0,0.0,best_of_10_hashes_per_world,0.0,326
4.335760791430653,4.335760791430653,1.0,identity,1.0,302
0.0,0.0,0.0,all_one,0.0,302
1.958219140469625,1.958219140469625,1.0,random_k,1.0,302
2.4189675009851745,2.4189675009851745,1.0,checkerboard,1.0,302
1.3663725718933988,1.3663725718933988,1.0,region,1.0,302
2.769064948584174,2.769064948584174,1.0,viability_signature,1.0,302
4.335760791430653,4.335760791430653,1.0,hash_k34_s1206,1.0,302
3.4101994736176584,3.4101994736176584,1.0,trap_mixing_adversarial,1.0,302
0.8134788344183714,0.8134788344183714,1.0,behavioral_quotient_k5,1.0,302
1.0939761763917804,1.0939761763917804,1.0,behavioral_quotient_k8,1.0,302
1.4148259300221349,1.4148259300221349,1.0,behavioral_quotient_k13,1.0,302
1.745103861388266,1.745103861388266,1.0,behavioral_quotient_k21,1.0,302
0.0,0.0,0.0,best_of_10_hashes_per_world,0.0,302
4.335760791430653,4.335760791430653,1.0,identity,1.0,307
0.0,0.0,0.0,all_one,0.0,307
2.1076199703811893,2.1076199703811893,1.0,random_k,1.0,307
2.4189675009851745,2.4189675009851745,1.0,checkerboard,1.0,307
1.3663725718933988,1.3663725718933988,1.0,region,1.0,307
2.769064948584174,2.769064948584174,1.0,viability_signature,1.0,307
4.335760791430653,4.335760791430653,1.0,hash_k34_s1206,1.0,307
3.4101994736176584,3.4101994736176584,1.0,trap_mixing_adversarial,1.0,307
0.8103198850741371,0.8103198850741371,1.0,behavioral_quotient_k5,1.0,307
1.1162426105746168,1.1162426105746168,1.0,behavioral_quotient_k8,1.0,307
1.437626149166526,1.437626149166526,1.0,behavioral_quotient_k13,1.0,307
1.5772035164629343,1.5772035164629343,1.0,behavioral_quotient_k21,1.0,307
0.0,0.0,0.0,best_of_10_hashes_per_world,0.0,307
2.52580625375273,2.52580625375273,1.0,identity,1.0,328
0.0,0.0,0.0,all_one,0.0,328
1.3075607280586397,1.3075607280586397,1.0,random_k,1.0,328
1.6474139256942035,1.6474139256942035,1.0,checkerboard,1.0,328
1.7434774308678853,1.7434774308678853,1.0,region,1.0,328
2.2195588319056743,2.2195588319056743,1.0,viability_signature,1.0,328
2.52580625375273,2.52580625375273,1.0,hash_k34_s1206,1.0,328
2.0392308547578337,2.0392308547578337,1.0,trap_mixing_adversarial,1.0,328
0.6646006278699128,0.6646006278699128,1.0,behavioral_quotient_k5,1.0,328
0.6715047218181167,0.6715047218181167,1.0,behavioral_quotient_k8,1.0,328
0.9509320137650015,0.9509320137650015,1.0,behavioral_quotient_k13,1.0,328
1.0567742883146156,1.0567742883146156,1.0,behavioral_quotient_k21,1.0,328
0.0,0.0,0.0,best_of_10_hashes_per_world,0.0,328
