kind,world,condition,alpha,T,metric,mean,ci_low,ci_high,ci_width
multi,F_T_attractive,independent_alpha0,0.5,900,overshoot_or_absorption_rate,0.0,0.0,0.0,0.0
multi,F_T_attractive,independent_alpha0,0.5,900,predictive_r2,0.819300287630823,0.81879204870926,0.8197796591288514,0.0009876104195913893
multi,F_T_attractive,independent_alpha0,0.5,900,time_shuffled_r2,-0.0009300388857253341,-0.0010461297123584578,-0.0008491841221240505,0.00019694559023440738
multi,F_T_attractive,independent_alpha0,0.5,900,A_pred_delta,0.8202303265165483,0.819709647881598,0.820752415149921,0.001042767268323086
multi,F_T_attractive,independent_alpha0,0.5,900,gaussian_mi_approx,1.0853033258019498,1.0842091755109122,1.0864046597580812,0.0021954842471689773
multi,F_T_attractive,independent_alpha0,0.5,900,binned_mi_diagnostic,0.9412107143977946,0.9410533984287606,0.9413431523282514,0.00028975389949081887
multi,F_T_attractive,independent_alpha0,0.5,900,component_prediction_balance,0.5126545081535975,0.5112804802382985,0.5137512673644556,0.0024707871261571146
multi,F_T_attractive,independent_alpha0,0.5,900,component_erasure_proxy,0.48734549184640247,0.4860277563995785,0.48872930944379833,0.0027015530442198177
multi,F_T_attractive,independent_alpha0,0.5,900,joint_vs_product_prediction_delta,0.6376278706722789,0.6368752978576554,0.6382405384029779,0.0013652405453224992
multi,F_T_attractive,independent_alpha0,0.5,900,joint_vs_shuffled_prediction_delta,0.6376278706722789,0.6369812595740789,0.6381335690389904,0.0011523094649115162
multi,F_T_attractive,independent_alpha0,0.5,1500,p_viable_T,0.9988562962962962,0.9988132222222221,0.9988922777777779,7.90555555557626e-05
multi,F_T_attractive,independent_alpha0,0.5,1500,tail_viability,0.9988562962962962,0.9988176944444443,0.9988974166666666,7.972222222230041e-05
multi,F_T_attractive,independent_alpha0,0.5,1500,kernel_erosion_slope,7.345679012345076e-06,6.1635802469130095e-06,8.828703703702945e-06,2.665123456789936e-06
