alpha,T,kappa,baseline,certified_path_mass_survival_to_final_segment,transport_survival_mean,multi_step_transport_depth,component_A_preservation,component_B_preservation,singleton_fraction,viable_propagation_index,Delta_viable_propagation_vs_product,Delta_viable_propagation_vs_shuffled,ci_low,ci_high,category
0.45,2400,center_of_mass,coupled_vs_product_shuffled,0.7285850234216541,0.930928543612646,0.7332318907786177,1.0,0.7162097403701455,0.40627123676566723,0.2884242782795964,0.07858727736872886,0.07873150194405557,0.07748985585043616,0.08012066061458634,Viable propagation positive
0.45,2400,joint_basin,coupled_vs_product_shuffled,0.9907880046482157,0.9970878305486741,0.9914383059177065,1.0,0.9258208725903199,0.43945811153485304,0.5126892627022791,-0.12654913293200565,-0.1306657325665911,-0.14097250097384587,-0.12072471603852702,Local transport artifact
0.5,900,basin_transition_profile,coupled_vs_product_shuffled,0.9592753161519537,0.9829981245244677,0.9711336014191627,1.0,1.0,0.4476296997179355,0.5208641705383423,-0.07069660475102435,-0.06747154099824293,-0.07646061091565702,-0.05921137176582807,Local transport artifact
0.5,900,boundary_v2_regime_sequence,coupled_vs_product_shuffled,0.9931147314498021,0.9969795091181795,0.9935346952542072,1.0,1.0,0.3957022260577151,0.5983372745687092,-0.26564423622752886,-0.262688317852254,-0.275681344463529,-0.25090859636005963,Overfragmented/inconclusive
0.5,900,center_of_mass,coupled_vs_product_shuffled,0.6435249154908027,0.806501139228117,0.6514322817570573,1.0,0.8251294132865779,0.33118396675128386,0.28641311043827167,0.06824666426331127,0.06992949188834893,0.06856166667454143,0.07144936247254684,Viable propagation positive
0.5,900,joint_basin,coupled_vs_product_shuffled,0.9873100613350448,0.9947081019717136,0.989089721360507,1.0,1.0,0.4476296997179355,0.5424734527467278,-0.06235861480862537,-0.05870564292697644,-0.06825670619510006,-0.05047139713138041,Local transport artifact
0.5,1500,basin_transition_profile,coupled_vs_product_shuffled,0.9510512784057885,0.9822662348325144,0.9653172599862725,1.0,0.9757556822960691,0.4249510609389625,0.5241787706489954,-0.08234589241258594,-0.07770896976731445,-0.08694237540081733,-0.06841889074001135,Local transport artifact
0.5,1500,boundary_v2_regime_sequence,coupled_vs_product_shuffled,0.9948341821532745,0.9981540718284126,0.9949944490827033,1.0,1.0,0.4060344125395171,0.5898025981663815,-0.3061261855133822,-0.3037004326342211,-0.3188061131270481,-0.29035792368801217,Overfragmented/inconclusive
0.5,1500,center_of_mass,coupled_vs_product_shuffled,0.679031805098627,0.8831803568046805,0.6842473793599205,1.0,0.8054852993918689,0.36653220348148186,0.30599163974141363,0.08673482317719394,0.08669193511558976,0.08536377441332602,0.08812125692582785,Viable propagation positive
0.5,1500,joint_basin,coupled_vs_product_shuffled,0.9880096529822777,0.9953076468091131,0.988900560173497,1.0,0.9757556822960691,0.4249510609389625,0.5517756738849511,-0.06353467371535193,-0.058778463030513595,-0.06773104009939963,-0.049074223645165685,Local transport artifact
0.5,2400,basin_transition_profile,coupled_vs_product_shuffled,0.9500730582531576,0.9836495872931804,0.9634939345900241,1.0,0.9485451973930275,0.4414734711207723,0.4951157830460186,-0.13865278009918908,-0.14299037682431764,-0.1522325853214401,-0.1333098185603811,Local transport artifact
0.5,2400,boundary_v2_regime_sequence,coupled_vs_product_shuffled,0.9960230112664616,0.9988039659285812,0.9961757687769822,1.0,1.0,0.3705611560620752,0.6261699484640206,-0.28285438251029216,-0.28188940487451675,-0.2996780512986106,-0.2665797720693426,Overfragmented/inconclusive
0.5,2400,center_of_mass,coupled_vs_product_shuffled,0.7369695355314129,0.934381401388141,0.7405887597293997,1.0,0.7445873777000023,0.406191716728619,0.3044680620591857,0.09463106114831818,0.09477528572364488,0.09344679678465884,0.09596682829465406,Viable propagation positive
0.5,2400,joint_basin,coupled_vs_product_shuffled,0.9899918281385917,0.9965003303853723,0.9909141199887603,1.0,0.9485451973930275,0.4414734711207723,0.5226515193909401,-0.11658687624334463,-0.12070347587793007,-0.1308218749531819,-0.11108142535997377,Local transport artifact
0.525,900,basin_transition_profile,coupled_vs_product_shuffled,0.9576237737748124,0.9833883420368021,0.9699730433579676,1.0,1.0,0.4441092905702068,0.5234894451707766,-0.06807133011859012,-0.0648462663658087,-0.07284953495489413,-0.057152962845361206,Local transport artifact
0.525,900,boundary_v2_regime_sequence,coupled_vs_product_shuffled,0.994186746738413,0.9973731721037449,0.9944564746519611,1.0,1.0,0.41613277483913225,0.5789417610262124,-0.28503974977002566,-0.2820838313947508,-0.2939453617623608,-0.2708832503341144,Overfragmented/inconclusive
0.525,900,center_of_mass,coupled_vs_product_shuffled,0.6449472901801144,0.8085874216200377,0.6523637373875342,1.0,0.8370685035228009,0.3319277298234984,0.29163930671758675,0.07347286054262636,0.07515568816766402,0.07384255131912457,0.07660794612585997,Viable propagation positive
0.525,900,joint_basin,coupled_vs_product_shuffled,0.9863870507318054,0.9942589596617838,0.9881577252631815,1.0,1.0,0.4441092905702068,0.5451796012117974,-0.0596524663435557,-0.055999494461906774,-0.06406691465829864,-0.04821814025413956,Local transport artifact
0.525,1500,basin_transition_profile,coupled_vs_product_shuffled,0.952067539970391,0.9823168146702475,0.9651085676707666,1.0,0.970781036169708,0.4172208740374118,0.5291091266434061,-0.07741553641817522,-0.07277861377290373,-0.08163058434202526,-0.06326468807485525,Local transport artifact
0.525,1500,boundary_v2_regime_sequence,coupled_vs_product_shuffled,0.9948261730843635,0.9981951054252406,0.9949875405706461,1.0,1.0,0.43160076012453724,0.564441202668363,-0.33148758101140074,-0.3290618281322396,-0.3428428156576745,-0.3145531459245339,Overfragmented/inconclusive
0.525,1500,center_of_mass,coupled_vs_product_shuffled,0.6814325547817076,0.8853391256481979,0.6861363154055885,1.0,0.819743421262707,0.36371684341526916,0.31467847146962163,0.09542165490540194,0.09537876684379776,0.09390646055194865,0.0967143777519194,Viable propagation positive
0.525,1500,joint_basin,coupled_vs_product_shuffled,0.9895811671906369,0.9959376738494632,0.990493624270691,1.0,0.970781036169708,0.4172208740374118,0.5575818117132474,-0.05772853588705562,-0.052972325202217285,-0.06219101825631772,-0.043549399658913426,Local transport artifact
0.525,2400,basin_transition_profile,coupled_vs_product_shuffled,0.9503021389574962,0.9841434686392665,0.9648826377285532,1.0,0.9638512792440256,0.44899937918385185,0.496688769967694,-0.13707979317751368,-0.14141738990264224,-0.15086395311510534,-0.1315979648734004,Local transport artifact
0.525,2400,boundary_v2_regime_sequence,coupled_vs_product_shuffled,0.9924516495263266,0.9976622173934511,0.9926315456217972,1.0,1.0,0.37520060080061424,0.618613869531701,-0.29041046144261173,-0.2894454838068363,-0.3051504456115091,-0.2741664534699105,Overfragmented/inconclusive
0.525,2400,center_of_mass,coupled_vs_product_shuffled,0.7399782886561013,0.9360797767920614,0.743223812604769,1.0,0.7574612430221266,0.40714950680852524,0.3110584479733166,0.1012214470624491,0.1013656716377758,0.10006366876907813,0.10263364594207947,Viable propagation positive
0.525,2400,joint_basin,coupled_vs_product_shuffled,0.9887464610907264,0.9960398412469808,0.9899165189778374,1.0,0.9638512792440256,0.44899937918385185,0.5230321258829174,-0.11620626975136739,-0.12032286938595282,-0.12964291855251545,-0.11098130144033685,Local transport artifact
