alpha,T,kappa,metric,mean,std,se,ci_low,ci_high,ci_excludes_zero,n_seeds
0.45,2400,basin_transition_profile,Delta_viable_propagation_vs_product,-0.1478608166346598,0.0642800547286961,0.005081784526573912,-0.15757588456192523,-0.13837386569198362,True,160
0.45,2400,basin_transition_profile,Delta_breadth_vs_product,0.4218327795411415,0.0028788100194258046,0.000227589915307478,0.4214073026560109,0.4222785505512981,True,160
0.45,2400,basin_transition_profile,certified_transport_density_advantage,0.18966464582489245,0.029815395654476384,0.002357113990180801,0.18521679013673234,0.194504471274391,True,160
0.45,2400,basin_transition_profile,component_B_preservation,0.9258208725903199,0.0051441766259369606,0.00040668287060402,0.9250361524235332,0.9266182336818236,True,160
0.45,2400,basin_transition_profile,lower_rank_erasure_score,0.03708956370484002,0.00257208831296848,0.00020334143530200996,0.036715699055843924,0.03750990278652569,True,160
0.45,2400,boundary_v2_regime_sequence,Delta_depth_vs_shuffled,-0.0001657683687540358,0.0021045407546012914,0.00016637855532973918,-0.0005065926039348154,0.00015064953710824388,False,160
0.45,2400,boundary_v2_regime_sequence,Delta_depth_vs_product,-0.00026761432697182814,0.0020306107684873145,0.00016053387674211947,-0.0005898032037918703,5.725397508883656e-05,False,160
0.45,2400,boundary_v2_regime_sequence,Delta_viable_propagation_vs_shuffled,-0.2599992003042481,0.10264537728024772,0.008114829587322056,-0.27665268199969023,-0.2436595206373452,True,160
0.45,2400,boundary_v2_regime_sequence,Delta_viable_propagation_vs_product,-0.2609641779400236,0.10641431428927349,0.008412790219977657,-0.2768036892474348,-0.2441179921982108,True,160
0.45,2400,boundary_v2_regime_sequence,Delta_breadth_vs_product,-0.2365440545032323,0.002228649482963963,0.00017619021180806873,-0.23691215590783693,-0.23622085904295026,True,160
0.45,2400,boundary_v2_regime_sequence,certified_transport_density_advantage,-0.2640713598717931,0.0669172871351094,0.005290276054660733,-0.27424465086533434,-0.2540289666635308,True,160
0.45,2400,boundary_v2_regime_sequence,component_B_preservation,1.0,0.0,0.0,1.0,1.0,True,160
0.45,2400,boundary_v2_regime_sequence,lower_rank_erasure_score,0.0,0.0,0.0,0.0,0.0,False,160
0.45,2400,center_of_mass,Delta_depth_vs_shuffled,0.16936321639223328,0.006653737114488622,0.0005260241058445146,0.16833101385297808,0.17040930529248055,True,160
0.45,2400,center_of_mass,Delta_depth_vs_product,0.16861588694932586,0.007639904866640285,0.0006039875121397064,0.167446474706046,0.1697633407263296,True,160
0.45,2400,center_of_mass,Delta_viable_propagation_vs_shuffled,0.07873150194405555,0.008367209752814096,0.0006614860119816751,0.07748985585043616,0.08012066061458634,True,160
