condition,alpha,T,control,effective_rank_A,effective_rank_B,mean_pairwise_distance_sketch_A,mean_pairwise_distance_sketch_B,component_rank_balance,component_distance_balance,component_erasure_score
coupled,0.525,1500,noise_fakeout,5.35080623626709,6.805751323699951,1.2993779182434082,0.5220508575439453,0.7862183000477485,0.40176983940876176,0.5982301605912382
coupled,0.525,1500,single_component_erasure,1.6229101419448853,3.835857629776001,1.1674062013626099,0.014976500533521175,0.4230892537165559,0.012828868405907416,0.9871711315940925
coupled,0.525,2400,none,2.0469417572021484,4.783646106719971,1.099509358406067,0.4930928349494934,0.4279040948130852,0.4484662464940895,0.5720959051869148
coupled,0.525,2400,rigid_collapse,2.046942949295044,4.783646106719971,0.03298530727624893,0.014792822301387787,0.42790434401481736,0.4484670152531627,0.5720956559851826
coupled,0.525,2400,noise_fakeout,4.896657943725586,6.730898857116699,1.1956418752670288,0.5053009986877441,0.7274894553716644,0.42261902091284037,0.5773809790871596
coupled,0.525,2400,single_component_erasure,2.0469417572021484,4.783646106719971,1.099509358406067,0.014792822301387787,0.4279040948130852,0.013454021276210506,0.9865459787237895
independent_alpha0,0.45,900,none,1.2901285886764526,2.9078564643859863,1.3559815883636475,0.49288803339004517,0.4436699694353284,0.3634916857424633,0.6365083142575367
independent_alpha0,0.45,1500,none,1.532861351966858,3.9970860481262207,1.1946557760238647,0.4927466809749603,0.38349470927338236,0.41245912911830857,0.6165052907266176
independent_alpha0,0.45,2400,none,1.8610467910766602,5.093294620513916,1.087645173072815,0.4841732382774353,0.3653915451073748,0.44515734567142806,0.6346084548926252
independent_alpha0,0.5,900,none,1.2891572713851929,2.903510570526123,1.342052698135376,0.49655216932296753,0.44399951027269535,0.36999453897217915,0.6300054610278208
independent_alpha0,0.5,1500,none,1.5305752754211426,3.9988224506378174,1.1932048797607422,0.49005332589149475,0.38275649752266794,0.410703420849032,0.6172435024773321
independent_alpha0,0.5,2400,none,1.8640210628509521,5.092692852020264,1.0945844650268555,0.4856223464012146,0.36601874823679925,0.4436590888299332,0.6339812517632007
independent_alpha0,0.525,900,none,1.290415644645691,2.9006152153015137,1.3533939123153687,0.501019299030304,0.4448765344118746,0.3701947337513634,0.6298052662486366
independent_alpha0,0.525,1500,none,1.5337018966674805,4.001067161560059,1.2083832025527954,0.4897534251213074,0.3833232072189145,0.40529645238916634,0.6166767927810854
independent_alpha0,0.525,2400,none,1.8624268770217896,5.097363471984863,1.0891351699829102,0.4860926866531372,0.36537062488435396,0.44631070600792794,0.634629375115646
product,0.45,900,none,1.2913835048675537,2.9068899154663086,1.3598581552505493,0.49825263023376465,0.44424919498900134,0.36640044280350936,0.6335995571964906
product,0.45,1500,none,1.5304714441299438,3.9904394149780273,1.2145479917526245,0.4934914708137512,0.3835345647362425,0.40631697896237934,0.6164654352637575
product,0.45,2400,none,1.863690733909607,5.083206653594971,1.1079140901565552,0.48863980174064636,0.36663682217042237,0.4410448482260917,0.6333631778295776
product,0.5,900,none,1.2907638549804688,2.9127063751220703,1.3387519121170044,0.4918700158596039,0.44314932188328576,0.36740938437338744,0.6325906156266126
product,0.5,1500,none,1.5312098264694214,4.000241279602051,1.189911961555481,0.49155768752098083,0.3827793674039952,0.4131042492239552,0.6172206325960048
product,0.5,2400,none,1.8632240295410156,5.0856218338012695,1.0883885622024536,0.4810941517353058,0.36637093563607365,0.44202426269692496,0.6336290643639264
product,0.525,900,none,1.2909539937973022,2.9146082401275635,1.3539859056472778,0.49276503920555115,0.442925390803397,0.3639366090520588,0.6360633909479412
product,0.525,1500,none,1.5323880910873413,3.9908132553100586,1.1910799741744995,0.49347785115242004,0.3839789018061396,0.4143112652821102,0.6160210981938604
product,0.525,2400,none,1.8672295808792114,5.082831382751465,1.0976436138153076,0.4847344756126404,0.36736012672299845,0.4416137164300061,0.6326398732770016
shuffled,0.45,900,none,1.2909775972366333,2.903784990310669,1.3555904626846313,0.49889805912971497,0.44458443085295885,0.3680300746153745,0.6319699253846255
shuffled,0.45,1500,none,1.5325359106063843,3.9918668270111084,1.193464756011963,0.49496760964393616,0.3839145885920907,0.4147316518150912,0.6160854114079093
shuffled,0.45,2400,none,1.8635923862457275,5.102155685424805,1.089090347290039,0.48852741718292236,0.3652558842078072,0.44856463781771183,0.6347441157921928
shuffled,0.5,900,none,1.2912510633468628,2.897275924682617,1.35395348072052,0.49590054154396057,0.44567762854285725,0.36626113718475917,0.6337388628152408
shuffled,0.5,1500,none,1.5314521789550781,3.9893651008605957,1.2100577354431152,0.4921520948410034,0.38388368580872917,0.4067178618223374,0.6161163141912709
shuffled,0.5,2400,none,1.8638266324996948,5.089839935302734,1.093651294708252,0.48749637603759766,0.3661857064644289,0.44575119912206085,0.6338142935355711
shuffled,0.525,900,none,1.2913562059402466,2.9065637588500977,1.376604676246643,0.4984133541584015,0.44428965372193874,0.362059901988232,0.637940098011768
shuffled,0.525,1500,none,1.5322425365447998,3.9851510524749756,1.2082931995391846,0.4880915880203247,0.3844879444640377,0.40395128285624027,0.6155120555359623
