world,T,seed,relation_lineage_survival_depth,relation_lineage_branching_entropy,relation_lineage_extinction_rate,relation_lineage_merge_rate,relation_lineage_shuffle_delta
W7_full_DAR,50,5,0.425259417509592,3.8100622984829777,0.5747405824904079,0.0,0.1302254098360656
W3_relation_only,100,24,0.6056592728201635,1.967186219541421,0.3943407271798365,0.0,0.0617796321525885
W3_relation_only,100,26,0.6059632831222185,1.9669740939602227,0.3940367168777815,0.0,0.0685116398493667
W3_relation_only,100,25,0.6056708248472505,1.9671571354248916,0.3943291751527494,0.0,0.0698964697895451
W3_relation_only,100,27,0.6057498719262295,1.967095330962621,0.3942501280737704,0.0,0.0671004098360655
W3_relation_only,100,28,0.6049246936691626,1.9676071951805787,0.3950753063308374,0.0,0.0665737746766506
W3_relation_only,100,29,0.6049031720246238,1.9676076345687767,0.3950968279753761,0.0,0.067405950752394
W7_full_DAR,50,7,0.4257690284110838,3.80972824516051,0.5742309715889162,0.0,0.1247877937565766
W7_full_DAR,50,6,0.4254556607080266,3.8099617943784274,0.5745443392919733,0.0,0.1224211356466877
W7_full_DAR,50,8,0.4258093145869946,3.809099938025253,0.5741906854130053,0.0,0.1340487697715289
W7_full_DAR,50,9,0.4255143413597733,3.809930466262673,0.5744856586402267,0.0,0.1365208923512746
W7_full_DAR,50,10,0.4254803664921466,3.809258180884527,0.5745196335078533,0.0,0.1297194589877836
W7_full_DAR,50,11,0.4247114366396046,3.810860272514348,0.5752885633603955,0.0,0.1253494528768089
W7_full_DAR,50,13,0.4261373636043647,3.808450550142124,0.5738626363956353,0.0,0.1275598380851813
W7_full_DAR,50,12,0.4258593205574912,3.808629436365799,0.5741406794425088,0.0,0.1345718641114981
W7_full_DAR,50,14,0.4254106514084507,3.809815788118482,0.5745893485915493,0.0,0.1239454225352112
W7_full_DAR,50,15,0.4254021929824562,3.808535876205056,0.5745978070175438,0.0,0.1309859649122807
W7_full_DAR,50,16,0.4262119199433227,3.8086893421011134,0.5737880800566773,0.0,0.1363372298972724
W7_full_DAR,50,17,0.4260768019594122,3.8088747795619615,0.5739231980405878,0.0,0.1272406403079076
W7_full_DAR,50,18,0.4256595279720279,3.809128258564117,0.5743404720279721,0.0,0.1227364510489509
W7_full_DAR,50,19,0.4265931458699472,3.807812561889532,0.5734068541300528,0.0,0.119238137082601
W7_full_DAR,50,20,0.4249102787456446,3.810609124707668,0.5750897212543554,0.0,0.1337399825783972
W7_full_DAR,50,21,0.4256970473833097,3.809799858925018,0.5743029526166903,0.0,0.1291102369165487
W7_full_DAR,50,22,0.4250583538083538,3.809483727806998,0.5749416461916462,0.0,0.1258775008775008
W7_full_DAR,50,23,0.4248780273780273,3.810125161914233,0.5751219726219727,0.0,0.1266676904176903
W7_full_DAR,50,24,0.4260265486725663,3.809174045923768,0.5739734513274337,0.0,0.1310154867256637
W7_full_DAR,50,26,0.4259778225806451,3.808680211341851,0.5740221774193548,0.0,0.1226345546984571
W7_full_DAR,50,25,0.4258528078130449,3.808498461261541,0.574147192186955,0.0,0.1298160097663062
W7_full_DAR,50,27,0.4265734204024003,3.808512575607625,0.5734265795975997,0.0,0.1352863572184964
W7_full_DAR,50,28,0.4258353938537618,3.8090033586035896,0.5741646061462382,0.0,0.1266420876015541
W7_full_DAR,50,29,0.4263911785338477,3.8087192918637625,0.5736088214661523,0.0,0.136568309365135
W7_full_DAR,100,1,0.4272628990348924,3.8061034874022415,0.5727371009651075,0.0,0.125213437268003
W7_full_DAR,100,0,0.4272006457564575,3.8056900763636032,0.5727993542435424,0.0,0.1269315036900368
W7_full_DAR,100,2,0.4269055617767823,3.8061710620678575,0.5730944382232177,0.0,0.124888717805151
W7_full_DAR,100,3,0.4279950609305761,3.806034848987137,0.572004939069424,0.0,0.1321854228212703
W7_full_DAR,100,5,0.4278470400899213,3.8058574105644793,0.5721529599100786,0.0,0.1315684713375796
W7_full_DAR,100,4,0.4276729212656365,3.8057477244356814,0.5723270787343635,0.0,0.1273043138337012
W7_full_DAR,100,7,0.4264844320672023,3.807820017807507,0.5735155679327977,0.0,0.1249618791088385
W7_full_DAR,100,6,0.4271562962278105,3.80652449591142,0.5728437037721894,0.0,0.1263246579142011
W7_full_DAR,100,8,0.4274349442379183,3.806398694173383,0.5725650557620817,0.0,0.1322971654275093
W7_full_DAR,100,9,0.4276523991784915,3.8057393201716327,0.5723476008215085,0.0,0.1329971060492906
W7_full_DAR,100,11,0.4271666513085146,3.806436904994357,0.5728333486914854,0.0,0.125475488389237
W7_full_DAR,100,10,0.427045874953755,3.806521698019937,0.5729541250462449,0.0,0.1285298742138365
W7_full_DAR,100,12,0.4273766294227187,3.8064373227941135,0.5726233705772812,0.0,0.1295016294227187
