world,T,seed,closure_rate,lineage_recurrence_rate,recoverable_alternative_count,branching_after_closure,lock_in_index,closure_without_lock_in
W2_asymmetry_only,50,3,0.5020673237554293,0.0384615384615384,2920.0,0.9999954704600869,0.0006682258603407,0.5017295567717169
W1_distinction_only,100,22,0.5029035762032086,0.0588235294117647,2921.0,0.999920044103772,0.0006684491978609,0.5025272274833559
W1_distinction_only,100,20,0.498059265442404,0.0196078431372549,2920.0,0.9999705858211332,0.0010016694490818,0.49754573936252
W2_asymmetry_only,50,5,0.5007916666666666,0.0,2926.0,0.9999442438772832,0.0006666666666666,0.5004299019687343
W1_distinction_only,100,23,0.5008776328986961,0.0980392156862745,2906.0,0.9999806278841558,0.0010030090270812,0.5003655547841637
W1_distinction_only,100,26,0.4990612483311081,0.0,2930.0,0.9999987932856982,0.000667556742323,0.4987274948076256
W1_distinction_only,100,24,0.5042751084417751,0.0,2929.0,0.9999764476318588,0.001001001001001,0.5037584635692083
W1_distinction_only,100,25,0.4999791109625668,0.0392156862745098,2919.0,0.9999809518182988,0.0006684491978609,0.4996353830000492
W1_distinction_only,100,29,0.5034037754761109,0.0,2938.0,0.9999749854974348,0.0006682258603407,0.5030548040746756
W1_distinction_only,100,28,0.5039192795196797,0.0784313725490196,2945.0,0.9999556777847768,0.000667111407605,0.5035607893008505
W2_asymmetry_only,50,7,0.4988954651550517,0.1153846153846153,2932.0,0.9999998195428276,0.0010003334444814,0.4983963133967513
W1_distinction_only,100,27,0.5049666110183639,0.0,2930.0,0.9999999987434756,0.0006677796327212,0.5046294039662425
W2_asymmetry_only,50,6,0.4963677354709419,0.0,2930.0,0.9999340615766494,0.001002004008016,0.4958376760999676
W2_asymmetry_only,50,8,0.5002710140093396,0.0769230769230769,2926.0,0.9999807182424634,0.000667111407605,0.4999276378396314
W2_asymmetry_only,50,10,0.5036089786381842,0.0769230769230769,2930.0,0.999999678544435,0.0010013351134846,0.5031045355586029
W2_asymmetry_only,50,11,0.502423128342246,0.0769230769230769,2935.0,0.9999994963817812,0.0010026737967914,0.5019191090608202
W2_asymmetry_only,50,9,0.4963874039425325,0.0384615384615384,2913.0,0.999999275274251,0.0010023387905111,0.4958894962082928
W2_asymmetry_only,50,12,0.5016266266266266,0.0769230769230769,2933.0,0.9999976797850147,0.001001001001001,0.5011233351546752
