space,parent_rule_id,rule_id,control_type,ic_family,raw_persistence_score
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_symbol_phase_only,symbol_phase_only,short_random_active_block,0.0375104488597975
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_symbol_phase_only,symbol_phase_only,periodic_background_perturbation,0.0112964825497732
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_right_neighbor_removed,right_neighbor_removed,random_uniform,0.0118246262350841
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_right_neighbor_removed,right_neighbor_removed,sparse_active_010,0.1735295401163938
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_right_neighbor_removed,right_neighbor_removed,sparse_active_025,0.1187609322282364
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_right_neighbor_removed,right_neighbor_removed,single_active_1,0.0099202543005041
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_right_neighbor_removed,right_neighbor_removed,single_active_2,0.0099202506902601
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_right_neighbor_removed,right_neighbor_removed,two_cell_active,0.0099202506902601
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_right_neighbor_removed,right_neighbor_removed,short_random_active_block,0.0782655951450302
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_right_neighbor_removed,right_neighbor_removed,periodic_background_perturbation,1.9392430417562723e-09
q3_radius1,q3g3_s1_00013,q3g3_s1_00013,raw,random_uniform,0.002448120894542
q3_radius1,q3g3_s1_00013,q3g3_s1_00013,raw,sparse_active_010,0.0
q3_radius1,q3g3_s1_00013,q3g3_s1_00013,raw,sparse_active_025,0.0
q3_radius1,q3g3_s1_00013,q3g3_s1_00013,raw,single_active_1,0.0
q3_radius1,q3g3_s1_00013,q3g3_s1_00013,raw,single_active_2,0.0
q3_radius1,q3g3_s1_00013,q3g3_s1_00013,raw,two_cell_active,0.0
q3_radius1,q3g3_s1_00013,q3g3_s1_00013,raw,short_random_active_block,0.0
q3_radius1,q3g3_s1_00013,q3g3_s1_00013,raw,periodic_background_perturbation,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00018,stratum_null_q3g3_s1_00018,random_uniform,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00018,stratum_null_q3g3_s1_00018,sparse_active_010,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00018,stratum_null_q3g3_s1_00018,sparse_active_025,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00018,stratum_null_q3g3_s1_00018,single_active_1,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00018,stratum_null_q3g3_s1_00018,single_active_2,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00018,stratum_null_q3g3_s1_00018,two_cell_active,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00018,stratum_null_q3g3_s1_00018,short_random_active_block,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00018,stratum_null_q3g3_s1_00018,periodic_background_perturbation,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_output_histogram_random,output_distribution_matched_random,random_uniform,0.1301312092516642
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_output_histogram_random,output_distribution_matched_random,sparse_active_010,0.131922740678658
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_output_histogram_random,output_distribution_matched_random,sparse_active_025,0.1267869315054892
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_output_histogram_random,output_distribution_matched_random,single_active_1,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_output_histogram_random,output_distribution_matched_random,single_active_2,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_output_histogram_random,output_distribution_matched_random,two_cell_active,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_output_histogram_random,output_distribution_matched_random,short_random_active_block,0.1552273491372006
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_output_histogram_random,output_distribution_matched_random,periodic_background_perturbation,0.1403949651430441
q3_radius1,q3g3_s1_00009,q3g3_s1_00009,raw,random_uniform,0.0720730369656115
q3_radius1,q3g3_s1_00009,q3g3_s1_00009,raw,sparse_active_010,0.1535114935783664
q3_radius1,q3g3_s1_00009,q3g3_s1_00009,raw,sparse_active_025,0.0720845771477464
q3_radius1,q3g3_s1_00009,q3g3_s1_00009,raw,single_active_1,0.0298705325578787
q3_radius1,q3g3_s1_00009,q3g3_s1_00009,raw,single_active_2,0.0298705939634774
q3_radius1,q3g3_s1_00009,q3g3_s1_00009,raw,two_cell_active,0.0507072804613969
q3_radius1,q3g3_s1_00009,q3g3_s1_00009,raw,short_random_active_block,0.1364115745246499
q3_radius1,q3g3_s1_00009,q3g3_s1_00009,raw,periodic_background_perturbation,0.0997460715290817
q3_radius1,q3g3_s1_00009,q3g3_s1_00083,stratum_null_q3g3_s1_00083,random_uniform,0.1032200547986392
q3_radius1,q3g3_s1_00009,q3g3_s1_00083,stratum_null_q3g3_s1_00083,sparse_active_010,0.1052874710140678
q3_radius1,q3g3_s1_00009,q3g3_s1_00083,stratum_null_q3g3_s1_00083,sparse_active_025,0.1044501219126894
q3_radius1,q3g3_s1_00009,q3g3_s1_00083,stratum_null_q3g3_s1_00083,single_active_1,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00083,stratum_null_q3g3_s1_00083,single_active_2,0.1508776926933424
q3_radius1,q3g3_s1_00009,q3g3_s1_00083,stratum_null_q3g3_s1_00083,two_cell_active,0.0463729746635025
q3_radius1,q3g3_s1_00009,q3g3_s1_00083,stratum_null_q3g3_s1_00083,short_random_active_block,0.1245105521544382
q3_radius1,q3g3_s1_00009,q3g3_s1_00083,stratum_null_q3g3_s1_00083,periodic_background_perturbation,0.1125983249785092
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_left_neighbor_removed,left_neighbor_removed,random_uniform,0.0
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_left_neighbor_removed,left_neighbor_removed,sparse_active_010,0.0
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_left_neighbor_removed,left_neighbor_removed,sparse_active_025,0.0
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_left_neighbor_removed,left_neighbor_removed,single_active_1,0.0
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_left_neighbor_removed,left_neighbor_removed,single_active_2,0.0
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_left_neighbor_removed,left_neighbor_removed,two_cell_active,0.0
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_left_neighbor_removed,left_neighbor_removed,short_random_active_block,0.0
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_left_neighbor_removed,left_neighbor_removed,periodic_background_perturbation,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00195,stratum_null_q3g3_s1_00195,random_uniform,0.0468899916747262
q3_radius1,q3g3_s1_00009,q3g3_s1_00195,stratum_null_q3g3_s1_00195,sparse_active_010,0.0719963036481298
q3_radius1,q3g3_s1_00009,q3g3_s1_00195,stratum_null_q3g3_s1_00195,sparse_active_025,0.0610892233881084
q3_radius1,q3g3_s1_00009,q3g3_s1_00195,stratum_null_q3g3_s1_00195,single_active_1,0.0759851599714203
q3_radius1,q3g3_s1_00009,q3g3_s1_00195,stratum_null_q3g3_s1_00195,single_active_2,0.0582075015525237
q3_radius1,q3g3_s1_00009,q3g3_s1_00195,stratum_null_q3g3_s1_00195,two_cell_active,0.0782169038376437
q3_radius1,q3g3_s1_00009,q3g3_s1_00195,stratum_null_q3g3_s1_00195,short_random_active_block,0.0722575601222069
q3_radius1,q3g3_s1_00009,q3g3_s1_00195,stratum_null_q3g3_s1_00195,periodic_background_perturbation,0.0777414872590189
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_left_right_symmetrized_rule,left_right_symmetrized_rule,random_uniform,0.0982311250125177
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_left_right_symmetrized_rule,left_right_symmetrized_rule,sparse_active_010,0.1510825386389471
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_left_right_symmetrized_rule,left_right_symmetrized_rule,sparse_active_025,0.1221587837875003
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_left_right_symmetrized_rule,left_right_symmetrized_rule,single_active_1,0.2518324851538043
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_left_right_symmetrized_rule,left_right_symmetrized_rule,single_active_2,0.2674153126190615
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_left_right_symmetrized_rule,left_right_symmetrized_rule,two_cell_active,0.2274624757181161
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_left_right_symmetrized_rule,left_right_symmetrized_rule,short_random_active_block,0.1835613717605481
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_left_right_symmetrized_rule,left_right_symmetrized_rule,periodic_background_perturbation,0.0029640488845153
q3_radius1,q3g3_s1_00013,q3g3_s1_00085,stratum_null_q3g3_s1_00085,random_uniform,0.0
q3_radius1,q3g3_s1_00013,q3g3_s1_00085,stratum_null_q3g3_s1_00085,sparse_active_010,0.0
q3_radius1,q3g3_s1_00013,q3g3_s1_00085,stratum_null_q3g3_s1_00085,sparse_active_025,0.0
q3_radius1,q3g3_s1_00013,q3g3_s1_00085,stratum_null_q3g3_s1_00085,single_active_1,0.0
q3_radius1,q3g3_s1_00013,q3g3_s1_00085,stratum_null_q3g3_s1_00085,single_active_2,0.0
q3_radius1,q3g3_s1_00013,q3g3_s1_00085,stratum_null_q3g3_s1_00085,two_cell_active,0.0
q3_radius1,q3g3_s1_00013,q3g3_s1_00085,stratum_null_q3g3_s1_00085,short_random_active_block,0.0
q3_radius1,q3g3_s1_00013,q3g3_s1_00085,stratum_null_q3g3_s1_00085,periodic_background_perturbation,0.0
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_output_histogram_random,output_distribution_matched_random,random_uniform,0.0
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_output_histogram_random,output_distribution_matched_random,sparse_active_010,0.0
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_output_histogram_random,output_distribution_matched_random,sparse_active_025,0.0
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_output_histogram_random,output_distribution_matched_random,single_active_1,0.0
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_output_histogram_random,output_distribution_matched_random,single_active_2,0.0
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_output_histogram_random,output_distribution_matched_random,two_cell_active,0.0131614195006203
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_output_histogram_random,output_distribution_matched_random,short_random_active_block,0.0025884628827471
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_output_histogram_random,output_distribution_matched_random,periodic_background_perturbation,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_symbol_phase_only,symbol_phase_only,random_uniform,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_symbol_phase_only,symbol_phase_only,sparse_active_010,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_symbol_phase_only,symbol_phase_only,sparse_active_025,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_symbol_phase_only,symbol_phase_only,single_active_1,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_symbol_phase_only,symbol_phase_only,single_active_2,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_symbol_phase_only,symbol_phase_only,two_cell_active,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_symbol_phase_only,symbol_phase_only,short_random_active_block,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_symbol_phase_only,symbol_phase_only,periodic_background_perturbation,0.0
q3_radius1,q3g3_s1_00026,q3g3_s1_00026_center_only_projection,center_only_projection,random_uniform,0.0
q3_radius1,q3g3_s1_00026,q3g3_s1_00026_center_only_projection,center_only_projection,sparse_active_010,0.0
q3_radius1,q3g3_s1_00026,q3g3_s1_00026_center_only_projection,center_only_projection,sparse_active_025,0.0
q3_radius1,q3g3_s1_00026,q3g3_s1_00026_center_only_projection,center_only_projection,single_active_1,0.0
q3_radius1,q3g3_s1_00026,q3g3_s1_00026_center_only_projection,center_only_projection,single_active_2,0.0
q3_radius1,q3g3_s1_00026,q3g3_s1_00026_center_only_projection,center_only_projection,two_cell_active,0.0
q3_radius1,q3g3_s1_00026,q3g3_s1_00026_center_only_projection,center_only_projection,short_random_active_block,0.0
q3_radius1,q3g3_s1_00026,q3g3_s1_00026_center_only_projection,center_only_projection,periodic_background_perturbation,0.0
q3_radius1,q3g3_s1_00013,q3g3_s1_00197,stratum_null_q3g3_s1_00197,random_uniform,0.14732767995578
q3_radius1,q3g3_s1_00013,q3g3_s1_00197,stratum_null_q3g3_s1_00197,sparse_active_010,0.1480765531500287
q3_radius1,q3g3_s1_00013,q3g3_s1_00197,stratum_null_q3g3_s1_00197,sparse_active_025,0.1491529371187536
q3_radius1,q3g3_s1_00013,q3g3_s1_00197,stratum_null_q3g3_s1_00197,single_active_1,0.1491894424969201
q3_radius1,q3g3_s1_00013,q3g3_s1_00197,stratum_null_q3g3_s1_00197,single_active_2,0.177406474751359
q3_radius1,q3g3_s1_00013,q3g3_s1_00197,stratum_null_q3g3_s1_00197,two_cell_active,0.1637417456227313
q3_radius1,q3g3_s1_00013,q3g3_s1_00197,stratum_null_q3g3_s1_00197,short_random_active_block,0.1532373407932951
q3_radius1,q3g3_s1_00013,q3g3_s1_00197,stratum_null_q3g3_s1_00197,periodic_background_perturbation,0.1520400481641604
q3_radius1,q3g3_s1_00013,q3g3_s1_00112,stratum_null_q3g3_s1_00112,random_uniform,0.1051194509858822
q3_radius1,q3g3_s1_00013,q3g3_s1_00112,stratum_null_q3g3_s1_00112,sparse_active_010,0.0827378092528049
q3_radius1,q3g3_s1_00013,q3g3_s1_00112,stratum_null_q3g3_s1_00112,sparse_active_025,0.083190175052179
q3_radius1,q3g3_s1_00013,q3g3_s1_00112,stratum_null_q3g3_s1_00112,single_active_1,0.0910366842129588
q3_radius1,q3g3_s1_00013,q3g3_s1_00112,stratum_null_q3g3_s1_00112,single_active_2,0.0910072210176353
q3_radius1,q3g3_s1_00013,q3g3_s1_00112,stratum_null_q3g3_s1_00112,two_cell_active,0.1341833479302029
q3_radius1,q3g3_s1_00013,q3g3_s1_00112,stratum_null_q3g3_s1_00112,short_random_active_block,0.1241398137909812
q3_radius1,q3g3_s1_00013,q3g3_s1_00112,stratum_null_q3g3_s1_00112,periodic_background_perturbation,0.1340121130915867
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_right_neighbor_removed,right_neighbor_removed,random_uniform,0.2318913927954916
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_right_neighbor_removed,right_neighbor_removed,sparse_active_010,0.0435706447041779
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_right_neighbor_removed,right_neighbor_removed,sparse_active_025,0.1601762961970707
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_right_neighbor_removed,right_neighbor_removed,single_active_1,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_right_neighbor_removed,right_neighbor_removed,single_active_2,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_right_neighbor_removed,right_neighbor_removed,two_cell_active,0.0099482670381368
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_right_neighbor_removed,right_neighbor_removed,short_random_active_block,0.057564187209354
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_right_neighbor_removed,right_neighbor_removed,periodic_background_perturbation,0.2693308481498714
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_center_only_projection,center_only_projection,random_uniform,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_center_only_projection,center_only_projection,sparse_active_010,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_center_only_projection,center_only_projection,sparse_active_025,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_center_only_projection,center_only_projection,single_active_1,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_center_only_projection,center_only_projection,single_active_2,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_center_only_projection,center_only_projection,two_cell_active,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_center_only_projection,center_only_projection,short_random_active_block,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_center_only_projection,center_only_projection,periodic_background_perturbation,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00026,stratum_null_q3g3_s1_00026,random_uniform,0.1042783253797719
q3_radius1,q3g3_s1_00018,q3g3_s1_00026,stratum_null_q3g3_s1_00026,sparse_active_010,0.0877741756740301
q3_radius1,q3g3_s1_00018,q3g3_s1_00026,stratum_null_q3g3_s1_00026,sparse_active_025,0.0691036098478075
q3_radius1,q3g3_s1_00018,q3g3_s1_00026,stratum_null_q3g3_s1_00026,single_active_1,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00026,stratum_null_q3g3_s1_00026,single_active_2,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00026,stratum_null_q3g3_s1_00026,two_cell_active,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00026,stratum_null_q3g3_s1_00026,short_random_active_block,0.0719981634944267
q3_radius1,q3g3_s1_00018,q3g3_s1_00026,stratum_null_q3g3_s1_00026,periodic_background_perturbation,0.0650634680919462
