rule_id,best_birth_condition,best_ic_persistence,worst_death_condition,worst_ic_persistence,motif_family,dominant_interaction_outcome,collapse_rate,explosion_rate,death_mode_proxy
q3g3_s5_00176,periodic_background_perturbation,0.2420356208664057,sparse_active_025,0.1772147502473987,local_phase_or_self_fakeout,emission,0.0,0.0,weak_or_unclear
q3g3_s5_00183,single_active_1,0.2569737399339311,random_uniform,0.0,composition_without_validation,emission,0.0,0.0,loss_of_persistence
q3g3_s5_00199,random_uniform,0.0,random_uniform,0.0,regular_life_like_discovery,emission,0.0,0.0,loss_of_persistence
q3g3_s5_00204,short_random_active_block,0.1701207296519474,single_active_1,0.0,near_validation_pra,emission,0.0,0.0,loss_of_persistence
q3g3_s5_00214,random_uniform,0.0,random_uniform,0.0,composition_without_validation,pass_through,0.0,0.0,loss_of_persistence
q3g3_s5_00221,single_active_2,0.1735375386636226,periodic_background_perturbation,0.0060810525787402,local_phase_or_self_fakeout,emission,0.0,0.0,weak_or_unclear
q3g3_s5_00233,random_uniform,0.2410273153569561,single_active_1,0.0,fragile_or_inconclusive,emission,0.0,0.0,loss_of_persistence
q3g3_s5_00244,two_cell_active,0.2647931968650645,random_uniform,0.1775940346853073,near_validation_pra,emission,0.0,0.0,weak_or_unclear
q3g3_s5_00264,short_random_active_block,0.1581993464112439,periodic_background_perturbation,0.1369053810371166,near_validation_pra,emission,0.0,0.0,weak_or_unclear
q3g3_s5_00286,short_random_active_block,0.0013739966403399,random_uniform,0.0,local_phase_or_self_fakeout,emission,0.0,0.0,loss_of_persistence
q3g3_s5_00296,random_uniform,0.111396304738942,sparse_active_010,0.0,composition_without_validation,emission,0.0,0.0,loss_of_persistence
q3g3_s5_00334,two_cell_active,0.0043457477664068,random_uniform,0.0,regular_life_like_discovery,emission,0.0,0.0,loss_of_persistence
q3g3_s5_00343,sparse_active_025,0.1115439195306818,single_active_2,0.0,composition_without_validation,emission,0.0,0.0,loss_of_persistence
q3g3_s5_00351,random_uniform,0.0,random_uniform,0.0,regular_life_like_discovery,emission,0.0,0.0,loss_of_persistence
q3g3_s6_00058,short_random_active_block,0.1944951224264988,sparse_active_010,0.1769453516842142,local_phase_or_self_fakeout,emission,0.0,0.0,weak_or_unclear
q3g3_s6_00123,single_active_1,0.2385174527571033,single_active_2,0.0,local_phase_or_self_fakeout,pass_through,0.0,0.0,loss_of_persistence
q3g3_s6_00140,single_active_2,0.1171117904900489,random_uniform,0.0,local_phase_or_self_fakeout,emission,0.0,0.0,loss_of_persistence
q3g3_s6_00149,single_active_2,0.2980086190243687,random_uniform,0.0,composition_without_validation,emission,0.0,0.0,loss_of_persistence
q3g3_s6_00302,sparse_active_010,0.3569404572657027,single_active_1,0.0,composition_without_validation,new_motif,0.0,0.0,loss_of_persistence
q3g3_s6_00313,single_active_2,0.0243304270301322,sparse_active_010,9.943561330820312e-05,local_phase_or_self_fakeout,emission,0.0,0.0,weak_or_unclear
q3g3_s6_00356,random_uniform,0.1440308427356514,single_active_1,0.0,composition_without_validation,emission,0.0,0.0,loss_of_persistence
q3g3_s6_00364,short_random_active_block,0.19365680937208,single_active_2,0.0,local_phase_or_self_fakeout,emission,0.0,0.0,loss_of_persistence
q3g3_s7_00001,two_cell_active,0.1354875089124639,single_active_1,0.0,chaotic_discovery,emission,0.0,0.03125,loss_of_persistence
q3g3_s7_00003,periodic_background_perturbation,0.0012201924286758,single_active_1,0.0,fragile_or_inconclusive,emission,0.0,0.0,loss_of_persistence
q3g3_s7_00004,random_uniform,0.2195455359051727,single_active_1,0.0,local_phase_or_self_fakeout,collapse,0.03125,0.0,loss_of_persistence
q3g3_s7_00005,sparse_active_010,0.0112162897052614,single_active_1,0.0,local_phase_or_self_fakeout,emission,0.0,0.0,loss_of_persistence
q3g3_s7_00006,short_random_active_block,0.0015328870368973,random_uniform,0.0,fragile_or_inconclusive,emission,0.0,0.0,loss_of_persistence
q3g3_s7_00008,two_cell_active,0.1825603264384978,single_active_1,0.0,local_phase_or_self_fakeout,emission,0.0625,0.0,loss_of_persistence
q3g3_s7_00010,random_uniform,0.0,random_uniform,0.0,fragile_or_inconclusive,emission,0.171875,0.0,loss_of_persistence
q3g3_s7_00011,two_cell_active,0.1042957730993653,single_active_2,0.0,local_phase_or_self_fakeout,emission,0.0,0.0,loss_of_persistence
q3g3_s7_00013,random_uniform,0.0025169536691974,single_active_1,0.0,symmetric_control_fakeout,emission,0.0,0.0,loss_of_persistence
q3g3_s7_00014,random_uniform,0.0068629949854926,single_active_1,0.0,local_phase_or_self_fakeout,emission,0.0,0.0,loss_of_persistence
q3g3_s7_00015,short_random_active_block,0.0931786315477728,single_active_2,0.0,local_phase_or_self_fakeout,emission,0.0,0.0,loss_of_persistence
q3g3_s7_00016,two_cell_active,0.1535666376473599,single_active_1,0.0,local_phase_or_self_fakeout,emission,0.0,0.0,loss_of_persistence
q3g3_s7_00017,sparse_active_010,0.126531020604369,single_active_1,0.0,fragile_or_inconclusive,chaotic_explosion,0.0,0.0,loss_of_persistence
q3g3_s7_00018,two_cell_active,0.0750789266346066,single_active_1,0.0,local_phase_or_self_fakeout,pass_through,0.0,0.0,loss_of_persistence
q3g3_s7_00019,two_cell_active,0.136449666167791,single_active_1,0.0,local_phase_or_self_fakeout,emission,0.0,0.0,loss_of_persistence
q3g3_s7_00024,random_uniform,0.0,random_uniform,0.0,regular_life_like_discovery,pass_through,0.1875,0.0,loss_of_persistence
q3g3_s7_00025,sparse_active_010,0.1248180228636002,single_active_1,0.0,local_phase_or_self_fakeout,emission,0.0,0.015625,loss_of_persistence
q3g3_s7_00026,single_active_1,0.1293609152245892,single_active_2,0.1046118159776669,chaotic_discovery,emission,0.0,0.0,weak_or_unclear
q3g3_s7_00027,two_cell_active,0.1441594775673141,sparse_active_025,0.1175517336721766,fragile_or_inconclusive,emission,0.0,0.0,weak_or_unclear
q3g3_s7_00028,sparse_active_025,0.0963457737116625,single_active_1,0.0,local_phase_or_self_fakeout,emission,0.03125,0.0,loss_of_persistence
q3g3_s7_00030,short_random_active_block,0.1410271220808715,single_active_2,0.0,local_phase_or_self_fakeout,emission,0.015625,0.0,loss_of_persistence
q3g3_s7_00032,short_random_active_block,0.1229392041024399,periodic_background_perturbation,0.0409351924184053,local_phase_or_self_fakeout,emission,0.0,0.0,weak_or_unclear
q3g3_s7_00033,sparse_active_025,0.1642168630371013,single_active_1,0.0,local_phase_or_self_fakeout,emission,0.03125,0.0,loss_of_persistence
q3g3_s7_00034,short_random_active_block,0.1094948676369412,single_active_1,0.0953193512077602,local_phase_or_self_fakeout,emission,0.0,0.0,weak_or_unclear
q3g3_s7_00036,short_random_active_block,0.1292499203858983,single_active_1,0.0,fragile_or_inconclusive,emission,0.015625,0.0,loss_of_persistence
q3g3_s7_00039,short_random_active_block,0.1485905900330053,two_cell_active,0.0,fragile_or_inconclusive,emission,0.0,0.0,loss_of_persistence
