axis,bin,sampled_rule_count,stage2_candidate_rate,raw_persistence_positive_rate,control_adjusted_positive_rate,relation_adjusted_positive_rate,asymmetry_adjusted_positive_rate,local_phase_rejection_rate,composition_adjusted_positive_rate,non_emission_composition_positive_rate,control_leak_rate
classification,localized_persistence,83,0.1566265060240964,0.060240963855421686,0.0,0.13253012048192772,0.12048192771084337,0.08433734939759036,0.012048192771084338,0.012048192771084338,0.04819277108433735
classification,mixed,52,0.038461538461538464,0.0,0.0,0.038461538461538464,0.038461538461538464,0.019230769230769232,0.038461538461538464,0.038461538461538464,0.0
classification,transported_identity,425,0.17411764705882352,0.047058823529411764,0.011764705882352941,0.12,0.11058823529411765,0.07764705882352942,0.018823529411764704,0.018823529411764704,0.06823529411764706
depends_center,True,2006,0.11216350947158524,0.036390827517447655,0.00448654037886341,0.08025922233300099,0.07228315054835494,0.04935194416749751,0.012462612163509471,0.012462612163509471,0.04835493519441675
frozen_order_index,"(-0.011, 0.1]",962,0.15072765072765074,0.062370062370062374,0.009355509355509356,0.11954261954261955,0.10810810810810811,0.079002079002079,0.015592515592515593,0.015592515592515593,0.04158004158004158
frozen_order_index,"(0.1, 0.3]",335,0.11044776119402985,0.029850746268656716,0.0,0.08955223880597014,0.08955223880597014,0.04477611940298507,0.0029850746268656717,0.0029850746268656717,0.0955223880597015
frozen_order_index,"(0.3, 0.6]",188,0.13297872340425532,0.015957446808510637,0.0,0.07446808510638298,0.05319148936170213,0.0425531914893617,0.0,0.0,0.1276595744680851
frozen_order_index,"(0.6, 1.01]",521,0.0345489443378119,0.0,0.0,0.003838771593090211,0.0019193857965451055,0.0,0.01727447216890595,0.01727447216890595,0.0019193857965451055
left_right_asymmetry,"(-0.011, 0.2]",264,0.3712121212121212,0.08712121212121213,0.0,0.24621212121212122,0.19696969696969696,0.12121212121212122,0.026515151515151516,0.026515151515151516,0.3068181818181818
left_right_asymmetry,"(0.2, 0.4]",753,0.06108897742363878,0.02390438247011952,0.00398406374501992,0.04249667994687915,0.0398406374501992,0.034528552456839307,0.00398406374501992,0.00398406374501992,0.00796812749003984
left_right_asymmetry,"(0.4, 0.6]",950,0.08210526315789474,0.03263157894736842,0.00631578947368421,0.06526315789473684,0.06421052631578947,0.04105263157894737,0.015789473684210527,0.015789473684210527,0.009473684210526316
left_right_asymmetry,"(0.6, 1.01]",39,0.07692307692307693,0.02564102564102564,0.0,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.0,0.0,0.02564102564102564
output_entropy,"(0.5, 1.0]",4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
output_entropy,"(1.0, 1.35]",85,0.11764705882352941,0.08235294117647059,0.0,0.11764705882352941,0.09411764705882353,0.08235294117647059,0.0,0.0,0.03529411764705882
output_entropy,"(1.35, 1.6]",1917,0.11215440792905582,0.03442879499217527,0.004694835680751174,0.07876890975482524,0.0714658320292123,0.047991653625456446,0.013041210224308816,0.013041210224308816,0.04903495044340115
relation_degree,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
relation_degree,2,1994,0.11283851554663991,0.0366098294884654,0.004513540621865597,0.08074222668004012,0.07271815446339017,0.04964894684052156,0.012537612838515547,0.012537612838515547,0.04864593781344032
stratum,S1_random_unbiased,251,0.08764940239043825,0.03187250996015936,0.01593625498007968,0.06374501992031872,0.06374501992031872,0.04780876494023904,0.00796812749003984,0.00796812749003984,0.0199203187250996
stratum,S2_quiescent_preserving,251,0.08764940239043825,0.027888446215139442,0.0,0.06374501992031872,0.05976095617529881,0.04780876494023904,0.01195219123505976,0.01195219123505976,0.01593625498007968
stratum,S3_sparse_active_preserving,251,0.08366533864541832,0.0398406374501992,0.00398406374501992,0.06772908366533864,0.06772908366533864,0.055776892430278883,0.00398406374501992,0.00398406374501992,0.00796812749003984
stratum,S4_neighbor_dependent,251,0.10358565737051793,0.04780876494023904,0.01593625498007968,0.08366533864541832,0.07569721115537849,0.07171314741035857,0.00796812749003984,0.00796812749003984,0.01195219123505976
stratum,S5_asymmetric_neighbor_dependent,376,0.06914893617021277,0.02925531914893617,0.0,0.05319148936170213,0.05319148936170213,0.02925531914893617,0.013297872340425532,0.013297872340425532,0.005319148936170213
stratum,S6_relation_rich_nonchaotic_bias,375,0.021333333333333333,0.010666666666666666,0.0,0.021333333333333333,0.021333333333333333,0.0,0.008,0.008,0.0
