Delta_H_cond_ci_high,Delta_H_cond_ci_low,Delta_H_cond_mean,Delta_H_cond_se,Delta_H_recovery_ci_high,Delta_H_recovery_ci_low,Delta_H_recovery_mean,Delta_H_recovery_se,Delta_H_weighted_ci_high,Delta_H_weighted_ci_low,Delta_H_weighted_mean,Delta_H_weighted_se,Delta_p_viable_ci_high,Delta_p_viable_ci_low,Delta_p_viable_mean,Delta_p_viable_se,candidate_C,horizon_T,pair_id,start_state
1.7917594692280547,1.7917594692280547,1.7917594692280547,0.0,1.7917594692280547,1.7917594692280547,1.7917594692280547,0.0,0.43002227261473314,0.43002227261473314,0.43002227261473314,0.0,0.2246153846153846,0.2246153846153846,0.2246153846153846,0.0,best_of_10_hashes_per_world,2,2,start
2.995732273553991,2.995732273553991,2.995732273553991,0.0,2.9877474524103893,2.9877474524103893,2.9877474524103893,0.0,0.47931716376863853,0.47931716376863853,0.47931716376863853,0.0,0.15773242630385487,0.15773242630385487,0.15773242630385487,0.0,best_of_10_hashes_per_world,3,2,start
4.007333185232473,4.007333185232473,4.007333185232473,0.0,3.9949272243245515,3.9949272243245515,3.9949272243245515,0.0,0.3526453203004576,0.3526453203004576,0.3526453203004576,0.0,0.08765337954939341,0.08765337954939341,0.08765337954939341,0.0,best_of_10_hashes_per_world,4,2,start
4.912654885736057,4.912654885736057,4.912654885736057,0.0,4.898513587858044,4.898513587858044,4.898513587858044,0.0,0.2137987406272332,0.2137987406272332,0.2137987406272332,0.0,0.043466065476511516,0.043466065476511516,0.043466065476511516,0.0,best_of_10_hashes_per_world,5,2,start
5.802118375377085,5.802118375377085,5.802118375377085,0.0,5.788346387889063,5.788346387889063,5.788346387889063,0.0,0.12291207566398818,0.12291207566398818,0.12291207566398818,0.0,0.02121485901025582,0.02098171241831561,0.021098285714285715,5.947617141331808e-05,best_of_10_hashes_per_world,6,2,start
3.5792060702377113,3.121713895971586,3.3504599831046487,0.116707187312787,3.5734041735630293,3.112611371895588,3.3430077727293086,0.11754918409883708,0.025934520849219458,0.015155150512471457,0.020544835680845457,0.002749839371619388,0.007254283327907482,0.0047457166720925184,0.006,0.0006399404734221845,best_of_10_hashes_per_world,8,2,start
2.8574940664547204,2.427046005559476,2.642270036007098,0.10980817879980724,2.853770152108231,2.4214605081782956,2.637615330143263,0.11028307243110601,0.010325843763257977,0.005505623584204011,0.007915733673730994,0.0012296480048607059,0.003559299409230765,0.0022692720193406637,0.0029142857142857143,0.0003290886198699237,best_of_10_hashes_per_world,10,2,start
1.5607104090414063,1.5607104090414063,1.5607104090414063,0.0,1.5607104090414063,1.5607104090414063,1.5607104090414063,0.0,0.3745704981699375,0.3745704981699375,0.3745704981699375,0.0,0.2246153846153846,0.2246153846153846,0.2246153846153846,0.0,viability_signature,2,2,start
2.415052121917807,2.415052121917807,2.415052121917807,0.0,2.4232571699270036,2.4232571699270036,2.4232571699270036,0.0,0.38640833950684916,0.38640833950684916,0.38640833950684916,0.0,0.15773242630385487,0.15773242630385487,0.15773242630385487,0.0,viability_signature,3,2,start
3.0804205424215283,3.0804205424215283,3.0804205424215283,0.0,3.0670438057366782,3.0670438057366782,3.0670438057366782,0.0,0.27107700773309445,0.27107700773309445,0.27107700773309445,0.0,0.08765337954939341,0.08765337954939341,0.08765337954939341,0.0,viability_signature,4,2,start
3.520211122675358,3.520211122675358,3.520211122675358,0.0,3.4748434061881652,3.4748434061881652,3.4748434061881652,0.0,0.1531995880588316,0.1531995880588316,0.1531995880588316,0.0,0.043466065476511516,0.043466065476511516,0.043466065476511516,0.0,viability_signature,5,2,start
3.793290623188493,3.793290623188493,3.793290623188493,0.0,3.713890977969202,3.713890977969202,3.713890977969202,0.0,0.08035706856162504,0.08035706856162504,0.08035706856162504,0.0,0.021211428571428572,0.02109942857142857,0.02115542857142857,2.857142857142857e-05,viability_signature,6,2,start
3.0182336532788665,2.803126679028202,2.910680166153534,0.054874228125169476,2.985904429811073,2.7792621626923064,2.8825832962516897,0.05271486406090996,0.020042669264307332,0.01509869263471901,0.01757068094951317,0.001261218527956205,0.006662600935707157,0.005337399064292843,0.006,0.00033806170189140666,viability_signature,8,2,start
2.972438301088011,2.6824866399385865,2.8274624705132987,0.07396726049730205,2.9652132374439466,2.6713099063552868,2.8182615718996167,0.07497533956343362,0.00792082451135575,0.005505792073520622,0.006713308292438186,0.0006160797035293695,0.002685272912659467,0.0020290128016262473,0.002357142857142857,0.0001674132936309233,viability_signature,10,2,start
1.329661348854758,1.329661348854758,1.329661348854758,0.0,1.329661348854758,1.329661348854758,1.329661348854758,0.0,0.3191187237251419,0.3191187237251419,0.3191187237251419,0.0,0.2246153846153846,0.2246153846153846,0.2246153846153846,0.0,behavioral_quotient_k5,2,2,start
1.887592037924735,1.887592037924735,1.887592037924735,0.0,1.9249471135327723,1.9249471135327723,1.9249471135327723,0.0,0.3020147260679576,0.3020147260679576,0.3020147260679576,0.0,0.15773242630385487,0.15773242630385487,0.15773242630385487,0.0,behavioral_quotient_k5,3,2,start
2.485824008039292,2.485824008039292,2.485824008039292,0.0,2.5371338988173235,2.5371338988173235,2.5371338988173235,0.0,0.21875251270745769,0.21875251270745769,0.21875251270745769,0.0,0.08765337954939341,0.08765337954939341,0.08765337954939341,0.0,behavioral_quotient_k5,4,2,start
3.145676686901942,3.145676686901942,3.145676686901942,0.0,3.1990861266635346,3.1990861266635346,3.1990861266635346,0.0,0.1368998494139725,0.1368998494139725,0.1368998494139725,0.0,0.043466065476511516,0.043466065476511516,0.043466065476511516,0.0,behavioral_quotient_k5,5,2,start
3.832754481823074,3.832754481823074,3.832754481823074,0.0,3.8741833512209394,3.8741833512209394,3.8741833512209394,0.0,0.08119307094294,0.08119307094294,0.08119307094294,0.0,0.021184,0.021184,0.021184,0.0,behavioral_quotient_k5,6,2,start
3.466365389956855,3.297901362718199,3.382133376337527,0.042975517152718426,3.4566945894836003,3.2876644799148815,3.372179534699241,0.0431199259103874,0.025028078436865654,0.01919411220874021,0.02211109532280293,0.0014882566908483272,0.007227934378858272,0.005743494192570301,0.0064857142857142865,0.0003786837209918294,behavioral_quotient_k5,8,2,start
2.6053807828334232,2.2506933617055163,2.4280370722694697,0.09048148498160898,2.600807614218215,2.2490449062900084,2.4249262602541117,0.08973538467556282,0.00738814342466649,0.00448193224813801,0.00593503783640225,0.0007413804021756328,0.00280122479152382,0.0019987752084761794,0.0024,0.00020470652628766357,behavioral_quotient_k5,10,2,start
0.45056120886630463,0.45056120886630463,0.45056120886630463,0.0,0.45056120886630463,0.45056120886630463,0.45056120886630463,0.0,0.1081346901279131,0.1081346901279131,0.1081346901279131,0.0,0.2246153846153846,0.2246153846153846,0.2246153846153846,0.0,predictive_quotient_k5,2,2,start
1.094408629847781,1.094408629847781,1.094408629847781,0.0,1.085144782044109,1.085144782044109,1.085144782044109,0.0,0.17510538077564497,0.17510538077564497,0.17510538077564497,0.0,0.15773242630385487,0.15773242630385487,0.15773242630385487,0.0,predictive_quotient_k5,3,2,start
1.755790932005769,1.755790932005769,1.755790932005769,0.0,1.764472917059564,1.764472917059564,1.764472917059564,0.0,0.15450960201650765,0.15450960201650765,0.15450960201650765,0.0,0.08765337954939341,0.08765337954939341,0.08765337954939341,0.0,predictive_quotient_k5,4,2,start
2.5208380267999204,2.5208380267999204,2.5208380267999204,0.0,2.5572898853856842,2.5572898853856842,2.5572898853856842,0.0,0.10970687092633255,0.10970687092633255,0.10970687092633255,0.0,0.043466065476511516,0.043466065476511516,0.043466065476511516,0.0,predictive_quotient_k5,5,2,start
3.4208832699849894,3.4208832699849894,3.4208832699849894,0.0,3.480496149435538,3.480496149435538,3.480496149435538,0.0,0.07246799119136202,0.07246799119136202,0.07246799119136202,0.0,0.021184,0.021184,0.021184,0.0,predictive_quotient_k5,6,2,start
3.3441040979238363,3.130700622712362,3.2374023603180992,0.054439662043743495,3.3442295692846273,3.15841248702205,3.2513210281533387,0.047402316903718676,0.02406066077586185,0.018275153467816434,0.021167907121839143,0.0014758947214401584,0.007227934378858272,0.005743494192570301,0.0064857142857142865,0.0003786837209918294,predictive_quotient_k5,8,2,start
2.572956459304653,2.266420022061135,2.419688240682894,0.07819807072538736,2.567217566987039,2.265142633615678,2.4161801003013585,0.07705993198249,0.007264787089338357,0.004526071762830721,0.005895429426084539,0.00069865186900705,0.00280122479152382,0.0019987752084761794,0.0024,0.00020470652628766357,predictive_quotient_k5,10,2,start
0.45056120886630463,0.45056120886630463,0.45056120886630463,0.0,0.45056120886630463,0.45056120886630463,0.45056120886630463,0.0,0.1081346901279131,0.1081346901279131,0.1081346901279131,0.0,0.2246153846153846,0.2246153846153846,0.2246153846153846,0.0,predictive_quotient_k8,2,2,start
1.4455413224005405,1.4455413224005405,1.4455413224005405,0.0,1.4009420151094776,1.4009420151094776,1.4009420151094776,0.0,0.23128661158408648,0.23128661158408648,0.23128661158408648,0.0,0.15773242630385487,0.15773242630385487,0.15773242630385487,0.0,predictive_quotient_k8,3,2,start
2.236083553071619,2.236083553071619,2.236083553071619,0.0,2.19864605492529,2.19864605492529,2.19864605492529,0.0,0.19677535267030247,0.19677535267030247,0.19677535267030247,0.0,0.08765337954939341,0.08765337954939341,0.08765337954939341,0.0,predictive_quotient_k8,4,2,start
3.0440498829243916,3.0440498829243916,3.0440498829243916,0.0,3.030505829748697,3.030505829748697,3.030505829748697,0.0,0.13247705090486953,0.13247705090486953,0.13247705090486953,0.0,0.043466065476511516,0.043466065476511516,0.043466065476511516,0.0,predictive_quotient_k8,5,2,start
3.937941206411398,3.937941206411398,3.937941206411398,0.0,3.949602587888525,3.949602587888525,3.949602587888525,0.0,0.08342134651661906,0.08342134651661906,0.08342134651661906,0.0,0.021184,0.021184,0.021184,0.0,predictive_quotient_k8,6,2,start
