candidate_C,compression_ratio,condition,family,label_entropy,macro_recoverability_mixing_rate,macro_viability_mixing_rate,mean_fiber_size,num_macro_labels,num_micro_states,pair_id,singleton_fraction,trap_mixing_rate,world_id,world_seed
viability_signature,0.024691358024691357,irreversible,A,1.946717761819704,0.0,0.14285714285714285,40.5,14,567,8,0.0,0.21428571428571427,A_8_irreversible,8
behavioral_quotient_k5,0.008818342151675485,irreversible,A,1.162006722836758,0.4,0.4,113.4,5,567,8,0.0,0.2,A_8_irreversible,8
predictive_quotient_k5,0.008818342151675485,irreversible,A,1.1514183880996647,0.2,0.2,113.4,5,567,8,0.0,0.0,A_8_irreversible,8
predictive_quotient_k8,0.014109347442680775,irreversible,A,1.6236368277426743,0.125,0.125,70.875,8,567,8,0.0,0.0,A_8_irreversible,8
identity,1.0,irreversible,A,6.340359303727763,0.0,0.0,1.0,567,567,5,1.0,0.0,A_5_irreversible,5
all_one,0.001763668430335097,irreversible,A,0.0,1.0,1.0,567.0,1,567,5,0.0,1.0,A_5_irreversible,5
random_k,0.02292768959435626,irreversible,A,2.5607001204098574,1.0,1.0,43.61538461538461,13,567,5,0.0,1.0,A_5_irreversible,5
hash_k34_s1206,0.059964726631393295,irreversible,A,3.5234439856557835,0.9411764705882353,0.9705882352941176,16.676470588235293,34,567,5,0.0,1.0,A_5_irreversible,5
trap_mixing_adversarial,0.007054673721340388,irreversible,A,0.8491436411504636,1.0,1.0,141.75,4,567,5,0.0,0.5,A_5_irreversible,5
best_of_10_hashes_per_world,0.003527336860670194,irreversible,A,0.6925856254343976,1.0,1.0,283.5,2,567,5,0.0,1.0,A_5_irreversible,5
viability_signature,0.02292768959435626,irreversible,A,1.8954515587965346,0.0,0.15384615384615385,43.61538461538461,13,567,5,0.0,0.23076923076923078,A_5_irreversible,5
behavioral_quotient_k5,0.008818342151675485,irreversible,A,1.0949274563445954,0.2,0.4,113.4,5,567,5,0.0,0.4,A_5_irreversible,5
predictive_quotient_k5,0.008818342151675485,irreversible,A,1.0951114852597936,0.2,0.4,113.4,5,567,5,0.0,0.4,A_5_irreversible,5
predictive_quotient_k8,0.014109347442680775,irreversible,A,1.6603427181780952,0.25,0.25,70.875,8,567,5,0.0,0.125,A_5_irreversible,5
identity,1.0,reversible,A,6.340359303727763,0.0,0.0,1.0,567,567,6,1.0,0.0,A_6_reversible,6
all_one,0.001763668430335097,reversible,A,0.0,1.0,1.0,567.0,1,567,6,0.0,1.0,A_6_reversible,6
random_k,0.02292768959435626,reversible,A,2.554076126471414,1.0,1.0,43.61538461538461,13,567,6,0.0,1.0,A_6_reversible,6
hash_k34_s1206,0.059964726631393295,reversible,A,3.5234439856557835,1.0,1.0,16.676470588235293,34,567,6,0.0,1.0,A_6_reversible,6
trap_mixing_adversarial,0.007054673721340388,reversible,A,0.9232763374623556,1.0,1.0,141.75,4,567,6,0.0,0.5,A_6_reversible,6
best_of_10_hashes_per_world,0.037037037037037035,reversible,A,3.0236039261688927,1.0,1.0,27.0,21,567,6,0.0,1.0,A_6_reversible,6
viability_signature,0.02821869488536155,reversible,A,2.061121613706688,0.0,0.125,35.4375,16,567,6,0.0625,0.125,A_6_reversible,6
behavioral_quotient_k5,0.008818342151675485,reversible,A,1.1818044758929225,0.4,0.4,113.4,5,567,6,0.0,0.2,A_6_reversible,6
