candidate,candidate_category,fake_viability_rate,family,hidden_nonviability_rate,macro_viability_purity,mixed_viability_label_fraction,pair_id,variant,world_seed
identity,DIAGNOSTIC_ONLY,0.0,D,0.0,1.0,0.0,8,hidden,308
all_one,DIAGNOSTIC_ONLY,1.0,D,0.0,0.7777777777777778,1.0,8,hidden,308
random_k,ADVERSARIAL,1.0,D,0.0,0.7789898129397206,1.0,8,hidden,308
hash_k34_s1206,ADVERSARIAL,1.0,D,0.0,0.7798913373398895,1.0,8,hidden,308
best_of_10_hashes_per_world,ADAPTIVE_HASH,1.0,D,0.0,0.7772912981739368,1.0,8,hidden,308
checkerboard,ADVERSARIAL,1.0,D,0.0,0.7771341463414634,1.0,8,hidden,308
trap_mixing_adversarial,ADVERSARIAL,0.5,D,0.0,0.8468390804597701,0.5,8,hidden,308
viability_signature,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,8,hidden,308
behavioral_quotient_k5,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,8,hidden,308
behavioral_quotient_k8,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,8,hidden,308
behavioral_quotient_k13,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,8,hidden,308
behavioral_quotient_k21,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,8,hidden,308
predictive_quotient_k5,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,8,hidden,308
predictive_quotient_k8,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,8,hidden,308
predictive_quotient_k13,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,8,hidden,308
predictive_quotient_k21,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,8,hidden,308
identity,DIAGNOSTIC_ONLY,0.0,D,0.0,1.0,0.0,9,hidden,309
all_one,DIAGNOSTIC_ONLY,1.0,D,0.0,0.8571428571428571,1.0,9,hidden,309
random_k,ADVERSARIAL,1.0,D,0.0,0.8595343614346109,1.0,9,hidden,309
hash_k34_s1206,ADVERSARIAL,0.5588235294117647,D,0.0,0.8572192513368984,0.6176470588235294,9,hidden,309
best_of_10_hashes_per_world,ADAPTIVE_HASH,1.0,D,0.0,0.8569047619047618,1.0,9,hidden,309
checkerboard,ADVERSARIAL,1.0,D,0.0,0.8566666666666667,1.0,9,hidden,309
trap_mixing_adversarial,ADVERSARIAL,0.5,D,0.0,0.875,0.5,9,hidden,309
viability_signature,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,9,hidden,309
behavioral_quotient_k5,THEORY_INFORMED,0.0,D,0.2,0.9960000000000001,0.2,9,hidden,309
behavioral_quotient_k8,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,9,hidden,309
behavioral_quotient_k13,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,9,hidden,309
behavioral_quotient_k21,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,9,hidden,309
predictive_quotient_k5,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,9,hidden,309
predictive_quotient_k8,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,9,hidden,309
predictive_quotient_k13,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,9,hidden,309
predictive_quotient_k21,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,9,hidden,309
identity,DIAGNOSTIC_ONLY,0.0,D,0.0,1.0,0.0,10,hidden,310
all_one,DIAGNOSTIC_ONLY,1.0,D,0.0,0.9259259259259259,1.0,10,hidden,310
random_k,ADVERSARIAL,1.0,D,0.0,0.9237481335185758,1.0,10,hidden,310
hash_k34_s1206,ADVERSARIAL,0.6764705882352942,D,0.0,0.9249480210040673,0.6764705882352942,10,hidden,310
best_of_10_hashes_per_world,ADAPTIVE_HASH,1.0,D,0.0,0.9257316434220704,1.0,10,hidden,310
checkerboard,ADVERSARIAL,1.0,D,0.0,0.9259146341463416,1.0,10,hidden,310
trap_mixing_adversarial,ADVERSARIAL,0.5,D,0.0,0.928125,0.5,10,hidden,310
viability_signature,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,10,hidden,310
behavioral_quotient_k5,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,10,hidden,310
behavioral_quotient_k8,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,10,hidden,310
behavioral_quotient_k13,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,10,hidden,310
behavioral_quotient_k21,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,10,hidden,310
predictive_quotient_k5,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,10,hidden,310
predictive_quotient_k8,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,10,hidden,310
predictive_quotient_k13,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,10,hidden,310
predictive_quotient_k21,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,10,hidden,310
identity,DIAGNOSTIC_ONLY,0.0,D,0.0,1.0,0.0,13,hidden,313
all_one,DIAGNOSTIC_ONLY,1.0,D,0.0,0.9183673469387755,1.0,13,hidden,313
random_k,ADVERSARIAL,0.8461538461538461,D,0.0,0.9199100011625366,0.8461538461538461,13,hidden,313
hash_k34_s1206,ADVERSARIAL,0.5294117647058824,D,0.0,0.9184491978609626,0.5294117647058824,13,hidden,313
best_of_10_hashes_per_world,ADAPTIVE_HASH,1.0,D,0.0,0.9186904761904762,1.0,13,hidden,313
checkerboard,ADVERSARIAL,1.0,D,0.0,0.9191666666666667,1.0,13,hidden,313
trap_mixing_adversarial,ADVERSARIAL,0.5,D,0.0,0.9270833333333334,0.5,13,hidden,313
viability_signature,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,13,hidden,313
behavioral_quotient_k5,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,13,hidden,313
behavioral_quotient_k8,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,13,hidden,313
behavioral_quotient_k13,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,13,hidden,313
behavioral_quotient_k21,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,13,hidden,313
predictive_quotient_k5,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,13,hidden,313
predictive_quotient_k8,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,13,hidden,313
predictive_quotient_k13,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,13,hidden,313
predictive_quotient_k21,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,13,hidden,313
identity,DIAGNOSTIC_ONLY,0.0,D,0.0,1.0,0.0,7,hidden,307
all_one,DIAGNOSTIC_ONLY,1.0,D,0.0,0.8571428571428571,1.0,7,hidden,307
random_k,ADVERSARIAL,1.0,D,0.0,0.8584873054780796,1.0,7,hidden,307
hash_k34_s1206,ADVERSARIAL,0.6764705882352942,D,0.0,0.8564171122994653,0.6764705882352942,7,hidden,307
best_of_10_hashes_per_world,ADAPTIVE_HASH,1.0,D,0.0,0.8560668029993184,1.0,7,hidden,307
checkerboard,ADVERSARIAL,1.0,D,0.0,0.8583333333333334,1.0,7,hidden,307
trap_mixing_adversarial,ADVERSARIAL,0.5,D,0.0,0.8876262626262627,0.5,7,hidden,307
viability_signature,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,7,hidden,307
behavioral_quotient_k5,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,7,hidden,307
behavioral_quotient_k8,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,7,hidden,307
behavioral_quotient_k13,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,7,hidden,307
behavioral_quotient_k21,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,7,hidden,307
predictive_quotient_k5,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,7,hidden,307
predictive_quotient_k8,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,7,hidden,307
predictive_quotient_k13,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,7,hidden,307
predictive_quotient_k21,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,7,hidden,307
identity,DIAGNOSTIC_ONLY,0.0,D,0.0,1.0,0.0,21,hidden,321
all_one,DIAGNOSTIC_ONLY,1.0,D,0.0,0.8367346938775511,1.0,21,hidden,321
random_k,ADVERSARIAL,1.0,D,0.0,0.8394452354797183,1.0,21,hidden,321
hash_k34_s1206,ADVERSARIAL,0.7647058823529411,D,0.0,0.8363636363636364,0.7647058823529411,21,hidden,321
best_of_10_hashes_per_world,ADAPTIVE_HASH,1.0,D,0.0,0.8361663714402507,1.0,21,hidden,321
checkerboard,ADVERSARIAL,1.0,D,0.0,0.8391666666666666,1.0,21,hidden,321
trap_mixing_adversarial,ADVERSARIAL,0.5,D,0.0,0.8641025641025641,0.5,21,hidden,321
viability_signature,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,21,hidden,321
behavioral_quotient_k5,THEORY_INFORMED,0.0,D,0.2,0.9777777777777779,0.2,21,hidden,321
behavioral_quotient_k8,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,21,hidden,321
behavioral_quotient_k13,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,21,hidden,321
behavioral_quotient_k21,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,21,hidden,321
predictive_quotient_k5,THEORY_INFORMED,0.0,D,0.2,0.9964912280701753,0.2,21,hidden,321
predictive_quotient_k8,THEORY_INFORMED,0.0,D,0.125,0.9978070175438596,0.125,21,hidden,321
predictive_quotient_k13,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,21,hidden,321
predictive_quotient_k21,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,21,hidden,321
identity,DIAGNOSTIC_ONLY,0.0,D,0.0,1.0,0.0,20,hidden,320
all_one,DIAGNOSTIC_ONLY,1.0,D,0.0,0.9382716049382716,1.0,20,hidden,320
random_k,ADVERSARIAL,0.8461538461538461,D,0.0,0.9360481721651829,0.8461538461538461,20,hidden,320
hash_k34_s1206,ADVERSARIAL,0.5882352941176471,D,0.0,0.9382130354721868,0.5882352941176471,20,hidden,320
best_of_10_hashes_per_world,ADAPTIVE_HASH,1.0,D,0.0,0.9386248786437978,1.0,20,hidden,320
checkerboard,ADVERSARIAL,1.0,D,0.0,0.9384146341463415,1.0,20,hidden,320
trap_mixing_adversarial,ADVERSARIAL,0.5,D,0.0,0.9557692307692308,0.5,20,hidden,320
viability_signature,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,20,hidden,320
behavioral_quotient_k5,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,20,hidden,320
behavioral_quotient_k8,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,20,hidden,320
behavioral_quotient_k13,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,20,hidden,320
behavioral_quotient_k21,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,20,hidden,320
predictive_quotient_k5,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,20,hidden,320
