candidate,early_mean,irreversibility_sensitivity,late_mean,norm_irrev_sensitivity,pair_id,start_name
viability_signature,0.0,0.0,0.0,0.0,9,near_trap
behavioral_quotient_k5,0.0,0.0,0.0,0.0,9,near_trap
behavioral_quotient_k8,0.0,0.0,0.0,0.0,9,near_trap
behavioral_quotient_k13,0.0,0.0,0.0,0.0,9,near_trap
behavioral_quotient_k21,0.0,0.0,0.0,0.0,9,near_trap
predictive_quotient_k5,0.0,0.0,0.0,0.0,9,near_trap
predictive_quotient_k8,0.0,0.0,0.0,0.0,9,near_trap
predictive_quotient_k13,0.0,0.0,0.0,0.0,9,near_trap
predictive_quotient_k21,0.0,0.0,0.0,0.0,9,near_trap
identity,0.0,0.0,0.0,0.0,13,near_trap
all_one,0.0,0.0,0.0,0.0,13,near_trap
random_k,0.0,0.0,0.0,0.0,13,near_trap
hash_k34_s1206,0.0,0.0,0.0,0.0,13,near_trap
best_of_10_hashes_per_world,0.0,0.0,0.0,0.0,13,near_trap
checkerboard,0.0,0.0,0.0,0.0,13,near_trap
trap_mixing_adversarial,0.0,0.0,0.0,0.0,13,near_trap
viability_signature,0.0,0.0,0.0,0.0,13,near_trap
behavioral_quotient_k5,0.0,0.0,0.0,0.0,13,near_trap
behavioral_quotient_k8,0.0,0.0,0.0,0.0,13,near_trap
behavioral_quotient_k13,0.0,0.0,0.0,0.0,13,near_trap
behavioral_quotient_k21,0.0,0.0,0.0,0.0,13,near_trap
predictive_quotient_k5,0.0,0.0,0.0,0.0,13,near_trap
predictive_quotient_k8,0.0,0.0,0.0,0.0,13,near_trap
predictive_quotient_k13,0.0,0.0,0.0,0.0,13,near_trap
predictive_quotient_k21,0.0,0.0,0.0,0.0,13,near_trap
identity,0.0,0.0,0.0,0.0,15,near_trap
all_one,0.0,0.0,0.0,0.0,15,near_trap
random_k,0.0,0.0,0.0,0.0,15,near_trap
hash_k34_s1206,0.0,0.0,0.0,0.0,15,near_trap
best_of_10_hashes_per_world,0.0,0.0,0.0,0.0,15,near_trap
checkerboard,0.0,0.0,0.0,0.0,15,near_trap
trap_mixing_adversarial,0.0,0.0,0.0,0.0,15,near_trap
viability_signature,0.0,0.0,0.0,0.0,15,near_trap
behavioral_quotient_k5,0.0,0.0,0.0,0.0,15,near_trap
behavioral_quotient_k8,0.0,0.0,0.0,0.0,15,near_trap
behavioral_quotient_k13,0.0,0.0,0.0,0.0,15,near_trap
behavioral_quotient_k21,0.0,0.0,0.0,0.0,15,near_trap
predictive_quotient_k5,0.0,0.0,0.0,0.0,15,near_trap
predictive_quotient_k8,0.0,0.0,0.0,0.0,15,near_trap
predictive_quotient_k13,0.0,0.0,0.0,0.0,15,near_trap
predictive_quotient_k21,0.0,0.0,0.0,0.0,15,near_trap
identity,0.0,0.0,0.0,0.0,10,near_trap
all_one,0.0,0.0,0.0,0.0,10,near_trap
random_k,0.0,0.0,0.0,0.0,10,near_trap
hash_k34_s1206,0.0,0.0,0.0,0.0,10,near_trap
best_of_10_hashes_per_world,0.0,0.0,0.0,0.0,10,near_trap
checkerboard,0.0,0.0,0.0,0.0,10,near_trap
trap_mixing_adversarial,0.0,0.0,0.0,0.0,10,near_trap
viability_signature,0.0,0.0,0.0,0.0,10,near_trap
behavioral_quotient_k5,0.0,0.0,0.0,0.0,10,near_trap
behavioral_quotient_k8,0.0,0.0,0.0,0.0,10,near_trap
behavioral_quotient_k13,0.0,0.0,0.0,0.0,10,near_trap
behavioral_quotient_k21,0.0,0.0,0.0,0.0,10,near_trap
predictive_quotient_k5,0.0,0.0,0.0,0.0,10,near_trap
predictive_quotient_k8,0.0,0.0,0.0,0.0,10,near_trap
predictive_quotient_k13,0.0,0.0,0.0,0.0,10,near_trap
predictive_quotient_k21,0.0,0.0,0.0,0.0,10,near_trap
identity,2.4924080436106038,-1.1805941818098686,3.6730022254204724,-0.4736761241147384,14,near_trap
all_one,0.0,0.0,0.0,0.0,14,near_trap
random_k,2.194729610511399,-1.269435557896745,3.464165168408144,-0.5784018003023847,14,near_trap
hash_k34_s1206,2.4924080436106038,-1.1805941818098686,3.6730022254204724,-0.4736761241147384,14,near_trap
best_of_10_hashes_per_world,0.454792193275383,-0.6859189901972577,1.1407111834726407,-1.5082030877823889,14,near_trap
checkerboard,0.8366515952718037,-0.7779676965570852,1.6146192918288889,-0.9298586185141334,14,near_trap
trap_mixing_adversarial,1.3089758187251017,-0.7889799436449043,2.097955762370006,-0.6027460036758694,14,near_trap
viability_signature,1.4670552642629768,-1.4581730063992298,2.9252282706622066,-0.9939455192451735,14,near_trap
behavioral_quotient_k5,0.5473546392462223,-1.2492211016559225,1.7965757409021448,-2.282288322934945,14,near_trap
behavioral_quotient_k8,1.0780262828886313,-1.3193961991040377,2.397422481992669,-1.2238998436741655,14,near_trap
behavioral_quotient_k13,1.5737386170481285,-1.2579651253539825,2.831703742402111,-0.7993481965344129,14,near_trap
