candidate,collapse,early_mean,horizon_coherence_score,late_mean,lure_detected,pair_id,start_name
predictive_quotient_k21,1.3547258003488944,1.3547258003488944,0.4246778966161717,0.0,1,4,near_trap
identity,0.8273995107111092,1.2906016625283372,0.5472257128989066,0.46320215181722807,1,7,near_trap
all_one,0.0,0.0,1.0,0.0,0,7,near_trap
random_k,0.6781504706846477,1.1413526225018757,0.5958941212178801,0.46320215181722807,1,7,near_trap
hash_k34_s1206,0.8273995107111092,1.2906016625283372,0.5472257128989066,0.46320215181722807,1,7,near_trap
best_of_10_hashes_per_world,0.3028131525365703,0.5946640777178653,0.7675697762591707,0.291850925181295,0,7,near_trap
checkerboard,0.49734528834272446,0.7961667663406047,0.6678486303628799,0.2988214779978802,1,7,near_trap
trap_mixing_adversarial,0.7330801491591272,1.1622700774257693,0.5770073591144586,0.4291899282666421,1,7,near_trap
viability_signature,0.9041814646970612,1.1794707357629008,0.52516003255976,0.27528927106583967,1,7,near_trap
behavioral_quotient_k5,0.2265820659665655,0.5313470469477221,0.8152736190643588,0.30476498098115656,0,7,near_trap
behavioral_quotient_k8,0.32728036580408604,0.6360429899934332,0.7534203215566933,0.3087626241893472,0,7,near_trap
behavioral_quotient_k13,0.6820451696732086,1.1042446116645532,0.5945143555177428,0.4221994419913447,1,7,near_trap
behavioral_quotient_k21,0.6995319601396794,1.1436276721191674,0.5883972902267828,0.4440957119794879,1,7,near_trap
predictive_quotient_k5,0.22322627736687328,0.5319889015562205,0.8175102337995943,0.3087626241893472,0,7,near_trap
predictive_quotient_k8,0.642538595796638,0.9513012199859852,0.6088137000610302,0.3087626241893472,1,7,near_trap
predictive_quotient_k13,0.8153012868565044,1.237500728847849,0.5508727434065042,0.4221994419913447,1,7,near_trap
predictive_quotient_k21,0.7897690277754527,1.2357246265218762,0.5587313136393495,0.44595559874642354,1,7,near_trap
identity,1.225838051946847,1.4291614173175988,0.44926898393409254,0.20332336537075185,1,6,near_trap
all_one,0.0,0.0,1.0,0.0,0,6,near_trap
random_k,1.1398618811367986,1.3431852465075504,0.4673198811638961,0.20332336537075185,1,6,near_trap
hash_k34_s1206,1.225838051946847,1.4291614173175988,0.44926898393409254,0.20332336537075185,1,6,near_trap
best_of_10_hashes_per_world,0.6853826832438799,0.7210091500920643,0.593337056291148,0.03562646684818445,0,6,near_trap
checkerboard,0.8008046637856909,0.8364311306338754,0.5553073135082726,0.03562646684818445,1,6,near_trap
trap_mixing_adversarial,1.0260060190752103,1.229329384445962,0.49358194920687326,0.20332336537075185,1,6,near_trap
viability_signature,0.9637029261618129,1.1670262915325647,0.5092419971866957,0.20332336537075185,1,6,near_trap
behavioral_quotient_k5,0.40030927164428726,0.4359357384924717,0.7141279574802561,0.03562646684818445,0,6,near_trap
behavioral_quotient_k8,0.5508329685825442,0.5864594354307286,0.6448147674562248,0.03562646684818445,0,6,near_trap
behavioral_quotient_k13,0.7956776231142011,0.8313040899623856,0.5568928337290987,0.03562646684818445,1,6,near_trap
behavioral_quotient_k21,0.8026022060945983,0.8382286729427828,0.5547535649401736,0.03562646684818445,1,6,near_trap
predictive_quotient_k5,0.40030927164428726,0.4359357384924717,0.7141279574802561,0.03562646684818445,0,6,near_trap
predictive_quotient_k8,0.4099056400670243,0.6132290054377761,0.7092673237000895,0.20332336537075185,0,6,near_trap
predictive_quotient_k13,0.7821830067785733,0.8178094736267578,0.56110960333281,0.03562646684818445,1,6,near_trap
predictive_quotient_k21,1.0155195205082193,1.218842885878971,0.4961499949888092,0.20332336537075185,1,6,near_trap
identity,0.7526183533555769,1.2605785078465144,0.5705748762047324,0.5079601544909375,0,9,near_trap
all_one,0.0,0.0,1.0,0.0,0,9,near_trap
random_k,0.7484220474008488,1.2563822018917863,0.5719442862703371,0.5079601544909375,0,9,near_trap
hash_k34_s1206,0.7526183533555769,1.2605785078465144,0.5705748762047324,0.5079601544909375,0,9,near_trap
best_of_10_hashes_per_world,0.0,0.3070175419276412,1.0,0.4317545189622739,0,9,near_trap
checkerboard,0.4787812373646035,0.799728220752695,0.6762325452425546,0.3209469833880915,1,9,near_trap
trap_mixing_adversarial,0.6862441678454273,1.1337793781299668,0.59303392656221,0.44753521028453946,1,9,near_trap
viability_signature,0.7850604249967392,1.137972800710351,0.5602051258303072,0.3529123757136116,1,9,near_trap
behavioral_quotient_k5,0.20456095972070998,0.5365668789378966,0.8301779930107153,0.3320059192171866,0,9,near_trap
behavioral_quotient_k8,0.7204199387386611,1.0524258579558476,0.5812534355612953,0.3320059192171866,1,9,near_trap
behavioral_quotient_k13,0.7910071097226136,1.229126119727082,0.5583450755563317,0.4381190100044684,1,9,near_trap
behavioral_quotient_k21,0.5374181357066421,0.9986597592919513,0.6504411368481554,0.46124162358530924,1,9,near_trap
predictive_quotient_k5,0.1654123639357042,0.5936903152098563,0.8580653774968617,0.4282779512741521,0,9,near_trap
predictive_quotient_k8,0.49431815253900396,0.922596103813156,0.6692015340246618,0.4282779512741521,1,9,near_trap
predictive_quotient_k13,0.7076542626850209,1.1473572731246997,0.5855986319078754,0.4397030104396789,1,9,near_trap
predictive_quotient_k21,0.737345211382499,1.2167478968826482,0.5755908459921136,0.4794026855001492,1,9,near_trap
identity,1.1432343199610364,1.4291614173175988,0.46658454033069974,0.2859270973565625,1,8,near_trap
all_one,0.0,0.0,1.0,0.0,0,8,near_trap
random_k,1.1404859388069402,1.4264130361635026,0.46718363427202797,0.2859270973565625,1,8,near_trap
hash_k34_s1206,1.1432343199610364,1.4291614173175988,0.46658454033069974,0.2859270973565625,1,8,near_trap
best_of_10_hashes_per_world,0.4720065372301405,0.4720065372301405,0.6793448090805967,0.0,0,8,near_trap
checkerboard,0.7237908284172992,0.8364311306338754,0.5801167888322919,0.11264030221657616,1,8,near_trap
trap_mixing_adversarial,0.9434022870893995,1.229329384445962,0.5145615020849249,0.2859270973565625,1,8,near_trap
viability_signature,0.8810991941760021,1.1670262915325647,0.5316040765399618,0.2859270973565625,1,8,near_trap
