adaptive_idx,bounded_cost_sustainment,candidate,candidate_category,compression_ratio,fake_viability_rate,fake_viability_rejection_score,family,heldout_l1_loss,heldout_nll,heldout_predictive_quality,hidden_nonviability_rate,horizon_coherence,irreversibility_sensitivity,label_entropy,macro_viability_purity,mc_fallback_used,mean_fiber_size,mixed_viability_label_fraction,norm_irrev_sensitivity,pair_id,quotient_gate_pass,raw_I_mean,recoverability_preservation,recoverability_purity,singleton_fraction,truncated,truncation_fraction,unsustainable_branch_penalty,variant,world_seed
,,predictive_quotient_k13,THEORY_INFORMED,0.037900874635568516,0.15384615384615385,0.8461538461538461,A,1.0,inf,0.0,0.07692307692307693,1.0,0.0,2.29374766233892,0.9519084524633914,0,26.384615384615383,0.23076923076923078,0.0,1,1,0.0,0.9883617073104717,0.9854862119013063,0.07692307692307693,0,0.0,,irreversible,1
,,predictive_quotient_k21,THEORY_INFORMED,0.061224489795918366,0.0,1.0,A,1.0,inf,0.0,0.19047619047619047,1.0,0.0,2.8940862777053527,0.9463936063936064,0,16.333333333333332,0.19047619047619047,0.0,1,1,0.0,1.0,1.0,0.0,0,0.0,,irreversible,1
,,identity,DIAGNOSTIC_ONLY,1.0,0.0,1.0,A,1.0,inf,0.0,0.0,1.0,0.0,5.837730447165968,1.0,0,1.0,0.0,0.0,5,0,0.0,1.0,1.0,1.0,0,0.0,,reversible,5
,,all_one,DIAGNOSTIC_ONLY,0.0029154518950437317,1.0,0.0,A,1.0,inf,0.0,0.0,1.0,0.0,0.0,0.7784256559766763,0,343.0,1.0,0.0,5,0,0.0,0.8349881830247199,0.7288629737609329,0.0,0,0.0,,reversible,5
,,random_k,ADVERSARIAL,0.037900874635568516,1.0,0.0,A,1.0,inf,0.0,0.0,1.0,0.0,2.5531594009273078,0.7756769771286831,0,26.384615384615383,1.0,0.0,5,1,0.0,0.8388512937379587,0.7269536633895398,0.0,0,0.0,,reversible,5
,,hash_k34_s1206,ADVERSARIAL,0.09912536443148688,0.9705882352941176,0.02941176470588236,A,1.0,inf,0.0,0.0,1.0,0.0,3.5259755701090882,0.779144385026738,0,10.088235294117647,0.9705882352941176,0.0,5,1,0.0,0.8381771988908515,0.7296791443850267,0.0,0,0.0,,reversible,5
0,,best_of_10_hashes_per_world,ADAPTIVE_HASH,0.0058309037900874635,1.0,0.0,A,1.0,inf,0.0,0.0,1.0,0.0,0.6931089307033735,0.7784597075824549,0,171.5,1.0,0.0,5,1,0.0,0.8349899079091618,0.7288677320639239,0.0,0,0.0,,reversible,5
,,checkerboard,ADVERSARIAL,0.0058309037900874635,1.0,0.0,A,1.0,inf,0.0,0.0,1.0,0.0,0.6929389195380611,0.7782142857142857,0,171.5,1.0,0.0,5,1,0.0,0.8349829650931443,0.7286904761904762,0.0,0,0.0,,reversible,5
,,trap_mixing_adversarial,ADVERSARIAL,0.011661807580174927,1.0,0.0,A,1.0,inf,0.0,0.0,1.0,0.0,1.3284760744713622,0.8061301443654385,0,85.75,1.0,0.0,5,1,0.0,0.8578348445923966,0.7562486533074768,0.0,0,0.0,,reversible,5
,,viability_signature,THEORY_INFORMED,0.0728862973760933,0.0,1.0,A,1.0,inf,0.0,0.12,1.0,0.0,2.830613101416443,0.9444175824175823,0,13.72,0.16,0.0,5,1,0.0,1.0,1.0,0.16,0,0.0,,reversible,5
,,behavioral_quotient_k5,THEORY_INFORMED,0.014577259475218658,0.0,1.0,A,1.0,inf,0.0,0.4,1.0,0.0,1.4978927684044516,0.8950213371266003,0,68.6,0.4,0.0,5,1,0.0,0.9538013996616594,0.9409672830725462,0.0,0,0.0,,reversible,5
,,behavioral_quotient_k8,THEORY_INFORMED,0.023323615160349854,0.125,0.875,A,1.0,inf,0.0,0.25,1.0,0.0,1.8842788017210688,0.939390595574388,0,42.875,0.375,0.0,5,1,0.0,0.9672696525453356,0.9603784133709982,0.0,0,0.0,,reversible,5
