condition,alpha,T,control,post_displacement_viability,return_to_viable_corridor_rate,recoverable_continuation_profile,minimal_recoverability
independent_alpha0,0.45,900,none,1.0,1.0,0.016717699356377125,0.6722392331187924
independent_alpha0,0.45,1500,none,1.0,1.0,0.013014886062592268,0.6710049620208641
independent_alpha0,0.45,2400,none,1.0,1.0,0.00907557224854827,0.6696918574161828
independent_alpha0,0.5,900,none,1.0,1.0,0.016826902516186237,0.672275634172062
independent_alpha0,0.5,1500,none,1.0,1.0,0.013305613305419683,0.6711018711018065
independent_alpha0,0.5,2400,none,1.0,1.0,0.009229730814695358,0.6697432436048985
independent_alpha0,0.525,900,none,1.0,1.0,0.01691618002951145,0.6723053933431705
independent_alpha0,0.525,1500,none,1.0,1.0,0.013015159871429205,0.6710050532904764
independent_alpha0,0.525,2400,none,1.0,1.0,0.009443615097552538,0.6698145383658508
product,0.45,900,none,1.0,1.0,0.017074529081583023,0.6723581763605276
product,0.45,1500,none,1.0,1.0,0.013133273925632238,0.6710444246418774
product,0.45,2400,none,1.0,1.0,0.009004492778331041,0.6696681642594436
product,0.5,900,none,1.0,1.0,0.016771644353866577,0.6722572147846222
product,0.5,1500,none,1.0,1.0,0.01305729802697897,0.6710190993423263
product,0.5,2400,none,1.0,1.0,0.0096237538382411,0.6698745846127471
product,0.525,900,none,1.0,1.0,0.016790258698165417,0.6722634195660552
product,0.525,1500,none,1.0,1.0,0.013361810240894556,0.6711206034136316
product,0.525,2400,none,1.0,1.0,0.009599594399333,0.6698665314664444
shuffled,0.45,900,none,1.0,1.0,0.016562520526349545,0.6721875068421165
shuffled,0.45,1500,none,1.0,1.0,0.013072195928543806,0.6710240653095146
shuffled,0.45,2400,none,1.0,1.0,0.009553833864629269,0.6698512779548764
shuffled,0.5,900,none,1.0,1.0,0.01692379079759121,0.6723079302658638
shuffled,0.5,1500,none,1.0,1.0,0.012809236533939838,0.67093641217798
shuffled,0.5,2400,none,1.0,1.0,0.00952980574220419,0.6698432685807347
shuffled,0.525,900,none,1.0,1.0,0.016746655106544495,0.6722488850355148
shuffled,0.525,1500,none,1.0,1.0,0.013063306920230389,0.6710211023067435
shuffled,0.525,2400,none,1.0,1.0,0.009366976097226143,0.6697889920324087
time_shuffled,0.45,900,none,1.0,1.0,0.026262357831001282,0.6754207859436671
time_shuffled,0.45,1500,none,1.0,1.0,0.026046759448945522,0.6753489198163152
time_shuffled,0.45,2400,none,1.0,1.0,0.019784949719905853,0.6732616499066353
time_shuffled,0.5,900,none,1.0,1.0,0.027102776803076267,0.6757009256010255
time_shuffled,0.5,1500,none,1.0,1.0,0.02547609806060791,0.675158699353536
time_shuffled,0.5,2400,none,1.0,1.0,0.02237708307802677,0.6741256943593422
time_shuffled,0.525,900,none,1.0,1.0,0.027211830019950867,0.675737276673317
time_shuffled,0.525,1500,none,1.0,1.0,0.02714703604578972,0.6757156786819299
time_shuffled,0.525,2400,none,1.0,1.0,0.022904636338353157,0.6743015454461178
