condition,alpha,T,control,ordered_persistence,horizon_coherence
coupled,0.525,1500,none,0.6341384815265579,0.7368065057189641
coupled,0.525,1500,rigid_collapse,0.6155205151905344,0.7284722531292647
coupled,0.525,1500,noise_fakeout,0.005833735316021678,0.8554008355257614
coupled,0.525,1500,single_component_erasure,0.702199132880196,0.7491220010535448
coupled,0.525,1500,endpoint_fakeout,0.6372598009960105,0.8239906030525028
coupled,0.525,1500,delayed_trap,0.8139011175856771,0.8391561755317538
coupled,0.525,1500,component_swap_fakeout,0.38487291025618714,0.7735161305708494
coupled,0.525,2400,none,0.42947276785465266,0.7368065057189641
coupled,0.525,2400,rigid_collapse,0.41153622179020505,0.7284722531292647
coupled,0.525,2400,noise_fakeout,0.010009029026453694,0.8554008355257614
coupled,0.525,2400,single_component_erasure,0.4848615859664278,0.7491220010535448
coupled,0.525,2400,endpoint_fakeout,0.519282573989282,0.8239906030525028
coupled,0.525,2400,delayed_trap,0.6456482205151891,0.8391561755317538
coupled,0.525,2400,component_swap_fakeout,0.27159725948392105,0.7735161305708494
independent_alpha0,0.45,900,none,0.8060802126322338,0.671232390390855
independent_alpha0,0.45,1500,none,0.6127007933682762,0.671232390390855
independent_alpha0,0.45,2400,none,0.35681595324422233,0.671232390390855
independent_alpha0,0.5,900,none,0.8086841413169168,0.6735527719329703
independent_alpha0,0.5,1500,none,0.6124598524572017,0.6735527719329703
independent_alpha0,0.5,2400,none,0.3611993834007687,0.6735527719329703
independent_alpha0,0.525,900,none,0.812766478426056,0.665642241491664
independent_alpha0,0.525,1500,none,0.608727397309849,0.665642241491664
independent_alpha0,0.525,2400,none,0.35447850291772437,0.665642241491664
product,0.45,900,none,0.8071890715121602,0.6718242084384216
product,0.45,1500,none,0.6142767479759641,0.6718242084384216
product,0.45,2400,none,0.35790291176332784,0.6718242084384216
product,0.5,900,none,0.8070541306321198,0.6747544035317505
product,0.5,1500,none,0.6171831575726779,0.6747544035317505
product,0.5,2400,none,0.36091207287972793,0.6747544035317505
product,0.525,900,none,0.809152013292381,0.6679789824973981
product,0.525,1500,none,0.6046873858431354,0.6679789824973981
product,0.525,2400,none,0.3559480030283642,0.6679789824973981
shuffled,0.45,900,none,0.8208154044987168,0.6637738202051646
shuffled,0.45,1500,none,0.6071053912164643,0.6637738202051646
shuffled,0.45,2400,none,0.35692375789706904,0.6637738202051646
shuffled,0.5,900,none,0.8081321712040032,0.6626362906238272
shuffled,0.5,1500,none,0.6064471605083478,0.6626362906238272
shuffled,0.5,2400,none,0.34861124945261207,0.6626362906238272
shuffled,0.525,900,none,0.8032038181506019,0.6666389025154613
shuffled,0.525,1500,none,0.6110848267756713,0.6666389025154613
shuffled,0.525,2400,none,0.3498268992989324,0.6666389025154613
time_shuffled,0.45,900,none,0.5428668663516873,0.7060121975566875
time_shuffled,0.45,1500,none,0.4001770112372469,0.7060121975566875
time_shuffled,0.45,2400,none,0.2700672275580776,0.7060121975566875
time_shuffled,0.5,900,none,0.521635631720225,0.7129960811751503
time_shuffled,0.5,1500,none,0.3877486515363368,0.7129960811751503
time_shuffled,0.5,2400,none,0.2647004130994901,0.7129960811751503
time_shuffled,0.525,900,none,0.5224447271903045,0.7187285660528078
time_shuffled,0.525,1500,none,0.3831224942114204,0.7187285660528078
time_shuffled,0.525,2400,none,0.26976833463898703,0.7187285660528078
