condition,alpha,T,control,A_past_to_A_future_delta,B_past_to_B_future_delta,component_continuity_balance,component_erasure_score,component_non_erasure
coupled,0.5,2400,rigid_collapse,0.4163737893104553,0.09929906576871872,0.6829252764582634,0.7615146094254275,0.46070533351641796
coupled,0.5,2400,noise_fakeout,-0.0007352735265158117,-0.0004570636374410242,0.9997217901109252,1.0,0.4998608950554626
coupled,0.5,2400,single_component_erasure,0.47745880484580994,0.09929906576871872,0.6218402609229088,0.7920258988609787,0.414907181030965
coupled,0.5,2400,endpoint_fakeout,0.5352605581283569,0.15325887501239777,0.6179983168840408,0.71367426072211,0.4521620280809654
coupled,0.5,2400,delayed_trap,0.7401979565620422,0.3812010586261749,0.6410031020641327,0.48500120103449207,0.5780009505148203
coupled,0.5,2400,component_swap_fakeout,0.47745880484580994,-0.00028117879992350936,0.5222600163542666,1.0,0.2611300081771333
coupled,0.525,900,none,0.8478156328201294,0.49062326550483704,0.6428076326847076,0.4213090128182072,0.6107493099332502
coupled,0.525,900,rigid_collapse,0.8086410164833069,0.2550703287124634,0.4464293122291565,0.684569143151139,0.38093008453900873
coupled,0.525,900,noise_fakeout,-0.000282090186374262,-0.0005479353712871671,0.9997341548150871,1.0,0.49986707740754355
coupled,0.525,900,single_component_erasure,0.8478156328201294,0.2550703287124634,0.407254695892334,0.6991441077065177,0.35405529409290815
coupled,0.525,900,endpoint_fakeout,0.8195682764053345,0.28895315527915955,0.4693848788738251,0.6474324792724753,0.4109761998006749
coupled,0.525,900,delayed_trap,0.940072238445282,0.7067213654518127,0.7666491270065308,0.24822653350490542,0.7592112967508127
coupled,0.525,900,component_swap_fakeout,0.8478156328201294,-0.0007230389746837318,0.15146132820518687,1.0,0.07573066410259344
coupled,0.525,1500,none,0.6957252621650696,0.34740573167800903,0.6516804695129395,0.5006567238957285,0.5755118728086055
coupled,0.525,1500,rigid_collapse,0.6419325470924377,0.17747825384140015,0.5355457067489624,0.723525073397091,0.4060103166759357
coupled,0.525,1500,noise_fakeout,-0.00015689416613895446,-0.00030670134583488107,0.9998501928203041,1.0,0.49992509641015204
coupled,0.525,1500,single_component_erasure,0.6957252621650696,0.17747825384140015,0.48175299167633057,0.7449018118314479,0.36842558992244134
coupled,0.525,1500,endpoint_fakeout,0.6861223578453064,0.19624581933021545,0.5101234614849091,0.7139783930864687,0.3980725341992202
coupled,0.525,1500,delayed_trap,0.8690888285636902,0.5648577809333801,0.6957689523696899,0.3500574827697429,0.6728557347999735
coupled,0.525,1500,component_swap_fakeout,0.6957252621650696,-0.0003165630914736539,0.30395817474345677,1.0,0.15197908737172838
coupled,0.525,2400,none,0.4712851643562317,0.1945878118276596,0.7233026474714279,0.5871123758086814,0.5680951358313733
coupled,0.525,2400,rigid_collapse,0.4094584882259369,0.09810251742601395,0.6886440292000771,0.7604091251079852,0.46411745204604593
coupled,0.525,2400,noise_fakeout,-8.233354310505092e-05,-0.0007685164455324411,0.9993138170975726,1.0,0.4996569085487863
coupled,0.525,2400,single_component_erasure,0.4712851643562317,0.09810251742601395,0.6268173530697823,0.7918404294350736,0.41748846181735433
coupled,0.525,2400,endpoint_fakeout,0.5393622517585754,0.1675608903169632,0.6281986385583878,0.6893351550453602,0.46943174175651375
coupled,0.525,2400,delayed_trap,0.7251781225204468,0.3780755400657654,0.6528974175453186,0.47864458630975126,0.5871264156177837
coupled,0.525,2400,component_swap_fakeout,0.4712851643562317,-0.00042515189852565527,0.5282896837452427,1.0,0.2641448418726213
independent_alpha0,0.45,900,none,0.8801817893981934,0.39640313386917114,0.5162213444709778,0.5496349292341031,0.48329320761843736
independent_alpha0,0.45,1500,none,0.7385514378547668,0.20119154453277588,0.46264010667800903,0.727586280087455,0.36752691329527704
independent_alpha0,0.45,2400,none,0.4801734387874603,0.09191383421421051,0.6117403954267502,0.8085820106036843,0.40157919241153295
independent_alpha0,0.5,900,none,0.8781144618988037,0.39619186520576477,0.5180774033069611,0.5488152371969214,0.48463108305501984
independent_alpha0,0.5,1500,none,0.7488568425178528,0.19876043498516083,0.44990359246730804,0.7345815332115064,0.3576610296279008
independent_alpha0,0.5,2400,none,0.4727490544319153,0.09098666161298752,0.6182376071810722,0.8075370838714363,0.40535026165481797
independent_alpha0,0.525,900,none,0.8803001046180725,0.3945227265357971,0.5142226219177246,0.5518315578220169,0.48119553204785387
independent_alpha0,0.525,1500,none,0.7303000688552856,0.2085481882095337,0.47824811935424805,0.7144349328401076,0.3819065932570702
independent_alpha0,0.525,2400,none,0.4868625998497009,0.08992893993854523,0.6030663400888443,0.8152888721246875,0.3938887339820784
product,0.45,900,none,0.883181631565094,0.3822475075721741,0.4990658760070801,0.5671926431545118,0.46593661642628414
product,0.45,1500,none,0.7371453046798706,0.19904252886772156,0.46189722418785095,0.7299819620309971,0.36595763107842694
product,0.45,2400,none,0.4857596755027771,0.08509526401758194,0.5993355885148048,0.8248202386715086,0.38725767492164814
product,0.5,900,none,0.8829222321510315,0.393561989068985,0.5106397569179535,0.554250674931852,0.47819454099305075
product,0.5,1500,none,0.7336392402648926,0.19981929659843445,0.46618005633354187,0.7276327578575454,0.3692736492379982
product,0.5,2400,none,0.4709327816963196,0.08809271454811096,0.6171599328517914,0.8129399396856654,0.402109996583063
product,0.525,900,none,0.880453884601593,0.38380691409111023,0.5033530294895172,0.5640806170503938,0.4696362062195617
product,0.525,1500,none,0.7303649187088013,0.19463585317134857,0.4642709344625473,0.7335087595452398,0.3653810874586538
product,0.525,2400,none,0.48869115114212036,0.08546648919582367,0.5967753380537033,0.8251114451405968,0.3858319464565533
shuffled,0.45,900,none,0.8791118264198303,0.3857966959476471,0.5066848695278168,0.5611517393426518,0.47276656509258247
