rule,ic_family,T,ring_size,localized_component_lifetime_max,recurrence_up_to_shift,translation_velocity_estimate,motif_type
62,single_seed,256,512,260.0,0.607421875,-0.0078125,emitter
62,bernoulli_050,512,512,516.0,0.828887939453125,0.003326416015625,global_periodic_artifact
62,two_cell_seed,256,256,260.0,0.8203125,0.03125,emitter
62,single_seed,512,256,516.0,0.83203125,0.00390625,global_periodic_artifact
62,bernoulli_050,1024,256,1028.0,0.9258880615234375,-0.001739501953125,global_periodic_artifact
62,two_cell_seed,256,512,260.0,0.609375,-0.0078125,emitter
62,short_random_block,256,256,260.0,0.7613372802734375,-0.005096435546875,global_periodic_artifact
62,bernoulli_025,512,512,516.0,0.8312606811523438,0.0012054443359375,global_periodic_artifact
131,g0_motif_seed,1024,512,1028.0,0.677734375,-0.001953125,global_periodic_artifact
62,two_cell_seed,512,256,516.0,0.65625,-0.015625,global_periodic_artifact
62,single_seed,512,512,516.0,0.833984375,0.00390625,global_periodic_artifact
62,periodic_perturbation,256,256,260.0,0.926513671875,-0.03857421875,global_periodic_artifact
62,bernoulli_025,1024,256,1028.0,0.9334259033203125,-0.0015411376953125,global_periodic_artifact
62,short_random_block,256,512,260.0,0.6182022094726562,-0.0078125,emitter
62,periodic_perturbation,256,512,260.0,0.8282470703125,-0.03857421875,emitter
62,short_random_block,512,256,516.0,0.7937469482421875,-0.0030059814453125,global_periodic_artifact
62,single_seed,1024,256,1028.0,0.83203125,-0.001953125,global_periodic_artifact
131,g0_candidate_window_seed,1024,512,1028.0,0.7720260620117188,-0.001983642578125,global_periodic_artifact
62,periodic_perturbation,512,256,516.0,0.916015625,-0.013671875,global_periodic_artifact
62,two_cell_seed,512,512,516.0,0.6640625,-0.015625,global_periodic_artifact
62,g0_motif_seed,256,256,260.0,0.8203125,-0.0078125,global_periodic_artifact
62,periodic_perturbation,512,512,516.0,0.9232330322265625,-0.0151824951171875,global_periodic_artifact
62,two_cell_seed,1024,256,1028.0,0.83984375,-0.001953125,global_periodic_artifact
62,bernoulli_050,1024,512,1028.0,0.8790054321289062,-0.0026397705078125,global_periodic_artifact
62,g0_motif_seed,256,512,260.0,0.62890625,-0.0078125,emitter
62,periodic_perturbation,1024,256,1028.0,0.916015625,-0.0087890625,global_periodic_artifact
62,g0_candidate_window_seed,256,256,260.0,0.7851715087890625,-0.003021240234375,global_periodic_artifact
62,short_random_block,512,512,516.0,0.808746337890625,0.009429931640625,global_periodic_artifact
62,g0_motif_seed,512,256,516.0,0.8203125,0.00390625,global_periodic_artifact
62,g0_candidate_window_seed,256,512,260.0,0.6483612060546875,-0.0078125,emitter
62,bernoulli_025,1024,512,1028.0,0.878082275390625,-0.00289154052734375,global_periodic_artifact
62,short_random_block,1024,256,1028.0,0.8353424072265625,-0.001953125,global_periodic_artifact
118,bernoulli_050,256,256,260.0,0.78497314453125,0.0068359375,emitter
62,periodic_perturbation,1024,512,1028.0,0.9212646484375,-0.00921630859375,global_periodic_artifact
62,g0_candidate_window_seed,512,256,516.0,0.7941436767578125,0.0011444091796875,global_periodic_artifact
62,single_seed,1024,512,1028.0,0.833984375,-0.001953125,global_periodic_artifact
62,g0_motif_seed,512,512,516.0,0.828125,0.00390625,global_periodic_artifact
118,bernoulli_050,256,512,260.0,0.7841873168945312,0.009063720703125,emitter
118,bernoulli_025,256,256,260.0,0.79852294921875,0.009613037109375,emitter
118,bernoulli_050,512,256,516.0,0.836090087890625,-0.000213623046875,global_periodic_artifact
62,two_cell_seed,1024,512,1028.0,0.818359375,-0.015625,global_periodic_artifact
62,g0_motif_seed,1024,256,1028.0,0.8203125,-0.001953125,global_periodic_artifact
62,g0_candidate_window_seed,512,512,516.0,0.8084030151367188,0.011199951171875,global_periodic_artifact
118,single_seed,256,256,260.0,0.83203125,0.0078125,global_periodic_artifact
118,bernoulli_025,256,512,260.0,0.788909912109375,0.008636474609375,emitter
118,bernoulli_025,512,256,516.0,0.83404541015625,-0.0001373291015625,global_periodic_artifact
62,short_random_block,1024,512,1028.0,0.7679367065429688,-0.0020751953125,global_periodic_artifact
118,bernoulli_050,512,512,516.0,0.8277587890625,-0.002197265625,global_periodic_artifact
62,g0_candidate_window_seed,1024,256,1028.0,0.8421630859375,-0.001953125,global_periodic_artifact
118,single_seed,256,512,260.0,0.607421875,0.0078125,emitter
118,two_cell_seed,256,256,260.0,0.8203125,-0.03125,emitter
118,single_seed,512,256,516.0,0.83203125,-0.00390625,global_periodic_artifact
118,two_cell_seed,256,512,260.0,0.609375,0.0078125,emitter
118,short_random_block,256,256,260.0,0.7682037353515625,0.00274658203125,global_periodic_artifact
118,bernoulli_050,1024,256,1028.0,0.92437744140625,0.0007476806640625,global_periodic_artifact
118,bernoulli_025,512,512,516.0,0.828521728515625,-0.00244140625,global_periodic_artifact
62,g0_motif_seed,1024,512,1028.0,0.828125,-0.001953125,global_periodic_artifact
118,two_cell_seed,512,256,516.0,0.65625,-0.01171875,global_periodic_artifact
118,bernoulli_025,1024,256,1028.0,0.9393768310546875,0.000732421875,global_periodic_artifact
118,periodic_perturbation,256,256,260.0,0.9179840087890625,-0.028167724609375,global_periodic_artifact
118,single_seed,512,512,516.0,0.833984375,-0.00390625,global_periodic_artifact
118,short_random_block,256,512,260.0,0.6194839477539062,0.007537841796875,emitter
118,short_random_block,512,256,516.0,0.796966552734375,-0.002838134765625,global_periodic_artifact
118,periodic_perturbation,256,512,260.0,0.8374481201171875,-0.03338623046875,emitter
118,periodic_perturbation,512,256,516.0,0.922576904296875,-0.018646240234375,global_periodic_artifact
118,single_seed,1024,256,1028.0,0.83203125,0.001953125,global_periodic_artifact
62,g0_candidate_window_seed,1024,512,1028.0,0.7786483764648438,-0.00164031982421875,global_periodic_artifact
118,g0_motif_seed,256,256,260.0,0.69921875,0.0078125,global_periodic_artifact
118,two_cell_seed,512,512,516.0,0.6640625,-0.03125,global_periodic_artifact
118,periodic_perturbation,512,512,516.0,0.92388916015625,-0.01885986328125,global_periodic_artifact
