alpha,T,threshold,kappa,singleton_fraction,small_fiber_fraction,component_B_preservation,lower_rank_erasure_score
0.5,1500,loose,center_of_mass,0.45753458848486517,0.7699550052605336,0.8071518418531828,0.09642407907340855
0.5,1500,loose,joint_basin,0.47212294133441435,0.7448785683579576,0.9755463837684556,0.012226808115772148
0.5,1500,main,boundary_v2_regime_sequence,0.40034270712947184,0.5674958978929567,1.0,0.0
0.5,1500,main,center_of_mass,0.45753458848486517,0.7699550052605336,0.8071518418531828,0.09642407907340855
0.5,1500,main,joint_basin,0.47212294133441435,0.7448785683579576,0.9755463837684556,0.012226808115772148
0.5,1500,strict,boundary_v2_regime_sequence,0.40034270712947184,0.5674958978929567,1.0,0.0
0.5,1500,strict,center_of_mass,0.45753458848486517,0.7699550052605336,0.8071518418531828,0.09642407907340855
0.5,1500,strict,joint_basin,0.47212294133441435,0.7448785683579576,0.9755463837684556,0.012226808115772148
0.5,2400,loose,boundary_v2_regime_sequence,0.2698486790986791,0.38390262515262513,1.0,0.0
0.5,2400,loose,center_of_mass,0.48508318261018846,0.8006590043816817,0.7476413579091187,0.12617932104544066
0.5,2400,loose,joint_basin,0.5440216957070638,0.833024430879809,0.9545400527532454,0.022729973623377243
0.5,2400,main,boundary_v2_regime_sequence,0.2698486790986791,0.38390262515262513,1.0,0.0
0.5,2400,main,center_of_mass,0.48508318261018846,0.8006590043816817,0.7476413579091187,0.12617932104544066
0.5,2400,main,joint_basin,0.5440216957070638,0.833024430879809,0.9545400527532454,0.022729973623377243
0.5,2400,strict,boundary_v2_regime_sequence,0.2698486790986791,0.38390262515262513,1.0,0.0
0.5,2400,strict,center_of_mass,0.48508318261018846,0.8006590043816817,0.7476413579091187,0.12617932104544066
0.5,2400,strict,joint_basin,0.5440216957070638,0.833024430879809,0.9545400527532454,0.022729973623377243
0.525,900,loose,boundary_v2_regime_sequence,0.3763956328329393,0.5706356923520236,1.0,0.0
0.525,900,loose,center_of_mass,0.4309722385441036,0.7450949355156473,0.838033682057352,0.08098315897132395
0.525,900,loose,joint_basin,0.4783869743890301,0.74065679028645,1.0,0.0
0.525,900,main,boundary_v2_regime_sequence,0.3763956328329393,0.5706356923520236,1.0,0.0
0.525,900,main,center_of_mass,0.4309722385441036,0.7450949355156473,0.838033682057352,0.08098315897132395
0.525,900,main,joint_basin,0.4783869743890301,0.74065679028645,1.0,0.0
0.525,900,strict,boundary_v2_regime_sequence,0.3763956328329393,0.5706356923520236,1.0,0.0
0.525,900,strict,center_of_mass,0.4309722385441036,0.7450949355156473,0.838033682057352,0.08098315897132395
0.525,900,strict,joint_basin,0.4783869743890301,0.74065679028645,1.0,0.0
0.525,1500,loose,boundary_v2_regime_sequence,0.3561623931623932,0.5586434953934954,1.0,0.0
0.525,1500,loose,center_of_mass,0.45807347102900364,0.7696380779301064,0.8220628350750034,0.08896858246249822
0.525,1500,loose,joint_basin,0.47001454215385785,0.743684647380827,0.969295753367279,0.01535212331636038
0.525,1500,main,boundary_v2_regime_sequence,0.3561623931623932,0.5586434953934954,1.0,0.0
0.525,1500,main,center_of_mass,0.45807347102900364,0.7696380779301064,0.8220628350750034,0.08896858246249822
0.525,1500,main,joint_basin,0.47001454215385785,0.743684647380827,0.969295753367279,0.01535212331636038
0.525,1500,strict,boundary_v2_regime_sequence,0.3561623931623932,0.5586434953934954,1.0,0.0
0.525,1500,strict,center_of_mass,0.45807347102900364,0.7696380779301064,0.8220628350750034,0.08896858246249822
0.525,1500,strict,joint_basin,0.47001454215385785,0.743684647380827,0.969295753367279,0.01535212331636038
0.525,2400,loose,boundary_v2_regime_sequence,0.2970658508158508,0.45515009990009986,1.0,0.0
0.525,2400,loose,center_of_mass,0.4889186244673291,0.8028783845555736,0.7600037004932609,0.11999814975336948
0.525,2400,loose,joint_basin,0.548651602985153,0.8410220262904466,0.9674343257405696,0.016282837129715136
0.525,2400,main,boundary_v2_regime_sequence,0.2970658508158508,0.45515009990009986,1.0,0.0
0.525,2400,main,center_of_mass,0.4889186244673291,0.8028783845555736,0.7600037004932609,0.11999814975336948
0.525,2400,main,joint_basin,0.548651602985153,0.8410220262904466,0.9674343257405696,0.016282837129715136
0.525,2400,strict,boundary_v2_regime_sequence,0.2970658508158508,0.45515009990009986,1.0,0.0
0.525,2400,strict,center_of_mass,0.4889186244673291,0.8028783845555736,0.7600037004932609,0.11999814975336948
0.525,2400,strict,joint_basin,0.548651602985153,0.8410220262904466,0.9674343257405696,0.016282837129715136
